date,total_positives,total_asymptomatic,perc_asymptomatic,total_symptomatic,perc_symptomatic
2020-09-23,177070,123949.0,70.0,53121.0,30.0
2020-10-06,202594,141816.0,70.0,60778.0,30.0
2020-10-07,204748,143324.0,70.0,61424.0,30.0
2020-10-08,206644,144651.0,70.0,61993.0,30.0
2020-10-09,208535,145974.0,70.0,62561.0,30.0
2020-10-10,210346,147242.0,70.0,63104.0,30.0
2020-10-11,212063,148444.0,70.0,63619.0,30.0
2020-10-12,213084,149159.0,70.0,63925.0,30.0
2020-10-13,214792,150354.0,70.0,64438.0,30.0
2020-10-14,216238,151367.0,70.0,64871.0,30.0
2020-10-15,217670,152369.0,70.0,65301.0,30.0
2020-10-16,219224,153457.0,70.0,65767.0,30.0
2020-10-17,220675,154472.0,70.0,66203.0,30.0
2020-10-19,223059,156141.0,70.0,66918.0,30.0
2020-10-21,226124,158287.0,70.0,67837.0,30.0
2020-10-22,227580,159306.0,70.0,68274.0,30.0
2020-10-23,229001,160301.0,70.0,68700.0,30.0
2020-10-24,230274,161192.0,70.0,69082.0,30.0
2020-10-25,231252,161876.0,70.0,69376.0,30.0
2020-10-26,231834,162284.0,70.0,69550.0,30.0
2020-10-27,232671,162870.0,70.0,69801.0,30.0
2020-10-28,234152,163906.0,70.0,70246.0,30.0
2020-10-29,235656,164959.0,70.0,70697.0,30.0
2020-10-30,237187,166031.0,70.0,71156.0,30.0
2020-11-01,240048,168034.0,70.0,72014.0,30.0
2020-11-02,240970,168679.0,70.0,72291.0,30.0
2020-11-03,242506,169754.0,70.0,72752.0,30.0
2020-11-04,244143,170900.0,70.0,73243.0,30.0
2020-11-05,245682,171977.0,70.0,73705.0,30.0
2020-11-06,247284,173099.0,70.0,74185.0,30.0
2020-11-07,248891,174224.0,70.0,74667.0,30.0
2020-11-08,250331,175232.0,70.0,75099.0,30.0
2020-11-09,251188,175832.0,70.0,75356.0,30.0
2020-11-10,252455,176719.0,70.0,75736.0,30.0
2020-11-11,253651,177556.0,70.0,76095.0,30.0
2020-11-12,254666,178267.0,70.0,76399.0,30.0
2020-11-13,255663,178964.0,70.0,76699.0,30.0
