date,perc_fatality_covid19,perc_fatality_comorbities
2021-02-19,44.96,
2021-02-26,44.96,
2021-02-27,44.96,
2021-03-01,44.96,
2021-03-02,44.96,
2021-03-03,44.96,
2021-03-04,44.96,
2021-03-05,44.96,
2021-03-06,44.96,
2021-03-07,44.96,
2021-03-08,44.96,
2021-03-09,44.96,
2021-03-10,44.96,
2021-03-11,44.96,
2021-03-12,44.96,
2021-03-13,44.96,
2021-03-14,44.96,
2021-03-15,44.96,
2021-03-16,44.96,
2021-03-17,44.96,
2021-03-18,44.96,
2021-03-19,44.96,
2021-03-20,44.96,
2021-03-21,44.96,
2021-03-22,44.96,
2021-03-23,44.96,
2021-03-24,44.96,
2021-03-25,44.96,
2021-03-26,44.96,
2021-03-27,44.96,
2021-03-28,44.96,
2021-03-29,44.96,
2021-03-30,44.96,
2021-03-31,44.96,
2021-04-01,44.96,
2021-04-02,44.96,
2021-04-03,44.96,
2021-04-04,44.31,
2021-04-05,44.31,
2021-04-06,44.31,
2021-04-07,44.31,
2021-04-08,44.31,
2021-04-09,44.31,
2021-04-10,44.31,
2021-04-11,44.31,
2021-04-12,44.31,
2021-04-13,44.31,
2021-04-14,44.31,
2021-04-15,44.31,
2021-04-16,44.31,
2021-04-17,44.31,
2021-04-18,44.31,
2021-04-19,44.31,
2021-04-20,44.31,
2021-04-21,44.31,
2021-04-22,44.31,
2021-04-23,44.31,
2021-04-24,44.31,
2021-04-25,44.31,
2021-04-26,44.31,
2021-04-27,44.31,
2021-04-28,44.31,
2021-04-29,44.31,
2021-04-30,44.31,
2021-05-02,44.31,
2021-05-03,44.31,
2021-05-04,44.31,
2021-05-05,44.31,
2021-05-06,44.31,
2021-05-07,44.31,
2021-05-08,44.31,
2021-05-09,44.31,
2021-05-10,44.31,
2021-05-11,44.31,
2021-05-12,44.31,
2021-05-13,44.31,
2021-05-14,44.31,
2021-05-15,44.31,
2021-05-16,44.31,
2021-05-17,44.31,
2021-05-18,44.31,
2021-05-19,44.31,
2021-05-20,44.31,
2021-05-21,44.31,
2021-05-22,44.31,
2021-05-23,44.31,
2021-05-24,44.31,
2021-05-25,44.31,
2021-05-26,44.31,
2021-05-27,44.31,
2021-05-28,44.31,
2021-05-29,44.31,
2021-05-30,44.31,
2021-05-31,44.31,
2021-06-01,44.31,
2021-06-02,44.31,
2021-06-03,44.31,
2021-06-04,44.31,
2021-06-05,44.31,
2021-06-06,44.31,
2021-06-07,44.31,
2021-06-08,44.31,
2021-06-09,44.31,
2021-06-10,44.31,
2021-06-11,44.31,
2021-06-12,44.31,
2021-06-13,44.31,
2021-06-14,44.31,
2021-06-15,44.31,
2021-06-16,44.31,
2021-06-17,44.31,
2021-06-18,44.31,
2021-06-19,44.31,
2021-06-20,44.31,
2021-06-21,44.31,
2021-06-22,44.31,
2021-06-23,44.31,
2021-06-24,44.31,
2021-06-25,44.31,
2021-06-26,44.31,
2021-06-27,44.31,
2021-06-28,44.31,
2021-06-29,44.31,
2021-06-30,44.31,
2021-07-01,44.31,
2021-07-02,44.31,
2021-07-03,44.31,
2021-07-04,44.31,
2021-07-05,44.31,
2021-07-06,44.31,
2021-07-07,44.31,
2021-07-08,44.31,
2021-07-09,44.31,
2021-07-10,44.31,
2021-07-11,44.31,
2021-07-12,44.31,
2021-07-13,44.31,
2021-07-14,44.31,
2021-07-15,44.31,
2021-07-16,44.31,
2021-07-17,44.31,
2021-07-18,44.31,
2021-07-19,44.31,
2021-07-20,44.31,
2021-07-21,44.31,
2021-07-22,44.31,
2021-07-23,44.31,
2021-07-24,44.31,
2021-07-25,44.31,
2021-07-26,44.31,
2021-07-27,44.31,
2021-07-28,44.31,
2021-07-29,44.31,
2021-07-30,44.31,
2021-08-01,44.31,
2021-08-02,44.31,
2021-08-03,44.31,
2021-08-04,44.31,
2021-08-08,44.31,
2021-08-09,44.31,
2021-08-10,44.31,
2021-08-11,44.31,
2021-08-12,44.31,
2021-08-13,44.31,
2021-08-14,44.31,
2021-08-15,44.31,
2021-08-16,44.31,
2021-08-17,44.31,
2021-08-18,44.31,
2021-08-19,44.31,
2021-08-20,44.31,
2021-08-21,44.31,
2021-08-22,44.31,
2021-08-23,44.31,
2021-08-24,44.31,
2021-08-25,44.31,
2021-08-26,44.31,
2021-08-27,44.31,
2021-08-28,44.31,
2021-08-29,44.31,
2021-08-30,44.31,
2021-09-01,44.31,
2021-09-02,44.31,
2021-09-03,44.31,
2021-09-04,44.31,
2021-09-05,44.31,
2021-09-06,44.31,
2021-09-07,44.31,
2021-09-08,44.31,
2021-09-09,44.31,
2021-09-10,44.31,
2021-09-11,44.31,
2021-09-12,44.31,
2021-09-13,44.31,
2021-09-14,44.31,
2021-09-15,44.31,
2021-09-16,44.31,
2021-09-17,44.31,
2021-09-18,44.31,
2021-09-19,44.31,
2021-09-20,44.31,
2021-09-21,44.31,
2021-09-22,44.31,
