date,district,cases_new
2020-09-04,siddipet,82
2020-09-04,suryapet,87
2020-09-04,total,2478
2020-09-04,vikarabad,17
2020-09-04,wanaparthy,38
2020-09-04,warangal rural,42
2020-09-04,warangal urban,95
2020-09-04,yadadri bhonigir,57
2020-09-05,adilabad,23
2020-09-05,bhadradri kothagudem,93
2020-09-05,ghmc,305
2020-09-05,jagityal,85
2020-09-05,jangaon,38
2020-09-05,jayashankar bhupalpally,12
2020-09-05,jogulamba gadwal,27
2020-09-05,kamareddy,60
2020-09-05,karimnagar,150
2020-09-05,khammam,142
2020-09-05,komarambheem asifabad,23
2020-09-05,mahaboobnagar,42
2020-09-05,mahabubabad,58
2020-09-05,mancherial,73
2020-09-05,medak,42
2020-09-05,medchal malkajigiri,134
2020-09-05,mulugu,18
2020-09-05,nagarkurnool,40
2020-09-05,nalgonda,170
2020-09-05,narayanpet,16
2020-09-05,nirmal,31
2020-09-05,nizamabad,93
2020-09-05,peddapalli,65
2020-09-05,rajanna siricilla,72
2020-09-05,rangareddy,184
2020-09-05,sangareddy,70
2020-09-05,siddipet,80
2020-09-05,suryapet,96
2020-09-05,total,2511
2020-09-05,vikarabad,19
2020-09-05,wanaparthy,40
2020-09-05,warangal rural,36
2020-09-05,warangal urban,96
2020-09-05,yadadri bhonigir,78
2020-09-06,adilabad,22
2020-09-06,bhadradri kothagudem,69
2020-09-06,ghmc,325
2020-09-06,jagityal,81
2020-09-06,jangaon,39
2020-09-06,jayashankar bhupalpally,24
2020-09-06,jogulamba gadwal,21
2020-09-06,kamareddy,86
2020-09-06,karimnagar,144
2020-09-06,khammam,128
2020-09-06,komarambheem asifabad,25
2020-09-06,mahaboobnagar,44
2020-09-06,mahabubabad,73
2020-09-06,mancherial,63
2020-09-06,medak,34
2020-09-06,medchal malkajigiri,185
2020-09-06,mulugu,15
2020-09-06,nagarkurnool,51
2020-09-06,nalgonda,158
2020-09-06,narayanpet,11
2020-09-06,nirmal,19
2020-09-06,nizamabad,95
2020-09-06,peddapalli,69
2020-09-06,rajanna siricilla,45
2020-09-06,rangareddy,197
2020-09-06,sangareddy,82
2020-09-06,siddipet,88
2020-09-06,suryapet,102
2020-09-06,total,2574
2020-09-06,vikarabad,14
2020-09-06,wanaparthy,41
2020-09-06,warangal rural,40
2020-09-06,warangal urban,117
2020-09-06,yadadri bhonigir,67
2020-09-08,adilabad,33
2020-09-08,bhadradri kothagudem,95
2020-09-08,ghmc,304
2020-09-08,jagityal,64
2020-09-08,jangaon,38
2020-09-08,jayashankar bhupalpally,18
2020-09-08,jogulamba gadwal,22
2020-09-08,kamareddy,76
2020-09-08,karimnagar,157
2020-09-08,khammam,116
2020-09-08,komarambheem asifabad,20
2020-09-08,mahaboobnagar,45
2020-09-08,mahabubabad,71
2020-09-08,mancherial,69
2020-09-08,medak,36
2020-09-08,medchal malkajigiri,132
2020-09-08,mulugu,20
2020-09-08,nagarkurnool,53
2020-09-08,nalgonda,105
2020-09-08,narayanpet,8
2020-09-08,nirmal,34
2020-09-08,nizamabad,102
2020-09-08,peddapalli,68
2020-09-08,rajanna siricilla,64
2020-09-08,rangareddy,191
2020-09-08,sangareddy,37
2020-09-08,siddipet,89
2020-09-08,suryapet,101
2020-09-08,total,2392
2020-09-08,vikarabad,15
2020-09-08,wanaparthy,40
2020-09-08,warangal rural,21
2020-09-08,warangal urban,91
2020-09-08,yadadri bhonigir,57
2020-09-09,adilabad,31
2020-09-09,bhadradri kothagudem,83
2020-09-09,ghmc,322
2020-09-09,jagityal,79
2020-09-09,jangaon,35
2020-09-09,jayashankar bhupalpally,14
2020-09-09,jogulamba gadwal,23
2020-09-09,kamareddy,94
2020-09-09,karimnagar,120
2020-09-09,khammam,94
2020-09-09,komarambheem asifabad,24
2020-09-09,mahaboobnagar,40
2020-09-09,mahabubabad,67
2020-09-09,mancherial,67
2020-09-09,medak,34
2020-09-09,medchal malkajigiri,183
2020-09-09,mulugu,22
2020-09-09,nagarkurnool,54
2020-09-09,nalgonda,108
2020-09-09,narayanpet,14
2020-09-09,nirmal,43
2020-09-09,nizamabad,101
2020-09-09,peddapalli,71
2020-09-09,rajanna siricilla,67
2020-09-09,rangareddy,188
2020-09-09,sangareddy,64
2020-09-09,siddipet,88
2020-09-09,suryapet,96
2020-09-09,total,2479
2020-09-09,vikarabad,16
2020-09-09,wanaparthy,33
2020-09-09,warangal rural,34
2020-09-09,warangal urban,124
2020-09-09,yadadri bhonigir,46
2020-09-10,adilabad,23
2020-09-10,bhadradri kothagudem,81
2020-09-10,ghmc,327
2020-09-10,jagityal,65
2020-09-10,jangaon,41
2020-09-10,jayashankar bhupalpally,24
2020-09-10,jogulamba gadwal,29
2020-09-10,kamareddy,123
2020-09-10,karimnagar,107
2020-09-10,khammam,109
2020-09-10,komarambheem asifabad,30
2020-09-10,mahaboobnagar,38
2020-09-10,mahabubabad,73
2020-09-10,mancherial,64
2020-09-10,medak,42
2020-09-10,medchal malkajigiri,132
2020-09-10,mulugu,16
2020-09-10,nagarkurnool,62
2020-09-10,nalgonda,149
2020-09-10,narayanpet,16
2020-09-10,nirmal,25
2020-09-10,nizamabad,90
2020-09-10,peddapalli,58
2020-09-10,rajanna siricilla,47
2020-09-10,rangareddy,195
2020-09-10,sangareddy,96
2020-09-10,siddipet,103
2020-09-10,suryapet,83
2020-09-10,total,2534
2020-09-10,vikarabad,22
2020-09-10,wanaparthy,42
2020-09-10,warangal rural,41
2020-09-10,warangal urban,124
2020-09-10,yadadri bhonigir,57
2020-09-11,adilabad,25
2020-09-11,bhadradri kothagudem,67
2020-09-11,ghmc,338
2020-09-11,jagityal,62
2020-09-11,jangaon,33
2020-09-11,jayashankar bhupalpally,22
2020-09-11,jogulamba gadwal,32
2020-09-11,kamareddy,54
2020-09-11,karimnagar,129
2020-09-11,khammam,98
2020-09-11,komarambheem asifabad,15
2020-09-11,mahaboobnagar,46
2020-09-11,mahabubabad,76
2020-09-11,mancherial,57
2020-09-11,medak,42
2020-09-11,medchal malkajigiri,172
2020-09-11,mulugu,16
2020-09-11,nagarkurnool,50
2020-09-11,nalgonda,164
2020-09-11,narayanpet,14
2020-09-11,nirmal,32
2020-09-11,nizamabad,89
2020-09-11,peddapalli,56
2020-09-11,rajanna siricilla,41
2020-09-11,rangareddy,216
2020-09-11,sangareddy,97
2020-09-11,siddipet,87
2020-09-11,suryapet,78
2020-09-11,total,2426
2020-09-11,vikarabad,11
2020-09-11,wanaparthy,38
2020-09-11,warangal rural,18
2020-09-11,warangal urban,108
2020-09-11,yadadri bhonigir,43
2020-09-12,adilabad,25
2020-09-12,bhadradri kothagudem,80
2020-09-12,ghmc,331
2020-09-12,jagityal,56
2020-09-12,jangaon,31
2020-09-12,jayashankar bhupalpally,27
2020-09-12,jogulamba gadwal,21
2020-09-12,kamareddy,78
2020-09-12,karimnagar,121
2020-09-12,khammam,98
2020-09-12,komarambheem asifabad,26
2020-09-12,mahaboobnagar,34
2020-09-12,mahabubabad,76
2020-09-12,mancherial,43
2020-09-12,medak,24
2020-09-12,medchal malkajigiri,150
2020-09-12,mulugu,12
2020-09-12,nagarkurnool,34
2020-09-12,nalgonda,126
2020-09-12,narayanpet,22
2020-09-12,nirmal,23
2020-09-12,nizamabad,89
2020-09-12,peddapalli,48
2020-09-12,rajanna siricilla,53
2020-09-12,rangareddy,184
2020-09-12,sangareddy,62
2020-09-12,siddipet,89
2020-09-12,suryapet,82
2020-09-12,total,2278
2020-09-12,vikarabad,23
2020-09-12,wanaparthy,42
2020-09-12,warangal rural,28
2020-09-12,warangal urban,91
2020-09-12,yadadri bhonigir,49
2020-09-13,adilabad,24
2020-09-13,bhadradri kothagudem,49
2020-09-13,ghmc,341
2020-09-13,jagityal,56
2020-09-13,jangaon,33
2020-09-13,jayashankar bhupalpally,25
2020-09-13,jogulamba gadwal,20
2020-09-13,kamareddy,45
2020-09-13,karimnagar,119
2020-09-13,khammam,105
2020-09-13,komarambheem asifabad,24
2020-09-13,mahaboobnagar,36
2020-09-13,mahabubabad,64
2020-09-13,mancherial,45
2020-09-13,medak,28
2020-09-13,medchal malkajigiri,148
2020-09-13,mulugu,23
2020-09-13,nagarkurnool,31
2020-09-13,nalgonda,126
2020-09-13,narayanpet,11
2020-09-13,nirmal,28
2020-09-13,nizamabad,84
2020-09-13,peddapalli,52
2020-09-13,rajanna siricilla,54
2020-09-13,rangareddy,210
2020-09-13,sangareddy,76
2020-09-13,siddipet,66
2020-09-13,suryapet,76
2020-09-13,total,2216
2020-09-13,vikarabad,24
2020-09-13,wanaparthy,25
2020-09-13,warangal rural,24
2020-09-13,warangal urban,102
2020-09-13,yadadri bhonigir,42
2020-09-14,adilabad,12
2020-09-14,bhadradri kothagudem,27
2020-09-14,ghmc,264
2020-09-14,jagityal,34
2020-09-14,jangaon,20
2020-09-14,jayashankar bhupalpally,8
2020-09-14,jogulamba gadwal,12
2020-09-14,kamareddy,11
2020-09-14,karimnagar,108
2020-09-14,khammam,37
2020-09-14,komarambheem asifabad,16
2020-09-14,mahaboobnagar,34
2020-09-14,mahabubabad,54
2020-09-14,mancherial,28
2020-09-14,medak,13
2020-09-14,medchal malkajigiri,25
2020-09-14,mulugu,9
2020-09-14,nagarkurnool,32
2020-09-14,nalgonda,47
2020-09-14,narayanpet,1
2020-09-14,nirmal,8
2020-09-14,nizamabad,67
2020-09-14,peddapalli,39
2020-09-14,rajanna siricilla,24
2020-09-14,rangareddy,133
2020-09-14,sangareddy,107
2020-09-14,siddipet,75
2020-09-14,suryapet,34
2020-09-14,total,1417
2020-09-14,vikarabad,6
2020-09-14,wanaparthy,19
2020-09-14,warangal rural,20
2020-09-14,warangal urban,70
2020-09-14,yadadri bhonigir,23
2020-09-15,adilabad,20
2020-09-15,bhadradri kothagudem,75
2020-09-15,ghmc,277
2020-09-15,jagityal,52
2020-09-15,jangaon,30
2020-09-15,jayashankar bhupalpally,28
2020-09-15,jogulamba gadwal,29
2020-09-15,kamareddy,43
2020-09-15,karimnagar,135
2020-09-15,khammam,103
2020-09-15,komarambheem asifabad,24
2020-09-15,mahaboobnagar,38
2020-09-15,mahabubabad,68
2020-09-15,mancherial,41
2020-09-15,medak,38
2020-09-15,medchal malkajigiri,97
2020-09-15,mulugu,36
2020-09-15,nagarkurnool,42
2020-09-15,nalgonda,96
2020-09-15,narayanpet,13
2020-09-15,nirmal,42
2020-09-15,nizamabad,84
2020-09-15,peddapalli,48
2020-09-15,rajanna siricilla,45
2020-09-15,rangareddy,143
2020-09-15,sangareddy,24
2020-09-15,siddipet,106
2020-09-15,suryapet,62
2020-09-15,total,2058
2020-09-15,vikarabad,24
2020-09-15,wanaparthy,23
2020-09-15,warangal rural,11
2020-09-15,warangal urban,108
2020-09-15,yadadri bhonigir,53
2020-09-16,adilabad,19
2020-09-16,bhadradri kothagudem,56
2020-09-16,ghmc,325
2020-09-16,jagityal,50
2020-09-16,jangaon,33
2020-09-16,jayashankar bhupalpally,21
2020-09-16,jogulamba gadwal,21
2020-09-16,kamareddy,68
2020-09-16,karimnagar,122
2020-09-16,khammam,97
2020-09-16,komarambheem asifabad,24
2020-09-16,mahaboobnagar,42
2020-09-16,mahabubabad,57
2020-09-16,mancherial,38
2020-09-16,medak,24
2020-09-16,medchal malkajigiri,164
2020-09-16,mulugu,22
2020-09-16,nagarkurnool,33
2020-09-16,nalgonda,175
2020-09-16,narayanpet,3
2020-09-16,nirmal,36
2020-09-16,nizamabad,91
2020-09-16,peddapalli,47
2020-09-16,rajanna siricilla,40
2020-09-16,rangareddy,185
2020-09-16,sangareddy,58
2020-09-16,siddipet,91
2020-09-16,suryapet,73
2020-09-16,total,2273
2020-09-16,vikarabad,24
2020-09-16,wanaparthy,32
2020-09-16,warangal rural,33
2020-09-16,warangal urban,114
2020-09-16,yadadri bhonigir,55
2020-09-17,adilabad,20
2020-09-17,bhadradri kothagudem,60
2020-09-17,ghmc,318
2020-09-17,jagityal,45
2020-09-17,jangaon,35
2020-09-17,jayashankar bhupalpally,22
2020-09-17,jogulamba gadwal,18
2020-09-17,kamareddy,49
2020-09-17,karimnagar,127
2020-09-17,khammam,77
2020-09-17,komarambheem asifabad,13
2020-09-17,mahaboobnagar,24
2020-09-17,mahabubabad,84
2020-09-17,mancherial,33
2020-09-17,medak,34
2020-09-17,medchal malkajigiri,121
2020-09-17,mulugu,18
2020-09-17,nagarkurnool,27
2020-09-17,nalgonda,141
2020-09-17,narayanpet,14
2020-09-17,nirmal,29
2020-09-17,nizamabad,84
2020-09-17,peddapalli,47
2020-09-17,rajanna siricilla,53
2020-09-17,rangareddy,176
2020-09-17,sangareddy,64
2020-09-17,siddipet,132
2020-09-17,suryapet,66
2020-09-17,total,2159
2020-09-17,vikarabad,22
2020-09-17,wanaparthy,23
2020-09-17,warangal rural,39
2020-09-17,warangal urban,98
2020-09-17,yadadri bhonigir,46
2020-09-18,adilabad,19
2020-09-18,bhadradri kothagudem,49
2020-09-18,ghmc,314
2020-09-18,jagityal,42
2020-09-18,jangaon,25
2020-09-18,jayashankar bhupalpally,23
2020-09-18,jogulamba gadwal,17
2020-09-18,kamareddy,31
2020-09-18,karimnagar,114
2020-09-18,khammam,84
2020-09-18,komarambheem asifabad,20
2020-09-18,mahaboobnagar,26
2020-09-18,mahabubabad,74
2020-09-18,mancherial,25
2020-09-18,medak,25
2020-09-18,medchal malkajigiri,144
2020-09-18,mulugu,16
2020-09-18,nagarkurnool,32
2020-09-18,nalgonda,131
2020-09-18,narayanpet,12
2020-09-18,nirmal,16
2020-09-18,nizamabad,65
2020-09-18,peddapalli,48
2020-09-18,rajanna siricilla,46
2020-09-18,rangareddy,174
2020-09-18,sangareddy,71
2020-09-18,siddipet,121
2020-09-18,suryapet,51
2020-09-18,total,2043
2020-09-18,vikarabad,20
2020-09-18,wanaparthy,22
2020-09-18,warangal rural,33
2020-09-18,warangal urban,108
2020-09-18,yadadri bhonigir,45
2020-09-19,adilabad,19
2020-09-19,bhadradri kothagudem,53
2020-09-19,ghmc,305
2020-09-19,jagityal,53
2020-09-19,jangaon,28
2020-09-19,jayashankar bhupalpally,23
2020-09-19,jogulamba gadwal,26
2020-09-19,kamareddy,72
2020-09-19,karimnagar,112
2020-09-19,khammam,93
2020-09-19,komarambheem asifabad,16
2020-09-19,mahaboobnagar,33
2020-09-19,mahabubabad,77
2020-09-19,mancherial,30
2020-09-19,medak,34
2020-09-19,medchal malkajigiri,149
2020-09-19,mulugu,20
2020-09-19,nagarkurnool,40
2020-09-19,nalgonda,135
2020-09-19,narayanpet,18
2020-09-19,nirmal,23
2020-09-19,nizamabad,78
2020-09-19,peddapalli,48
2020-09-19,rajanna siricilla,43
2020-09-19,rangareddy,185
2020-09-19,sangareddy,59
2020-09-19,siddipet,87
2020-09-19,suryapet,65
2020-09-19,total,2123
2020-09-19,vikarabad,22
2020-09-19,wanaparthy,26
2020-09-19,warangal rural,29
2020-09-19,warangal urban,81
2020-09-19,yadadri bhonigir,41
2020-09-20,adilabad,20
2020-09-20,bhadradri kothagudem,51
2020-09-20,ghmc,322
2020-09-20,jagityal,42
2020-09-20,jangaon,34
2020-09-20,jayashankar bhupalpally,21
2020-09-20,jogulamba gadwal,27
2020-09-20,kamareddy,60
2020-09-20,karimnagar,132
2020-09-20,khammam,90
2020-09-20,komarambheem asifabad,16
2020-09-20,mahaboobnagar,28
2020-09-20,mahabubabad,72
2020-09-20,mancherial,38
2020-09-20,medak,28
2020-09-20,medchal malkajigiri,146
2020-09-20,mulugu,15
2020-09-20,nagarkurnool,37
2020-09-20,nalgonda,124
2020-09-20,narayanpet,9
2020-09-20,nirmal,24
2020-09-20,nizamabad,72
2020-09-20,peddapalli,48
2020-09-20,rajanna siricilla,57
2020-09-20,rangareddy,182
2020-09-20,sangareddy,65
2020-09-20,siddipet,109
2020-09-20,suryapet,61
2020-09-20,total,2137
2020-09-20,vikarabad,29
2020-09-20,wanaparthy,29
2020-09-20,warangal rural,24
2020-09-20,warangal urban,90
2020-09-20,yadadri bhonigir,35
2020-09-21,adilabad,8
2020-09-21,bhadradri kothagudem,29
2020-09-21,ghmc,266
2020-09-21,jagityal,34
2020-09-21,jangaon,18
2020-09-21,jayashankar bhupalpally,0
2020-09-21,jogulamba gadwal,18
2020-09-21,kamareddy,14
2020-09-21,karimnagar,102
2020-09-21,khammam,35
2020-09-21,komarambheem asifabad,8
2020-09-21,mahaboobnagar,24
2020-09-21,mahabubabad,45
2020-09-21,mancherial,20
2020-09-21,medak,16
2020-09-21,medchal malkajigiri,24
2020-09-21,mulugu,15
2020-09-21,nagarkurnool,37
2020-09-21,nalgonda,70
2020-09-21,narayanpet,4
2020-09-21,nirmal,13
2020-09-21,nizamabad,50
2020-09-21,peddapalli,20
2020-09-21,rajanna siricilla,23
2020-09-21,rangareddy,98
2020-09-21,sangareddy,54
2020-09-21,siddipet,92
2020-09-21,suryapet,26
2020-09-21,total,1302
2020-09-21,vikarabad,10
2020-09-21,wanaparthy,25
2020-09-21,warangal rural,18
2020-09-21,warangal urban,62
2020-09-21,yadadri bhonigir,24
2020-09-22,adilabad,21
2020-09-22,bhadradri kothagudem,79
2020-09-22,ghmc,309
2020-09-22,jagityal,21
2020-09-22,jangaon,79
2020-09-22,jayashankar bhupalpally,20
2020-09-22,jogulamba gadwal,20
2020-09-22,kamareddy,50
2020-09-22,karimnagar,127
2020-09-22,khammam,87
2020-09-22,komarambheem asifabad,19
2020-09-22,mahaboobnagar,28
2020-09-22,mahabubabad,90
2020-09-22,mancherial,43
2020-09-22,medak,36
2020-09-22,medchal malkajigiri,147
2020-09-22,mulugu,22
2020-09-22,nagarkurnool,46
2020-09-22,nalgonda,113
2020-09-22,narayanpet,11
2020-09-22,nirmal,22
2020-09-22,nizamabad,90
2020-09-22,peddapalli,50
2020-09-22,rajanna siricilla,51
2020-09-22,rangareddy,166
2020-09-22,sangareddy,44
2020-09-22,siddipet,88
2020-09-22,suryapet,64
2020-09-22,total,2166
2020-09-22,vikarabad,24
2020-09-22,wanaparthy,33
2020-09-22,warangal rural,23
2020-09-22,warangal urban,95
2020-09-22,yadadri bhonigir,48
2020-09-23,adilabad,18
2020-09-23,bhadradri kothagudem,77
2020-09-23,ghmc,321
2020-09-23,jagityal,50
2020-09-23,jangaon,36
2020-09-23,jayashankar bhupalpally,11
2020-09-23,jogulamba gadwal,21
2020-09-23,kamareddy,77
2020-09-23,karimnagar,136
2020-09-23,khammam,69
2020-09-23,komarambheem asifabad,16
2020-09-23,mahaboobnagar,31
2020-09-23,mahabubabad,72
2020-09-23,mancherial,37
2020-09-23,medak,23
2020-09-23,medchal malkajigiri,173
2020-09-23,mulugu,24
2020-09-23,nagarkurnool,36
2020-09-23,nalgonda,155
2020-09-23,narayanpet,6
2020-09-23,nirmal,19
2020-09-23,nizamabad,82
2020-09-23,peddapalli,40
2020-09-23,rajanna siricilla,67
2020-09-23,rangareddy,217
2020-09-23,sangareddy,81
2020-09-23,siddipet,92
2020-09-23,suryapet,73
2020-09-23,total,2296
2020-09-23,vikarabad,23
2020-09-23,wanaparthy,37
2020-09-23,warangal rural,30
2020-09-23,warangal urban,99
2020-09-23,yadadri bhonigir,47
2020-09-24,adilabad,25
2020-09-24,bhadradri kothagudem,88
2020-09-24,ghmc,308
2020-09-24,jagityal,40
2020-09-24,jangaon,24
2020-09-24,jayashankar bhupalpally,20
2020-09-24,jogulamba gadwal,22
2020-09-24,kamareddy,48
2020-09-24,karimnagar,120
2020-09-24,khammam,86
2020-09-24,komarambheem asifabad,22
2020-09-24,mahaboobnagar,36
2020-09-24,mahabubabad,68
2020-09-24,mancherial,44
2020-09-24,medak,41
2020-09-24,medchal malkajigiri,151
2020-09-24,mulugu,26
2020-09-24,nagarkurnool,47
2020-09-24,nalgonda,136
2020-09-24,narayanpet,12
2020-09-24,nirmal,21
2020-09-24,nizamabad,68
2020-09-24,peddapalli,42
2020-09-24,rajanna siricilla,56
2020-09-24,rangareddy,168
2020-09-24,sangareddy,67
2020-09-24,siddipet,95
2020-09-24,suryapet,82
2020-09-24,total,2176
2020-09-24,vikarabad,19
2020-09-24,wanaparthy,43
2020-09-24,warangal rural,34
2020-09-24,warangal urban,77
2020-09-24,yadadri bhonigir,40
2020-09-25,adilabad,15
2020-09-25,bhadradri kothagudem,97
2020-09-25,ghmc,386
2020-09-25,jagityal,51
2020-09-25,jangaon,23
2020-09-25,jayashankar bhupalpally,19
2020-09-25,jogulamba gadwal,25
2020-09-25,kamareddy,58
2020-09-25,karimnagar,119
2020-09-25,khammam,84
2020-09-25,komarambheem asifabad,13
2020-09-25,mahaboobnagar,42
2020-09-25,mahabubabad,68
2020-09-25,mancherial,29
2020-09-25,medak,39
2020-09-25,medchal malkajigiri,193
2020-09-25,mulugu,15
2020-09-25,nagarkurnool,67
2020-09-25,nalgonda,132
2020-09-25,narayanpet,12
2020-09-25,nirmal,43
2020-09-25,nizamabad,69
2020-09-25,peddapalli,31
2020-09-25,rajanna siricilla,70
2020-09-25,rangareddy,227
2020-09-25,sangareddy,50
2020-09-25,siddipet,86
2020-09-25,suryapet,78
2020-09-25,total,2381
2020-09-25,vikarabad,23
2020-09-25,wanaparthy,58
2020-09-25,warangal rural,24
2020-09-25,warangal urban,83
2020-09-25,yadadri bhonigir,52
2020-09-26,adilabad,27
2020-09-26,bhadradri kothagudem,91
2020-09-26,ghmc,316
2020-09-26,jagityal,54
2020-09-26,jangaon,35
2020-09-26,jayashankar bhupalpally,29
2020-09-26,jogulamba gadwal,29
2020-09-26,kamareddy,60
2020-09-26,karimnagar,106
2020-09-26,khammam,73
2020-09-26,komarambheem asifabad,12
2020-09-26,mahaboobnagar,34
2020-09-26,mahabubabad,57
2020-09-26,mancherial,31
2020-09-26,medak,31
2020-09-26,medchal malkajigiri,164
2020-09-26,mulugu,33
2020-09-26,nagarkurnool,43
2020-09-26,nalgonda,141
2020-09-26,narayanpet,34
2020-09-26,nirmal,31
2020-09-26,nizamabad,69
2020-09-26,peddapalli,32
2020-09-26,rajanna siricilla,57
2020-09-26,rangareddy,192
2020-09-26,sangareddy,66
2020-09-26,siddipet,79
2020-09-26,suryapet,63
2020-09-26,total,2239
2020-09-26,vikarabad,29
2020-09-26,wanaparthy,35
2020-09-26,warangal rural,37
2020-09-26,warangal urban,91
2020-09-26,yadadri bhonigir,58
2020-09-27,adilabad,17
2020-09-27,bhadradri kothagudem,91
2020-09-27,ghmc,297
2020-09-27,jagityal,56
2020-09-27,jangaon,24
2020-09-27,jayashankar bhupalpally,20
2020-09-27,jogulamba gadwal,19
2020-09-27,kamareddy,56
2020-09-27,karimnagar,152
2020-09-27,khammam,78
2020-09-27,komarambheem asifabad,15
2020-09-27,mahaboobnagar,25
2020-09-27,mahabubabad,66
2020-09-27,mancherial,33
2020-09-27,medak,24
2020-09-27,medchal malkajigiri,137
2020-09-27,mulugu,34
2020-09-27,nagarkurnool,27
2020-09-27,nalgonda,105
2020-09-27,narayanpet,8
2020-09-27,nirmal,26
2020-09-27,nizamabad,61
2020-09-27,peddapalli,40
2020-09-27,rajanna siricilla,44
2020-09-27,rangareddy,147
2020-09-27,sangareddy,54
2020-09-27,siddipet,70
2020-09-27,suryapet,46
2020-09-27,total,1967
2020-09-27,vikarabad,18
2020-09-27,wanaparthy,25
2020-09-27,warangal rural,26
2020-09-27,warangal urban,89
2020-09-27,yadadri bhonigir,37
2020-09-28,adilabad,13
2020-09-28,bhadradri kothagudem,49
2020-09-28,ghmc,254
2020-09-28,jagityal,39
2020-09-28,jangaon,23
2020-09-28,jayashankar bhupalpally,13
2020-09-28,jogulamba gadwal,21
2020-09-28,kamareddy,14
2020-09-28,karimnagar,78
2020-09-28,khammam,26
2020-09-28,komarambheem asifabad,5
2020-09-28,mahaboobnagar,24
