date,district,LSG,Wards
2021-08-06,Alappuzha,5.0,10.0
2021-08-06,Ernakulam,11.0,19.0
2021-08-06,Idukki,0.0,0.0
2021-08-06,Kannur,5.0,8.0
2021-08-06,Kasaragod,1.0,17.0
2021-08-06,Kollam,2.0,5.0
2021-08-06,Kottayam,0.0,0.0
2021-08-06,Kozhikode,2.0,6.0
2021-08-06,Malappuram,11.0,94.0
2021-08-06,Palakkad,2.0,39.0
2021-08-06,Pathanamthitta,2.0,3.0
2021-08-06,Thiruvananthapuram,1.0,1.0
2021-08-06,Thrissur,9.0,51.0
2021-08-06,Wayanad,1.0,13.0
2021-08-06,total,,
2021-08-07,Alappuzha,5.0,10.0
2021-08-07,Ernakulam,11.0,19.0
2021-08-07,Idukki,0.0,0.0
2021-08-07,Kannur,5.0,8.0
2021-08-07,Kasaragod,1.0,17.0
2021-08-07,Kollam,2.0,5.0
2021-08-07,Kottayam,0.0,0.0
2021-08-07,Kozhikode,2.0,6.0
2021-08-07,Malappuram,11.0,94.0
2021-08-07,Palakkad,2.0,39.0
2021-08-07,Pathanamthitta,2.0,3.0
2021-08-07,Thiruvananthapuram,1.0,1.0
2021-08-07,Thrissur,9.0,51.0
2021-08-07,Wayanad,1.0,13.0
2021-08-07,total,,
2021-08-08,Alappuzha,5.0,10.0
2021-08-08,Ernakulam,11.0,19.0
2021-08-08,Idukki,0.0,0.0
2021-08-08,Kannur,5.0,8.0
2021-08-08,Kasaragod,1.0,17.0
2021-08-08,Kollam,2.0,5.0
2021-08-08,Kottayam,0.0,0.0
2021-08-08,Kozhikode,2.0,6.0
2021-08-08,Malappuram,11.0,94.0
2021-08-08,Palakkad,2.0,39.0
2021-08-08,Pathanamthitta,2.0,3.0
2021-08-08,Thiruvananthapuram,1.0,1.0
2021-08-08,Thrissur,9.0,51.0
2021-08-08,Wayanad,1.0,13.0
2021-08-08,total,,
2021-08-09,Alappuzha,5.0,10.0
2021-08-09,Ernakulam,11.0,19.0
2021-08-09,Idukki,0.0,0.0
2021-08-09,Kannur,5.0,8.0
2021-08-09,Kasaragod,1.0,17.0
2021-08-09,Kollam,2.0,5.0
2021-08-09,Kottayam,0.0,0.0
2021-08-09,Kozhikode,2.0,6.0
2021-08-09,Malappuram,11.0,94.0
2021-08-09,Palakkad,2.0,39.0
2021-08-09,Pathanamthitta,2.0,3.0
2021-08-09,Thiruvananthapuram,1.0,1.0
2021-08-09,Thrissur,9.0,51.0
2021-08-09,Wayanad,1.0,13.0
2021-08-09,total,,
2021-08-10,Alappuzha,5.0,10.0
2021-08-10,Ernakulam,11.0,19.0
2021-08-10,Idukki,0.0,0.0
2021-08-10,Kannur,5.0,8.0
2021-08-10,Kasaragod,1.0,17.0
2021-08-10,Kollam,2.0,5.0
2021-08-10,Kottayam,0.0,0.0
2021-08-10,Kozhikode,2.0,6.0
2021-08-10,Malappuram,11.0,94.0
2021-08-10,Palakkad,2.0,39.0
2021-08-10,Pathanamthitta,2.0,3.0
2021-08-10,Thiruvananthapuram,1.0,1.0
2021-08-10,Thrissur,9.0,51.0
2021-08-10,Wayanad,1.0,13.0
2021-08-10,total,,
2021-08-11,Alappuzha,5.0,10.0
2021-08-11,Ernakulam,11.0,19.0
2021-08-11,Idukki,0.0,0.0
2021-08-11,Kannur,5.0,8.0
2021-08-11,Kasaragod,1.0,17.0
2021-08-11,Kollam,2.0,5.0
2021-08-11,Kottayam,0.0,0.0
2021-08-11,Kozhikode,2.0,6.0
2021-08-11,Malappuram,11.0,94.0
2021-08-11,Palakkad,2.0,39.0
2021-08-11,Pathanamthitta,2.0,3.0
2021-08-11,Thiruvananthapuram,1.0,1.0
2021-08-11,Thrissur,9.0,51.0
2021-08-11,Wayanad,1.0,13.0
2021-08-11,total,,
2021-09-22,Alappuzha,41.0,93.0
2021-09-22,Ernakulam,69.0,163.0
2021-09-22,Idukki,20.0,35.0
2021-09-22,Kannur,18.0,24.0
2021-09-22,Kasaragod,2.0,4.0
2021-09-22,Kollam,29.0,47.0
2021-09-22,Kottayam,48.0,102.0
2021-09-22,Kozhikode,37.0,71.0
2021-09-22,Malappuram,10.0,14.0
2021-09-22,Palakkad,14.0,18.0
2021-09-22,Pathanamthitta,27.0,56.0
2021-09-22,Thiruvananthapuram,30.0,53.0
2021-09-22,Thrissur,60.0,119.0
2021-09-22,Wayanad,17.0,42.0
2021-09-22,total,,
2021-09-23,Alappuzha,41.0,93.0
2021-09-23,Ernakulam,69.0,163.0
2021-09-23,Idukki,20.0,35.0
2021-09-23,Kannur,18.0,24.0
2021-09-23,Kasaragod,2.0,4.0
2021-09-23,Kollam,29.0,47.0
2021-09-23,Kottayam,48.0,102.0
2021-09-23,Kozhikode,37.0,71.0
2021-09-23,Malappuram,10.0,14.0
2021-09-23,Palakkad,14.0,18.0
2021-09-23,Pathanamthitta,27.0,56.0
2021-09-23,Thiruvananthapuram,30.0,53.0
2021-09-23,Thrissur,60.0,119.0
2021-09-23,Wayanad,17.0,42.0
2021-09-23,total,,
2021-09-24,Alappuzha,41.0,93.0
2021-09-24,Ernakulam,69.0,163.0
2021-09-24,Idukki,20.0,35.0
2021-09-24,Kannur,18.0,24.0
2021-09-24,Kasaragod,2.0,4.0
2021-09-24,Kollam,29.0,47.0
2021-09-24,Kottayam,48.0,102.0
2021-09-24,Kozhikode,37.0,71.0
2021-09-24,Malappuram,10.0,14.0
2021-09-24,Palakkad,14.0,18.0
2021-09-24,Pathanamthitta,27.0,56.0
2021-09-24,Thiruvananthapuram,30.0,53.0
2021-09-24,Thrissur,60.0,119.0
2021-09-24,Wayanad,17.0,42.0
2021-09-24,total,,
2021-09-25,Alappuzha,41.0,93.0
2021-09-25,Ernakulam,69.0,163.0
2021-09-25,Idukki,20.0,35.0
2021-09-25,Kannur,18.0,24.0
2021-09-25,Kasaragod,2.0,4.0
2021-09-25,Kollam,29.0,47.0
2021-09-25,Kottayam,48.0,102.0
2021-09-25,Kozhikode,37.0,71.0
2021-09-25,Malappuram,10.0,14.0
2021-09-25,Palakkad,14.0,18.0
2021-09-25,Pathanamthitta,27.0,56.0
2021-09-25,Thiruvananthapuram,30.0,53.0
2021-09-25,Thrissur,60.0,119.0
2021-09-25,Wayanad,17.0,42.0
2021-09-25,total,,
2021-09-26,Alappuzha,41.0,93.0
2021-09-26,Ernakulam,69.0,163.0
2021-09-26,Idukki,20.0,35.0
2021-09-26,Kannur,18.0,24.0
2021-09-26,Kasaragod,2.0,4.0
2021-09-26,Kollam,29.0,47.0
2021-09-26,Kottayam,48.0,102.0
2021-09-26,Kozhikode,37.0,71.0
2021-09-26,Malappuram,10.0,14.0
2021-09-26,Palakkad,14.0,18.0
2021-09-26,Pathanamthitta,27.0,56.0
2021-09-26,Thiruvananthapuram,30.0,53.0
2021-09-26,Thrissur,60.0,119.0
2021-09-26,Wayanad,17.0,42.0
2021-09-26,total,,
2021-09-27,Alappuzha,41.0,93.0
2021-09-27,Ernakulam,69.0,163.0
2021-09-27,Idukki,20.0,35.0
2021-09-27,Kannur,18.0,24.0
2021-09-27,Kasaragod,2.0,4.0
2021-09-27,Kollam,29.0,47.0
2021-09-27,Kottayam,48.0,102.0
2021-09-27,Kozhikode,37.0,71.0
2021-09-27,Malappuram,10.0,14.0
2021-09-27,Palakkad,14.0,18.0
2021-09-27,Pathanamthitta,27.0,56.0
2021-09-27,Thiruvananthapuram,30.0,53.0
2021-09-27,Thrissur,60.0,119.0
2021-09-27,Wayanad,17.0,42.0
2021-09-27,total,,
2021-09-28,Alappuzha,36.0,63.0
2021-09-28,Ernakulam,61.0,142.0
2021-09-28,Idukki,23.0,37.0
2021-09-28,Kannur,9.0,10.0
2021-09-28,Kasaragod,4.0,5.0
2021-09-28,Kollam,26.0,44.0
2021-09-28,Kottayam,46.0,102.0
2021-09-28,Kozhikode,31.0,53.0
2021-09-28,Malappuram,5.0,6.0
2021-09-28,Palakkad,7.0,15.0
2021-09-28,Pathanamthitta,27.0,55.0
2021-09-28,Thiruvananthapuram,23.0,38.0
2021-09-28,Thrissur,53.0,147.0
2021-09-28,Wayanad,17.0,28.0
2021-09-28,total,,
2021-09-29,Alappuzha,36.0,63.0
2021-09-29,Ernakulam,61.0,142.0
2021-09-29,Idukki,23.0,37.0
2021-09-29,Kannur,9.0,10.0
2021-09-29,Kasaragod,4.0,5.0
2021-09-29,Kollam,26.0,44.0
2021-09-29,Kottayam,46.0,102.0
2021-09-29,Kozhikode,31.0,53.0
2021-09-29,Malappuram,5.0,6.0
2021-09-29,Palakkad,7.0,15.0
2021-09-29,Pathanamthitta,27.0,55.0
2021-09-29,Thiruvananthapuram,23.0,38.0
2021-09-29,Thrissur,53.0,147.0
2021-09-29,Wayanad,17.0,28.0
2021-09-29,total,,
2021-09-30,Alappuzha,36.0,63.0
2021-09-30,Ernakulam,61.0,142.0
2021-09-30,Idukki,23.0,37.0
2021-09-30,Kannur,9.0,10.0
2021-09-30,Kasaragod,4.0,5.0
2021-09-30,Kollam,26.0,44.0
2021-09-30,Kottayam,46.0,102.0
2021-09-30,Kozhikode,31.0,53.0
2021-09-30,Malappuram,5.0,6.0
2021-09-30,Palakkad,7.0,15.0
2021-09-30,Pathanamthitta,27.0,55.0
2021-09-30,Thiruvananthapuram,23.0,38.0
2021-09-30,Thrissur,53.0,147.0
2021-09-30,Wayanad,17.0,28.0
2021-09-30,total,,
2021-10-01,Alappuzha,36.0,63.0
2021-10-01,Ernakulam,61.0,142.0
2021-10-01,Idukki,23.0,37.0
2021-10-01,Kannur,9.0,10.0
2021-10-01,Kasaragod,4.0,5.0
2021-10-01,Kollam,26.0,44.0
2021-10-01,Kottayam,46.0,102.0
2021-10-01,Kozhikode,31.0,53.0
2021-10-01,Malappuram,5.0,6.0
2021-10-01,Palakkad,7.0,15.0
2021-10-01,Pathanamthitta,27.0,55.0
2021-10-01,Thiruvananthapuram,23.0,38.0
2021-10-01,Thrissur,53.0,147.0
2021-10-01,Wayanad,17.0,28.0
2021-10-01,total,,
2021-10-02,Alappuzha,36.0,63.0
2021-10-02,Ernakulam,61.0,142.0
2021-10-02,Idukki,23.0,37.0
2021-10-02,Kannur,9.0,10.0
2021-10-02,Kasaragod,4.0,5.0
2021-10-02,Kollam,26.0,44.0
2021-10-02,Kottayam,46.0,102.0
2021-10-02,Kozhikode,31.0,53.0
2021-10-02,Malappuram,5.0,6.0
2021-10-02,Palakkad,7.0,15.0
2021-10-02,Pathanamthitta,27.0,55.0
2021-10-02,Thiruvananthapuram,23.0,38.0
2021-10-02,Thrissur,53.0,147.0
2021-10-02,Wayanad,17.0,28.0
2021-10-02,total,,
2021-10-03,Alappuzha,36.0,63.0
2021-10-03,Ernakulam,61.0,142.0
2021-10-03,Idukki,23.0,37.0
2021-10-03,Kannur,9.0,10.0
2021-10-03,Kasaragod,4.0,5.0
2021-10-03,Kollam,26.0,44.0
2021-10-03,Kottayam,46.0,102.0
2021-10-03,Kozhikode,31.0,53.0
2021-10-03,Malappuram,5.0,6.0
2021-10-03,Palakkad,7.0,15.0
2021-10-03,Pathanamthitta,27.0,55.0
2021-10-03,Thiruvananthapuram,23.0,38.0
2021-10-03,Thrissur,53.0,147.0
2021-10-03,Wayanad,17.0,28.0
2021-10-03,total,,
2021-10-04,Alappuzha,36.0,63.0
2021-10-04,Ernakulam,61.0,142.0
2021-10-04,Idukki,23.0,37.0
2021-10-04,Kannur,9.0,10.0
2021-10-04,Kasaragod,4.0,5.0
2021-10-04,Kollam,26.0,44.0
2021-10-04,Kottayam,46.0,102.0
2021-10-04,Kozhikode,31.0,53.0
2021-10-04,Malappuram,5.0,6.0
2021-10-04,Palakkad,7.0,15.0
2021-10-04,Pathanamthitta,27.0,55.0
2021-10-04,Thiruvananthapuram,23.0,38.0
2021-10-04,Thrissur,53.0,147.0
2021-10-04,Wayanad,17.0,28.0
2021-10-04,total,,
2021-10-05,Alappuzha,36.0,63.0
2021-10-05,Ernakulam,61.0,142.0
2021-10-05,Idukki,23.0,37.0
2021-10-05,Kannur,9.0,10.0
2021-10-05,Kasaragod,4.0,5.0
2021-10-05,Kollam,26.0,44.0
2021-10-05,Kottayam,46.0,102.0
2021-10-05,Kozhikode,31.0,53.0
2021-10-05,Malappuram,5.0,6.0
2021-10-05,Palakkad,7.0,15.0
2021-10-05,Pathanamthitta,27.0,55.0
2021-10-05,Thiruvananthapuram,23.0,38.0
2021-10-05,Thrissur,53.0,147.0
2021-10-05,Wayanad,17.0,28.0
2021-10-05,total,,
2021-10-06,Alappuzha,36.0,63.0
2021-10-06,Ernakulam,61.0,142.0
2021-10-06,Idukki,23.0,37.0
2021-10-06,Kannur,9.0,10.0
2021-10-06,Kasaragod,4.0,5.0
2021-10-06,Kollam,26.0,44.0
2021-10-06,Kottayam,46.0,102.0
2021-10-06,Kozhikode,31.0,53.0
2021-10-06,Malappuram,5.0,6.0
