date,positive_cases,recovered,new_persons_in_surveillance,new_persons_in_home_ins_isolation,new_persons_in_hospital_isolation,daily_deaths,deaths_declared_as_per_appeal,pending_deaths
2020-10-04,8553,4851,20598,17200,3398,23,,
2020-10-05,5042,4640,16528,13564,2964,23,,
2020-10-06,7871,4981,20183,17739,2444,25,,
2020-10-11,9347,8924,18126,14468,3658,25,,
2020-10-13,8764,7723,18868,15943,2925,21,,
2020-10-14,6244,7792,15199,12680,2519,20,,
2020-10-15,7789,7082,17070,14522,2548,23,,
2020-10-16,7283,6767,16926,14150,2776,24,,
2020-10-17,9016,7991,17167,14196,2971,26,,
2020-10-18,7631,8410,17853,15058,2795,22,,
2020-10-19,5022,7469,16099,13704,2395,21,,
2020-10-20,6591,7375,20343,17751,2592,24,,
2020-10-21,8369,6839,16904,14005,2899,26,,
2020-10-22,7482,7593,17203,14039,3164,23,,
2020-10-24,8253,6468,20435,17006,3429,25,,
2020-10-25,6843,7649,282568,259651,22917,26,,
2020-10-26,4287,7107,18095,15121,2974,20,,
2020-10-29,7020,8474,17559,14672,2887,26,,
2020-10-30,6638,7828,17971,15350,2621,28,,
2020-10-31,7983,7330,21248,17919,3329,27,,
2020-11-01,7025,8511,20123,17456,2667,28,,
2020-11-02,4138,7108,16076,13639,2437,21,,
2020-11-04,8516,8206,20846,17874,2972,28,,
2020-11-05,6820,7699,19694,16683,3011,26,,
2020-11-06,7002,7854,20159,17490,2669,27,,
2020-11-07,7201,7120,18034,15589,2445,28,,
2020-11-08,5440,6853,21019,18800,2219,24,,
2020-11-09,3593,5983,15401,13420,1981,22,,
2020-11-10,6010,6698,19042,17003,2039,28,,
2020-11-11,7007,7252,18994,16966,2028,29,,
2020-11-12,5537,6119,18628,16635,1993,25,,
2020-11-13,5804,6201,20250,18120,2130,26,,
2020-11-14,6357,6793,19926,17746,2180,26,,
2020-11-15,4581,6684,19249,17286,1963,21,,
2020-11-17,5792,6620,21318,19965,1353,27,,
2020-11-18,6419,7066,17500,15389,2111,28,,
2020-11-19,5722,6860,19485,17354,2131,26,,
2020-11-21,5772,6719,19532,17686,1846,25,,
2020-11-23,3757,5425,15268,13717,1551,22,,
2020-11-24,5420,5149,20393,18904,1489,24,,
2020-11-25,6491,5770,20980,19127,1853,26,,
2020-11-26,5378,5970,18710,16819,1891,27,,
2020-11-27,3966,4544,17850,16256,1594,23,,
2020-11-28,6250,5275,21234,19533,1701,25,,
2020-11-29,5643,5861,25261,23421,1840,27,,
2020-11-30,3382,6055,17372,15891,1481,21,,
2020-12-01,5375,6151,18948,17454,1494,26,,
2020-12-02,6316,5924,20976,19260,1716,28,,
2020-12-04,5718,5496,22842,21116,1726,29,,
2020-12-06,4777,5217,20218,18575,1643,28,,
2020-12-07,3272,4705,19735,18382,1353,23,,
2020-12-08,5032,4735,310345,296204,14141,31,,
2020-12-09,4875,4647,20725,19226,1499,35,,
2020-12-12,5949,5268,19796,18370,1426,32,,
2020-12-13,4698,5258,21349,19669,1680,29,,
2020-12-14,2707,4481,15129,13735,1394,24,,
2020-12-15,5218,5066,14739,13382,1357,33,,
2020-12-17,4969,4970,19959,18396,1563,27,,
2020-12-18,5456,4701,18558,17088,1470,23,,
2020-12-19,6293,4749,16216,14742,1474,29,,
2020-12-20,5711,4471,16185,14792,1393,30,,
2020-12-21,3423,4494,12707,11395,1312,27,,
2020-12-22,6049,5057,18994,17553,1441,27,,
2020-12-23,6169,4808,15916,14434,1482,22,,
2020-12-24,5177,4801,15912,14267,1645,22,,
2020-12-25,5397,4506,13059,11692,1367,16,,
2020-12-26,3527,3782,13044,11983,1061,21,,
2020-12-27,4905,3463,12813,11672,1141,25,,
2020-12-29,5887,5029,17039,15909,1130,24,,
2020-12-31,5215,5376,15540,14165,1375,30,,
2021-01-01,4991,5111,16038,14654,1384,23,,
2021-01-02,5328,4985,13681,12458,1223,21,,
2021-01-05,5615,4922,10528,9446,1082,24,,
2021-01-06,6394,5110,13573,12221,1352,25,,
2021-01-07,5051,5638,12321,10942,1379,25,,
2021-01-08,5142,5325,14596,13295,1301,23,,
2021-01-10,4545,4659,11000,9845,1155,23,,
2021-01-12,5507,4270,11465,10335,1130,25,,
2021-01-13,6004,5158,12397,13730,1333,26,,
2021-01-14,5490,4337,12280,10459,1821,19,,
2021-01-15,5624,4603,12571,11263,1308,23,,
2021-01-16,5960,5011,15011,13656,1355,27,,
2021-01-17,5005,4408,13002,11785,1217,21,,
2021-01-18,3346,3921,12276,11029,1247,17,,
2021-01-20,6815,7364,12743,11283,1460,18,,
2021-01-21,6334,6229,14204,12722,1482,21,,
2021-01-22,6753,6108,15032,13488,1544,19,,
2021-01-23,6960,5283,14282,13000,1282,23,,
2021-01-24,6036,5173,11868,10415,1453,20,,
2021-01-26,6293,5290,12657,11372,1285,19,,
2021-01-28,5771,5594,13792,12191,1601,19,,
2021-01-29,6268,6398,12136,10640,1496,22,,
2021-01-31,5266,5730,11886,10556,1330,21,,
2021-02-01,3459,5215,10281,9076,1205,17,,
2021-02-02,5716,5747,11816,10667,1149,16,,
2021-02-04,6102,6341,16177,14710,1467,17,,
2021-02-05,5610,6653,15796,14256,1540,19,,
2021-02-06,5942,6178,15685,14290,1395,16,,
2021-02-07,6075,5948,15703,14433,1270,19,,
2021-02-08,3742,5959,15791,14527,1264,16,,
2021-02-09,5214,6475,23696,22517,1179,19,,
2021-02-10,5980,5745,15013,13835,1178,18,,
2021-02-11,5281,5692,19733,18605,1128,16,,
2021-02-12,5397,5332,17830,16536,1294,18,,
2021-02-13,5471,5835,16314,15196,1118,16,,
2021-02-14,4612,4692,15953,14716,1237,15,,
2021-02-15,2884,5073,13394,12432,962,13,,
2021-02-16,4937,5439,16751,15680,1071,18,,
2021-02-17,4892,4832,15555,14553,1002,16,,
2021-02-18,4584,5193,14745,13614,1131,14,,
2021-02-19,4505,4854,17304,16211,1093,15,,
2021-02-20,4650,5841,13719,12770,949,13,,
2021-02-21,4070,4345,13889,12923,966,15,,
2021-02-22,2212,5037,11733,10908,825,16,,
2021-02-24,4106,5885,10393,9487,906,17,,
2021-02-25,3677,4652,12259,11354,905,14,,
2021-02-26,3671,4142,12629,11728,901,14,,
2021-02-27,3792,4650,12919,12108,811,18,,
2021-02-28,3254,4333,12990,12200,790,15,,
2021-03-01,1938,3475,9735,9024,711,13,,
2021-03-02,2938,3512,10584,9949,635,16,,
2021-03-03,2765,4031,9136,8453,683,15,,
2021-03-05,2776,3638,9590,8930,660,16,,
2021-03-06,2791,3517,10470,9854,616,16,,
2021-03-07,2100,4039,11438,10782,656,13,,
2021-03-08,1412,3030,9040,8424,616,12,,
2021-03-09,2316,4386,9742,9233,509,16,,
2021-03-12,1780,3377,10578,10082,496,14,,
2021-03-13,2035,3256,8729,8258,471,12,,
2021-03-14,1792,3238,9657,9185,472,15,,
2021-03-16,1970,2884,9129,8689,440,15,,
2021-03-17,2098,2815,8099,7626,473,13,,
2021-03-20,2078,2211,10892,10465,427,15,,
2021-03-21,1875,2251,9388,8978,410,13,,
2021-03-22,1239,1766,8826,8399,427,12,,
2021-03-23,1985,2172,9124,8683,441,10,,
2021-03-25,1989,1865,9736,9202,534,12,,
2021-03-26,1825,1917,8579,8060,519,14,,
2021-03-27,2055,2084,9880,9397,483,14,,
2021-03-28,2216,1853,10933,10409,524,12,,
2021-03-29,1549,1897,10060,9573,487,11,,
2021-03-30,2389,1946,9945,9447,498,16,,
2021-03-31,2653,2039,10652,10051,601,15,,
2021-04-01,2798,1835,10232,9694,538,11,,
2021-04-02,2508,2287,12449,11765,684,14,,
2021-04-04,2802,2173,11303,10749,554,10,,
2021-04-05,2357,1866,12664,11981,683,12,,
2021-04-06,3502,1898,12201,11551,650,14,,
2021-04-10,6194,2584,14472,13490,982,17,,
2021-04-11,6986,2358,14762,13629,1133,16,,
2021-04-12,5692,2474,15763,14493,1270,11,,
2021-04-13,7515,2959,17232,15943,1289,20,,
2021-04-14,8778,2642,17233,15849,1384,22,,
2021-04-15,8126,2700,16700,15221,1479,20,,
2021-04-16,10031,3792,20088,18477,1611,21,,
2021-04-18,18257,4565,28755,26839,1916,25,,
2021-04-20,19577,3880,36658,34188,2470,28,,
2021-04-24,26685,7067,51330,47854,3476,25,,
2021-04-25,28469,8122,50966,47687,3279,30,,
2021-05-01,35636,15493,70183,65508,4675,48,,
2021-05-02,31959,16296,60429,57058,3371,49,,
2021-05-03,26011,19519,45520,42429,3091,45,,
2021-05-05,41953,23106,56385,52517,3868,58,,
2021-05-06,42464,27152,65266,61633,3633,63,,
2021-05-11,37290,32978,51106,47099,4007,79,,
2021-05-12,43529,34600,63490,59897,3593,95,,
2021-05-13,39955,33733,70444,66586,3858,97,,
2021-05-14,34694,31319,65176,61158,4018,93,,
2021-05-15,32680,29442,57013,53039,3974,96,,
2021-05-16,29704,34296,51654,48014,3640,89,,
2021-05-17,21402,99651,45480,41850,3630,87,,
2021-05-19,32762,48413,55236,51346,3890,112,,
2021-05-20,30491,44369,52500,48528,3972,128,,
2021-05-21,29673,41032,49995,46471,3524,142,,
2021-05-22,28514,45400,47820,44437,3383,176,,
2021-05-23,25820,37316,48469,44863,3606,188,,
2021-05-24,17821,36039,33752,30504,3248,196,,
2021-05-25,29803,33397,38323,35020,3303,177,,
2021-05-26,28798,35525,48686,44863,3823,151,,
2021-05-27,24166,30539,48509,44508,4001,181,,
2021-05-28,22318,26270,43062,39385,3677,194,,
2021-05-29,23513,28100,38698,35074,3624,198,,
2021-05-30,19894,29013,38034,34668,3366,186,,
2021-05-31,12300,28867,28366,25485,2881,174,,
2021-06-01,19760,24117,27933,25249,2684,194,,
2021-06-02,19661,29708,36349,33509,2840,213,,
2021-06-03,18853,26569,32755,29848,2907,153,,
2021-06-04,16229,25860,31463,28529,2934,135,,
2021-06-05,17328,24003,29195,26546,2649,209,,
2021-06-06,14672,21429,29310,26864,2446,227,,
2021-06-07,9313,21921,22217,19920,2297,211,,
2021-06-08,15567,20019,23189,20679,2510,124,,
2021-06-09,16204,20237,28509,25982,2527,156,,
2021-06-10,14424,17994,29402,26582,2820,194,,
2021-06-11,14233,15355,26291,23616,2675,173,,
2021-06-12,13832,18172,26263,24131,2132,171,,
2021-06-13,11584,17856,24729,22420,2309,206,,
2021-06-14,7719,16743,18582,16667,1915,161,,
2021-06-15,12246,13536,19173,17012,2161,166,,
2021-06-17,12469,13614,23490,20998,2492,88,,
2021-06-18,11361,12147,21679,19344,2335,90,,
2021-06-19,12443,13145,22684,20402,2282,115,,
2021-06-20,11647,12459,26628,24331,2297,112,,
2021-06-21,7449,13596,18209,16318,1891,94,,
2021-06-22,12617,11730,20564,18593,1971,141,,
2021-06-23,12787,13683,25959,23467,2492,150,,
2021-06-24,12078,11469,26327,23882,2445,136,,
2021-06-25,11546,11056,392633,366650,25983,118,,
2021-06-26,12118,11124,29851,27908,1943,118,,
2021-06-27,10905,12351,24145,22235,1910,62,,
2021-06-28,8063,11529,19621,17685,1936,110,,
2021-06-29,13550,10283,22294,20315,1979,104,,
2021-06-30,13658,11808,26789,24555,2234,142,,
2021-07-01,12868,11564,25202,23039,2163,124,,
2021-07-04,12100,11551,27401,25383,2018,76,,
2021-07-05,8037,11346,25643,23774,1869,102,,
2021-07-06,14373,10751,18869,16961,1908,142,,
2021-07-07,15600,11629,30342,28124,2218,148,,
2021-07-08,13772,11414,37567,35033,2534,142,,
2021-07-09,13563,10454,31040,28840,2200,130,,
2021-07-10,14087,11867,31511,29307,2204,109,,
2021-07-11,12220,12502,32441,30162,2279,97,,
2021-07-12,7798,11447,20727,18865,1862,100,,
2021-07-13,14539,10331,23833,22048,1785,124,,
2021-07-14,15637,12974,29908,27535,2373,128,,
2021-07-15,13773,12370,28797,26382,2415,87,,
2021-07-16,13750,10697,27920,25666,2254,130,,
2021-07-18,13956,13613,30534,28529,2005,81,,
2021-07-19,9931,13206,24648,22511,2137,58,,
2021-07-20,16848,12052,27427,25378,2049,104,,
2021-07-22,12818,13454,30003,27466,2537,122,,
2021-07-23,17518,11067,30631,28390,2241,132,,
2021-07-24,18531,15507,27642,25435,2207,98,,
2021-07-25,17466,15247,38278,35881,2397,66,,
2021-07-26,11586,14912,28746,26527,2219,135,,
2021-07-27,22129,13415,29438,27087,2351,156,,
2021-07-28,22056,17761,38559,35434,3125,131,,
2021-07-29,22064,16649,35627,32818,2809,128,,
2021-07-30,20772,14651,37896,35092,2804,116,,
2021-07-31,20624,16865,32462,29517,2945,80,,
2021-08-01,20728,17792,34582,32180,2402,56,,
2021-08-02,13984,15923,33025,30475,2550,118,,
2021-08-04,22414,19478,38893,36057,2836,108,,
2021-08-06,19948,19480,35683,33357,2326,187,,
2021-08-08,18607,20108,32274,29946,2328,93,,
2021-08-09,13049,20004,29945,27820,2125,105,,
2021-08-10,21119,18493,29083,26982,2101,152,,
2021-08-12,21445,20723,36119,33560,2559,160,,
2021-08-13,20452,16856,36614,34250,2364,114,,
2021-08-14,19451,19104,35115,32708,2407,105,,
2021-08-15,18582,20089,33756,31691,2065,102,,
2021-08-16,12294,18542,27194,25119,2075,142,,
2021-08-17,21613,18556,38377,27881,2409,127,,
2021-08-18,21427,18731,35995,33770,2225,179,,
2021-08-19,21116,19296,37675,35392,2283,197,,
2021-08-20,20224,17142,36208,34087,2121,99,,
2021-08-21,17106,20846,33053,31152,1901,83,,
2021-08-22,10402,25586,24621,22917,1704,66,,
2021-08-25,31445,20271,38891,36452,2439,215,,
2021-08-26,30077,18997,47815,44925,2890,162,,
2021-08-27,32801,18573,49640,46539,3101,179,,
2021-08-28,31265,21468,52686,49894,2792,153,,
2021-08-29,29836,22088,50031,47365,2666,75,,
2021-08-30,19622,22563,42283,39642,2641,132,,
2021-08-31,30203,20687,36804,34106,2698,115,,
2021-09-01,32803,21610,47509,44282,3227,173,,
2021-09-03,29322,22938,47940,45111,2829,131,,
2021-09-05,26701,28900,50444,47840,2604,74,,
2021-09-07,25772,27320,34424,31960,2464,189,,
2021-09-08,30196,27579,37969,35382,2587,181,,
2021-09-10,25010,23535,59564,57152,2412,177,,
2021-09-11,20487,26155,42381,40109,2272,181,,
2021-09-12,20240,29710,37979,35986,1993,67,,
2021-09-15,17681,25588,24254,22536,1718,208,,
2021-09-17,23260,20388,36284,34385,1899,131,,
2021-09-19,19653,26711,32141,30235,1906,152,,
2021-09-20,15692,22223,26502,24995,1507,92,,
2021-09-21,15768,21367,29037,27361,1676,214,,
2021-09-22,19675,19702,32350,30649,1701,142,,
2021-09-23,19682,20510,39005,37316,1689,152,,
2021-09-24,17983,15054,37506,35699,1807,127,,
2021-09-26,15951,17658,34766,33454,1312,165,,
2021-09-27,11699,17763,28585,27267,1318,58,,
2021-09-28,11196,18849,24543,23156,1387,149,,
2021-09-29,12161,17862,25116,23832,1284,155,,
2021-09-30,15914,16758,25706,24502,1204,122,,
2021-10-01,13834,13767,24167,22945,1222,95,,
2021-10-02,13217,14437,24751,23373,1378,121,,
2021-10-03,12297,16333,21677,20576,1101,74,,
2021-10-04,8850,17007,19301,18282,1019,149,,
2021-10-06,12616,14516,21525,20607,918,134,,
2021-10-07,12288,15808,23045,22029,1016,141,,
2021-10-09,9470,12881,21729,20802,927,101,,
2021-10-11,6996,16576,16027,15350,677,84,,
2021-10-13,11079,9972,19745,19055,690,123,,
2021-10-14,9246,10952,20631,19860,771,96,,
2021-10-15,8867,9872,17835,10754,781,67,,
2021-10-17,7555,10773,16583,15682,901,74,,
2021-10-19,7643,10488,13777,12923,854,77,,
2021-10-20,11150,8592,18612,17905,707,82,,
2021-10-21,8733,9855,18121,17454,667,118,,
2021-10-22,9361,9401,17970,17145,825,99,172.0,292.0
2021-10-23,8909,8780,16821,16096,725,65,142.0,257.0
2021-10-24,8538,11366,16444,15899,545,71,81.0,211.0
2021-10-25,6664,9010,14436,13812,624,53,9.0,219.0
2021-10-26,7163,6960,19348,18734,614,90,51.0,341.0
2021-10-27,9445,6723,17155,16536,619,93,199.0,330.0
2021-10-28,7738,5460,15738,15095,643,56,110.0,542.0
2021-10-29,7722,6648,16402,15888,514,86,109.0,276.0
2021-10-30,7427,7166,15955,15358,597,62,39.0,257.0
2021-10-31,7167,6439,14674,14159,515,14,7.0,146.0
2021-11-02,6444,8424,9413,9183,230,45,55.0,87.0
2021-11-03,7312,8484,12718,12392,326,51,239.0,72.0
2021-11-04,7545,5936,12084,11611,473,55,60.0,21.0
2021-11-05,6580,7085,9790,9348,442,46,111.0,157.0
2021-11-06,6546,6934,12801,12469,332,50,231.0,186.0
2021-11-07,7124,7488,11615,11288,327,21,27.0,153.0
2021-11-12,6674,7022,14203,13777,426,59,412.0,0.0
2021-11-13,6468,6468,20997,20652,345,23,151.0,0.0
2021-11-16,5516,6705,9945,9519,426,39,171.0,0.0
2021-11-17,6849,6046,12092,11749,343,61,327.0,0.0
2021-11-21,5080,7908,11435,11166,269,40,156.0,0.0
2021-11-23,4972,5978,9865,9489,376,57,313.0,0.0
2021-11-25,5987,5094,9509,9234,275,56,328.0,0.0
2021-11-26,4677,6632,10395,10110,285,33,355.0,0.0
2021-11-27,4741,5144,8859,8547,312,28,526.0,0.0
2021-11-29,3382,5779,6352,6107,245,59,58.0,0.0
2021-11-30,4723,5370,9613,9331,282,19,158.0,0.0
2021-12-01,5405,4538,10415,10140,275,96,307.0,0.0
2021-12-02,4700,4128,15853,15538,315,66,254.0,0.0
2021-12-03,4995,4463,13529,13254,275,44,225.0,0.0
2021-12-05,4450,4606,11373,11117,256,23,138.0,0.0
2021-12-07,4656,5180,10121,9850,271,28,106.0,0.0
