date,district,cumulative_under_observation,cumulative_under_home_isolation,cumulative_hospitalized,new_hospitalized
2020-09-04,Kozhikode,15118,13415.0,1703,233
2020-09-04,Wayanad,2892,2611.0,281,63
2020-09-04,Kannur,12210,11260.0,950,103
2020-09-04,Kasaragod,6058,5315.0,743,89
2020-09-04,total,197937,180743.0,17194,1750
2020-09-05,Thiruvananthapuram,21574,18037.0,3537,506
2020-09-05,Kollam,14522,13284.0,1238,162
2020-09-05,Pathanamthitta,5978,5118.0,860,177
2020-09-05,Alappuzha,9575,8409.0,1166,105
2020-09-05,Kottayam,16289,14915.0,1374,185
2020-09-05,Idukki,4578,4357.0,221,34
2020-09-05,Ernakulam,19663,18009.0,1654,277
2020-09-05,Thrissur,10838,9399.0,1439,186
2020-09-05,Palakkad,10302,9795.0,507,66
2020-09-05,Malappuram,48652,47252.0,1400,181
2020-09-05,Kozhikode,14897,13209.0,1688,265
2020-09-05,Wayanad,2908,2618.0,290,41
2020-09-05,Kannur,12363,11373.0,990,188
2020-09-05,Kasaragod,5981,5123.0,858,150
2020-09-05,total,198120,180898.0,17222,2523
2020-09-06,Thiruvananthapuram,22300,18790.0,3510,576
2020-09-06,Kollam,15550,14307.0,1243,174
2020-09-06,Pathanamthitta,6007,5080.0,927,167
2020-09-06,Alappuzha,9705,8435.0,1270,130
2020-09-06,Kottayam,16630,15283.0,1347,119
2020-09-06,Idukki,4767,4533.0,234,35
2020-09-06,Ernakulam,20357,18646.0,1711,208
2020-09-06,Thrissur,10048,8607.0,1441,165
2020-09-06,Palakkad,10378,9860.0,518,108
2020-09-06,Malappuram,48142,46711.0,1431,149
2020-09-06,Kozhikode,15200,13523.0,1677,228
2020-09-06,Wayanad,2637,2348.0,289,32
2020-09-06,Kannur,12471,11400.0,1071,188
2020-09-06,Kasaragod,6104,5266.0,838,131
2020-09-06,total,200296,182789.0,17507,2410
2020-09-07,Thiruvananthapuram,22804,19318.0,3486,308
2020-09-07,Kollam,15889,14628.0,1261,140
2020-09-07,Pathanamthitta,6015,5109.0,906,128
2020-09-07,Alappuzha,9317,7855.0,1462,219
2020-09-07,Kottayam,16764,15370.0,1394,195
2020-09-07,Idukki,5066,4844.0,222,21
2020-09-07,Ernakulam,20741,18987.0,1754,208
2020-09-07,Thrissur,9872,8506.0,1366,135
2020-09-07,Palakkad,10199,9601.0,598,155
2020-09-07,Malappuram,46986,45528.0,1458,201
2020-09-07,Kozhikode,15550,13885.0,1665,206
2020-09-07,Wayanad,2602,2303.0,299,29
2020-09-07,Kannur,12842,11625.0,1217,207
2020-09-07,Kasaragod,6004,4962.0,1042,233
2020-09-07,total,200651,182521.0,18130,2385
2020-09-08,Thiruvananthapuram,23009,19559.0,3450,347
2020-09-08,Kollam,17138,15841.0,1297,112
2020-09-08,Pathanamthitta,6063,5206.0,857,48
2020-09-08,Alappuzha,9141,7758.0,1383,75
2020-09-08,Kottayam,17391,15993.0,1398,128
2020-09-08,Idukki,5374,5111.0,263,54
2020-09-08,Ernakulam,20890,19187.0,1703,159
2020-09-08,Thrissur,9953,8973.0,980,178
2020-09-08,Palakkad,9785,9144.0,641,129
2020-09-08,Malappuram,42231,40740.0,1491,287
2020-09-08,Kozhikode,15782,14088.0,1694,273
2020-09-08,Wayanad,2462,2168.0,294,22
2020-09-08,Kannur,13052,11692.0,1360,203
2020-09-08,Kasaragod,6579,5503.0,1076,61
2020-09-08,total,198850,180963.0,17887,2076
2020-09-09,Thiruvananthapuram,23403,19908.0,3495,432
2020-09-09,Kollam,18315,16869.0,1446,237
2020-09-09,Pathanamthitta,6143,5265.0,878,159
2020-09-09,Alappuzha,9120,7670.0,1450,217
2020-09-09,Kottayam,17967,16508.0,1459,147
2020-09-09,Idukki,5581,5289.0,292,55
2020-09-09,Ernakulam,21324,19636.0,1688,137
2020-09-09,Thrissur,10957,9887.0,1070,279
2020-09-09,Palakkad,9830,9107.0,723,156
2020-09-09,Malappuram,42284,40671.0,1613,258
2020-09-09,Kozhikode,16098,14257.0,1841,303
2020-09-09,Wayanad,2375,2082.0,293,25
2020-09-09,Kannur,13120,11649.0,1471,249
2020-09-09,Kasaragod,6284,5123.0,1161,97
2020-09-09,total,202801,183921.0,18880,2751
2020-09-10,Thiruvananthapuram,23406,19801.0,3605,362
2020-09-10,Kollam,17539,15908.0,1631,249
2020-09-10,Pathanamthitta,6207,5180.0,1027,190
2020-09-10,Alappuzha,9137,7530.0,1607,240
2020-09-10,Kottayam,18641,17109.0,1532,168
2020-09-10,Idukki,5926,5586.0,340,65
2020-09-10,Ernakulam,22389,20637.0,1752,190
2020-09-10,Thrissur,11099,9907.0,1192,181
2020-09-10,Palakkad,9231,8376.0,855,167
2020-09-10,Malappuram,42618,40890.0,1728,258
2020-09-10,Kozhikode,16570,14660.0,1910,272
2020-09-10,Wayanad,2613,2226.0,387,107
2020-09-10,Kannur,12832,11360.0,1472,125
2020-09-10,Kasaragod,6168,4958.0,1210,117
2020-09-10,total,204376,184128.0,20248,2691
2020-09-12,Thiruvananthapuram,23841,20058.0,3783,364
2020-09-12,Kollam,18456,16601.0,1855,265
2020-09-12,Pathanamthitta,6383,5226.0,1157,93
2020-09-12,Alappuzha,9554,7753.0,1801,200
2020-09-12,Kottayam,18873,17115.0,1758,204
2020-09-12,Idukki,6543,6186.0,357,27
2020-09-12,Ernakulam,23010,21239.0,1771,188
2020-09-12,Thrissur,11070,9727.0,1343,213
2020-09-12,Palakkad,8783,7656.0,1127,175
2020-09-12,Malappuram,36710,34759.0,1951,294
2020-09-12,Kozhikode,17375,15212.0,2163,332
2020-09-12,Wayanad,2896,2406.0,490,59
2020-09-12,Kannur,13868,12382.0,1486,122
2020-09-12,Kasaragod,5938,4803.0,1135,40
2020-09-12,total,203300,181123.0,22177,2576
2020-09-13,Thiruvananthapuram,24170,20220.0,3950,549
2020-09-13,Kollam,19975,18151.0,1824,187
2020-09-13,Pathanamthitta,6560,5514.0,1046,122
2020-09-13,Alappuzha,9559,7767.0,1792,162
2020-09-13,Kottayam,19671,17866.0,1805,158
2020-09-13,Idukki,6801,6387.0,414,80
2020-09-13,Ernakulam,23278,21437.0,1841,276
2020-09-13,Thrissur,11161,9795.0,1366,163
2020-09-13,Palakkad,9373,8151.0,1222,155
2020-09-13,Malappuram,33795,31703.0,2092,344
2020-09-13,Kozhikode,18055,15760.0,2295,242
2020-09-13,Wayanad,2940,2423.0,517,64
2020-09-13,Kannur,13908,12546.0,1362,103
2020-09-13,Kasaragod,5243,4130.0,1113,79
2020-09-13,total,204489,181850.0,22639,2684
2020-09-15,Thiruvananthapuram,25094,21400.0,3694,433
2020-09-15,Kollam,21212,19499.0,1713,142
2020-09-15,Pathanamthitta,6771,5866.0,905,47
2020-09-15,Alappuzha,9768,7863.0,1905,106
2020-09-15,Kottayam,20171,18357.0,1814,101
2020-09-15,Idukki,7041,6576.0,465,72
2020-09-15,Ernakulam,23482,21652.0,1830,204
2020-09-15,Thrissur,10871,9440.0,1431,161
2020-09-15,Palakkad,9329,8067.0,1262,159
2020-09-15,Malappuram,32617,30416.0,2201,280
2020-09-15,Kozhikode,19240,16618.0,2622,409
2020-09-15,Wayanad,2945,2436.0,509,63
2020-09-15,Kannur,14468,13193.0,1275,129
2020-09-15,Kasaragod,5132,4131.0,1001,18
2020-09-15,total,208141,185514.0,22627,2324
2020-09-16,Thiruvananthapuram,25282,21474.0,3808,544
2020-09-16,Kollam,22168,20362.0,1806,249
2020-09-16,Pathanamthitta,6982,6079.0,903,146
2020-09-16,Alappuzha,10485,8491.0,1994,335
2020-09-16,Kottayam,20051,18201.0,1850,156
2020-09-16,Idukki,7376,6881.0,495,54
2020-09-16,Ernakulam,23829,22076.0,1753,203
2020-09-16,Thrissur,11018,9593.0,1425,180
2020-09-16,Palakkad,8546,7183.0,1363,223
2020-09-16,Malappuram,32851,30515.0,2336,250
2020-09-16,Kozhikode,19754,17046.0,2708,355
2020-09-16,Wayanad,2970,2395.0,575,78
2020-09-16,Kannur,14668,13555.0,1113,139
2020-09-16,Kasaragod,5057,4107.0,950,75
2020-09-16,total,211037,187958.0,23079,2987
2020-09-17,Thiruvananthapuram,25430,21529.0,3901,454
2020-09-17,Kollam,22080,20384.0,1696,161
2020-09-17,Pathanamthitta,7180,6137.0,1043,244
2020-09-17,Alappuzha,11071,8896.0,2175,316
2020-09-17,Kottayam,20018,18134.0,1884,155
2020-09-17,Idukki,7360,6869.0,491,45
2020-09-17,Ernakulam,23595,21742.0,1853,327
2020-09-17,Thrissur,11130,9677.0,1453,172
2020-09-17,Palakkad,8701,7244.0,1457,211
2020-09-17,Malappuram,33926,31482.0,2444,324
2020-09-17,Kozhikode,20032,17178.0,2854,441
2020-09-17,Wayanad,3006,2448.0,558,70
2020-09-17,Kannur,15125,14094.0,1031,112
2020-09-17,Kasaragod,4941,3945.0,996,49
2020-09-17,total,213595,189759.0,23836,3081
2020-09-19,Thiruvananthapuram,25541,21495.0,4046,523
2020-09-19,Kollam,23933,22207.0,1726,270
2020-09-19,Pathanamthitta,7417,6471.0,946,96
2020-09-19,Alappuzha,11476,9069.0,2407,271
2020-09-19,Kottayam,19927,17924.0,2003,170
2020-09-19,Idukki,7704,7137.0,567,117
2020-09-19,Ernakulam,22958,20970.0,1988,246
2020-09-19,Thrissur,11407,9783.0,1624,268
2020-09-19,Palakkad,8881,7271.0,1610,197
2020-09-19,Malappuram,33884,31407.0,2477,279
2020-09-19,Kozhikode,21113,18065.0,3048,348
2020-09-19,Wayanad,3223,2598.0,625,87
2020-09-19,Kannur,15315,14324.0,991,143
2020-09-19,Kasaragod,4916,3813.0,1103,55
2020-09-19,total,217695,192534.0,25161,3070
2020-09-20,Thiruvananthapuram,26519,22530.0,3989,474
2020-09-20,Kollam,24563,22855.0,1708,211
2020-09-20,Pathanamthitta,7464,6418.0,1046,220
2020-09-20,Alappuzha,11953,9497.0,2456,336
2020-09-20,Kottayam,20681,18381.0,2300,214
2020-09-20,Idukki,7933,7457.0,476,38
2020-09-20,Ernakulam,22523,20522.0,2001,209
2020-09-20,Thrissur,11538,9879.0,1659,228
2020-09-20,Palakkad,8945,7199.0,1746,282
2020-09-20,Malappuram,34724,32082.0,2642,284
2020-09-20,Kozhikode,21630,18498.0,3132,372
2020-09-20,Wayanad,3372,2733.0,639,70
2020-09-20,Kannur,15440,14415.0,1025,150
2020-09-20,Kasaragod,4894,3795.0,1099,66
2020-09-20,total,222179,196261.0,25918,3154
2020-09-21,Thiruvananthapuram,26587,22592.0,3995,494
2020-09-21,Kollam,22085,20482.0,1603,125
2020-09-21,Pathanamthitta,7557,6431.0,1126,166
2020-09-21,Alappuzha,12093,9717.0,2376,122
2020-09-21,Kottayam,20233,18026.0,2207,217
2020-09-21,Idukki,8300,7769.0,531,55
2020-09-21,Ernakulam,22263,20191.0,2072,270
2020-09-21,Thrissur,11463,9717.0,1746,200
2020-09-21,Palakkad,8577,6831.0,1746,172
2020-09-21,Malappuram,34929,32440.0,2489,294
2020-09-21,Kozhikode,21458,18322.0,3136,297
2020-09-21,Wayanad,3392,2743.0,649,57
2020-09-21,Kannur,15120,14121.0,999,110
2020-09-21,Kasaragod,4850,3747.0,1103,102
2020-09-21,total,218907,193129.0,25778,2681
2020-09-23,Thiruvananthapuram,26816,22726.0,4090,421
2020-09-23,Kollam,22250,20419.0,1831,333
2020-09-23,Pathanamthitta,7696,6662.0,1034,153
2020-09-23,Alappuzha,12421,9939.0,2482,401
2020-09-23,Kottayam,19755,17668.0,2087,132
2020-09-23,Idukki,8165,7575.0,590,88
2020-09-23,Ernakulam,22600,20441.0,2159,201
2020-09-23,Thrissur,11562,9736.0,1826,289
2020-09-23,Palakkad,7763,5987.0,1776,188
2020-09-23,Malappuram,29586,27021.0,2565,201
2020-09-23,Kozhikode,21526,18262.0,3264,428
2020-09-23,Wayanad,3520,2848.0,672,46
2020-09-23,Kannur,14907,13742.0,1165,173
2020-09-23,Kasaragod,4062,3114.0,948,77
2020-09-23,total,212629,186140.0,26489,3131
2020-09-24,Thiruvananthapuram,26977,22837.0,4140,497
2020-09-24,Kollam,21629,19811.0,1818,188
2020-09-24,Pathanamthitta,7770,6650.0,1120,204
2020-09-24,Alappuzha,12440,9621.0,2819,487
2020-09-24,Kottayam,19386,17251.0,2135,162
2020-09-24,Idukki,7851,7254.0,597,78
2020-09-24,Ernakulam,22596,20372.0,2224,254
2020-09-24,Thrissur,11233,9256.0,1977,285
2020-09-24,Palakkad,8146,6279.0,1867,212
2020-09-24,Malappuram,30356,27791.0,2565,303
2020-09-24,Kozhikode,22046,18709.0,3337,402
2020-09-24,Wayanad,3444,2787.0,657,89
2020-09-24,Kannur,14478,13386.0,1092,129
2020-09-24,Kasaragod,3966,3194.0,772,51
2020-09-24,total,212318,185198.0,27120,3341
2020-09-25,Thiruvananthapuram,27355,23293.0,4062,324
2020-09-25,Kollam,20718,18865.0,1853,241
2020-09-25,Pathanamthitta,7862,6690.0,1172,167
2020-09-25,Alappuzha,12597,9527.0,3070,446
2020-09-25,Kottayam,19218,17045.0,2173,214
2020-09-25,Idukki,8495,7855.0,640,113
2020-09-25,Ernakulam,23957,21647.0,2310,357
2020-09-25,Thrissur,11313,9263.0,2050,301
2020-09-25,Palakkad,8167,6274.0,1893,279
2020-09-25,Malappuram,31718,29356.0,2362,313
2020-09-25,Kozhikode,22634,19257.0,3377,335
2020-09-25,Wayanad,3386,2755.0,631,57
2020-09-25,Kannur,14323,13251.0,1072,159
2020-09-25,Kasaragod,3948,3187.0,761,104
2020-09-25,total,215691,188265.0,27426,3410
2020-09-26,Thiruvananthapuram,28339,24268.0,4071,471
2020-09-26,Kollam,21056,19094.0,1962,289
2020-09-26,Pathanamthitta,7957,6879.0,1078,30
2020-09-26,Alappuzha,13046,9769.0,3277,544
2020-09-26,Kottayam,20104,17912.0,2192,185
2020-09-26,Idukki,8717,8079.0,638,66
2020-09-26,Ernakulam,24737,22303.0,2434,349
2020-09-26,Thrissur,11585,9392.0,2193,319
2020-09-26,Palakkad,8615,6723.0,1892,210
2020-09-26,Malappuram,33076,30773.0,2303,288
2020-09-26,Kozhikode,23079,19807.0,3272,374
2020-09-26,Wayanad,3370,2741.0,629,89
2020-09-26,Kannur,14290,13177.0,1113,137
2020-09-26,Kasaragod,4359,3530.0,829,95
2020-09-26,total,222330,194447.0,27883,3446
2020-09-27,Thiruvananthapuram,29051,24867.0,4184,646
2020-09-27,Kollam,21452,19359.0,2093,317
2020-09-27,Pathanamthitta,8036,6921.0,1115,166
2020-09-27,Alappuzha,13366,10016.0,3350,408
2020-09-27,Kottayam,20798,18349.0,2449,226
2020-09-27,Idukki,9385,8755.0,630,92
2020-09-27,Ernakulam,23924,21356.0,2568,322
2020-09-27,Thrissur,11891,9586.0,2305,354
2020-09-27,Palakkad,9057,7202.0,1855,204
2020-09-27,Malappuram,34387,32017.0,2370,318
2020-09-27,Kozhikode,23586,20338.0,3248,360
2020-09-27,Wayanad,3747,3132.0,615,97
2020-09-27,Kannur,14708,13598.0,1110,165
2020-09-27,Kasaragod,4443,3565.0,878,77
2020-09-27,total,227831,199061.0,28770,3752
2020-09-28,Thiruvananthapuram,29269,25190.0,4079,356
2020-09-28,Kollam,19887,17825.0,2062,158
2020-09-28,Pathanamthitta,8004,6880.0,1124,173
2020-09-28,Alappuzha,13817,10387.0,3430,476
2020-09-28,Kottayam,20604,18032.0,2572,238
2020-09-28,Idukki,9547,8891.0,656,65
2020-09-28,Ernakulam,25297,22604.0,2693,340
2020-09-28,Thrissur,12016,9688.0,2328,285
