date,total_cases,history_of_travel,history_of_contact,no_history
2020-11-18,6419,98,677,677
2020-11-19,5722,117,643,643
2020-11-20,6028,105,654,654
2020-11-21,5772,91,639,639
2020-11-22,5254,94,662,662
2020-11-23,3757,76,377,377
2020-11-24,5420,83,592,592
2020-11-25,6491,95,663,663
2020-11-26,5378,76,582,582
2020-11-27,3966,81,488,488
2020-11-28,6250,92,628,628
2020-11-29,5643,87,571,571
2020-11-30,3382,64,405,405
2020-12-01,5375,114,617,617
2020-12-02,6316,98,634,634
2020-12-03,5376,81,527,527
2020-12-04,5718,95,572,572
2020-12-05,5848,53,613,613
2020-12-06,4777,84,534,534
2020-12-07,3272,49,328,328
2020-12-08,5032,98,517,517
2020-12-09,4875,94,508,508
2020-12-10,4470,77,498,498
2020-12-11,4642,73,496,496
2020-12-12,5949,83,646,646
2020-12-13,4698,93,528,528
2020-12-14,2707,51,328,328
2020-12-15,5218,72,622,622
2020-12-16,6185,66,770,770
2020-12-17,4969,99,541,541
2020-12-18,5456,91,606,606
2020-12-19,6293,73,593,593
2020-12-20,5711,111,501,501
2020-12-21,3423,48,359,359
2020-12-22,6049,108,575,575
2020-12-23,6169,98,662,662
2020-12-24,5177,108,475,475
2020-12-25,5397,85,576,576
2020-12-26,3527,63,324,324
2020-12-27,4905,83,471,471
2020-12-28,3047,35,275,275
2020-12-29,5887,89,555,555
2020-12-30,6268,102,460,460
2020-12-31,5215,122,405,405
2021-01-01,4991,94,425,425
2021-01-02,5328,78,392,392
2021-01-03,4600,61,451,451
2021-01-04,3021,52,284,284
2021-01-05,5615,59,475,475
2021-01-06,6394,69,551,551
2021-01-07,5051,78,446,446
2021-01-08,5142,88,424,424
2021-01-09,5528,60,435,435
2021-01-10,4545,78,422,422
2021-01-11,3110,45,295,295
2021-01-12,5507,53,433,433
2021-01-13,6004,73,477,477
2021-01-14,5490,92,435,435
2021-01-15,5624,58,394,394
2021-01-16,5960,87,417,417
2021-01-17,5005,68,388,388
2021-01-18,3346,42,286,286
2021-01-19,6186,92,484,484
2021-01-20,6815,91,447,447
2021-01-21,6334,93,517,517
2021-01-22,6753,72,510,510
2021-01-23,6960,73,499,499
2021-01-24,6036,74,469,469
2021-01-26,6293,78,426,426
2021-01-27,5659,77,393,393
2021-01-28,5771,88,424,424
2021-01-29,6268,118,455,455
2021-01-30,6282,81,425,425
2021-01-31,5266,71,407,407
2021-02-01,3459,47,243,243
2021-02-02,5716,96,403,403
2021-02-03,6356,84,413,413
2021-02-04,6102,99,449,449
2021-02-05,5610,101,350,350
2021-02-06,5942,98,394,394
2021-02-07,6075,110,335,335
2021-02-08,3742,72,264,264
2021-02-09,5214,61,336,336
2021-02-10,5980,96,386,386
2021-02-11,5281,106,360,360
2021-02-12,5397,74,313,313
2021-02-13,5471,77,322,322
2021-02-14,4612,104,293,293
2021-02-15,2884,44,165,165
2021-02-16,4937,90,340,340
2021-02-17,4892,90,281,281
2021-02-18,4584,95,279,279
2021-02-19,4505,74,288,288
2021-02-20,4650,76,295,295
2021-02-21,4070,68,269,269
2021-02-22,2212,34,169,169
2021-02-23,4034,81,258,258
2021-02-24,4106,107,262,262
2021-02-25,3677,78,228,228
2021-02-26,3671,91,250,250
2021-02-27,3792,112,236,236
2021-02-28,3254,88,166,166
2021-03-01,1938,56,124,124
2021-03-02,2938,58,209,209
2021-03-03,2765,69,181,181
2021-03-04,2616,76,181,181
2021-03-05,2776,66,196,196
2021-03-06,2791,72,169,169
2021-03-07,2100,61,253,253
2021-03-08,1412,37,117,117
2021-03-09,2316,48,147,147
2021-03-10,2475,75,143,143
2021-03-11,2133,77,180,180
2021-03-12,1780,53,139,139
2021-03-13,2035,48,180,180
2021-03-14,1792,43,143,143
2021-03-15,1054,33,113,113
2021-03-16,1970,70,145,145
2021-03-17,2026,72,138,138
2021-03-18,1899,64,173,173
2021-03-19,1984,88,76,76
2021-03-20,2078,102,111,111
2021-03-21,1875,58,141,141
2021-03-22,1239,60,106,106
2021-03-23,1985,100,122,122
2021-03-24,2456,105,187,187
2021-03-25,1989,75,153,153
2021-03-26,1825,71,130,130
2021-03-27,2055,82,175,175
2021-03-28,2216,92,170,170
2021-03-29,1549,68,133,133
2021-03-30,2389,77,184,184
2021-03-31,2653,122,183,183
2021-04-01,2798,169,112,112
2021-04-02,2508,132,198,198
2021-04-03,2541,108,161,161
2021-04-04,2802,132,206,206
2021-04-05,2357,104,183,183
2021-04-06,3502,148,230,230
2021-04-07,3502,131,258,258
2021-04-08,4353,173,297,297
2021-04-09,5063,162,413,413
2021-04-10,6194,171,404,404
2021-04-11,6986,197,504,504
2021-04-12,5692,188,393,393
2021-04-13,7515,198,534,534
2021-04-14,8778,205,627,627
2021-04-15,8126,238,642,642
2021-04-16,10031,221,626,626
2021-04-17,13835,259,1019,1019
2021-04-18,18257,269,1159,1159
2021-04-19,13644,230,826,826
2021-04-20,19577,397,1275,1275
2021-04-21,22414,206,1332,1332
2021-04-22,26995,275,1730,1730
2021-04-23,28447,315,1756,1756
2021-04-24,26685,259,1757,1757
2021-04-25,28469,338,1768,1768
2021-04-26,21890,230,1502,1502
2021-04-27,32819,265,2049,2049
2021-04-28,35013,275,2167,2167
2021-04-29,38607,300,2620,2620
2021-04-30,37199,330,2169,2169
2021-05-01,35636,223,2136,2136
2021-05-02,31959,266,1912,1912
2021-05-03,26011,301,1524,1524
2021-05-04,37190,201,2728,2728
2021-05-05,41953,363,2577,2577
2021-05-06,42464,265,2579,2579
2021-05-11,37290,215,2676,2676
2021-05-12,43529,241,3010,3010
2021-05-13,39955,217,2788,2788
2021-05-14,34694,258,2076,2076
2021-05-15,32680,296,2316,2316
2021-05-16,29704,218,1951,1951
2021-05-17,21402,100,1608,1608
2021-05-18,31337,150,2157,2157
2021-05-19,32762,218,2008,2008
2021-05-20,30491,172,2042,2042
2021-05-21,29673,215,1976,1976
2021-05-22,28514,214,1830,1830
2021-05-23,25820,177,1328,1328
2021-05-24,17821,97,1090,1090
2021-05-25,29803,202,2005,2005
2021-05-26,28798,184,1663,1663
2021-05-27,24166,177,1707,1707
2021-05-28,22318,164,1175,1175
2021-05-29,23513,139,1272,1272
2021-05-30,19894,156,1083,1083
2021-05-31,12300,69,753,753
2021-06-01,19760,104,1189,1189
2021-06-02,19661,156,1081,1081
2021-06-03,18853,110,1143,1143
2021-06-04,16229,89,913,913
2021-06-05,17328,112,1007,1007
2021-06-06,14672,153,814,814
2021-06-07,9313,52,645,645
2021-06-08,15567,85,712,712
2021-06-09,16204,154,928,928
2021-06-10,14424,109,718,718
2021-06-11,14233,108,626,626
2021-06-12,13832,82,700,700
2021-06-13,11584,83,642,642
2021-06-14,7719,36,493,493
2021-06-15,12246,85,633,633
2021-06-16,13270,86,638,638
2021-06-17,12469,92,617,617
2021-06-18,11361,64,567,567
2021-06-19,12443,78,653,653
2021-06-20,11647,54,554,554
2021-06-21,7449,47,529,529
2021-06-22,12617,60,766,766
2021-06-23,12787,55,675,675
2021-06-24,12078,94,657,657
2021-06-25,11546,70,624,624
2021-06-26,12118,59,599,599
2021-06-27,10905,53,566,566
2021-06-28,8063,57,495,495
2021-06-29,13550,47,753,753
2021-06-30,13658,69,689,689
2021-07-01,12868,50,643,643
2021-07-02,12095,68,606,606
2021-07-03,12456,58,659,659
2021-07-04,12100,76,698,698
2021-07-05,8037,15,624,624
2021-07-06,14373,58,722,722
2021-07-07,15600,66,699,699
2021-07-08,13772,60,718,718
2021-07-09,13563,52,685,685
2021-07-10,14087,98,696,696
2021-07-11,12220,71,612,612
2021-07-12,7798,32,530,530
2021-07-13,14539,67,828,828
2021-07-14,15637,57,797,797
2021-07-15,13773,56,617,617
2021-07-16,13750,63,725,725
2021-07-17,16148,52,742,742
2021-07-18,13956,75,617,617
2021-07-19,9931,31,632,632
2021-07-20,16848,101,783,783
2021-07-21,17481,86,698,698
2021-07-22,12818,76,623,623
2021-07-23,17518,110,700,700
2021-07-24,18531,113,788,788
2021-07-25,17466,78,662,662
2021-07-26,11586,45,534,534
2021-07-27,22129,124,975,975
2021-07-28,22056,120,876,876
2021-07-29,22064,161,910,910
2021-07-30,20772,137,932,932
2021-07-31,20624,112,927,927
2021-08-01,20728,77,623,623
2021-08-02,13984,80,604,604
2021-08-03,23676,105,927,927
2021-08-04,22414,114,835,835
2021-08-05,22040,67,996,996
2021-08-06,19948,97,996,996
2021-08-07,20367,86,977,977
2021-08-08,18607,124,789,789
2021-08-09,13049,64,627,627
2021-08-10,21119,40,941,941
2021-08-11,23500,84,1258,1258
2021-08-12,21445,73,945,945
2021-08-13,20452,63,960,960
2021-08-14,19451,93,853,853
2021-08-15,18582,141,747,747
2021-08-16,12294,68,729,729
2021-08-17,21613,92,1181,1181
2021-08-18,21427,108,971,971
2021-08-19,21116,102,945,945
2021-08-20,20224,137,785,785
2021-08-21,17106,53,838,838
2021-08-22,10402,104,572,572
2021-08-23,13383,39,771,771
2021-08-24,24296,118,1313,1313
2021-08-25,31445,138,1576,1576
2021-08-26,30077,128,1195,1195
2021-08-27,32801,144,1260,1260
2021-08-28,31265,120,1158,1158
2021-08-29,29836,229,1137,1137
2021-08-30,19622,62,1061,1061
2021-08-31,30203,147,1521,1521
2021-09-01,32803,154,1161,1161
2021-09-02,32097,102,1441,1441
2021-09-03,29322,79,1251,1251
2021-09-05,26701,96,1046,1046
2021-09-06,19688,111,894,894
2021-09-07,25772,133,1261,1261
2021-09-08,30196,190,1259,1259
2021-09-09,26200,81,1006,1006
2021-09-10,25010,102,1012,1012
2021-09-11,20487,102,793,793
2021-09-12,20240,114,774,774
2021-09-14,15876,44,778,778
2021-09-15,17681,47,881,881
2021-09-16,22182,89,866,866
2021-09-17,23260,159,998,998
2021-09-18,19325,96,1038,1038
2021-09-19,19653,105,807,807
2021-09-20,15692,66,687,687
2021-09-21,15768,124,798,798
2021-09-22,19675,52,595,595
2021-09-23,19682,53,737,737
2021-09-24,17983,72,877,877
2021-09-25,16671,110,692,692
2021-09-26,15951,70,617,617
2021-09-27,11699,32,492,492
2021-09-28,11196,74,540,540
2021-09-29,12161,64,598,598
2021-09-30,15914,74,691,691
2021-10-01,13834,74,552,552
2021-10-02,13217,51,623,623
2021-10-03,12297,61,444,444
2021-10-04,8850,42,390,390
2021-10-05,9735,36,529,529
2021-10-06,12616,49,452,452
2021-10-07,12288,51,494,494
2021-10-08,10944,43,443,443
2021-10-09,9470,54,397,397
2021-10-11,6996,40,333,333
2021-10-12,7823,35,382,382
2021-10-13,11079,53,360,360
2021-10-14,9246,39,347,347
2021-10-15,8867,32,337,337
2021-10-16,7955,27,321,321
2021-10-17,7555,44,278,278
2021-10-18,6676,34,267,267
2021-10-19,7463,44,353,353
2021-10-20,11150,41,348,348
2021-10-21,8733,31,326,326
2021-10-22,9361,39,254,254
2021-10-23,8909,49,332,332
2021-10-24,8538,32,252,252
2021-10-25,6664,20,229,229
2021-10-26,7163,29,276,276
2021-10-27,9445,28,297,297
2021-10-28,7738,38,286,286
2021-10-29,7722,43,286,286
2021-10-30,7427,55,250,250
2021-10-31,7167,20,214,214
2021-11-01,5297,16,293,293
2021-11-02,6444,48,452,452
2021-11-03,7312,24,415,415
2021-11-04,7545,30,360,360
2021-11-05,6580,22,352,352
2021-11-06,6546,16,448,448
2021-11-07,7124,23,359,359
2021-11-08,5404,19,300,300
2021-11-09,6409,23,366,366
2021-11-10,7540,30,386,386
2021-11-12,6674,11,424,424
2021-11-13,6468,28,497,497
2021-11-14,5848,12,341,341
2021-11-15,4547,12,274,274
2021-11-16,5516,25,336,336
2021-11-17,6849,18,324,324
2021-11-18,6111,22,392,392
2021-11-19,5754,25,310,310
2021-11-20,6075,24,330,330
2021-11-21,5080,28,252,252
2021-11-22,3698,15,238,238
2021-11-23,4972,17,344,344
2021-11-24,4280,27,274,274
2021-11-25,5987,37,331,331
2021-11-26,4677,16,308,308
2021-11-27,4741,8,315,315
2021-11-29,3382,8,241,241
2021-11-30,4723,12,292,292
2021-12-01,5405,14,260,260
2021-12-02,4700,18,205,205
2021-12-03,4995,33,219,219
2021-12-04,4557,9,205,205
2021-12-05,4450,26,226,226
2021-12-06,3277,9,187,187
2021-12-07,4656,16,221,221
2021-12-08,5038,17,244,244
2021-12-09,4169,5,229,229
2021-12-10,3972,10,200,200
2021-12-11,3795,14,200,200
2021-12-12,3777,11,171,171
2021-12-13,2434,6,145,145
2021-12-14,3377,5,183,183
2021-12-15,4006,14,207,207
2021-12-16,3404,8,199,199
2021-12-17,3471,18,183,183
2021-12-18,3297,19,132,132
2021-12-19,2995,7,140,140
2021-12-20,2230,7,130,130
2021-12-21,2748,19,166,166
2021-12-22,3205,10,141,141
2021-12-23,2514,18,138,138
2021-12-24,2605,13,138,138
2021-12-25,2407,21,116,116
2021-12-26,1824,11,124,124
2021-12-27,1636,51,86,86
2021-12-28,2474,24,121,121
2021-12-29,2846,20,121,121
2021-12-30,2423,27,108,108
2021-12-31,2676,42,156,156
2022-01-01,2435,38,134,134
2022-01-02,2802,48,130,130
2022-01-03,2560,48,157,157
2022-01-04,3640,52,222,222
2022-01-05,4801,76,231,231
2022-01-06,4649,83,233,233
2022-01-07,5296,76,276,276
2022-01-10,5797,112,320,320
2022-01-11,9066,127,628,628
2022-01-12,12742,154,693,693
