date,international_cumulative,domestic_cumulative,total
2021-06-27,1594429.0,876116.0,2470545
2021-06-28,1597895.0,877785.0,2475680
2021-06-29,1602038.0,879181.0,2481219
2021-06-30,1607391.0,880342.0,2487733
2021-07-01,1612617.0,882280.0,2494897
2021-07-03,1622631.0,885604.0,2508235
2021-07-04,1627026.0,887651.0,2514677
2021-07-05,1631735.0,890129.0,2521864
2021-07-06,1636614.0,891989.0,2528603
2021-07-07,1641376.0,893297.0,2534673
2021-07-08,1645889.0,895085.0,2540974
2021-07-09,1650425.0,896724.0,2547149
2021-07-10,1656322.0,898410.0,2554732
2021-07-11,1661092.0,900596.0,2561688
2021-07-12,1665415.0,902843.0,2568258
2021-07-13,1670069.0,904368.0,2574437
2021-07-14,1674421.0,905753.0,2580174
2021-07-15,1678805.0,907342.0,2586147
2021-07-16,1683653.0,908754.0,2592407
2021-07-18,1694476.0,912296.0,2606772
2021-07-19,1699475.0,914406.0,2613881
2021-07-20,1704390.0,915938.0,2620328
2021-07-22,1713599.0,919134.0,2632733
2021-07-23,1716663.0,920506.0,2637169
2021-07-24,1720667.0,921551.0,2642218
2021-07-25,1724245.0,923390.0,2647635
2021-07-26,1727709.0,925575.0,2653284
2021-07-27,1731367.0,927316.0,2658683
2021-07-28,1735332.0,928865.0,2664197
2021-07-29,1738541.0,930443.0,2668984
2021-07-30,1742189.0,931972.0,2674161
2021-07-31,1747136.0,933653.0,2680789
2021-08-01,1751743.0,935870.0,2687613
2021-08-02,1755363.0,938348.0,2693711
2021-08-04,1762851.0,943767.0,2706618
2021-08-06,1770688.0,947978.0,2718666
2021-08-08,1780435.0,953899.0,2734334
2021-08-09,1785075.0,956790.0,2741865
2021-08-10,1789534.0,959147.0,2748681
2021-08-12,1800327.0,983605.0,2783932
2021-08-13,1805897.0,966418.0,2772315
2021-08-14,1812008.0,970017.0,2782025
2021-08-15,1817253.0,973170.0,2790423
2021-08-16,1822108.0,976459.0,2798567
2021-08-17,1827073.0,979338.0,2806411
2021-08-18,1831747.0,981216.0,2812963
2021-08-19,1837441.0,983401.0,2820842
2021-08-20,1843382.0,985507.0,2828889
2021-08-21,1843382.0,985507.0,2828889
2021-08-22,1855079.0,988959.0,2844038
2021-08-25,1866199.0,994010.0,2860209
2021-08-26,1870572.0,995223.0,2865795
2021-08-27,1874908.0,996657.0,2871565
2021-08-28,1881238.0,998082.0,2879320
2021-08-29,1886116.0,999529.0,2885645
2021-08-30,1890159.0,1001136.0,2891295
2021-08-31,1894127.0,1002764.0,2896891
2021-09-01,1899170.0,1003744.0,2902914
2021-09-03,1910846.0,1006556.0,2917402
2021-09-05,1925364.0,1010473.0,2935837
2021-09-07,1936458.0,1013524.0,2949982
2021-09-08,1941287.0,1014908.0,2956195
2021-09-10,1952187.0,1017678.0,2969865
2021-09-11,1960434.0,1019443.0,2979877
2021-09-12,1966115.0,1020753.0,2986868
2021-09-15,1976049.0,1023674.0,2999723
2021-09-17,1993737.0,1027515.0,3021252
2021-09-19,2006815.0,1030446.0,3037261
2021-09-20,2006815.0,1030446.0,3037261
2021-09-21,2016703.0,1033489.0,3050192
2021-09-22,2021137.0,1035047.0,3056184
2021-09-23,2025706.0,1036396.0,3062102
2021-09-24,2030752.0,1037721.0,3068473
2021-09-26,2038130.0,1039118.0,3077248
2021-09-27,2048839.0,1042163.0,3091002
2021-09-28,2053286.0,1043490.0,3096776
2021-09-29,2053286.0,1043490.0,3096776
2021-09-30,2064983.0,1046388.0,3111371
2021-10-01,2073373.0,1047622.0,3120995
2021-10-02,2073373.0,1047622.0,3120995
2021-10-03,2082878.0,1049567.0,3132445
2021-10-04,2097040.0,1053827.0,3150867
2021-10-06,2109051.0,1056756.0,3165807
2021-10-07,2115780.0,1058386.0,3174166
2021-10-09,2132674.0,1061459.0,3194133
2021-10-11,2146018.0,1065458.0,3211476
2021-10-13,2157925.0,1069099.0,3227024
2021-10-14,2157925.0,1069099.0,3227024
2021-10-15,2157925.0,1069099.0,3227024
2021-10-17,2171885.0,1072691.0,3244576
2021-10-19,2197184.0,1077233.0,3274417
2021-10-20,2208701.0,1081250.0,3289951
2021-10-21,2215688.0,1082532.0,3298220
2021-10-22,2224148.0,1083860.0,3308008
2021-10-23,2231926.0,1084937.0,3316863
2021-10-24,2231926.0,1084937.0,3316863
2021-10-25,2237218.0,1086521.0,3323739
2021-10-26,2248909.0,1087780.0,3336689
2021-10-27,2248909.0,1087780.0,3336689
2021-10-28,2261415.0,1089402.0,3350817
2021-10-29,2261415.0,1089402.0,3350817
2021-10-30,2268904.0,1090166.0,3359070
2021-10-31,2278911.0,1090919.0,3369830
2021-11-02,2301659.0,,2301659
2021-11-03,2307880.0,,2307880
2021-11-04,2307880.0,,2307880
2021-11-05,2322580.0,,2322580
2021-11-06,2322580.0,,2322580
2021-11-07,2322580.0,,2322580
2021-11-12,2376215.0,,2376215
2021-11-13,2376215.0,,2376215
2021-11-16,2409029.0,,2409029
2021-11-17,2416161.0,,2416161
2021-11-21,2440888.0,,2440888
2021-11-23,2464081.0,,2464081
2021-11-25,2464081.0,,2464081
2021-11-26,2464081.0,,2464081
2021-11-27,2490288.0,,2490288
2021-11-29,2511489.0,,2511489
2021-11-30,2511489.0,,2511489
2021-12-01,2511489.0,,2511489
2021-12-02,2533931.0,,2533931
2021-12-03,2544137.0,,2544137
2021-12-05,2554988.0,,2554988
2021-12-07,2584819.0,,2584819
