date,positive_cases,recovered,new_persons_in_surveillance,new_persons_in_home_ins_isolation,new_persons_in_hospital_isolation,daily_deaths,deaths_declared_as_per_appeal,pending_deaths
2020-08-17,44415,28898,162217,148793,13424,156,,
2020-08-18,46140,30029,164029,150332,13697,169,,
2020-08-19,47898,31394,165564,151931,13633,175,,
2020-08-20,50231,32611,169687,155928,13759,182,,
2020-08-21,52199,33828,11447,9299,2198,191,,
2020-08-22,54182,35247,11045,8917,2128,203,,
2020-08-23,56354,36539,13500,10801,2699,218,,
2020-08-24,58262,37649,9978,7912,2066,223,,
2020-08-25,59504,38887,10559,8682,1877,234,,
2020-08-26,61879,40343,10801,8967,1834,244,,
2020-08-27,64355,41694,13636,11538,2098,257,,
2020-08-28,66761,43761,12664,10199,2465,267,,
2020-08-29,69304,45858,9726,7185,2541,274,,
2020-08-30,71701,48083,11287,8924,2363,280,,
2020-08-31,73855,49849,10513,8135,2378,287,,
2020-09-01,75385,51542,9243,7432,1811,294,,
2020-09-02,76525,53653,8722,7256,1466,298,,
2020-09-03,78072,55782,8298,6859,1439,305,,
2020-09-04,79625,57732,8517,6814,1703,315,,
2020-09-05,82104,60448,14746,13996,1750,326,,
2020-09-06,84759,62559,10648,8125,2523,337,,
2020-09-07,87841,64755,11592,9182,2410,347,,
2020-09-08,89489,67001,10357,7372,2385,359,,
2020-09-09,92515,68863,12487,10411,2076,372,,
2020-09-10,95917,70921,12507,9756,2751,384,,
2020-09-11,99266,72578,12217,9526,2691,396,,
2020-09-12,102254,73904,12401,9712,2689,410,,
2020-09-13,105139,75848,11952,9376,2576,425,,
2020-09-14,108278,77703,12487,9803,2684,439,,
2020-09-15,110818,79813,11335,9122,2213,454,,
2020-09-16,114033,82345,11856,9532,2324,466,,
2020-09-17,117863,84608,14008,11021,2987,479,,
2020-09-18,122214,87345,11999,8918,3081,489,,
2020-09-19,126381,90089,15548,12266,3282,501,,
2020-09-20,131025,92951,13116,10046,3070,519,,
2020-09-21,135721,95702,13936,10782,3154,535,,
2020-09-22,138631,98724,11489,8808,2681,553,,
2020-09-23,142756,101731,15606,13176,2430,572,,
2020-09-24,148132,104682,14652,11521,3131,592,,
2020-09-25,154456,107850,14528,11187,3341,613,,
2020-09-26,160933,111331,15083,11673,3410,635,,
2020-09-27,167939,114530,19523,16077,3446,656,,
2020-09-28,175384,117921,15919,12167,3752,677,,
2020-09-29,179922,121268,17091,13836,3255,697,,
2020-09-30,187276,124688,16038,13132,2906,719,,
2020-10-01,196106,128224,18965,15497,3468,742,,
2020-10-02,204241,131052,19191,16041,3150,771,,
2020-10-03,213499,135144,18723,15124,3599,791,,
2020-10-04,221333,139620,16539,13114,3425,813,,
2020-10-05,229886,144471,20598,17200,3398,836,,
2020-10-06,234928,149111,16528,13564,2964,859,,
2020-10-07,242799,154092,20183,17739,2444,884,,
