date,total_positive_cases,active_cases,total_recovered,total_persons_in_surveillance,total_persons_in_home_ins_isolation,total_persons_in_hospital_isolation,total_deaths,total_deaths_declared_as_per_appeal,total_pending_deaths
2020-09-29,187276,61791,124688,236960,208258,28702,719,,
2020-09-30,196106,67061,128224,240884,211294,29590,742,,
2020-10-01,204241,72339,131052,243107,212849,30258,771,,
2020-10-02,213499,77482,135144,246631,215778,30853,791,,
2020-10-03,221333,80818,139620,251286,220218,31068,813,,
2020-10-04,229886,84497,144471,257707,226536,31171,836,,
2020-10-05,234928,84873,149111,258446,227942,2964,859,,
2020-10-06,242799,87738,154092,263094,233703,29391,884,,
2020-10-07,253405,92161,160253,267834,238331,29503,906,,
2020-10-08,258850,90579,167256,271439,240256,29383,930,,
2020-10-09,268100,91756,175304,273686,245261,28425,955,,
2020-10-10,279855,95918,182874,280387,251714,28673,978,,
2020-10-11,289202,96316,191798,284924,256172,28752,1003,,
2020-10-12,295132,94388,199634,281413,253104,28309,1025,,
2020-10-13,303896,95407,207357,282000,254841,27159,1046,,
2020-10-14,310140,93837,215149,278989,252645,26344,1066,,
2020-10-15,317929,94517,222231,274672,249001,25671,1089,,
2020-10-16,325212,95008,228998,276727,251145,25582,1113,,
2020-10-17,334228,96004,236989,276900,251935,24965,1139,,
2020-10-18,341859,95200,245399,280236,255696,24540,1161,,
2020-10-19,346881,92731,252868,277291,253482,23809,1182,,
2020-10-20,353472,91922,260243,282219,258747,23472,1206,,
2020-10-21,361841,93425,267082,280232,257216,23016,1232,,
2020-10-22,369323,93291,274675,280926,257733,23193,1255,,
2020-10-23,377834,95657,280793,280184,257404,22780,1281,,
2020-10-24,386087,97417,287261,283517,260062,23455,1306,,
2020-10-25,392930,96585,294910,16605,13166,3439,1332,,
2020-10-26,397217,93744,302017,283473,260675,22798,1352,,
2020-10-27,402674,92161,309032,283150,261563,21587,1376,,
2020-10-28,411464,93264,316692,290504,268506,21998,1403,,
2020-10-29,418484,91784,325166,291964,269424,22540,1429,,
2020-10-30,425122,90565,332994,288635,266953,21682,1457,,
2020-10-31,433105,91190,340324,291440,269059,22381,1484,,
2020-11-01,440130,89675,348835,293622,271499,22123,1512,,
2020-11-02,444268,86681,355943,293221,271744,21477,1533,,
2020-11-03,451130,84713,364745,296614,275844,20770,1559,,
2020-11-04,459646,84995,372951,302063,281100,20963,1587,,
2020-11-05,466466,84087,380650,302919,281568,21351,1613,,
2020-11-06,473468,83208,388504,307828,286680,21148,1640,,
2020-11-07,480669,83261,395624,307107,286322,20785,1668,,
2020-11-08,486109,81823,402477,314684,294358,20326,1692,,
2020-11-09,489702,79410,408460,316096,296208,19888,1714,,
2020-11-10,495712,78694,415158,316359,297041,19318,1742,,
2020-11-11,502719,78420,422410,315246,296212,19034,1771,,
2020-11-12,508256,77813,428529,315583,296773,18810,1796,,
2020-11-13,514060,77390,434730,316923,298448,18475,1822,,
2020-11-14,520417,76927,441523,319481,301535,17946,1848,,
2020-11-15,524998,74802,448207,322296,304463,17833,1869,,
2020-11-16,527708,70925,454774,319262,301739,17523,1888,,
2020-11-17,533500,70070,461394,320023,303218,16805,1915,,
2020-11-18,539919,69394,468460,318833,302330,16503,1943,,
2020-11-19,545641,68229,475320,318025,301547,16478,1969,,
2020-11-20,551669,67831,481718,315518,299089,16429,1997,,
2020-11-21,557441,66856,488437,318079,301749,16330,2022,,
2020-11-22,562695,65856,494664,321297,304891,16406,2049,,
2020-11-23,566452,64166,500089,314543,298395,16148,2071,,
2020-11-24,571872,64412,505238,314752,298902,15850,2095,,
2020-11-25,578363,65106,511008,314676,298616,16060,2121,,
2020-11-26,583741,64486,516978,317195,300925,16270,2148,,
2020-11-27,587707,63885,521522,313608,297531,16077,2171,,
2020-11-28,593957,64834,526797,312251,296223,16028,2196,,
2020-11-29,599600,64589,532658,315497,299601,15896,2223,,
2020-11-30,602982,61894,538713,311770,296094,15676,2244,,
2020-12-01,608357,61092,544864,310611,295494,15117,2270,,
2020-12-02,614673,61455,550788,309280,294018,15262,2298,,
2020-12-03,620049,61209,556378,311237,295981,15256,2329,,
2020-12-04,625767,61401,561874,314029,298929,15100,2358,,
2020-12-05,631615,61393,567694,315024,299962,15062,2390,,
2020-12-06,636392,60924,572911,314400,299469,14931,2418,,
2020-12-07,639664,59467,577616,309887,295304,14583,2441,,
2020-12-08,644696,59732,582351,21330,20057,1273,2472,,
2020-12-09,649571,59923,586998,309935,295771,14164,2507,,
2020-12-10,654041,59517,591845,316491,302567,13924,2533,,
2020-12-11,658683,59380,596593,315644,302102,13542,2562,,
2020-12-12,664632,60029,601861,315167,301833,13334,2594,,
2020-12-13,669330,59438,607119,316547,303150,13397,2623,,
2020-12-14,672037,57640,611600,310107,296920,13187,2647,,
2020-12-15,677255,57757,616666,304165,290987,13178,2680,,
2020-12-16,683440,58184,622394,299057,285919,13138,2707,,
2020-12-17,688409,58155,627364,296747,283389,13358,2734,,
2020-12-18,693865,58884,632065,294646,281217,13429,2757,,
2020-12-19,700158,60396,636814,289910,276377,13533,2786,,
2020-12-20,705869,61604,641285,287099,273398,13701,2816,,
2020-12-21,709292,60504,645779,280375,266765,13610,2843,,
2020-12-22,715341,61468,650836,279711,266178,13533,2870,,
2020-12-23,721510,62802,655644,274206,260645,13561,2892,,
2020-12-24,726687,63155,660445,270725,257013,13712,2914,,
2020-12-25,732084,64028,664951,264984,251299,13685,2930,,
2020-12-26,735611,63752,668733,259083,245823,13260,2951,,
2020-12-27,740516,65169,672196,256614,243465,13149,2976,,
2020-12-28,743563,64028,676368,250174,237460,12714,2990,,
2020-12-29,749450,64861,681397,249162,237076,12086,3014,,
2020-12-30,755718,65394,687104,247725,235609,12116,3042,,
2020-12-31,760933,65202,692480,246285,234053,12232,3072,,
2021-01-01,765924,65054,697591,243828,231831,11997,3095,,
2021-01-02,771252,65374,702576,240490,228679,11811,3116,,
2021-01-03,775852,65278,707244,236664,225295,11369,3141,,
2021-01-04,778873,63135,712389,232135,220699,11436,3160,,
2021-01-05,784488,63802,717311,190990,179868,11122,3184,,
2021-01-06,790882,65057,722421,192085,180947,11138,3209,,
2021-01-07,795933,64445,728060,193370,181935,11435,3234,,
2021-01-08,801075,64236,733384,198270,187104,11166,3257,,
2021-01-09,806603,64318,738808,202171,191116,11055,3279,,
2021-01-10,811148,64179,743467,203935,192981,10954,3302,,
2021-01-11,814258,63346,747389,199398,188616,10782,3322,,
2021-01-12,819765,64556,751659,199519,188973,10546,3347,,
2021-01-13,825769,65373,756817,200259,189550,10709,3373,,
2021-01-14,831259,66503,761154,201293,190389,10904,3392,,
2021-01-15,836883,67496,765757,202080,190999,11081,3415,,
2021-01-16,842843,68416,770768,205561,194467,11094,3442,,
2021-01-17,847848,68991,775176,209679,198502,11177,3463,,
2021-01-18,851194,68399,779097,209786,198681,11105,3480,,
2021-01-19,857380,70259,783393,209175,198170,11005,3506,,
2021-01-20,864195,69691,790757,209118,197656,11462,3524,,
2021-01-21,870529,69771,796986,209828,198107,11721,3545,,
2021-01-22,877282,70395,803094,211277,199404,11873,3564,,
2021-01-23,884242,72048,808377,211824,199889,11935,3587,,
2021-01-24,890278,72891,813550,214289,202063,12226,3607,,
2021-01-26,899932,71607,824446,214556,202609,11947,3643,,
2021-01-27,905591,72234,829452,214315,202196,12119,3663,,
2021-01-28,911362,72392,835046,214935,203126,11809,3682,,
2021-01-29,917630,72239,841444,215650,203898,11752,3704,,
2021-01-30,923912,71469,848476,217434,205926,11508,3722,,
2021-01-31,929178,70983,854206,218874,207392,11482,3743,,
2021-02-01,932637,69207,859421,218909,207791,11118,3760,,
2021-02-02,938353,69157,865168,218347,207408,10939,3776,,
2021-02-03,944709,69113,871548,218318,207315,11003,3796,,
2021-02-04,950811,68857,877889,214980,204124,10856,3813,,
2021-02-05,956421,67795,884542,215653,204693,10960,3832,,
2021-02-06,962363,67543,890720,219050,208113,10937,3848,,
2021-02-07,968438,67650,896668,224659,213774,10885,3867,,
2021-02-08,972180,65414,902627,224759,214095,10664,3883,,
2021-02-09,977394,64131,909102,233664,223434,10230,3902,,
2021-02-10,983374,64346,914847,234767,224378,10389,3920,,
2021-02-11,988655,63915,920539,236185,225803,10382,3936,,
2021-02-12,994052,63961,925871,241362,230942,10420,3954,,
2021-02-13,999523,63581,931706,244085,233951,10134,3970,,
2021-02-14,1004135,63484,936398,248669,238545,10124,3985,,
2021-02-15,1007019,61281,941471,250724,240859,9865,3998,,
2021-02-16,1011956,60761,946910,253595,244085,9510,4016,,
2021-02-17,1016848,60803,951742,257415,247984,9431,4032,,
2021-02-18,1021432,60178,956935,255857,246351,9506,4046,,
2021-02-19,1025937,59814,961789,254520,245329,9191,4061,,
2021-02-20,1030587,58606,967630,247780,238791,8989,4074,,
2021-02-21,1034657,58313,971975,246811,237660,9151,4089,,
2021-02-22,1036869,55468,977012,242070,233624,8446,4105,,
2021-02-23,1040903,54665,981835,235225,227142,8083,4119,,
2021-02-24,1045009,52869,987720,228416,220410,8006,4136,,
2021-02-25,1048686,51879,992372,223191,215245,7946,4150,,
2021-02-26,1052357,51390,996514,217959,210293,7666,4164,,
2021-02-27,1056149,50514,1001164,213247,205765,7482,4182,,
2021-02-28,1059403,49420,1005497,211044,203729,7315,4197,,
2021-03-01,1061341,47868,1008972,207915,200756,7159,4210,,
2021-03-02,1064279,47277,1012484,205315,198311,7004,4226,,
2021-03-03,1067044,45995,1016515,198672,191739,6933,4241,,
2021-03-04,1069660,44441,1020671,189112,182469,6643,4255,,
2021-03-05,1072436,43562,1024309,180107,173736,6371,4271,,
2021-03-06,1075227,42819,1027826,177062,170954,6108,4287,,
2021-03-07,1077327,40867,1031865,171616,165922,5694,4300,,
2021-03-08,1078739,39236,1034895,168505,162993,5512,4312,,
2021-03-09,1081055,37150,1039281,166107,160898,5209,4328,,
2021-03-10,1083530,35418,1043473,162766,157648,5118,4342,,
2021-03-11,1085663,33785,1047226,159401,154375,5026,4355,,
2021-03-12,1087443,32174,1050603,157589,152760,4829,4369,,
2021-03-13,1089478,30939,1053859,153813,149361,4452,4381,,
2021-03-14,1091270,29478,1057097,150312,145982,4330,4396,,
2021-03-15,1092324,27057,1060560,143461,139309,4152,4407,,
2021-03-16,1094294,26127,1063444,137223,133247,3976,4422,,
2021-03-17,1096392,25394,1066259,135904,131972,3932,4435,,
2021-03-18,1098291,25158,1068378,131924,128032,3892,4450,,
2021-03-19,1100275,25158,1070343,129938,126088,3850,4467,,
2021-03-20,1102353,25009,1072554,130019,126255,3764,4482,,
2021-03-21,1104228,24620,1074805,128237,124509,3728,4495,,
2021-03-22,1105467,24081,1076571,126125,122382,3743,4507,,
2021-03-23,1107452,23883,1078743,126263,122610,3653,4517,,
2021-03-24,1109908,24268,1080803,126817,123124,3693,4527,,
2021-03-25,1111897,24380,1082668,127105,123359,3746,4539,,
2021-03-26,1113722,24274,1084585,127542,123751,3791,4553,,
2021-03-27,1115777,24231,1086669,128286,124452,3834,4567,,
2021-03-28,1117993,24582,1088522,129264,125392,3872,4579,,
2021-03-29,1119542,24223,1090419,131085,127212,3873,4590,,
2021-03-30,1121931,24650,1092365,132355,128494,3861,4606,,
2021-03-31,1124584,25249,1094404,135075,131057,4018,4621,,
2021-04-01,1127382,26201,1096239,137299,133198,4101,4632,,
2021-04-02,1129890,26407,1098526,139837,135665,4172,4646,,
2021-04-03,1132431,27274,1100186,142761,138455,4306,4658,,
2021-04-04,1135233,27893,1102359,142854,138451,4403,4668,,
2021-04-05,1137590,28372,1104225,146346,141803,4543,4680,,
2021-04-06,1141092,29962,1106123,149368,144643,4725,4694,,
2021-04-07,1144594,31493,1108078,152136,147208,4928,4710,,
2021-04-08,1148947,33621,1110283,155683,150535,5148,4728,,
2021-04-09,1154010,36185,1112758,160181,154726,5455,4750,,
2021-04-10,1160204,39778,1115342,164894,158988,5906,4767,,
2021-04-11,1167190,44389,1117700,170810,164325,6485,4783,,
2021-04-12,1172882,47596,1120174,175856,168827,7029,4794,,
2021-04-13,1180397,52132,1123133,182589,175007,7582,4814,,
2021-04-14,1189175,58245,1125775,190199,181873,8326,4836,,
2021-04-15,1197301,63650,1128475,194808,185893,8915,4856,,
2021-04-16,1207332,69868,1132267,204933,195096,9837,4877,,
2021-04-17,1221167,80019,1135921,218542,208003,10539,4904,,
2021-04-18,1239424,93686,1140486,237036,225683,11353,4929,,
2021-04-19,1253068,103004,1144791,259439,247158,12281,4950,,
2021-04-20,1272645,118673,1148671,289185,275964,13221,4978,,
2021-04-21,1295059,135631,1154102,320237,305836,14401,5000,,
2021-04-22,1322054,156226,1160472,355209,339418,15791,5028,,
2021-04-23,1350501,178983,1166135,391463,374464,16999,5055,,
2021-04-24,1377186,198576,1173202,431587,413172,18415,5080,,
2021-04-25,1405655,218893,1181324,470558,450993,19565,5110,,
2021-04-26,1427545,232812,1189267,498196,477778,20418,5138,,
2021-04-27,1460364,247181,1207680,527662,506202,21460,5170,,
2021-04-28,1495377,266646,1223185,551133,528407,22726,5211,,
2021-04-29,1533984,284086,1244301,593840,569831,24009,5259,,
2021-04-30,1571183,303733,1261801,643529,619703,23826,5308,,
2021-05-01,1606819,323828,1277294,687843,662517,25326,5356,,
2021-05-02,1638778,339441,1293590,724611,698442,26169,5405,,
2021-05-03,1664789,345887,1313109,740135,712954,27181,5450,,
2021-05-04,1701979,356872,1339257,759744,731629,28115,5507,,
2021-05-05,1743932,375658,1362363,784193,755453,28740,5565,,
2021-05-06,1786396,390906,1389515,818411,788529,29882,5628,,
2021-05-11,1967405,423957,1537138,993313,959164,34149,5958,,
2021-05-12,2010934,432789,1571738,1001647,967211,34436,6053,,
2021-05-13,2050889,438913,1605471,1002443,967342,35101,6150,,
2021-05-14,2085583,442194,1636790,1014454,977257,37197,6243,,
2021-05-15,2118263,445334,1666232,1031271,994204,37067,6339,,
2021-05-16,2147967,440652,1700528,1043876,1006759,37117,6428,,
2021-05-17,2169369,362315,1800179,1019085,981370,37715,6515,,
2021-05-18,2200706,347626,1846105,46084,40859,5225,6612,,
2021-05-19,2233468,331860,1894518,1005084,964885,40199,6724,,
2021-05-20,2263959,317850,1938887,999338,960653,38685,6852,,
2021-05-21,2293632,306346,1979919,988009,949300,38709,6994,,
2021-05-22,2322146,289283,2025319,969946,931203,38743,7170,,
2021-05-23,2347966,277598,2062635,956865,917798,39067,7358,,
2021-05-24,2365787,259179,2098674,928541,889627,38914,7554,,
2021-05-25,2395590,255406,2132071,904178,826698,38740,7731,,
2021-05-26,2424388,248526,2167596,889902,850882,39020,7882,,
2021-05-27,2448554,241966,2198135,876584,836420,40164,8063,,
2021-05-28,2470872,237819,2224405,857227,818117,39110,8257,,
2021-05-29,2494385,233034,2252505,835866,796400,39466,8455,,
2021-05-30,2514279,223727,2281518,819417,780842,38575,8641,,
2021-05-31,2526579,206982,2310385,788202,749825,38377,8815,,
2021-06-01,2546339,202426,2334502,764008,726515,37493,9009,,
2021-06-02,2566000,192165,2364210,742157,705375,36782,9222,,
2021-06-03,2584853,184292,2390779,720028,683851,36177,9375,,
2021-06-04,2601082,174526,2416639,693284,657679,35605,9510,,
2021-06-05,2618410,167638,2440642,669815,634890,34925,9719,,
2021-06-06,2633082,160653,2462071,654698,619467,35231,9946,,
2021-06-07,2642395,147830,2483992,632868,593807,39061,10157,,
2021-06-08,2657962,143254,2504011,612155,579163,32992,10281,,
2021-06-09,2674166,139064,2524248,592079,559683,32396,10437,,
2021-06-10,2688590,135298,2542242,580417,548451,31966,10631,,
2021-06-11,2702823,134001,2557597,562253,530743,31510,10804,,
2021-06-12,2716655,129488,2575769,545000,513897,31103,10975,,
2021-06-13,2728239,123003,2593625,538215,507540,30675,11181,,
2021-06-14,2735958,113817,2610368,525331,495279,30052,11342,,
2021-06-15,2748204,112361,2623904,506437,477212,29225,11508,,
2021-06-16,2761474,109794,2639593,492340,463328,29012,11655,,
2021-06-17,2773943,108560,2653207,483823,455596,28227,11743,,
2021-06-18,2785304,107682,2665354,469522,441617,27905,11833,,
2021-06-19,2797747,106861,2678499,455621,427754,27867,11948,,
2021-06-20,2809394,105936,2690958,448037,421131,26906,12060,,
2021-06-21,2816843,99693,2704554,430728,403462,27266,12154,,
2021-06-22,2829460,100437,2716284,419051,392556,26495,12295,,
2021-06-23,2842247,99390,2729967,412116,385742,26374,12445,,
2021-06-24,2854325,99859,2741436,406706,380559,26147,12581,,
2021-06-25,2865871,100230,2752492,18074,15686,2388,12699,,
2021-06-26,2877989,101102,2763616,396863,370565,26298,12817,,
2021-06-27,2888894,99591,2775967,397093,371403,25690,12879,,
2021-06-28,2896957,96012,2787496,390230,364543,25687,12989,,
2021-06-29,2910507,99174,2797779,388083,362902,25181,13093,,
2021-06-30,2924165,100881,2809587,388903,364100,24803,13235,,
2021-07-01,2937033,102058,2821151,391232,366283,24949,13359,,
2021-07-02,2949128,103764,2831394,391753,367251,24113,13505,,
2021-07-04,2973684,104039,2855460,396826,372279,24547,13716,,
2021-07-05,2981721,100626,2866806,394627,370055,24572,13818,,
2021-07-06,2996094,104105,2877557,384439,360300,24139,13960,,
2021-07-07,3011694,107925,2889186,382843,358565,24278,14108,,
2021-07-08,3025466,110136,2900600,391444,366935,24509,14250,,
2021-07-09,3039029,113115,2911054,387496,362921,24575,14380,,
2021-07-10,3053116,115226,2922921,384493,359714,24779,14489,,
2021-07-11,3065336,114844,2935423,386876,362022,24854,14586,,
2021-07-12,3073134,111093,2946870,381673,356888,24785,14686,,
2021-07-13,3087673,115174,2957201,382260,357751,24509,14810,,
2021-07-14,3103310,117708,2970175,392170,367560,24610,14938,,
2021-07-15,3117083,119022,2982545,395560,370675,24885,15025,,
2021-07-16,3130833,121944,2993242,397164,372317,24847,15155,,
2021-07-17,3146981,124779,3006439,399634,374822,24812,15269,,
2021-07-18,3160937,125041,3020052,405176,380382,24794,15350,,
2021-07-19,3170868,121708,3033258,406804,382081,24723,15408,,
2021-07-20,3187716,126398,3045310,405178,380426,24752,15512,,
2021-07-21,3205197,129640,3059441,406370,381316,25054,15617,,
2021-07-22,3218015,128881,3072895,409323,383826,25497,15739,,
2021-07-23,3235533,135198,3083962,418496,392805,25691,15871,,
2021-07-24,3254064,138124,3099469,424351,398407,25944,15969,,
2021-07-25,3271530,140276,3114716,435768,409540,26228,16035,,
2021-07-26,3283116,136814,3129628,433215,407102,26113,16170,,
2021-07-27,3305245,145371,3143043,436387,409931,26456,16326,,
2021-07-28,3327301,149534,3160804,446211,419098,27113,16457,,
2021-07-29,3349365,154820,3177453,454080,426600,27480,16585,,
2021-07-30,3370137,160824,3192104,456951,429118,27833,16701,,
2021-07-31,3390761,164500,3208969,455078,426640,28438,16781,,
2021-08-01,3411489,167379,3226761,461133,432537,28596,16837,,
2021-08-02,3425473,165322,3242684,462529,433879,28650,16955,,
2021-08-03,3449149,173221,3258310,466154,437296,28858,17103,,
2021-08-04,3471563,176048,3277788,474056,444009,30047,17211,,
2021-08-05,3493603,177924,3297834,481157,451799,29358,17328,,
2021-08-06,3513551,178204,3317314,487492,458397,29095,17515,,
2021-08-07,3533918,178166,3337579,491491,462411,29080,17654,,
2021-08-08,3552525,176572,3357687,490858,461530,29328,17747,,
2021-08-09,3565574,169512,3377691,486836,457494,29342,17852,,
2021-08-10,3586693,171985,3396184,482290,453540,28750,18004,,
2021-08-11,3610193,175957,3415595,485480,456991,28489,18120,,
2021-08-12,3631638,176518,3436318,483172,454689,28483,18280,,
2021-08-13,3652090,180000,3453174,490836,462416,28420,18394,,
2021-08-14,3671541,180240,3472278,494429,466132,28297,18499,,
2021-08-15,3690123,178630,3492367,499031,471395,27636,18601,,
2021-08-16,3702417,172239,3510909,491831,463950,27881,18743,,
2021-08-17,3724030,175167,3529465,496349,468468,27881,18870,,
2021-08-18,3745457,177683,3548196,498630,470771,27859,19049,,
2021-08-19,3766573,179303,3567492,499903,472523,27380,19246,,
2021-08-20,3786797,182285,3584634,491871,464919,26952,19345,,
2021-08-21,3803903,178462,3605480,492339,465079,27260,19428,,
2021-08-22,3814305,163212,3631066,485017,458431,26586,19494,,
2021-08-23,3827688,154563,3653008,471921,445342,26579,19584,,
2021-08-24,3851984,159335,3672357,467051,441012,26039,19757,,
2021-08-25,3883429,170292,3692628,470860,444278,26582,19972,,
2021-08-26,3913506,181209,3711625,487246,459821,27425,20134,,
2021-08-27,3946307,195254,3730198,498491,469946,28545,20313,,
2021-08-28,3977572,204896,3751666,514031,484508,29523,20466,,
2021-08-29,4007408,212566,3773754,533817,503762,30055,20541,,
2021-08-30,4027030,209493,3796317,539097,508271,30826,20673,,
2021-08-31,4057233,218892,3817004,545393,513686,31707,20788,,
2021-09-01,4090036,229912,3838614,557085,524380,32705,20961,,
2021-09-02,4122133,240186,3860248,568087,534805,33282,21149,,
2021-09-03,4151455,246437,3883186,578704,545246,33458,21280,,
2021-09-05,4207838,247791,3937996,624301,591061,33240,21496,,
2021-09-06,4227526,238782,3966557,620739,587582,33157,21631,,
2021-09-07,4253298,237045,3993877,618684,585749,32935,21820,,
2021-09-08,4283494,239480,4021456,608228,575411,32817,22001,,
2021-09-09,4309694,236345,4050665,608450,575731,32719,22126,,
2021-09-10,4334704,237643,4074200,621039,588784,32255,22303,,
2021-09-11,4355191,231792,4100355,613495,581858,31637,22484,,
2021-09-12,4375431,222255,4130065,603315,572761,30554,22551,,
2021-09-14,4406365,198865,4184158,575668,546791,28877,22779,,
2021-09-15,4424046,190750,4209746,561239,533190,28049,22987,,
2021-09-16,4446228,186190,4236309,554807,527791,27016,23165,,
2021-09-17,4469488,188926,4256697,537823,511461,26362,23296,,
2021-09-18,4488813,180842,4283963,528083,502189,25894,23439,,
2021-09-19,4508466,173631,4310674,512854,487587,25267,23591,,
2021-09-20,4524158,167008,4332897,496103,471399,24704,23683,,
2021-09-21,4539926,161195,4354264,486600,462691,23909,23897,,
2021-09-22,4559601,161026,4373966,481195,457822,23373,24039,,
2021-09-23,4579283,160046,4394476,475103,452282,22821,24191,,
2021-09-24,4597266,162846,4409530,469954,447442,22512,24318,,
2021-09-25,4613937,165154,4423772,473920,451893,22027,24438,,
2021-09-26,4629888,163280,4441430,474901,453119,21782,24603,,
2021-09-27,4641587,157158,4459193,478087,456821,21266,24661,,
2021-09-28,4652783,149356,4478042,470518,449480,21038,24810,,
2021-09-29,4664944,143500,4495904,456952,436837,20115,24965,,
2021-09-30,4680858,142529,4512662,446818,427935,18883,25087,,
2021-10-01,4694692,142499,4526429,440194,422218,17976,25182,,
2021-10-02,4707909,141155,4540866,437864,420556,17308,25303,,
2021-10-03,4720206,137043,4557199,429581,412902,16679,25377,,
2021-10-04,4729056,128736,4574206,415489,399228,16261,25526,,
2021-10-05,4738791,124441,4588084,403141,387353,15788,25677,,
2021-10-06,4751407,122407,4602600,390631,375306,15325,25811,,
2021-10-07,4763695,118744,4618408,377128,362444,14684,25952,,
2021-10-08,4774639,116645,4631330,371196,356899,14135,26072,,
2021-10-09,4784109,113132,4644211,366250,352851,13399,26173,,
2021-10-11,4801796,101419,4673442,354720,342367,12353,26342,,
2021-10-12,4809619,96646,4685932,343082,331243,11839,26448,,
2021-10-13,4820698,97630,4695904,339688,328426,11262,26571,,
2021-10-14,4829944,95828,4706856,333634,322648,10986,26667,,
2021-10-15,4838811,94756,4716728,327682,317060,10622,26734,,
2021-10-16,4846766,90885,4728497,314640,304170,10404,26791,,
2021-10-17,4854321,87593,4739270,311361,301156,10205,26865,,
2021-10-18,4860997,83184,4750293,302818,292736,10082,26925,,
2021-10-19,4868640,80262,4760781,293178,283368,9810,27002,,
2021-10-20,4879790,82738,4769373,289666,280038,9628,27084,,
2021-10-21,4888523,81496,4779228,286888,277907,8981,27202,,
2021-10-22,4897884,80892,4788629,281286,272412,8874,27765,172.0,292.0
2021-10-23,4906793,80555,4797409,270430,261655,8775,28229,314.0,549.0
2021-10-24,4915331,77363,4808775,269881,261252,8629,28592,395.0,760.0
2021-10-25,4921995,74735,4817785,265995,257429,8752,28873,404.0,979.0
2021-10-26,4929158,74456,4824745,269762,261197,8565,29355,455.0,1320.0
2021-10-27,4938603,76554,4831468,268639,260359,8280,29977,654.0,1650.0
2021-10-28,4946341,78122,4836928,268223,260318,7905,30685,764.0,2192.0
2021-10-29,4954063,78722,4843576,269451,261842,7609,31156,873.0,2468.0
2021-10-30,4961490,78624,4850742,275185,267835,7350,31514,912.0,2725.0
2021-10-31,4968657,79185,4857181,272248,264972,7276,31681,919.0,2871.0
2021-11-01,4973954,76786,4864506,267802,262274,5528,32049,977.0,3103.0
2021-11-02,4980398,74618,4872930,262454,255881,4886,32236,1032.0,3190.0
2021-11-03,4987710,73083,4881414,261090,256032,5058,32598,1271.0,3262.0
2021-11-04,4995255,74552,4887350,256811,251744,5067,32734,1331.0,3283.0
2021-11-05,5001835,73733,4894435,247485,240859,6626,33048,1442.0,3440.0
2021-11-06,5008381,72876,4901369,240336,233927,6409,33515,1673.0,3626.0
2021-11-07,5015505,72310,4908857,235910,229289,6621,33716,1700.0,3779.0
2021-11-08,5020909,71316,4914993,230903,225018,5885,33978,1882.0,3779.0
