date,total_cases,history_of_travel,history_of_contact
2020-11-04,459147,25071,434076
2020-11-05,465967,25166,440801
2020-11-06,472969,25264,447705
2020-11-07,480170,25360,454810
2020-11-08,485610,25465,460145
2020-11-09,489203,25526,463677
2020-11-10,495213,25626,469587
2020-11-11,502220,25712,476508
2020-11-12,507757,25852,481905
2020-11-13,513561,25970,487591
2020-11-14,519918,26077,493841
2020-11-15,524499,26162,498337
2020-11-16,527209,26217,500992
2020-11-17,533001,26321,506680
2020-11-18,539420,26419,513001
2020-11-19,545142,26536,518606
2020-11-20,551170,26641,524529
2020-11-21,556942,26732,530210
2020-11-22,562196,26826,535370
2020-11-23,560699,26808,533891
2020-11-24,571373,26985,544388
2020-11-25,577864,27080,550784
2020-11-26,583242,27156,556086
2020-11-27,587208,27237,556086
2020-11-28,593458,27329,566129
2020-11-29,599101,27416,571685
2020-11-30,602483,27480,575003
2020-12-01,607858,27594,580264
2020-12-02,614174,27692,586482
2020-12-03,619550,27773,591777
2020-12-04,625268,27868,597400
2020-12-05,631116,27921,603195
2020-12-06,635893,28005,607888
2020-12-07,639165,28054,611111
2020-12-08,644197,28152,616045
2020-12-09,649072,28246,620826
2020-12-10,653542,28324,625218
2020-12-11,658184,28396,629788
2020-12-12,664133,28479,635654
2020-12-13,668831,28572,640259
2020-12-14,671538,28623,642915
2020-12-15,676756,28695,648061
2020-12-16,682941,28761,654180
2020-12-17,687910,28860,659050
2020-12-18,693366,28951,664415
2020-12-19,699659,29024,670635
2020-12-20,705370,29135,676235
2020-12-21,708793,29183,679610
2020-12-22,714842,29291,685551
2020-12-23,721011,29389,691622
2020-12-24,726188,29497,696691
2020-12-25,731585,29582,702003
2020-12-26,735112,29645,705467
2020-12-27,740017,29728,710289
2020-12-28,743064,29763,713301
2020-12-29,748951,29852,719099
2020-12-30,755219,29954,725265
2020-12-31,760434,30076,730358
2021-01-01,765425,30170,735255
2021-01-02,770753,30248,740505
2021-01-03,775353,30309,745044
2021-01-04,778374,30361,748013
2021-01-05,783989,30420,753569
2021-01-06,790383,30489,759894
2021-01-07,795434,30567,764867
2021-01-08,800576,30655,769921
2021-01-09,806104,30715,775389
2021-01-10,810649,30793,779856
2021-01-11,813759,30838,782921
2021-01-12,819266,30891,788375
2021-01-13,825270,30964,794306
2021-01-14,825270,30964,794306
2021-01-15,836384,31114,805270
2021-01-16,842344,31201,811143
2021-01-17,841389,31182,810207
2021-01-18,850695,31311,819384
2021-01-19,856881,31403,825478
2021-01-20,863696,31494,832202
2021-01-21,870030,31587,838443
2021-01-22,876783,31659,845124
2021-01-23,883743,31732,852011
2021-01-24,889779,31806,857973
2021-01-26,899433,31957,867476
2021-01-27,905092,32034,873058
2021-01-28,910863,32122,878741
2021-01-29,917131,32240,884891
2021-01-30,923413,32321,891092
2021-01-31,928679,32392,896287
2021-02-01,932138,32439,899699
2021-02-02,937854,32535,905319
2021-02-03,944210,32619,911591
2021-02-04,950312,32718,917594
2021-02-05,955922,32819,923103
2021-02-06,961864,32917,928947
2021-02-07,967939,33027,934912
2021-02-08,971681,33099,938582
2021-02-09,976895,33160,943735
2021-02-10,982875,33256,949619
2021-02-11,988156,33362,954794
2021-02-12,993553,33436,960117
2021-02-13,999024,33513,965511
2021-02-14,1003636,33617,970019
2021-02-15,1006520,33661,972859
2021-02-16,1008573,33707,974866
2021-02-17,1013465,33797,979668
2021-02-18,1020933,33936,986997
2021-02-19,1025438,34010,991428
2021-02-20,1030088,34086,996002
2021-02-21,1034158,34154,1000004
2021-02-22,1036370,34188,1002182
2021-02-23,1040404,34269,1006135
2021-02-24,1044510,34376,1010134
2021-02-25,1048187,34454,1013733
2021-02-26,1051858,34545,1017313
2021-02-27,1055650,34657,1020993
2021-02-28,1058904,34745,1024159
2021-03-01,1060842,34801,1026041
2021-03-02,1063780,34859,1028921
2021-03-03,1063607,31990,1031617
2021-03-04,1069161,35005,1034156
2021-03-05,1071937,35071,1036866
2021-03-06,1074728,35143,1039585
2021-03-07,1076828,35204,1041624
2021-03-08,1076140,35180,1040960
2021-03-09,1080556,35289,1045267
2021-03-10,1083031,35364,1047667
2021-03-11,1085164,35441,1049723
2021-03-12,1086944,35494,1051450
2021-03-13,1088979,35542,1053437
2021-03-14,1090771,35585,1055043
2021-03-15,1091825,35618,1056207
2021-03-16,1093795,35688,1058107
2021-03-17,1095893,35760,1060133
2021-03-18,1097792,35824,1061968
2021-03-19,1099776,35912,1063864
2021-03-20,1101854,36014,1065840
2021-03-21,1103729,36072,1067657
2021-03-22,1104968,36132,1068836
2021-03-23,1106953,36232,1070721
2021-03-24,1109409,36337,1073072
2021-03-25,1111398,36412,1074986
2021-03-26,1113223,36483,1076740
2021-03-27,1115278,36565,1078713
2021-03-28,1117494,36657,1080837
2021-03-29,1119043,36725,1082318
2021-03-30,1121432,36802,1084630
2021-03-31,1124085,36924,1087161
2021-04-01,1126883,37036,1089847
2021-04-02,1129391,37168,1092223
2021-04-03,1131932,37276,1094656
2021-04-04,1134734,37300,1094893
2021-04-05,1137091,37272,1094476
2021-04-06,1140593,37316,1095577
2021-04-07,1144095,37299,1095594
2021-04-08,1148448,37964,1110484
2021-04-09,1153511,38126,1115385
2021-04-10,1159705,38297,1121408
2021-04-11,1166691,38494,1128197
2021-04-12,1172383,38682,1133701
2021-04-13,1179898,38880,1141018
2021-04-14,1188676,39085,1149591
2021-04-15,1196802,39323,1157479
2021-04-16,1206833,39544,1167289
2021-04-17,1220668,39803,1180865
2021-04-18,1238925,40072,1198853
2021-04-19,1252569,40302,1212267
2021-04-20,1272146,40699,1231447
2021-04-21,1294560,40905,1253655
2021-04-22,1321555,41180,1280375
2021-04-23,1350002,41495,1308507
2021-04-24,1376687,41754,1334933
2021-04-25,1405156,42092,1363064
2021-04-26,1405156,42092,1363064
2021-04-27,1459865,42587,1417278
2021-04-28,1494878,42862,1452016
2021-04-29,1533485,43162,1490323
2021-04-30,1570684,43492,1527192
2021-05-01,1606320,43715,1562605
2021-05-02,1638279,43981,1594298
2021-05-03,1664290,44282,1620008
2021-05-04,1701480,44483,1656997
2021-05-05,1743433,44846,1698587
2021-05-06,1785897,45111,1740786
2021-05-11,1966906,46654,1920252
2021-05-12,2010435,46895,1963540
2021-05-13,2050390,47112,2003278
2021-05-14,2085084,47370,2037714
2021-05-15,2117764,47666,2070098
2021-05-16,2147468,47884,2099584
2021-05-17,2168870,47984,2120886
2021-05-18,2200207,48134,2152073
2021-05-19,2232769,48152,2184617
2021-05-20,2263460,48524,2214936
2021-05-21,2293133,48739,2244394
2021-05-22,2321647,48953,2272694
2021-05-23,2347467,49130,2298337
2021-05-24,2365288,49227,2316061
2021-05-25,2395091,49429,2345662
2021-05-26,2423889,49613,2374276
2021-05-27,2448055,49790,2398265
2021-05-28,2470373,49954,2420419
2021-05-29,2493886,50093,2443793
2021-05-30,2513780,50249,2463531
2021-05-31,2526080,50318,2475762
2021-06-01,2545840,50422,2495418
2021-06-02,2565501,50578,2514923
2021-06-03,2584354,50688,2533666
2021-06-04,2600583,50777,2549806
2021-06-05,261791,50889,2567022
2021-06-06,2632583,51042,2581541
2021-06-07,2641896,51094,2590802
2021-06-08,2657463,51179,2606284
2021-06-09,2673667,51333,2622334
2021-06-10,2688091,51442,2636649
2021-06-11,2702324,51550,2650774
2021-06-12,2716156,51632,2664524
2021-06-13,2727740,51715,2676025
2021-06-14,2735459,51751,2683708
2021-06-15,2747705,51836,2695869
2021-06-16,2760975,51922,2709053
2021-06-17,2773444,52014,2721430
2021-06-18,2784805,52078,2732727
2021-06-19,2797248,52156,2745092
2021-06-20,2808895,52210,2756685
2021-06-21,2816344,52257,2764087
2021-06-22,2828961,52317,2776644
2021-06-23,2841748,52372,2789376
2021-06-24,2853826,52466,2801360
2021-06-25,2865372,52536,2812836
2021-06-26,2877490,52595,2824895
2021-06-27,2888395,52648,2835747
2021-06-28,2896458,52705,2843753
2021-06-29,2910008,52752,2857256
2021-06-30,2923666,52821,2870845
2021-07-01,2936534,52871,2883663
2021-07-02,2948629,52939,2895690
2021-07-03,2961085,52997,2908088
2021-07-04,2973185,53073,2920112
2021-07-05,2969122,53012,2916110
2021-07-06,2983495,53070,2930425
2021-07-07,2999095,53136,2945959
2021-07-08,3024967,53272,2971695
2021-07-09,3038530,53324,2985206
2021-07-10,3052617,53422,2999195
2021-07-11,3064837,53493,3011344
2021-07-12,3072635,53525,3019110
2021-07-13,3087174,53592,3033582
2021-07-14,3102811,53649,3049162
2021-07-15,3116584,53705,3062879
2021-07-16,3130334,53768,3076566
2021-07-17,3146482,53820,3092662
2021-07-18,3160438,53895,3106543
2021-07-19,3170369,53926,3116443
2021-07-20,3187217,54027,3133190
2021-07-21,3204698,54113,3150585
2021-07-22,3217516,54189,3163327
2021-07-23,3235034,54299,3180735
2021-07-24,3253565,54412,3199153
2021-07-25,3271031,54490,3216541
2021-07-26,3282617,54535,3228082
2021-07-27,3304746,54659,3250087
2021-07-28,3326802,54779,3272023
2021-07-29,3348866,54940,3293926
2021-07-30,3369638,55077,3314561
2021-07-31,3390262,55189,3335073
2021-08-01,3410990,55266,3355724
2021-08-02,3424974,55346,3369628
2021-08-03,3448650,55451,3393199
2021-08-04,3471064,55565,3415499
2021-08-05,3493104,55632,3437472
2021-08-06,3513052,55729,3457323
2021-08-07,3533419,55815,3477604
2021-08-08,3552026,55939,3496087
2021-08-09,3565075,56003,3509072
2021-08-10,3586194,56043,3530151
2021-08-11,3609694,56127,3553567
2021-08-12,3631139,56200,3574939
2021-08-13,3651591,56263,3595328
2021-08-14,3671042,56356,3614686
2021-08-15,3689624,56497,3633127
2021-08-16,3701918,56565,3645353
2021-08-17,3723531,56657,3666874
2021-08-18,3744958,56765,3688193
2021-08-19,3766074,56867,3709207
2021-08-20,3786298,57004,3729294
2021-08-21,3803404,57057,3746347
2021-08-22,3813806,57161,3756645
2021-08-23,3827189,57200,3769989
2021-08-24,3851485,57318,3794167
2021-08-25,3882930,57456,3825474
2021-08-26,3913007,57584,3855423
2021-08-27,3945808,57728,3888080
2021-08-28,3977073,57848,3919225
2021-08-29,4006909,58077,3948832
2021-08-30,4026531,58139,3968392
2021-08-31,4056734,58286,3998448
2021-09-01,4089537,58440,4031097
2021-09-02,4121634,58542,4063092
2021-09-03,4150956,58621,4092335
2021-09-05,4207339,58902,4148437
2021-09-06,4227027,59013,4168014
2021-09-07,4252799,59146,4193653
2021-09-08,4282995,59336,4223659
2021-09-09,4309195,59417,4249778
2021-09-10,4334205,59519,4274686
2021-09-11,4354692,59621,4295071
2021-09-12,4374932,59735,4315197
2021-09-14,4405866,59828,4346038
2021-09-15,4423547,59875,4363672
2021-09-16,4445729,59964,4385765
2021-09-17,4468989,60123,4408866
2021-09-18,4488314,60219,4428095
2021-09-19,4507967,60324,4447643
2021-09-20,4523659,60390,4463269
2021-09-21,4539427,60514,4478913
2021-09-22,4559102,60566,4498536
2021-09-23,4578784,60619,4518165
2021-09-24,4596767,60691,4536076
2021-09-25,4613438,60801,4552637
2021-09-26,4629389,60871,4568518
2021-09-27,4641088,60903,4580185
2021-09-28,4652284,60977,4591307
2021-09-29,4664445,61041,4603404
2021-09-30,4680359,61115,4619244
2021-10-01,4694193,61189,4633004
2021-10-02,4707410,61240,4646170
2021-10-03,4719707,61301,4658406
2021-10-04,4728557,61343,4667214
2021-10-05,4738292,61379,4676913
2021-10-06,4750908,61428,4689480
2021-10-07,4763196,61479,4701717
2021-10-08,4774140,61522,4712618
2021-10-09,4783610,61576,4722034
2021-10-11,4801297,61666,4739631
2021-10-12,4809120,61701,4747419
2021-10-13,4820199,61754,4758445
2021-10-14,4829445,61793,4767652
2021-10-15,4838312,61825,4776487
2021-10-16,4846267,61852,4784415
2021-10-17,4853822,61896,4791926
2021-10-18,4860498,61930,4798568
2021-10-19,4868141,61974,4806167
2021-10-20,4879291,62015,4817276
2021-10-21,4888024,62046,4825978
2021-10-22,4897385,62085,4835300
2021-10-23,4906294,62134,4844160
2021-10-24,4914832,62166,4852666
2021-10-25,4921496,62186,4859310
2021-10-26,4928659,62215,4866444
2021-10-27,4938104,62243,4875861
2021-10-28,4945842,62281,4883561
2021-10-29,4953564,62324,4891240
2021-10-30,4960991,62379,4898612
2021-10-31,4968158,62399,4905759
2021-11-01,4973455,62415,4911040
2021-11-02,4979899,62463,4917436
2021-11-03,4987211,62487,4924724
2021-11-04,4994756,62517,4932239
2021-11-05,5001336,62539,4938797
2021-11-06,5007882,62555,4945327
2021-11-07,5015006,62578,4952428
2021-11-08,5020410,62597,4957813
2021-11-09,5026819,62620,4964199
2021-11-10,5034359,62650,4971709
2021-11-12,5048257,62694,4985563
2021-11-13,5054725,62722,4992003
2021-11-14,5060573,62734,4997839
2021-11-15,5065120,62746,5002374
2021-11-16,5070636,62771,5007865
2021-11-17,5077485,62789,5014696
2021-11-18,5083596,62811,5020785
2021-11-19,5089350,62836,5026514
2021-11-20,5095425,62860,5032565
2021-11-21,5100505,62888,5037617
2021-11-22,5104203,62903,5041300
2021-11-23,5109175,62920,5046255
2021-11-24,5113455,62947,5050508
2021-11-25,5119442,62984,5056458
2021-11-26,5124119,63000,5061119
2021-11-27,5128860,63008,5065852
2021-11-29,5136592,63027,5073565
2021-11-30,5141315,63039,5078276
2021-12-01,5146720,63053,5083667
2021-12-02,5151420,63071,5088349
2021-12-03,5156415,63104,5093311
2021-12-04,5160972,63113,5097859
2021-12-05,5165422,63139,5102283
2021-12-06,5168699,63148,5105551
2021-12-07,5173355,63164,5110191
2021-12-08,5178393,63181,5115212
2021-12-09,5182562,63186,5119376
2021-12-10,5186534,63196,5123338
2021-12-11,5190329,63210,5127119
2021-12-12,5194106,63221,5130885
2021-12-13,5196540,63227,5133313
2021-12-14,5199917,63232,5136685
2021-12-15,5203923,63246,5140677
2021-12-16,5207327,63254,5144073
2021-12-17,5210798,63272,5147526
2021-12-18,5214095,63291,5150804
2021-12-19,5217090,63298,5153792
2021-12-20,5219320,63305,5156015
2021-12-21,5222068,63324,5158744
2021-12-22,5225273,63334,5161939
2021-12-23,5227787,63352,5164435
2021-12-24,5230392,63365,5167027
2021-12-25,5232799,63386,5169413
2021-12-26,5234623,63397,5171226
2021-12-27,5236259,63448,5172811
2021-12-28,5238733,63472,5175261
2021-12-29,5241579,63492,5178087
2021-12-30,5244002,63519,5180483
2021-12-31,5246678,63561,5183117
2022-01-01,5249113,63599,5185514
2022-01-02,5251915,63647,5188268
2022-01-03,5254475,63695,5190780
2022-01-04,5258115,63747,5194368
2022-01-05,5262916,63823,5199093
2022-01-06,5267565,63906,5203659
2022-01-07,5272861,63982,5208879
2022-01-10,5290840,64246,5226594
