date,cases_positive,tests_conducted,positivity_rate,cases_recovered,deaths
2020-10-10,2866.0,49736.0,5.76,2766.0,48.0
2020-10-11,2780.0,48753.0,5.7,3057.0,29.0
2020-10-12,1849.0,35947.0,5.14,2975.0,40.0
2020-10-13,3036.0,54957.0,5.52,2036.0,45.0
2020-10-14,3324.0,56950.0,5.84,2867.0,44.0
2020-10-15,3483.0,55891.0,6.23,2755.0,26.0
2020-10-16,3428.0,58145.0,5.9,3197.0,22.0
2020-10-17,3259.0,55715.0,5.85,3154.0,35.0
2020-10-18,3299.0,49414.0,6.68,2863.0,28.0
2020-10-19,2154.0,36445.0,5.91,2845.0,31.0
2020-10-20,3579.0,56593.0,6.32,2186.0,41.0
2020-10-21,3686.0,59064.0,6.24,3444.0,47.0
2020-10-22,3882.0,58770.0,6.61,2727.0,35.0
2020-10-23,4086.0,58568.0,6.98,3296.0,26.0
2020-10-24,4116.0,55461.0,7.42,3614.0,36.0
2020-10-25,4136.0,49069.0,8.43,3826.0,33.0
2020-10-26,2832.0,34411.0,8.23,3736.0,54.0
2020-10-27,4853.0,57210.0,8.48,2722.0,44.0
2020-10-28,5673.0,60571.0,9.37,4128.0,40.0
2020-10-29,5739.0,60124.0,9.55,4138.0,27.0
2020-10-30,5891.0,59641.0,9.88,4433.0,47.0
2020-10-31,5062.0,44330.0,11.42,4665.0,41.0
2020-11-01,5664.0,44623.0,12.69,4159.0,51.0
2020-11-02,4001.0,36665.0,10.91,4824.0,42.0
2020-11-03,6725.0,59540.0,11.29,3610.0,48.0
2020-11-04,6842.0,58910.0,11.61,5797.0,51.0
2020-11-05,6715.0,52294.0,12.84,5289.0,66.0
2020-11-06,,,,,
2020-11-07,6953.0,57433.0,12.11,6338.0,79.0
2020-11-08,7745.0,50754.0,15.26,6069.0,77.0
2020-11-09,5023.0,39115.0,12.84,7014.0,71.0
2020-11-10,7830.0,59035.0,13.26,6157.0,83.0
2020-11-11,8593.0,64121.0,13.4,7264.0,85.0
2020-11-12,7053.0,60229.0,11.71,6462.0,104.0
2020-11-13,7802.0,56553.0,13.8,6498.0,91.0
2020-11-14,7340.0,49645.0,14.78,7117.0,96.0
2020-11-15,,,,,
2020-11-16,3797.0,29821.0,12.73,3560.0,99.0
2020-11-17,6396.0,49031.0,13.04,4421.0,99.0
2020-11-18,7486.0,62232.0,12.03,6901.0,131.0
2020-11-19,7546.0,62437.0,12.09,6685.0,98.0
2020-11-20,6608.0,62425.0,10.59,8775.0,118.0
2020-11-21,5879.0,45562.0,12.9,6963.0,111.0
2020-11-22,6746.0,54893.0,12.29,6154.0,121.0
2020-11-23,4454.0,37307.0,11.94,7216.0,121.0
2020-11-24,6224.0,61381.0,10.14,4943.0,109.0
2020-11-25,5246.0,61778.0,8.49,5361.0,99.0
2020-11-26,5475.0,63266.0,8.65,4937.0,91.0
2020-11-27,5482.0,64455.0,8.51,5937.0,98.0
2020-11-28,4998.0,69051.0,7.24,6512.0,89.0
2020-11-29,4906.0,64186.0,7.64,6325.0,68.0
2020-11-30,3726.0,50670.0,7.35,5824.0,108.0
2020-12-01,4006.0,58456.0,6.85,5036.0,86.0
2020-12-02,3944.0,78949.0,5.0,5329.0,82.0
2020-12-03,3734.0,75230.0,4.96,4834.0,82.0
2020-12-04,,,,,
2020-12-05,3419.0,81473.0,4.2,4916.0,77.0
2020-12-06,2706.0,73536.0,3.68,4622.0,69.0
2020-12-07,1674.0,53207.0,3.15,3818.0,63.0
2020-12-08,1575.0,64069.0,2.46,3307.0,61.0
2020-12-09,2463.0,72079.0,3.42,4177.0,50.0
2020-12-10,1575.0,64069.0,2.46,3307.0,61.0
2020-12-11,2385.0,71679.0,3.33,2402.0,60.0
2020-12-12,1935.0,73413.0,2.64,3191.0,47.0
2020-12-13,1984.0,72335.0,2.74,2539.0,33.0
2020-12-14,1376.0,63944.0,2.15,2854.0,60.0
2020-12-15,,,,,
2020-12-16,1547.0,79042.0,1.96,2734.0,32.0
2020-12-17,1363.0,90354.0,1.51,2391.0,35.0
2020-12-18,1418.0,88400.0,1.6,2160.0,37.0
2020-12-19,1139.0,87330.0,1.3,2168.0,32.0
2020-12-20,1091.0,83289.0,1.31,1275.0,26.0
2020-12-21,803.0,62440.0,1.29,1669.0,27.0
2020-12-22,939.0,82386.0,1.14,1434.0,25.0
2020-12-23,871.0,87861.0,0.99,1585.0,18.0
2020-12-24,1063.0,89920.0,1.18,1120.0,37.0
2020-12-25,758.0,85749.0,0.88,1370.0,30.0
2020-12-26,655.0,67115.0,0.98,988.0,23.0
2020-12-27,757.0,75210.0,1.01,939.0,16.0
2020-12-28,564.0,57463.0,0.98,959.0,21.0
2020-12-29,703.0,84889.0,0.83,850.0,28.0
2020-12-30,677.0,84680.0,0.8,940.0,21.0
2020-12-31,574.0,81750.0,0.7,888.0,13.0
2021-01-01,585.0,80565.0,0.73,717.0,21.0
2021-01-02,494.0,67364.0,0.73,496.0,14.0
2021-01-03,424.0,68759.0,0.62,708.0,14.0
2021-01-04,384.0,50288.0,0.76,727.0,12.0
2021-01-05,442.0,79777.0,0.55,557.0,12.0
2021-01-06,654.0,74650.0,0.88,719.0,16.0
2021-01-07,486.0,77522.0,0.63,780.0,19.0
2021-01-08,444.0,75724.0,0.59,823.0,10.0
2021-01-09,519.0,80275.0,0.65,603.0,12.0
2021-01-10,399.0,77600.0,0.51,602.0,12.0
2021-01-11,306.0,56390.0,0.54,407.0,13.0
2021-01-12,386.0,75913.0,0.51,545.0,16.0
2021-01-13,357.0,70745.0,0.5,534.0,11.0
2021-01-14,340.0,71325.0,0.48,390.0,4.0
2021-01-15,295.0,66921.0,0.44,427.0,10.0
2021-01-16,299.0,71957.0,0.42,397.0,6.0
2021-01-17,246.0,67463.0,0.36,385.0,8.0
2021-01-18,161.0,50523.0,0.32,362.0,8.0
2021-01-19,231.0,72441.0,0.32,222.0,10.0
2021-01-20,228.0,63161.0,0.36,405.0,10.0
2021-01-21,227.0,81550.0,0.28,246.0,8.0
2021-01-22,266.0,71850.0,0.37,319.0,7.0
2021-01-23,197.0,76868.0,0.26,367.0,10.0
2021-01-24,185.0,62307.0,0.3,315.0,9.0
2021-01-25,148.0,48450.0,0.31,190.0,5.0
2021-01-26,157.0,64973.0,0.24,218.0,7.0
2021-01-27,96.0,29855.0,0.32,212.0,9.0
2021-01-28,199.0,57993.0,0.34,119.0,6.0
2021-01-29,249.0,58725.0,0.42,267.0,6.0
2021-01-30,183.0,68967.0,0.27,290.0,8.0
2021-01-31,140.0,60695.0,0.23,211.0,4.0
2021-02-01,121.0,43712.0,0.28,214.0,3.0
2021-02-02,114.0,58598.0,0.19,160.0,2.0
2021-02-03,150.0,56658.0,0.26,153.0,6.0
2021-02-04,158.0,67234.0,0.24,165.0,7.0
2021-02-05,154.0,59964.0,0.26,140.0,2.0
2021-02-06,123.0,63322.0,0.19,151.0,4.0
2021-02-07,119.0,54247.0,0.22,179.0,2.0
2021-02-09,100.0,56410.0,0.18,144.0,0.0
2021-02-10,127.0,66803.0,0.19,131.0,2.0
2021-02-11,142.0,64328.0,0.22,135.0,2.0
2021-02-12,141.0,63022.0,0.22,136.0,3.0
2021-02-13,126.0,60876.0,0.21,138.0,0.0
2021-02-14,150.0,56902.0,0.26,158.0,2.0
2021-02-15,141.0,39065.0,0.36,134.0,2.0
2021-02-16,94.0,56944.0,0.17,110.0,1.0
2021-02-17,134.0,59886.0,0.22,75.0,0.0
2021-02-18,130.0,60441.0,0.22,153.0,2.0
2021-02-19,158.0,60836.0,0.26,157.0,1.0
2021-02-20,152.0,62063.0,0.24,179.0,1.0
2021-02-21,145.0,63813.0,0.23,97.0,2.0
2021-02-22,128.0,42242.0,0.3,157.0,1.0
2021-02-23,145.0,58327.0,0.25,130.0,2.0
2021-02-24,200.0,56168.0,0.36,115.0,2.0
2021-02-25,220.0,63998.0,0.34,188.0,0.0
2021-02-26,256.0,62768.0,0.41,193.0,1.0
2021-02-27,243.0,67484.0,0.36,164.0,3.0
2021-02-28,,,,,
2021-03-01,175.0,39733.0,0.44,105.0,1.0
2021-03-02,217.0,66624.0,0.33,78.0,0.0
2021-03-03,240.0,68831.0,0.35,196.0,3.0
2021-03-04,261.0,66432.0,0.39,143.0,1.0
2021-03-05,312.0,59122.0,0.53,231.0,3.0
2021-03-06,321.0,53062.0,0.6,320.0,1.0
2021-03-07,286.0,91614.0,0.31,260.0,2.0
2021-03-08,239.0,47689.0,0.5,309.0,3.0
2021-03-09,320.0,66744.0,0.48,234.0,4.0
2021-03-10,370.0,71153.0,0.52,279.0,3.0
2021-03-11,409.0,69810.0,0.59,286.0,3.0
2021-03-12,431.0,72031.0,0.6,356.0,2.0
2021-03-13,419.0,74326.0,0.56,302.0,3.0
2021-03-14,407.0,68223.0,0.6,350.0,2.0
2021-03-15,368.0,62272.0,0.59,306.0,3.0
2021-03-16,425.0,70049.0,0.61,257.0,1.0
2021-03-17,536.0,80856.0,0.66,319.0,3.0
2021-03-18,607.0,80253.0,0.76,384.0,1.0
2021-03-19,607.0,80253.0,0.76,384.0,1.0
2021-03-20,813.0,75888.0,1.07,567.0,2.0
2021-03-21,823.0,79714.0,1.03,613.0,1.0
2021-03-22,888.0,67418.0,1.32,565.0,7.0
2021-03-23,1101.0,84237.0,1.31,620.0,4.0
2021-03-24,1254.0,82331.0,1.52,769.0,6.0
2021-03-25,1515.0,89836.0,1.69,903.0,5.0
2021-03-26,1534.0,85092.0,1.8,971.0,9.0
2021-03-27,1558.0,91703.0,1.7,974.0,10.0
2021-03-28,1881.0,79936.0,2.35,952.0,9.0
2021-03-29,1904.0,68805.0,2.77,1411.0,6.0
2021-03-30,992.0,36757.0,2.7,1591.0,4.0
2021-03-31,1819.0,67070.0,2.71,399.0,11.0
2021-04-01,2790.0,78073.0,3.57,1121.0,9.0
2021-04-02,3594.0,87505.0,4.11,2084.0,14.0
2021-04-03,3567.0,79617.0,4.48,2904.0,10.0
2021-04-04,4033.0,86899.0,4.64,2677.0,21.0
2021-04-05,3548.0,64003.0,5.54,2936.0,15.0
2021-04-06,5100.0,103453.0,4.93,2340.0,17.0
2021-04-07,5506.0,90201.0,6.1,3363.0,20.0
2021-04-08,7437.0,91770.0,8.1,3687.0,24.0
2021-04-09,8521.0,109398.0,7.79,5032.0,39.0
2021-04-10,7897.0,77374.0,10.21,5716.0,39.0
2021-04-11,10774.0,114288.0,9.43,5158.0,48.0
2021-04-12,11491.0,92397.0,12.44,7665.0,72.0
2021-04-13,13468.0,102460.0,13.14,7972.0,81.0
2021-04-14,,,,,
2021-04-15,16699.0,82569.0,20.22,13014.0,112.0
2021-04-16,,,,,
2021-04-17,,,,,
2021-04-18,25462.0,85620.0,29.74,20159.0,161.0
2021-04-19,,,,,
2021-04-20,,,,,
2021-04-21,24638.0,78768.0,31.28,24600.0,249.0
2021-04-22,26169.0,72208.0,36.24,19609.0,306.0
2021-04-23,24331.0,75037.0,32.43,23572.0,348.0
2021-04-24,24103.0,74702.0,32.27,22695.0,357.0
2021-04-25,22933.0,75912.0,30.21,21071.0,350.0
2021-04-26,20201.0,57690.0,35.02,22055.0,380.0
2021-04-27,24149.0,73811.0,32.72,17862.0,381.0
2021-04-28,25986.0,81829.0,31.76,24130.0,368.0
2021-04-29,,,,,
2021-04-30,27047.0,82745.0,32.69,25288.0,375.0
2021-05-01,25219.0,79780.0,31.61,27421.0,412.0
2021-05-02,20394.0,71997.0,28.33,24444.0,407.0
2021-05-03,,,,,
2021-05-04,19953.0,74654.0,26.73,18788.0,338.0
2021-05-05,20960.0,79491.0,26.37,19209.0,311.0
2021-05-06,19133.0,78780.0,24.29,20028.0,335.0
2021-05-07,19832.0,79593.0,24.92,19085.0,341.0
2021-05-08,17364.0,74384.0,23.34,20160.0,332.0
2021-05-09,13336.0,61552.0,21.67,14738.0,273.0
2021-05-10,12651.0,66234.0,19.1,13306.0,319.0
2021-05-11,12481.0,70276.0,17.76,13583.0,347.0
2021-05-12,13287.0,78035.0,17.03,14071.0,300.0
2021-05-13,10489.0,73675.0,14.24,15189.0,308.0
2021-05-14,8506.0,68575.0,12.4,14140.0,289.0
2021-05-15,6430.0,56811.0,11.32,11592.0,337.0
2021-05-16,6456.0,62059.0,10.4,9706.0,262.0
2021-05-17,4524.0,53756.0,8.42,10918.0,340.0
2021-05-18,4482.0,65004.0,6.89,9403.0,265.0
2021-05-19,3846.0,66573.0,5.78,9427.0,235.0
2021-05-20,3231.0,58744.0,5.5,7831.0,233.0
2021-05-21,3009.0,63190.0,4.76,7288.0,252.0
2021-05-22,2260.0,63155.0,3.58,6453.0,182.0
2021-05-23,1649.0,68043.0,2.42,5158.0,189.0
2021-05-24,1550.0,61506.0,2.52,4375.0,207.0
2021-05-25,1568.0,73406.0,2.14,4251.0,156.0
2021-05-26,,,,,
2021-05-27,1072.0,70068.0,1.53,3725.0,117.0
2021-05-28,1141.0,71853.0,1.59,2799.0,139.0
2021-05-29,956.0,80473.0,1.19,2380.0,122.0
2021-05-30,956.0,80473.0,1.19,2380.0,122.0
2021-05-31,648.0,65240.0,0.99,1622.0,86.0
2021-06-01,623.0,70813.0,0.88,1423.0,62.0
2021-06-02,576.0,73451.0,0.78,1287.0,103.0
2021-06-03,487.0,80046.0,0.61,1058.0,45.0
2021-06-04,523.0,77174.0,0.68,1161.0,50.0
2021-06-05,414.0,77694.0,0.53,1683.0,60.0
2021-06-06,381.0,76857.0,0.5,1189.0,34.0
2021-06-07,231.0,63610.0,0.36,876.0,36.0
2021-06-08,316.0,71879.0,0.44,521.0,41.0
2021-06-09,,,,,
2021-06-10,305.0,75133.0,0.41,560.0,44.0
2021-06-11,238.0,77112.0,0.31,504.0,24.0
2021-06-12,213.0,71513.0,0.3,497.0,28.0
2021-06-13,255.0,72751.0,0.35,376.0,23.0
2021-06-14,131.0,59556.0,0.22,355.0,16.0
2021-06-15,228.0,71291.0,0.32,364.0,12.0
2021-06-16,212.0,77891.0,0.27,516.0,25.0
2021-06-17,158.0,77542.0,0.2,343.0,10.0
2021-06-18,165.0,76480.0,0.22,260.0,14.0
2021-06-19,135.0,75687.0,0.18,201.0,7.0
2021-06-20,124.0,72670.0,0.17,398.0,7.0
2021-06-21,,,,,
2021-06-25,115.0,77477.0,0.15,198.0,4.0
2021-06-26,85.0,72920.0,0.12,158.0,9.0
2021-06-27,89.0,74198.0,0.12,285.0,4.0
2021-06-28,59.0,58895.0,0.1,72.0,2.0
2021-06-29,101.0,66397.0,0.15,119.0,4.0
2021-06-30,94.0,79935.0,0.12,240.0,6.0
2021-07-01,93.0,76468.0,0.12,111.0,4.0
2021-07-02,93.0,73565.0,0.13,407.0,2.0
2021-07-03,86.0,76619.0,0.11,106.0,5.0
2021-07-04,94.0,75133.0,0.13,111.0,7.0
2021-07-05,54.0,61405.0,0.09,132.0,2.0
2021-07-06,79.0,69866.0,0.11,154.0,4.0
2021-07-07,93.0,78582.0,0.12,64.0,4.0
2021-07-08,93.0,77979.0,0.12,101.0,3.0
2021-07-09,81.0,73192.0,0.11,127.0,3.0
2021-07-10,76.0,81451.0,0.09,81.0,1.0
2021-07-11,53.0,76823.0,0.07,99.0,3.0
2021-07-12,45.0,55019.0,0.08,92.0,3.0
2021-07-13,76.0,67764.0,0.11,84.0,2.0
2021-07-14,77.0,76095.0,0.1,71.0,1.0
2021-07-15,72.0,69212.0,0.1,88.0,1.0
2021-07-16,66.0,76459.0,0.09,79.0,1.0
2021-07-17,59.0,76421.0,0.08,91.0,4.0
2021-07-18,51.0,71546.0,0.07,80.0,0.0
2021-07-19,36.0,59410.0,0.06,58.0,3.0
2021-07-20,44.0,63019.0,0.07,37.0,5.0
2021-07-21,62.0,65811.0,0.09,61.0,4.0
2021-07-22,49.0,58502.0,0.08,29.0,1.0
2021-07-23,58.0,67817.0,0.09,69.0,1.0
2021-07-24,66.0,76308.0,0.09,52.0,0.0
2021-07-25,66.0,70758.0,0.09,72.0,2.0
2021-07-26,39.0,56435.0,0.07,80.0,1.0
2021-07-27,77.0,70248.0,0.11,42.0,2.0
2021-07-28,67.0,73392.0,0.09,61.0,3.0
2021-07-29,51.0,67368.0,0.08,70.0,0.0
2021-07-30,63.0,70111.0,0.09,34.0,3.0
2021-07-31,58.0,70355.0,0.08,56.0,1.0
2021-08-01,85.0,72447.0,0.12,83.0,1.0
2021-08-02,51.0,53728.0,0.09,95.0,0.0
2021-08-03,50.0,64276.0,0.08,65.0,4.0
2021-08-04,67.0,72965.0,0.09,73.0,0.0
2021-08-05,61.0,72518.0,0.08,54.0,2.0
2021-08-06,44.0,79168.0,0.06,41.0,5.0
2021-08-07,72.0,73681.0,0.1,22.0,1.0
2021-08-08,66.0,67316.0,0.1,95.0,0.0
2021-08-09,39.0,46447.0,0.08,76.0,1.0
2021-08-10,52.0,65123.0,0.08,45.0,1.0
2021-08-11,37.0,66886.0,0.06,47.0,0.0
2021-08-12,,,,,
2021-08-13,50.0,73324.0,0.07,84.0,0.0
2021-08-14,50.0,70512.0,0.07,39.0,1.0
2021-08-15,53.0,65007.0,0.08,18.0,0.0
2021-08-16,27.0,39587.0,0.07,73.0,0.0
2021-08-17,38.0,53345.0,0.07,30.0,4.0
2021-08-18,36.0,66445.0,0.05,76.0,4.0
2021-08-19,25.0,69160.0,0.04,2.0,2.0
2021-08-20,57.0,73718.0,0.08,46.0,0.0
2021-08-21,19.0,59740.0,0.03,48.0,0.0
2021-08-22,24.0,53624.0,0.04,56.0,0.0
2021-08-23,17.0,46251.0,0.04,41.0,0.0
2021-08-24,39.0,64810.0,0.06,114.0,0.0
2021-08-25,35.0,73511.0,0.05,86.0,1.0
2021-08-26,45.0,72153.0,0.06,21.0,0.0
2021-08-27,46.0,74649.0,0.06,62.0,0.0
2021-08-28,29.0,72434.0,0.04,48.0,0.0
2021-08-29,31.0,71634.0,0.04,32.0,0.0
2021-08-30,20.0,51387.0,0.04,36.0,1.0
2021-08-31,28.0,55371.0,0.05,53.0,1.0
2021-09-01,36.0,59013.0,0.06,42.0,0.0
2021-09-02,39.0,60483.0,0.06,38.0,0.0
2021-09-03,35.0,63812.0,0.05,17.0,0.0
2021-09-04,55.0,70303.0,0.08,63.0,0.0
2021-09-05,30.0,65365.0,0.05,33.0,0.0
2021-09-06,32.0,54611.0,0.06,16.0,0.0
2021-09-07,50.0,69932.0,0.07,30.0,1.0
2021-09-08,41.0,75079.0,0.05,13.0,0.0
2021-09-09,36.0,79003.0,0.05,35.0,0.0
2021-09-10,36.0,76883.0,0.05,52.0,0.0
2021-09-11,35.0,74540.0,0.05,44.0,0.0
2021-09-12,22.0,61968.0,0.04,44.0,0.0
2021-09-13,17.0,40399.0,0.04,30.0,0.0
2021-09-14,38.0,70308.0,0.05,15.0,0.0
2021-09-15,57.0,74199.0,0.08,53.0,0.0
2021-09-16,28.0,72481.0,0.04,22.0,1.0
2021-09-17,33.0,74099.0,0.04,56.0,1.0
2021-09-18,41.0,68624.0,0.06,44.0,0.0
2021-09-19,28.0,63302.0,0.04,45.0,0.0
2021-09-20,20.0,47845.0,0.04,28.0,0.0
2021-09-21,39.0,66278.0,0.06,18.0,0.0
2021-09-22,30.0,70651.0,0.04,19.0,0.0
2021-09-23,48.0,70533.0,0.07,26.0,0.0
2021-09-24,24.0,69465.0,0.03,66.0,0.0
2021-09-25,27.0,68498.0,0.04,39.0,0.0
2021-09-26,29.0,62546.0,0.05,37.0,0.0
2021-09-27,32.0,50367.0,0.06,37.0,0.0
2021-09-28,34.0,65101.0,0.05,25.0,2.0
2021-09-29,41.0,71983.0,0.06,22.0,0.0
2021-09-30,47.0,72386.0,0.06,39.0,0.0
2021-10-01,32.0,68308.0,0.05,23.0,0.0
2021-10-02,33.0,68362.0,0.05,58.0,1.0
2021-10-03,33.0,50631.0,0.07,30.0,0.0
2021-10-04,34.0,34038.0,0.1,22.0,0.0
2021-10-05,27.0,55537.0,0.05,76.0,0.0
2021-10-06,26.0,66682.0,0.04,21.0,0.0
2021-10-07,44.0,64079.0,0.07,15.0,0.0
2021-10-08,39.0,67206.0,0.06,23.0,0.0
2021-10-09,30.0,62450.0,0.05,52.0,0.0
2021-10-10,29.0,58989.0,0.05,58.0,1.0
2021-10-11,23.0,46843.0,0.05,1.0,0.0
2021-10-12,34.0,61094.0,0.06,38.0,0.0
2021-10-13,31.0,65548.0,0.05,58.0,0.0
2021-10-14,28.0,61012.0,0.05,29.0,0.0
2021-10-15,26.0,59653.0,0.04,36.0,0.0
2021-10-16,21.0,48870.0,0.04,22.0,0.0
2021-10-17,32.0,44867.0,0.07,38.0,0.0
2021-10-18,15.0,44739.0,0.03,37.0,0.0
2021-10-19,36.0,58729.0,0.06,11.0,1.0
2021-10-20,25.0,56293.0,0.04,37.0,0.0
2021-10-21,22.0,42563.0,0.05,21.0,0.0
2021-10-22,38.0,55909.0,0.07,8.0,1.0
2021-10-23,40.0,61152.0,0.07,46.0,0.0
2021-10-24,37.0,60704.0,0.06,51.0,0.0
2021-10-25,27.0,46667.0,0.06,40.0,0.0
2021-10-26,41.0,50202.0,0.08,25.0,0.0
2021-10-27,38.0,59909.0,0.06,13.0,0.0
2021-10-28,42.0,63174.0,0.07,45.0,0.0
2021-10-29,37.0,59293.0,0.06,48.0,0.0
2021-10-30,37.0,59090.0,0.06,22.0,0.0
2021-10-31,45.0,56751.0,0.08,46.0,0.0
2021-11-01,18.0,40990.0,0.04,49.0,0.0
2021-11-02,34.0,48831.0,0.07,42.0,0.0
2021-11-03,41.0,52791.0,0.08,30.0,0.0
2021-11-04,40.0,51256.0,0.08,57.0,0.0
2021-11-05,32.0,22603.0,0.14,7.0,0.0
2021-11-06,36.0,34554.0,0.1,13.0,0.0
2021-11-07,47.0,43337.0,0.11,33.0,0.0
2021-11-08,25.0,41304.0,0.06,48.0,0.0
2021-11-09,33.0,51130.0,0.06,26.0,0.0
2021-11-10,54.0,57900.0,0.09,15.0,0.0
2021-11-11,40.0,49912.0,0.08,61.0,0.0
2021-11-12,62.0,49874.0,0.12,56.0,2.0
2021-11-13,56.0,58483.0,0.1,66.0,0.0
2021-11-14,36.0,54161.0,0.07,47.0,1.0
2021-11-15,16.0,37495.0,0.04,27.0,1.0
2021-11-16,44.0,52166.0,0.08,24.0,0.0
2021-11-17,44.0,59396.0,0.07,55.0,0.0
2021-11-18,47.0,59212.0,0.08,31.0,0.0
