date,cumulative_positive_cases,cumulative_positivity_rate,cumulative_recovered,cumulative_deaths,cumulative_cfr,active_cases
2020-06-30,,,58348.0,2742.0,,26270.0
2020-06-29,,,56235.0,2680.0,,26246.0
2020-06-28,,,52607.0,2623.0,,27847.0
2020-06-27,,,49301.0,2558.0,,28329.0
2020-06-26,,,47091.0,2492.0,,27657.0
2020-06-25,,,44765.0,2429.0,,26586.0
2020-06-24,,,41437.0,2365.0,,26588.0
2020-06-23,,,39313.0,2301.0,,24988.0
2020-06-22,,,36602.0,2233.0,,23820.0
2020-06-21,,,33013.0,2175.0,,24558.0
2020-06-20,,,31294.0,2112.0,,23340.0
2020-06-19,,,,,,
2020-06-18,,,21341.0,1969.0,,26669.0
2020-06-17,,,,,,
2020-06-16,,,,,,
2020-06-15,,,,,,
2020-06-14,,,,,,
2020-06-13,,,,,,
2020-06-12,,,,,,
2020-06-11,,,,,,
2020-06-10,,,,,,
2020-06-09,,,,,,
2020-06-08,,,,,,
2020-06-07,,,,,,
2020-06-06,,,,,,
2020-06-05,,,,,,
2020-06-04,,,,,,
2020-06-03,,,,,,
2020-06-02,,,,,,
2020-06-01,,,,,,
2020-07-01,,,59992.0,2803.0,,27007.0
2020-07-02,,,63007.0,2864.0,,26304.0
2020-07-03,,,65624.0,2923.0,,26148.0
2020-07-04,,,68256.0,3004.0,,25940.0
2020-07-05,,,71339.0,3067.0,,25038.0
2020-07-06,,,72088.0,3115.0,,25620.0
2020-07-07,,,74217.0,3165.0,,25449.0
2020-07-08,,,78199.0,3213.0,,23452.0
2020-07-09,,,82226.0,3258.0,,21567.0
2020-07-10,,,,,,
2020-07-11,,,87692.0,3334.0,,19895.0
2020-07-12,,,89968.0,3371.0,,19155.0
2020-07-13,,,91312.0,3411.0,,19017.0
2020-07-14,,,93236.0,3446.0,,18664.0
2020-07-15,,,95699.0,3487.0,,17807.0
2020-07-16,,,97693.0,3545.0,,17407.0
2020-07-17,,,99301.0,3571.0,,17235.0
2020-07-18,,,101274.0,3597.0,,16711.0
2020-07-19,,,103134.0,3628.0,,16031.0
2020-07-20,,,104918.0,3663.0,,15166.0
2020-07-21,,,106118.0,3690.0,,15288.0
2020-07-22,,,107650.0,3719.0,,14954.0
2020-07-23,,,109065.0,3745.0,,14554.0
2020-07-24,,,110931.0,3777.0,,13681.0
2020-07-25,,,113068.0,3806.0,,12657.0
2020-07-26,,,114875.0,3827.0,,11904.0
2020-07-27,,,116372.0,3853.0,,10994.0
2020-07-28,,,117507.0,3881.0,,10887.0
2020-07-29,,,118633.0,3907.0,,10770.0
2020-07-30,,,,,,
2020-07-31,,,120930.0,3963.0,,10705.0
2020-08-01,,,122131.0,3989.0,,10596.0
2020-08-02,,,123317.0,4004.0,,10356.0
2020-08-03,,,124254.0,4021.0,,10207.0
2020-08-04,,,125226.0,4033.0,,9897.0
2020-08-05,,,126116.0,4044.0,,10072.0
2020-08-06,,,127124.0,4059.0,,10348.0
2020-08-07,,,128232.0,4082.0,,10409.0
2020-08-08,,,129362.0,4098.0,,10667.0
2020-08-09,,,130587.0,4111.0,,10729.0
2020-08-10,,,131657.0,4131.0,,10346.0
2020-08-11,,,132384.0,4139.0,,10868.0
2020-08-12,,,133405.0,4153.0,,10946.0
2020-08-13,,,134318.0,4167.0,,10975.0
2020-08-14,,,135108.0,4178.0,,11366.0
2020-08-15,,,136251.0,4188.0,,11489.0
2020-08-16,,,137561.0,4196.0,,10823.0
2020-08-17,,,138301.0,4214.0,,10852.0
2020-08-18,,,,,,
2020-08-19,,,,,,
2020-08-20,,,,,,
2020-08-21,,,,,,
2020-08-22,,,,,,
2020-08-23,,,,,,
2020-08-24,,,,,,
2020-08-25,,,,,,
2020-08-26,,,,,,
2020-08-27,,,,,,
2020-08-28,,,,,,
2020-08-29,,,,,,
2020-08-30,,,,,,
2020-08-31,,,,,,
2020-09-01,,,,,,
2020-09-02,,,,,,
2020-09-03,,,,,,
2020-09-04,,,,,,
2020-09-05,,,,,,
2020-09-06,,,,,,
2020-09-07,,,,,,
2020-09-08,,,,,,
2020-09-09,,,,,,
2020-09-10,,,,,,
2020-09-11,,,,,,
2020-09-12,214069.0,10.28,181295.0,4715.0,2.2,28059.0
2020-09-13,218304.0,10.2,184748.0,4744.0,2.17,28812.0
2020-09-14,221533.0,10.14,188122.0,4770.0,2.15,28641.0
2020-09-15,225796.0,10.05,191203.0,4806.0,2.13,29787.0
2020-09-16,230269.0,9.97,194516.0,4839.0,2.1,30914.0
2020-09-17,234701.0,9.9,198103.0,4877.0,2.08,31721.0
2020-09-18,238828.0,9.83,201671.0,4907.0,2.05,32250.0
2020-09-19,242899.0,9.75,205890.0,4945.0,2.04,32064.0
2020-09-20,246711.0,9.66,209632.0,4982.0,2.02,32097.0
2020-09-21,249259.0,9.67,213304.0,5014.0,2.01,30941.0
2020-09-22,253075.0,9.59,216401.0,5051.0,2.0,31623.0
2020-09-23,256789.0,9.52,220866.0,5087.0,1.98,30836.0
2020-09-24,260623.0,9.45,224375.0,5123.0,1.97,31125.0
2020-09-25,264450.0,9.39,228436.0,5147.0,1.95,30867.0
2020-09-26,267822.0,9.32,232912.0,5193.0,1.94,29717.0
2020-09-27,271114.0,9.27,236651.0,5235.0,1.93,29228.0
2020-09-28,273098.0,9.22,240703.0,5272.0,1.93,27123.0
2020-09-29,276325.0,9.15,243481.0,5320.0,1.93,27524.0
2020-09-30,279715.0,9.08,247446.0,5361.0,1.92,26908.0
2020-10-01,282752.0,9.02,250613.0,5401.0,1.91,26738.0
2020-10-02,285672.0,8.95,253784.0,5438.0,1.9,26450.0
2020-10-03,287930.0,8.91,257224.0,5472.0,1.9,25234.0
2020-10-04,290613.0,8.86,260350.0,5510.0,1.9,24753.0
2020-10-05,292560.0,8.82,263938.0,5542.0,1.89,23080.0
2020-10-06,,,,,,
2020-10-07,298107.0,8.71,270305.0,5616.0,1.88,22186.0
2020-10-08,300833.0,8.66,272948.0,5653.0,1.88,22232.0
2020-10-09,303693.0,8.62,276046.0,5692.0,1.87,21955.0
2020-10-10,306559.0,8.58,278812.0,5740.0,1.87,22007.0
2020-10-11,309339.0,8.54,281869.0,5769.0,1.86,21701.0
2020-10-12,311188.0,8.5,284844.0,5809.0,1.87,20535.0
2020-10-13,314224.0,8.46,286880.0,5854.0,1.86,21490.0
2020-10-14,317548.0,8.42,289747.0,5898.0,1.86,21903.0
2020-10-15,321031.0,8.38,292502.0,5924.0,1.85,22605.0
2020-10-16,324459.0,8.35,295699.0,5946.0,1.83,22814.0
2020-10-17,327718.0,8.32,298853.0,5981.0,1.83,22884.0
2020-10-18,331017.0,8.3,301716.0,6009.0,1.82,23292.0
2020-10-19,333171.0,8.27,304561.0,6040.0,1.81,22570.0
2020-10-20,336750.0,8.25,306747.0,6081.0,1.81,23922.0
2020-10-21,340436.0,8.22,310191.0,6128.0,1.8,24117.0
2020-10-22,344318.0,8.2,312918.0,6163.0,1.79,25237.0
2020-10-23,348404.0,8.18,316214.0,6189.0,1.78,26001.0
2020-10-24,352520.0,8.17,319828.0,6225.0,1.77,26467.0
2020-10-25,356656.0,8.17,323654.0,6258.0,1.76,26744.0
2020-10-26,359488.0,8.17,327390.0,6312.0,1.76,25786.0
2020-10-27,364341.0,8.18,330112.0,6356.0,1.74,27873.0
2020-10-28,370014.0,8.19,334240.0,6396.0,1.73,29378.0
2020-10-29,375753.0,8.21,338378.0,6423.0,1.71,30952.0
2020-10-30,381644.0,8.23,342811.0,6470.0,1.7,32363.0
2020-10-31,386706.0,8.26,347476.0,6511.0,1.68,32719.0
2020-11-01,392370.0,8.3,351635.0,6562.0,1.67,34173.0
2020-11-02,396371.0,8.32,356459.0,6604.0,1.67,33308.0
2020-11-03,403096.0,8.36,360069.0,6652.0,1.65,36375.0
2020-11-04,409938.0,8.4,365866.0,6703.0,1.64,37369.0
2020-11-05,416653.0,8.45,371155.0,6769.0,1.62,38729.0
2020-11-06,,,,,,
2020-11-07,430784.0,8.53,383614.0,6912.0,1.61,40258.0
2020-11-08,438529.0,8.6,389683.0,6989.0,1.59,41857.0
