date,hospital_beds_total,hospital_beds_occupied,hospital_beds_vacant,covid_care_center_beds_total,covid_care_center_beds_occupied,covid_care_center_beds_vacant,covid_health_center_beds_total,covid_health_center_beds_occupied,covid_health_center_beds_vacant,home_isolation_count
2020-06-18,10919.0,5448.0,5471.0,344.0,140.0,204.0,5974.0,1155.0,4819.0,
2020-06-20,12208.0,5923.0,6285.0,5909.0,1139.0,4770.0,344.0,149.0,195.0,12611.0
2020-06-21,12651.0,6054.0,6597.0,5909.0,1426.0,4883.0,344.0,205.0,139.0,12106.0
2020-06-22,13183.0,6213.0,6970.0,5909.0,1579.0,4330.0,344.0,197.0,147.0,12922.0
2020-06-23,13389.0,6264.0,7125.0,5909.0,1607.0,4302.0,344.0,207.0,137.0,12963.0
2020-06-24,13411.0,6203.0,7208.0,5909.0,1547.0,4362.0,344.0,206.0,138.0,14844.0
2020-06-25,13411.0,6241.0,7170.0,5909.0,1585.0,4324.0,344.0,211.0,133.0,15159.0
2020-06-26,13411.0,6221.0,7190.0,5909.0,1504.0,4405.0,344.0,223.0,121.0,16249.0
2020-06-27,13411.0,6068.0,7343.0,5909.0,1700.0,4209.0,344.0,232.0,112.0,17381.0
2020-06-28,13411.0,6014.0,7397.0,5909.0,1558.0,4351.0,344.0,238.0,106.0,17148.0
2020-06-29,13411.0,5977.0,7434.0,7869.0,1615.0,6254.0,544.0,241.0,303.0,16329.0
2020-06-30,13661.0,5912.0,7749.0,7869.0,1686.0,6183.0,544.0,233.0,311.0,16240.0
2020-07-01,15242.0,5892.0,9350.0,7869.0,1745.0,6124.0,544.0,225.0,319.0,16703.0
2020-07-02,15243.0,5747.0,9496.0,7869.0,1885.0,5984.0,544.0,170.0,374.0,16129.0
2020-07-03,15243.0,5635.0,9608.0,7869.0,1948.0,5921.0,544.0,167.0,377.0,15878.0
2020-07-04,15283.0,5522.0,9761.0,7869.0,1756.0,6113.0,544.0,153.0,391.0,16004.0
2020-07-05,15301.0,5356.0,9945.0,7869.0,1726.0,6143.0,544.0,148.0,396.0,15564.0
2020-07-06,15301.0,5250.0,10051.0,7869.0,1714.0,6155.0,544.0,136.0,408.0,17141.0
2020-07-07,15301.0,5003.0,10298.0,7869.0,1688.0,6181.0,544.0,142.0,402.0,16608.0
2020-07-08,15096.0,4859.0,10237.0,7869.0,1758.0,6111.0,544.0,141.0,403.0,14661.0
2020-07-09,15096.0,4784.0,10312.0,7869.0,1918.0,5951.0,544.0,135.0,409.0,12543.0
2020-07-11,15253.0,4502.0,10751.0,9217.0,1857.0,7360.0,544.0,157.0,387.0,11598.0
2020-07-12,15253.0,4315.0,,9217.0,2055.0,7162.0,544.0,153.0,391.0,11059.0
2020-07-13,15253.0,4309.0,10944.0,9217.0,2148.0,7069.0,544.0,144.0,300.0,11170.0
2020-07-14,15300.0,4194.0,,9294.0,2041.0,7253.0,544.0,128.0,416.0,10695.0
2020-07-15,15363.0,4021.0,11342.0,9284.0,2029.0,7255.0,554.0,167.0,387.0,9943.0
2020-07-16,15364.0,3819.0,11545.0,9284.0,2113.0,7171.0,554.0,171.0,383.0,9652.0
2020-07-17,15474.0,3696.0,11778.0,9284.0,2304.0,6980.0,554.0,178.0,376.0,9595.0
2020-07-18,15475.0,3635.0,11840.0,9284.0,2291.0,6993.0,554.0,174.0,380.0,9136.0
2020-07-19,15475.0,3592.0,11883.0,9454.0,2250.0,7204.0,554.0,159.0,395.0,8819.0
2020-07-20,15475.0,3517.0,11958.0,9454.0,2165.0,7289.0,554.0,151.0,403.0,8379.0
2020-07-21,15475.0,3517.0,11958.0,9454.0,2136.0,7318.0,554.0,160.0,394.0,8126.0
2020-07-22,15475.0,3342.0,12133.0,9454.0,2262.0,7292.0,554.0,157.0,397.0,7966.0
2020-07-23,15475.0,3271.0,12204.0,9554.0,2092.0,7462.0,554.0,150.0,404.0,8000.0
2020-07-24,15475.0,3210.0,12265.0,9554.0,1522.0,8032.0,554.0,146.0,408.0,7778.0
2020-07-25,15475.0,3135.0,12340.0,9244.0,904.0,,554.0,137.0,417.0,7339.0
2020-07-26,15475.0,2856.0,12619.0,9444.0,853.0,,554.0,144.0,410.0,6976.0
2020-07-27,15271.0,2835.0,12436.0,9412.0,761.0,,554.0,147.0,407.0,6638.0
2020-07-28,15408.0,2775.0,12633.0,9412.0,678.0,,554.0,159.0,395.0,6219.0
2020-07-29,16008.0,3028.0,12980.0,10018.0,647.0,,554.0,166.0,388.0,5894.0
2020-07-31,14303.0,2932.0,11371.0,10244.0,652.0,,554.0,163.0,391.0,5763.0
2020-08-01,13578.0,2979.0,10599.0,10244.0,673.0,,554.0,166.0,388.0,5660.0
2020-08-02,13578.0,2886.0,10692.0,10244.0,685.0,,554.0,161.0,393.0,5663.0
2020-08-03,13578.0,2973.0,10605.0,10244.0,694.0,,554.0,158.0,396.0,
2020-08-04,13578.0,2954.0,10624.0,10146.0,654.0,,554.0,154.0,400.0,5461.0
2020-08-05,13578.0,2995.0,10583.0,10146.0,616.0,,554.0,158.0,396.0,5227.0
2020-08-06,13571.0,3024.0,10547.0,10146.0,622.0,,554.0,159.0,395.0,5244.0
2020-08-07,13571.0,3069.0,10502.0,10146.0,624.0,,554.0,157.0,397.0,5367.0
2020-08-08,13527.0,3058.0,10469.0,10146.0,659.0,,554.0,174.0,380.0,5372.0
2020-08-09,13527.0,3084.0,10443.0,10146.0,711.0,,554.0,172.0,382.0,5462.0
2020-08-10,13527.0,3115.0,10412.0,10146.0,711.0,,554.0,176.0,378.0,5637.0
2020-08-11,13722.0,3212.0,10510.0,10146.0,697.0,,554.0,179.0,375.0,5523.0
2020-08-12,13963.0,3351.0,10612.0,10146.0,707.0,,554.0,177.0,377.0,5598.0
2020-08-13,14016.0,3322.0,10694.0,10143.0,743.0,,594.0,192.0,402.0,5762.0
2020-08-14,14125.0,3372.0,10753.0,10143.0,726.0,,594.0,194.0,400.0,5882.0
2020-08-15,14125.0,3495.0,10630.0,10143.0,724.0,,594.0,185.0,409.0,5809.0
2020-08-16,14117.0,3483.0,10634.0,10143.0,739.0,,594.0,187.0,407.0,5762.0
2020-08-17,14117.0,3566.0,10551.0,10143.0,765.0,,594.0,182.0,412.0,5552.0
2020-08-18,14121.0,3539.0,10582.0,10143.0,637.0,,594.0,167.0,427.0,5351.0
2020-08-19,14122.0,3595.0,10527.0,10143.0,600.0,,594.0,167.0,427.0,5377.0
2020-08-20,14122.0,3582.0,10540.0,10143.0,593.0,,594.0,174.0,420.0,5707.0
2020-08-21,14125.0,3585.0,10540.0,10143.0,598.0,,594.0,175.0,419.0,5818.0
2020-08-22,14124.0,3600.0,10524.0,10143.0,589.0,,594.0,202.0,392.0,5791.0
2020-08-23,14126.0,3617.0,10509.0,10143.0,612.0,,594.0,203.0,391.0,5896.0
2020-08-24,14127.0,3590.0,10537.0,10143.0,625.0,,594.0,207.0,387.0,6143.0
2020-08-25,14129.0,3617.0,10512.0,10143.0,661.0,,594.0,227.0,367.0,5949.0
2020-08-26,14130.0,3682.0,10448.0,10143.0,694.0,,594.0,243.0,351.0,6208.0
2020-08-27,14135.0,3814.0,10321.0,10143.0,715.0,,594.0,243.0,351.0,6596.0
2020-08-28,14138.0,3904.0,10234.0,10143.0,728.0,,594.0,260.0,334.0,6850.0
2020-08-29,14143.0,3966.0,10177.0,10143.0,821.0,,594.0,275.0,319.0,7024.0
2020-08-31,14145.0,4146.0,9999.0,10143.0,901.0,,599.0,345.0,254.0,7876.0
2020-09-01,14148.0,4186.0,9962.0,10143.0,902.0,,601.0,351.0,250.0,8119.0
2020-09-02,14146.0,4278.0,9868.0,10143.0,941.0,,601.0,367.0,234.0,8407.0
2020-09-03,14140.0,4477.0,9663.0,10143.0,963.0,,601.0,380.0,221.0,9135.0
2020-09-04,14159.0,4730.0,9429.0,10143.0,984.0,,601.0,392.0,209.0,9822.0
2020-09-05,14163.0,4934.0,9229.0,8580.0,1049.0,,601.0,400.0,201.0,10514.0
2020-09-07,14165.0,5218.0,8947.0,8580.0,1187.0,,601.0,448.0,153.0,11613.0
2020-09-12,14390.0,6294.0,8096.0,8580.0,1614.0,,601.0,459.0,142.0,15371.0
2020-09-13,14377.0,6503.0,7874.0,8580.0,1692.0,,601.0,436.0,165.0,15946.0
2020-09-14,14409.0,6592.0,7817.0,8580.0,1807.0,,601.0,445.0,156.0,16568.0
2020-09-15,14482.0,6658.0,7824.0,8137.0,1859.0,,594.0,431.0,163.0,16576.0
2020-09-16,14521.0,6783.0,7738.0,8137.0,1908.0,,601.0,426.0,175.0,17324.0
2020-09-17,14652.0,6893.0,7759.0,8137.0,1915.0,,601.0,443.0,158.0,18038.0
2020-09-18,14974.0,6956.0,8018.0,8137.0,2014.0,,601.0,452.0,149.0,18701.0
2020-09-19,14996.0,7043.0,7953.0,8137.0,1890.0,,601.0,412.0,189.0,18648.0
