date,vax_total_24h,vax_first_dose_24h,vax_sec_dose_24h,vax_cumulative,vax_cumulative_first_dose,vax_cumulative_sec_dose
2021-09-18,152911,84236,68675,15762953,11072517,4690436
2021-09-19,203527,104457,99070,15966480,11176974,4789506
2021-09-20,21842,10489,11353,15988322,11187463,4800859
2021-09-21,211004,111454,99550,16199326,11298917,4900409
2021-09-22,196152,99066,97086,16395478,11397983,4997495
2021-09-23,176379,86691,89688,16571857,11484674,5087183
2021-09-24,187878,85558,102320,16759735,11570232,5189503
2021-09-25,162344,71096,91248,16922079,11641328,5280751
2021-09-26,209860,82480,127380,17131939,11723808,5408131
2021-09-27,21887,9518,12369,17153826,11733326,5420500
2021-09-28,205999,90935,115064,17359825,11824261,5535564
2021-09-29,180663,81572,99091,17557752,11921965,5635787
2021-09-30,152741,71723,81018,17710493,11993688,5716805
2021-10-01,169267,75500,93767,17879760,12069188,5810572
2021-10-02,186140,75505,110635,18065900,12144693,5921207
2021-10-03,137441,54588,82853,18203341,12199281,6004060
2021-10-04,18413,7457,10956,18221754,12206738,6015016
2021-10-05,173016,71579,101437,18394770,12278317,6116453
2021-10-06,153466,60028,93438,18548236,12338345,6209891
2021-10-07,111299,43537,67762,18659535,12381882,6277653
2021-10-08,90770,36242,54528,18750305,12418124,6332181
2021-10-09,107452,39729,67723,18857757,12457853,6399904
2021-10-10,154320,54573,99747,19012077,12512426,6499651
2021-10-11,47923,24236,23687,19060000,12536662,6523338
2021-10-12,129181,52582,76599,19189181,12589244,6599937
2021-10-13,101891,41230,60661,19291072,12630474,6660598
2021-10-14,74583,29985,44598,19365655,12660459,6705196
2021-10-15,75734,28393,47341,19441389,12688852,6752537
2021-10-16,2468,483,1985,19443857,12689335,6754522
2021-10-17,112424,36827,75597,19556281,12726162,6830119
2021-10-18,43943,14916,29027,19600224,12741078,6859146
2021-10-19,95714,32494,63220,19695938,12773572,6922366
2021-10-20,74744,24729,50015,19770682,12798301,6972381
2021-10-21,62980,21632,41348,19833662,12819933,7013729
2021-10-22,74684,25498,49186,19908346,12845431,7062915
2021-10-23,63917,22740,41177,19972263,12868171,7104092
2021-10-24,73833,25328,48505,20046096,12893499,7152597
2021-10-25,4761,1978,2783,20050857,12895477,7155380
2021-10-26,76947,27747,49200,20127804,12923224,7204580
2021-10-27,73512,26241,47271,20201316,12949465,7251851
2021-10-28,61097,22257,38840,20262413,12971722,7290691
2021-10-29,55278,20450,34828,20317691,12992172,7325519
2021-10-30,58830,21476,37354,20376521,13013648,7362873
2021-10-31,79014,29571,49443,20455535,13043219,7412316
2021-11-01,24219,12440,11797,20479754,13055659,7424095
2021-11-02,53046,20277,32769,20532800,13075936,7456864
2021-11-03,37080,13833,23247,20569880,13089769,7480111
2021-11-04,6470,2024,4446,20576350,13091793,7484557
2021-11-05,132,34,98,20576482,13091827,7484655
2021-11-06,42349,12754,29595,20618831,13104581,7514250
2021-11-07,56904,17191,39713,20675735,13121772,7553963
2021-11-08,44292,15618,28674,20737556,13144020,7593536
2021-11-09,83967,28083,55884,20821523,13172103,7649420
2021-11-10,85198,28898,56300,20906721,13201001,7705720
2021-11-11,59535,19676,39859,20966256,13220677,7745579
2021-11-12,81035,28646,52389,21047291,13249323,7797968
2021-11-13,78443,26892,51551,21125734,13276215,7849519
2021-11-14,113420,38043,75377,21239154,13314258,7924896
2021-11-15,17060,7552,9508,21256214,13321810,7934404
2021-11-16,114547,42752,71795,21370761,13364562,8006199
2021-11-17,100316,39017,61299,21471077,13403579,8067498
2021-11-18,80617,32326,48291,21551694,13435905,8115789
2021-11-19,96556,38245,58311,21648250,13474150,8174100
2021-11-20,71183,26375,44808,21719433,13500525,8218908
2021-11-21,101782,36750,65032,21821215,13537275,8283940
2021-11-22,21305,8695,12610,21842520,13545970,8296550
2021-11-23,109548,41246,68302,21952068,13587216,8364852
2021-11-24,111395,43638,67757,22063463,13630854,8432609
2021-11-25,92940,36583,56357,22156403,13667437,8488966
2021-11-26,102730,40575,62155,22259133,13708012,8551121
2021-11-27,123901,42388,81513,22469578,13782793,8686785
2021-11-28,123901,42388,81513,22469578,13782793,8686785
2021-11-29,124524,47579,76945,22755167,13889637,8865530
2021-11-30,99518,36870,62648,22854685,13926507,8928178
2021-12-01,124524,47579,76945,22755167,13889637,8865530
2021-12-02,99518,36870,62648,22854685,13926507,8928178
2021-12-03,107293,38825,68468,22961978,13965332,8996646
2021-12-04,104328,39352,64976,23066306,14004684,9061622
2021-12-05,165236,62567,102669,23231542,14067251,9164291
2021-12-06,45263,19349,25914,23276805,14086600,9190205
2021-12-07,172848,68781,104067,23449653,14155381,9294272
2021-12-08,158648,63919,94729,23608301,14219300,9389001
2021-12-09,127431,50434,76997,23735732,14269734,9465998
2021-12-10,122300,48351,73949,23858032,14318085,9539947
2021-12-11,102660,39997,62663,23960692,14358082,9602610
2021-12-12,139453,49805,89648,24100145,14407887,9692258
2021-12-13,36072,15012,21060,24136217,14422899,9713318
2021-12-14,135262,49444,85818,24271479,14472343,9799136
2021-12-15,123434,45007,78427,24394913,14517350,9877563
2021-12-16,106902,38240,68662,24501815,14555590,9946225
2021-12-17,109221,37245,71976,24611036,14592835,10018201
2021-12-18,95460,31803,63657,24706496,14624638,10081858
2021-12-19,123719,38970,84749,24830215,14663608,10166607
2021-12-20,30080,11149,18931,24860295,14674757,10185538
2021-12-21,131180,41123,90057,24991475,14715880,10275595
2021-12-22,117481,37295,80186,25108956,14753175,10355781
2021-12-23,102576,32087,70489,25211532,14785262,10426270
2021-12-24,122740,40949,81791,25334272,14826211,10508061
2021-12-25,114311,39233,75078,25448583,14865444,10583139
2021-12-26,109032,37964,71068,25557615,14903408,10654207
2021-12-27,32116,12175,19941,25589731,14915583,10674148
2021-12-28,175392,62728,112664,25765123,14978311,10786812
2021-12-29,153968,58133,95835,25919091,15036444,10882647
2021-12-30,150922,60586,90336,26070013,15097030,10972983
2021-12-31,170595,72639,97956,26240608,15169669,11070939
2022-01-01,124148,52767,71381,26364756,15222436,11142320
2022-01-02,83867,34922,48945,26448623,15257358,11191265
2022-01-03,23614,9167,14447,26472237,15266525,11205712
2022-01-04,185595,92928,92667,26657832,15359453,11298379
2022-01-05,198213,108147,90066,26856045,15467600,11388445
2022-01-06,141498,89945,51553,26997543,15557545,11439998
2022-01-07,200280,128843,71797,27197823,15686028,11511795
2022-01-08,179885,120371,59514,27377708,15806399,11571309
2022-01-09,119334,77807,41527,27497042,15884206,11612836
2022-01-10,25030,16901,8129,27522072,15901107,11620965
2022-01-11,197617,112940,65819,16014047,11686784,18858
2022-01-12,188395,104382,61434,16118429,11748218,41437
2022-01-13,163851,94838,45322,16213267,11793540,65128
2022-01-14,167374,100621,42464,16313888,11836004,89417
2022-01-15,129538,80606,30531,16394494,11866535,107818
2022-01-16,165924,94486,52747,16488980,11919282,126509
2022-01-17,23577,14723,6978,16503703,11926260,128385
2022-01-18,151314,86860,45582,16590563,11971842,147257
2022-01-19,125611,70314,39784,16660877,12011626,162770
