date,district_name,cases_daily,cases_total,deaths_daily,deaths_total
2020-11-02,gondia,28.0,9983,0.0,112
2020-11-02,grand total,4009.0,1687784,104.0,44128
2020-11-02,hingoli,23.0,3679,0.0,74
2020-11-02,jalgaon,23.0,41285,0.0,1063
2020-11-02,jalgaon mc,18.0,12354,0.0,287
2020-11-02,jalna,45.0,10524,0.0,285
2020-11-02,kdmc,93.0,54157,0.0,941
2020-11-02,kolhapur,21.0,33664,0.0,1216
2020-11-02,kolhapur circle total,170.0,109481,9.0,3671
2020-11-02,kolhapur mc,11.0,13668,0.0,394
2020-11-02,latur,13.0,12476,0.0,408
2020-11-02,latur circle total,195.0,69560,2.0,2048
2020-11-02,latur mc,37.0,8342,0.0,202
2020-11-02,malegaon mc,3.0,4147,0.0,151
2020-11-02,mcgm,706.0,259111,30.0,10348
2020-11-02,mira bhayandar mc,55.0,23757,4.0,663
2020-11-02,mumbai circle total,1378.0,586363,40.0,18057
2020-11-02,nagpur,62.0,24583,0.0,511
2020-11-02,nagpur circle total,420.0,150326,9.0,3540
2020-11-02,nagpur mc,102.0,77993,0.0,2228
2020-11-02,nanded,19.0,10281,0.0,283
2020-11-02,nanded mc,35.0,9012,0.0,241
2020-11-02,nandurbar,19.0,6428,0.0,141
2020-11-02,nashik,341.0,26281,0.0,523
2020-11-02,nashik circle total,682.0,226127,4.0,4232
2020-11-02,nashik mc,142.0,64993,1.0,870
2020-11-02,navi mumbai,123.0,48191,3.0,1027
2020-11-02,osmanabad,29.0,15420,2.0,499
2020-11-02,other states/countries,11.0,2183,,147
2020-11-02,palghar,7.0,15508,0.0,300
2020-11-02,panvel mc,52.0,24914,2.0,526
2020-11-02,parbhani,15.0,3738,0.0,118
2020-11-02,parbhani mc,5.0,2952,0.0,120
2020-11-02,pcmc,107.0,84759,2.0,1203
2020-11-02,pmc,113.0,172688,13.0,3930
2020-11-02,pune,155.0,77647,16.0,1601
2020-11-02,pune circle total,767.0,427432,39.0,9601
2020-11-02,raigad,58.0,34909,0.0,879
2020-11-02,ratnagiri,13.0,10023,0.0,376
2020-11-02,sangli,90.0,27834,7.0,983
2020-11-02,sangli mc,13.0,19234,2.0,569
2020-11-02,satara,251.0,48004,3.0,1414
2020-11-02,sindhudurg,22.0,5058,0.0,133
2020-11-02,solapur,123.0,33983,5.0,925
2020-11-02,solapur mc,18.0,10351,0.0,528
2020-11-02,thane,72.0,34599,0.0,835
2020-11-02,tmc,144.0,46964,0.0,1212
2020-11-02,ulhasnagar mc,7.0,10356,0.0,325
2020-11-02,vasai virar mc,57.0,27621,1.0,652
2020-11-02,wardha,18.0,6666,0.0,204
2020-11-02,washim,10.0,5783,0.0,136
2020-11-02,yawatmal,22.0,10975,0.0,316
2020-11-03,ahamadnagar,221.0,38232,2.0,534
2020-11-03,ahamadnagar mc,26.0,18426,0.0,346
2020-11-03,akola,5.0,3869,0.0,114
2020-11-03,akola circle total,200.0,53287,2.0,1277
2020-11-03,akola mc,8.0,4753,0.0,171
2020-11-03,amarawati,6.0,6298,0.0,147
2020-11-03,amarawati mc,18.0,10804,0.0,204
2020-11-03,aurangabad,57.0,14806,0.0,278
2020-11-03,aurangabad circle total,263.0,63488,9.0,1585
2020-11-03,aurangabad mc,145.0,27728,0.0,702
2020-11-03,beed,83.0,14112,1.0,421
2020-11-03,bhandara,98.0,9091,6.0,205
2020-11-03,bhivandi nijampur mc,17.0,6293,1.0,341
2020-11-03,buldhana,40.0,10682,1.0,174
2020-11-03,chandrapur,96.0,10037,0.0,121
2020-11-03,chandrapur mc,39.0,6681,1.0,132
2020-11-03,dhule,3.0,7705,0.0,183
2020-11-03,dhule mc,4.0,6530,0.0,151
2020-11-03,gadchiroli,67.0,5592,0.0,50
2020-11-03,gondia,87.0,10070,1.0,106
2020-11-03,grand total,4909.0,1692693,120.0,44248
2020-11-03,hingoli,2.0,3681,2.0,76
2020-11-03,jalgaon,39.0,41324,0.0,1071
2020-11-03,jalgaon mc,13.0,12367,0.0,288
2020-11-03,jalna,42.0,10566,6.0,294
2020-11-03,kdmc,117.0,54274,1.0,931
2020-11-03,kolhapur,27.0,33691,0.0,1216
2020-11-03,kolhapur circle total,156.0,109637,13.0,3724
2020-11-03,kolhapur mc,12.0,13680,0.0,394
2020-11-03,latur,25.0,12501,6.0,412
2020-11-03,latur circle total,188.0,69748,18.0,2077
2020-11-03,latur mc,26.0,8368,6.0,208
2020-11-03,malegaon mc,25.0,4172,0.0,150
2020-11-03,mcgm,746.0,259857,15.0,10323
2020-11-03,mira bhayandar mc,27.0,23784,3.0,644
2020-11-03,mumbai circle total,1492.0,587855,28.0,17832
2020-11-03,nagpur,60.0,24643,1.0,530
2020-11-03,nagpur circle total,735.0,151061,13.0,3627
2020-11-03,nagpur mc,233.0,78226,3.0,2268
2020-11-03,nanded,12.0,10293,1.0,284
2020-11-03,nanded mc,11.0,9023,1.0,249
2020-11-03,nandurbar,1.0,6429,0.0,142
2020-11-03,nashik,406.0,26687,3.0,554
2020-11-03,nashik circle total,916.0,227043,6.0,4300
2020-11-03,nashik mc,178.0,65171,1.0,881
2020-11-03,navi mumbai,120.0,48311,4.0,996
2020-11-03,osmanabad,31.0,15451,3.0,503
2020-11-03,other states/countries,8.0,2191,0.0,151
2020-11-03,palghar,37.0,15545,0.0,288
2020-11-03,panvel mc,60.0,24974,0.0,522
2020-11-03,parbhani,16.0,3754,0.0,124
2020-11-03,parbhani mc,1.0,2953,1.0,111
2020-11-03,pcmc,131.0,84890,2.0,1161
2020-11-03,pmc,228.0,172916,7.0,3955
2020-11-03,pune,226.0,77873,10.0,1668
2020-11-03,pune circle total,951.0,428383,31.0,9675
2020-11-03,raigad,63.0,34972,1.0,903
2020-11-03,ratnagiri,2.0,10025,0.0,373
2020-11-03,sangli,86.0,27920,12.0,1013
2020-11-03,sangli mc,14.0,19248,0.0,595
2020-11-03,satara,138.0,48142,6.0,1432
2020-11-03,sindhudurg,15.0,5073,1.0,133
2020-11-03,solapur,183.0,34166,4.0,937
2020-11-03,solapur mc,45.0,10396,2.0,522
2020-11-03,thane,68.0,34667,3.0,855
2020-11-03,tmc,153.0,47117,0.0,1127
2020-11-03,ulhasnagar mc,21.0,10377,0.0,314
2020-11-03,vasai virar mc,63.0,27684,0.0,588
2020-11-03,wardha,55.0,6721,1.0,215
2020-11-03,washim,11.0,5794,1.0,145
2020-11-03,yawatmal,112.0,11087,0.0,322
2020-11-04,ahamadnagar,201.0,38433,3.0,537
2020-11-04,ahamadnagar mc,68.0,18494,4.0,350
2020-11-04,akola,5.0,3874,0.0,114
2020-11-04,akola circle total,176.0,53463,3.0,1280
2020-11-04,akola mc,16.0,4769,0.0,171
2020-11-04,amarawati,23.0,6321,0.0,147
2020-11-04,amarawati mc,17.0,10821,0.0,204
2020-11-04,aurangabad,22.0,14828,1.0,279
2020-11-04,aurangabad circle total,151.0,63639,4.0,1589
2020-11-04,aurangabad mc,29.0,27757,0.0,702
2020-11-04,beed,99.0,14211,1.0,422
2020-11-04,bhandara,90.0,9181,0.0,205
2020-11-04,bhivandi nijampur mc,46.0,6339,0.0,341
2020-11-04,buldhana,52.0,10734,1.0,175
2020-11-04,chandrapur,122.0,10159,5.0,126
2020-11-04,chandrapur mc,44.0,6725,2.0,134
2020-11-04,dhule,29.0,7734,0.0,183
2020-11-04,dhule mc,13.0,6543,0.0,151
2020-11-04,gadchiroli,144.0,5736,1.0,51
2020-11-04,gondia,112.0,10182,2.0,108
2020-11-04,grand total,5505.0,1698198,125.0,44548
2020-11-04,hingoli,8.0,3689,0.0,76
2020-11-04,jalgaon,48.0,41372,0.0,1071
2020-11-04,jalgaon mc,16.0,12383,1.0,289
2020-11-04,jalna,59.0,10625,1.0,295
2020-11-04,kdmc,97.0,54371,0.0,931
2020-11-04,kolhapur,28.0,33719,1.0,1217
2020-11-04,kolhapur circle total,181.0,109818,5.0,3729
2020-11-04,kolhapur mc,17.0,13697,0.0,394
2020-11-04,latur,32.0,12533,2.0,414
2020-11-04,latur circle total,215.0,69963,3.0,2080
2020-11-04,latur mc,17.0,8385,0.0,208
2020-11-04,malegaon mc,4.0,4176,1.0,151
2020-11-04,mcgm,983.0,260840,29.0,10352
2020-11-04,mira bhayandar mc,63.0,23847,3.0,647
2020-11-04,mumbai circle total,1909.0,589764,45.0,17877
2020-11-04,nagpur,119.0,24762,6.0,536
2020-11-04,nagpur circle total,909.0,151970,23.0,3650
2020-11-04,nagpur mc,210.0,78436,7.0,2275
2020-11-04,nanded,12.0,10305,0.0,284
2020-11-04,nanded mc,26.0,9049,0.0,249
2020-11-04,nandurbar,28.0,6457,0.0,142
2020-11-04,nashik,237.0,26924,5.0,559
2020-11-04,nashik circle total,827.0,227870,15.0,4315
2020-11-04,nashik mc,183.0,65354,1.0,882
2020-11-04,navi mumbai,146.0,48457,2.0,998
2020-11-04,osmanabad,29.0,15480,0.0,503
2020-11-04,other states/countries,11.0,2202,0.0,151
2020-11-04,palghar,21.0,15566,0.0,288
2020-11-04,panvel mc,88.0,25062,3.0,525
2020-11-04,parbhani,22.0,3776,1.0,125
2020-11-04,parbhani mc,11.0,2964,1.0,112
2020-11-04,pcmc,147.0,85037,4.0,1165
2020-11-04,pmc,300.0,173216,1.0,4015
2020-11-04,pune,304.0,78177,14.0,1798
2020-11-04,pune circle total,1126.0,429509,27.0,9877
2020-11-04,raigad,90.0,35062,0.0,903
2020-11-04,ratnagiri,10.0,10035,0.0,373
2020-11-04,sangli,101.0,28021,3.0,1016
2020-11-04,sangli mc,12.0,19260,1.0,596
2020-11-04,satara,202.0,48344,3.0,1435
2020-11-04,sindhudurg,13.0,5086,0.0,133
2020-11-04,solapur,150.0,34316,4.0,941
2020-11-04,solapur mc,23.0,10419,1.0,523
2020-11-04,thane,100.0,34767,6.0,861
2020-11-04,tmc,171.0,47288,0.0,1127
2020-11-04,ulhasnagar mc,24.0,10401,0.0,314
2020-11-04,vasai virar mc,80.0,27764,2.0,590
2020-11-04,wardha,68.0,6789,0.0,215
2020-11-04,washim,6.0,5800,0.0,145
2020-11-04,yawatmal,57.0,11144,2.0,324
2020-11-06,ahamadnagar,169.0,38789,4.0,543
2020-11-06,ahamadnagar mc,47.0,18565,2.0,354
2020-11-06,akola,6.0,3891,1.0,115
2020-11-06,akola circle total,185.0,53831,6.0,1288
2020-11-06,akola mc,10.0,4789,1.0,172
2020-11-06,amarawati,30.0,6391,0.0,147
2020-11-06,amarawati mc,20.0,10852,0.0,204
2020-11-06,aurangabad,12.0,14875,0.0,279
2020-11-06,aurangabad circle total,201.0,64059,2.0,1596
2020-11-06,aurangabad mc,57.0,27895,1.0,706
2020-11-06,beed,77.0,14376,3.0,434
2020-11-06,bhandara,97.0,9364,1.0,206
2020-11-06,bhivandi nijampur mc,25.0,6373,0.0,341
2020-11-06,buldhana,64.0,10858,3.0,180
2020-11-06,chandrapur,125.0,10399,4.0,131
2020-11-06,chandrapur mc,52.0,6814,0.0,135
2020-11-06,dhule,29.0,7782,0.0,184
2020-11-06,dhule mc,21.0,6576,0.0,151
2020-11-06,gadchiroli,82.0,5922,0.0,51
2020-11-06,gondia,67.0,10327,5.0,113
2020-11-06,grand total,5027.0,1710314,161.0,44965
2020-11-06,hingoli,9.0,3710,0.0,76
2020-11-06,jalgaon,48.0,41444,1.0,1073
2020-11-06,jalgaon mc,10.0,12400,0.0,289
2020-11-06,jalna,103.0,10798,1.0,297
2020-11-06,kdmc,141.0,54682,7.0,938
2020-11-06,kolhapur,22.0,33783,3.0,1251
2020-11-06,kolhapur circle total,112.0,110082,12.0,3833
2020-11-06,kolhapur mc,9.0,13715,1.0,405
2020-11-06,latur,20.0,12583,1.0,416
2020-11-06,latur circle total,196.0,70400,13.0,2130
2020-11-06,latur mc,28.0,8445,0.0,208
2020-11-06,malegaon mc,22.0,4213,1.0,152
2020-11-06,mcgm,792.0,262473,22.0,10399
2020-11-06,mira bhayandar mc,80.0,23987,1.0,652
2020-11-06,mumbai circle total,1654.0,593111,39.0,17962
2020-11-06,nagpur,141.0,24992,2.0,538
2020-11-06,nagpur circle total,809.0,155502,16.0,3670
2020-11-06,nagpur mc,196.0,80788,4.0,2281
2020-11-06,nanded,16.0,10326,6.0,316
2020-11-06,nanded mc,26.0,9109,1.0,250
2020-11-06,nandurbar,18.0,6488,1.0,143
2020-11-06,nashik,281.0,27557,2.0,565
2020-11-06,nashik circle total,809.0,229496,11.0,4337
2020-11-06,nashik mc,164.0,65682,0.0,883
2020-11-06,navi mumbai,145.0,48728,3.0,1003
2020-11-06,osmanabad,29.0,15561,2.0,506
2020-11-06,other states/countries,6.0,2218,0.0,151
2020-11-06,palghar,30.0,15610,1.0,291
2020-11-06,panvel mc,64.0,25221,0.0,525
2020-11-06,parbhani,17.0,3810,0.0,126
2020-11-06,parbhani mc,3.0,2971,0.0,112
2020-11-06,pcmc,154.0,85318,1.0,1167
2020-11-06,pmc,241.0,173692,13.0,4033
2020-11-06,pune,247.0,78614,3.0,1807
2020-11-06,pune circle total,1055.0,431615,62.0,9998
2020-11-06,raigad,85.0,35200,0.0,903
2020-11-06,ratnagiri,4.0,10041,0.0,373
2020-11-06,sangli,51.0,28144,6.0,1073
2020-11-06,sangli mc,13.0,19287,2.0,598
2020-11-06,satara,232.0,48851,31.0,1470
2020-11-06,sindhudurg,13.0,5112,0.0,133
2020-11-06,solapur,149.0,34651,14.0,994
2020-11-06,solapur mc,32.0,10489,0.0,527
2020-11-06,thane,63.0,34921,3.0,865
2020-11-06,tmc,141.0,47592,0.0,1138
2020-11-06,ulhasnagar mc,16.0,10437,0.0,314
2020-11-06,vasai virar mc,72.0,27887,2.0,593
2020-11-06,wardha,49.0,6896,0.0,215
2020-11-06,washim,3.0,5818,0.0,145
2020-11-06,yawatmal,52.0,11232,1.0,325
2020-11-07,ahamadnagar,195.0,38984,1.0,544
2020-11-07,ahamadnagar mc,29.0,18594,0.0,354
2020-11-07,akola,3.0,3894,0.0,115
2020-11-07,akola circle total,162.0,53993,3.0,1291
2020-11-07,akola mc,14.0,4803,0.0,172
2020-11-07,amarawati,9.0,6400,0.0,147
2020-11-07,amarawati mc,31.0,10883,0.0,204
2020-11-07,aurangabad,16.0,14891,0.0,279
2020-11-07,aurangabad circle total,108.0,64167,1.0,1597
2020-11-07,aurangabad mc,29.0,27924,1.0,707
2020-11-07,beed,80.0,14456,1.0,435
2020-11-07,bhandara,45.0,9409,1.0,207
2020-11-07,bhivandi nijampur mc,5.0,6378,0.0,341
2020-11-07,buldhana,63.0,10921,0.0,180
2020-11-07,chandrapur,69.0,10468,1.0,132
2020-11-07,chandrapur mc,32.0,6846,0.0,135
2020-11-07,dhule,6.0,7788,0.0,184
2020-11-07,dhule mc,27.0,6603,1.0,152
2020-11-07,gadchiroli,68.0,5990,0.0,51
2020-11-07,gondia,27.0,10354,0.0,113
2020-11-07,grand total,3959.0,1714273,150.0,45115
2020-11-07,hingoli,7.0,3717,0.0,76
2020-11-07,jalgaon,42.0,41486,1.0,1074
2020-11-07,jalgaon mc,29.0,12429,0.0,289
2020-11-07,jalna,50.0,10848,0.0,297
2020-11-07,kdmc,119.0,54801,2.0,940
2020-11-07,kolhapur,11.0,33794,1.0,1252
2020-11-07,kolhapur circle total,79.0,110161,8.0,3841
2020-11-07,kolhapur mc,9.0,13724,0.0,405
2020-11-07,latur,17.0,12600,2.0,418
2020-11-07,latur circle total,187.0,70587,7.0,2137
2020-11-07,latur mc,12.0,8457,0.0,208
2020-11-07,malegaon mc,1.0,4214,0.0,152
2020-11-07,mcgm,576.0,263049,23.0,10422
2020-11-07,mira bhayandar mc,32.0,24019,2.0,654
2020-11-07,mumbai circle total,1148.0,594259,40.0,18002
2020-11-07,nagpur,101.0,25093,0.0,538
2020-11-07,nagpur circle total,909.0,156411,5.0,3675
2020-11-07,nagpur mc,519.0,81307,3.0,2284
2020-11-07,nanded,10.0,10336,2.0,318
2020-11-07,nanded mc,7.0,9116,2.0,252
2020-11-07,nandurbar,39.0,6527,0.0,143
2020-11-07,nashik,128.0,27685,4.0,569
2020-11-07,nashik circle total,610.0,230106,10.0,4347
2020-11-07,nashik mc,114.0,65796,3.0,886
2020-11-07,navi mumbai,76.0,48804,2.0,1005
2020-11-07,osmanabad,61.0,15622,0.0,506
2020-11-07,other states/countries,8.0,2226,0.0,151
2020-11-07,palghar,9.0,15619,0.0,291
2020-11-07,panvel mc,35.0,25256,1.0,526
2020-11-07,parbhani,3.0,3813,0.0,126
2020-11-07,parbhani mc,3.0,2974,0.0,112
2020-11-07,pcmc,99.0,85417,2.0,1169
2020-11-07,pmc,173.0,173865,29.0,4062
2020-11-07,pune,175.0,78789,7.0,1814
2020-11-07,pune circle total,748.0,432363,76.0,10074
2020-11-07,raigad,40.0,35240,0.0,903
2020-11-07,ratnagiri,1.0,10042,1.0,374
2020-11-07,sangli,38.0,28182,5.0,1078
2020-11-07,sangli mc,11.0,19298,1.0,599
2020-11-07,satara,193.0,49044,32.0,1502
2020-11-07,sindhudurg,9.0,5121,0.0,133
2020-11-07,solapur,91.0,34742,6.0,1000
2020-11-07,solapur mc,17.0,10506,0.0,527
2020-11-07,thane,68.0,34989,2.0,867
2020-11-07,tmc,111.0,47703,3.0,1141
2020-11-07,ulhasnagar mc,19.0,10456,5.0,319
2020-11-07,vasai virar mc,58.0,27945,0.0,593
2020-11-07,wardha,48.0,6944,0.0,215
2020-11-07,washim,6.0,5824,0.0,145
2020-11-07,yawatmal,36.0,11268,3.0,328
2020-11-08,ahamadnagar,166.0,39150,2.0,546
2020-11-08,ahamadnagar mc,30.0,18624,1.0,355
2020-11-08,akola,6.0,3900,0.0,115
2020-11-08,akola circle total,213.0,54206,4.0,1295
2020-11-08,akola mc,20.0,4823,1.0,173
2020-11-08,amarawati,22.0,6422,0.0,147
2020-11-08,amarawati mc,52.0,10935,0.0,204
2020-11-08,aurangabad,74.0,14965,0.0,279
2020-11-08,aurangabad circle total,316.0,64483,0.0,1597
2020-11-08,aurangabad mc,104.0,28028,0.0,707
2020-11-08,beed,113.0,14569,4.0,439
2020-11-08,bhandara,97.0,9506,2.0,209
2020-11-08,bhivandi nijampur mc,15.0,6393,1.0,342
2020-11-08,buldhana,53.0,10974,3.0,183
2020-11-08,chandrapur,95.0,10563,1.0,133
2020-11-08,chandrapur mc,56.0,6902,0.0,135
2020-11-08,dhule,18.0,7806,0.0,184
2020-11-08,dhule mc,8.0,6611,0.0,152
2020-11-08,gadchiroli,91.0,6081,0.0,51
2020-11-08,gondia,101.0,10455,0.0,113
2020-11-08,grand total,5092.0,1719858,110.0,45240
2020-11-08,hingoli,40.0,3757,0.0,76
2020-11-08,jalgaon,21.0,41507,1.0,1075
2020-11-08,jalgaon mc,15.0,12444,0.0,289
2020-11-08,jalna,88.0,10936,0.0,297
2020-11-08,kdmc,153.0,54954,1.0,941
2020-11-08,kolhapur,19.0,33813,2.0,1254
2020-11-08,kolhapur circle total,105.0,110266,10.0,3851
2020-11-08,kolhapur mc,14.0,13738,0.0,405
2020-11-08,latur,36.0,12636,3.0,421
2020-11-08,latur circle total,243.0,70830,12.0,2149
2020-11-08,latur mc,27.0,8484,0.0,208
2020-11-08,malegaon mc,3.0,4217,0.0,152
2020-11-08,mcgm,1003.0,264545,23.0,10445
2020-11-08,mira bhayandar mc,69.0,24088,1.0,655
2020-11-08,mumbai circle total,1771.0,596523,40.0,18056
2020-11-08,nagpur,74.0,25167,0.0,538
2020-11-08,nagpur circle total,935.0,157346,4.0,3679
2020-11-08,nagpur mc,378.0,81685,1.0,2285
2020-11-08,nanded,10.0,10346,1.0,319
2020-11-08,nanded mc,20.0,9136,4.0,256
2020-11-08,nandurbar,20.0,6547,0.0,143
2020-11-08,nashik,232.0,27917,3.0,572
2020-11-08,nashik circle total,698.0,230804,7.0,4354
2020-11-08,nashik mc,185.0,65981,0.0,886
2020-11-08,navi mumbai,122.0,48926,1.0,1006
2020-11-08,osmanabad,37.0,15659,0.0,506
2020-11-08,other states/countries,8.0,2234,0.0,152
2020-11-08,palghar,27.0,15646,0.0,291
2020-11-08,panvel mc,50.0,25306,3.0,529
2020-11-08,parbhani,6.0,3819,0.0,126
2020-11-08,parbhani mc,4.0,2978,0.0,112
2020-11-08,pcmc,111.0,85528,8.0,1177
2020-11-08,pmc,216.0,174081,4.0,4066
2020-11-08,pune,185.0,78974,3.0,1817
2020-11-08,pune circle total,803.0,433166,33.0,10107
2020-11-08,raigad,32.0,35272,1.0,904
2020-11-08,ratnagiri,2.0,10044,3.0,377
2020-11-08,sangli,50.0,28232,4.0,1082
2020-11-08,sangli mc,11.0,19309,1.0,600
2020-11-08,satara,150.0,49194,9.0,1511
2020-11-08,sindhudurg,9.0,5130,0.0,133
2020-11-08,solapur,128.0,34870,9.0,1009
2020-11-08,solapur mc,13.0,10519,0.0,527
2020-11-08,thane,95.0,35084,1.0,876
2020-11-08,tmc,136.0,47839,0.0,1147
2020-11-08,ulhasnagar mc,32.0,10488,6.0,325
2020-11-08,vasai virar mc,37.0,27982,2.0,595
2020-11-08,wardha,43.0,6987,0.0,215
2020-11-08,washim,12.0,5836,0.0,145
2020-11-08,yawatmal,48.0,11316,0.0,328
2020-11-09,ahamadnagar,94.0,39244,,546
2020-11-09,ahamadnagar mc,28.0,18652,,355
2020-11-09,akola,16.0,3916,,115
2020-11-09,akola circle total,107.0,54313,0.0,1295
2020-11-09,akola mc,3.0,4826,,173
2020-11-09,amarawati,15.0,6437,,147
2020-11-09,amarawati mc,18.0,10953,,204
2020-11-09,aurangabad,5.0,14970,,279
2020-11-09,aurangabad circle total,114.0,64597,0.0,1602
2020-11-09,aurangabad mc,26.0,28054,,707
2020-11-09,beed,73.0,14642,,439
2020-11-09,bhandara,25.0,9531,,209
2020-11-09,bhivandi nijampur mc,8.0,6401,,342
2020-11-09,buldhana,41.0,11015,,183
2020-11-09,chandrapur,80.0,10643,,133
2020-11-09,chandrapur mc,32.0,6934,,135
2020-11-09,dhule,7.0,7813,,184
2020-11-09,dhule mc,1.0,6612,,152
2020-11-09,gadchiroli,41.0,6122,,51
2020-11-09,gondia,49.0,10504,,113
2020-11-09,hingoli,5.0,3762,,76
2020-11-09,jalgaon,20.0,41527,,1075
2020-11-09,jalgaon mc,14.0,12458,,289
2020-11-09,jalna,65.0,11001,,297
2020-11-09,kdmc,80.0,55034,,946
2020-11-09,kolhapur,34.0,33847,,1255
2020-11-09,kolhapur circle total,96.0,110362,0.0,3854
2020-11-09,kolhapur mc,20.0,13758,,405
2020-11-09,latur,11.0,12647,,423
2020-11-09,latur circle total,147.0,70977,0.0,2153
2020-11-09,latur mc,23.0,8507,,208
2020-11-09,malegaon mc,2.0,4219,,152
2020-11-09,mcgm,599.0,265144,20.0,10465
2020-11-09,mira bhayandar mc,39.0,24127,,655
2020-11-09,mumbai circle total,1094.0,597617,20.0,18097
2020-11-09,nagpur,67.0,25234,,541
2020-11-09,nagpur circle total,558.0,157904,0.0,3686
2020-11-09,nagpur mc,233.0,81918,,2289
