date,samples_taken_today,samples_sent_cumulative,samples_negative_cumulative,samples_positive_cumulative_total,samples_positive_cumulative_male,samples_positive_cumulative_female,samples_positive_cumulative_transgender,samples_results_awaited,cases_new,people_put_on_surveillance_cumulative,people_completed_surveillance_cumulative,people_currently_under_surveillance,people_home_isolation,recoveries_cumulative,active_cases,deaths_total,deaths_male,deaths_female,deaths_transgender,vax_today_total,vax_today_first_dose,vax_today_second_dose,vax_cumulative,positivity_rate_today,positivity_rate_cumulative,recovery_rate,fatality_rate,tests_per_million
2020-08-02,,,604056.0,36519,24225,12291,3,,,136135.0,79989.0,56146.0,,29690,6396,433,309.0,124.0,,,,,,,,81.3,1.19,25495
2020-08-03,,,615375.0,37173,24679,12491,3,,,139789.0,80264.0,59525.0,,30470,6263,440,313.0,127.0,,,,,,,,81.97,1.18,25955
2020-08-04,,,628013.0,37796,25087,12706,3,,,140412.0,80617.0,59795.0,,31226,6122,448,318.0,130.0,,,,,,,,82.62,1.19,26472
2020-08-05,,,639335.0,38548,25598,12947,3,,,141164.0,81066.0,60098.0,,31960,6133,455,323.0,132.0,,,,,,,,82.91,1.18,26963
2020-08-06,,,652600.0,39303,26116,13183,4,,,141919.0,81891.0,60028.0,,32640,6205,458,325.0,133.0,,,,,,,,83.05,1.17,27526
2020-08-07,,,667244.0,40054,26617,13426,11,,,142915.0,83172.0,59743.0,,33444,6143,467,332.0,135.0,,,,,,,,83.5,1.17,28129
2020-08-08,,,683237.0,40843,27117,13715,11,,,143704.0,84090.0,59614.0,,34031,6338,474,337.0,137.0,,,,,,,,83.32,1.16,28798
2020-08-09,,,696664.0,41635,27626,13998,11,,,145427.0,84334.0,61093.0,,34781,6371,483,345.0,138.0,,,,,,,,83.54,1.16,29352
2020-08-10,,,705790.0,42429,28112,14306,11,,,146221.0,84825.0,61396.0,,35492,6448,489,350.0,139.0,,,,,,,,83.65,1.15,29741
2020-08-11,,,722780.0,43227,28656,14560,11,,,147019.0,85449.0,61570.0,,36082,6645,500,357.0,143.0,,,,,,,,83.47,1.16,30445
2020-08-12,,,736914.0,44024,29181,14832,11,,,147816.0,86219.0,61597.0,,36694,6827,503,359.0,144.0,,,,,,,,83.35,1.14,31039
2020-08-13,,,751225.0,44817,29705,15101,11,,,148609.0,86880.0,61729.0,,37486,6820,511,366.0,145.0,,,,,,,,83.64,1.14,31629
2020-08-14,,,766184.0,45614,30220,15383,11,,,150081.0,87878.0,62203.0,,38348,6748,518,370.0,148.0,,,,,,,,84.07,1.14,32249
2020-08-15,,,778189.0,46410,30753,15646,11,,,150877.0,88346.0,62531.0,,38939,6943,528,378.0,150.0,,,,,,,,83.9,1.14,32760
2020-08-16,,,791184.0,47153,31218,15924,11,,,151620.0,88568.0,63052.0,,39601,7014,538,383.0,155.0,,,,,,,,83.98,1.14,33311
2020-08-17,,,801232.0,48040,31738,16291,11,,,152507.0,89055.0,63452.0,,40610,6880,550,392.0,158.0,,,,,,,,84.53,1.14,33718
2020-08-18,,,812490.0,48936,32322,16603,11,,,153971.0,89636.0,64335.0,,41298,7081,557,396.0,161.0,,,,,,,,84.39,1.14,34219
2020-08-19,,,833173.0,49930,32973,16946,11,,,154965.0,90201.0,64764.0,,42056,7307,567,403.0,164.0,,,,,,,,84.23,1.14,35079
2020-08-20,,,853707.0,50926,33629,17286,11,,,156797.0,90709.0,66088.0,,42793,7555,578,408.0,170.0,,,,,,,,84.03,1.13,35932
2020-08-21,,,868016.0,52129,34397,17721,11,,,158000.0,91297.0,66703.0,,43413,8131,585,413.0,172.0,,,,,,,,83.28,1.12,36551
2020-08-22,,,885193.0,53290,35150,18129,11,,,161933.0,92371.0,69562.0,,44013,8680,597,422.0,175.0,,,,,,,,82.59,1.12,37269
2020-08-23,,,903523.0,54386,35858,18517,11,,,163029.0,93283.0,69746.0,,44822,8961,603,426.0,177.0,,,,,,,,82.41,1.11,38039
2020-08-24,,,921303.0,55460,36581,18868,11,,,165073.0,94281.0,70792.0,,45405,9442,613,433.0,180.0,,,,,,,,81.87,1.11,38784
2020-08-25,,,938914.0,56608,37332,19265,11,,,167397.0,95246.0,72151.0,,46496,9489,623,440.0,183.0,,,,,,,,82.14,1.1,39518
2020-08-26,,,961297.0,58005,38230,19764,11,,,170657.0,96324.0,74333.0,,47613,9758,634,449.0,185.0,,,,,,,,82.08,1.09,40455
2020-08-27,,,985217.0,59298,39061,20226,11,,,171950.0,96902.0,75048.0,,48690,9962,646,456.0,190.0,,,,,,,,82.11,1.09,41467
2020-08-28,,,1008916.0,60596,39912,20673,11,,,173248.0,97922.0,75326.0,,49710,10225,661,467.0,194.0,,,,,,,,82.04,1.09,42448
2020-08-29,,,1035131.0,61987,40835,21141,11,,,181634.0,98446.0,83188.0,,50711,10606,670,473.0,197.0,,,,,,,,81.81,1.08,43544
2020-08-30,,,1060143.0,63282,41653,21618,11,,,184293.0,98877.0,85416.0,,51620,10980,682,481.0,201.0,,,,,,,,81.57,1.08,44579
2020-08-31,,,1079232.0,64732,42579,22142,11,,,186780.0,99352.0,87428.0,,52672,11371,689,484.0,205.0,,,,,,,,81.37,1.06,45370
2020-09-01,,,1100351.0,66426,43713,22702,11,,,188474.0,99831.0,88643.0,,53835,11885,706,494.0,212.0,,,,,,,,81.05,1.06,46263
2020-09-02,,,1121546.0,68218,44846,23361,11,,,192058.0,100530.0,91528.0,,54875,12622,721,502.0,219.0,,,,,,,,80.44,1.06,47172
2020-09-03,,,1143463.0,70099,46118,23970,11,,,195863.0,101350.0,94513.0,,55889,13470,740,519.0,221.0,,,,,,,,79.73,1.06,48129
2020-09-04,,,1167167.0,71983,47313,24659,11,,,197777.0,101959.0,95818.0,,57171,14053,759,535.0,224.0,,,,,,,,79.42,1.05,49138
2020-09-05,,,1187623.0,74272,48834,25427,11,,,200066.0,102273.0,97793.0,,58580,14911,781,551.0,230.0,,,,,,,,78.87,1.05,50040
2020-09-06,,,1211295.0,76549,50347,26191,11,,,202343.0,102351.0,99992.0,,60051,15692,806,570.0,236.0,,,,,,,,78.45,1.05,51069
2020-09-07,,,1231602.0,78773,51851,26911,11,,,204567.0,102439.0,102128.0,,61611,16333,829,583.0,246.0,,,,,,,,78.21,1.05,51954
2020-09-08,,,1246370.0,81059,53322,27726,11,,,206853.0,102777.0,104076.0,,63315,16890,854,602.0,252.0,,,,,,,,78.11,1.05,52624
2020-09-09,,,1280217.0,83353,54833,28509,11,,,209147.0,103069.0,106078.0,,65143,17328,882,621.0,261.0,,,,,,,,78.15,1.06,54059
2020-09-10,,,1306887.0,85944,56606,29327,11,,,211738.0,103249.0,108489.0,,66705,18332,907,641.0,266.0,,,,,,,,77.61,1.06,55212
2020-09-11,,,1336477.0,88332,58174,30147,11,,,214224.0,104146.0,110078.0,,68525,18875,932,659.0,273.0,,,,,,,,77.58,1.06,56473
2020-09-12,,,1363656.0,91115,59966,31138,11,,,217007.0,104569.0,112438.0,,70713,19446,956,672.0,284.0,,,,,,,,77.61,1.05,57659
2020-09-13,,,1389712.0,93641,61715,31913,13,,,219533.0,104732.0,114801.0,,72587,20079,975,683.0,292.0,,,,,,,,77.52,1.04,58778
2020-09-14,,,1411692.0,96129,63407,32709,13,,,222021.0,105187.0,116834.0,,74712,20417,1000,698.0,302.0,,,,,,,,77.72,1.04,59747
2020-09-15,,,1431486.0,98622,65055,33554,13,,,224514.0,105549.0,118965.0,,77166,20430,1026,719.0,307.0,,,,,,,,78.24,1.04,60618
2020-09-16,,,1457859.0,101316,66808,34495,13,,,227208.0,105869.0,121339.0,,78937,21334,1045,731.0,314.0,,,,,,,,77.91,1.03,60618
2020-09-17,,,1483521.0,103773,68513,35247,13,,,229665.0,108632.0,121033.0,,81690,21014,1069,745.0,324.0,,,,,,,,78.72,1.03,62883
2020-09-18,,,1510111.0,106261,70227,36021,13,,,232153.0,108863.0,123290.0,,83878,21291,1092,761.0,331.0,,,,,,,,78.94,1.03,64034
2020-09-19,,,1536019.0,108952,71998,36941,13,,,234844.0,108997.0,125847.0,,86150,21682,1120,778.0,342.0,,,,,,,,79.07,1.03,65147
2020-09-20,,,1563516.0,111257,73521,37723,13,,,237149.0,109366.0,127783.0,,88697,21411,1149,798.0,351.0,,,,,,,,79.72,1.03,66320
2020-09-21,,,1587365.0,113075,74694,38368,13,,,238967.0,109782.0,129185.0,,90884,21014,1177,820.0,357.0,,,,,,,,80.37,1.04,67328
2020-09-22,,,1608589.0,114870,75871,38986,13,,,240756.0,110205.0,130551.0,,93776,19888,1206,838.0,368.0,,,,,,,,81.64,1.05,68244
2020-09-23,,,1634605.0,116856,77184,39659,13,,,242742.0,110627.0,132115.0,,96347,19276,1233,854.0,379.0,,,,,,,,82.45,1.06,69359
2020-09-24,,,1658105.0,118554,78306,40235,13,,,244440.0,110962.0,133478.0,,98410,18889,1255,871.0,384.0,,,,,,,,83.01,1.06,70346
2020-09-25,,,1676711.0,120578,79560,41005,13,,,246464.0,111278.0,135186.0,,101273,18032,1273,882.0,391.0,,,,,,,,83.99,1.06,71137
2020-09-26,,,1698337.0,122267,80675,41579,13,,,248153.0,111523.0,136630.0,,103827,17149,1291,895.0,396.0,,,,,,,,84.92,1.06,72077
2020-09-27,,,1721300.0,123782,81654,42115,13,,,249668.0,111852.0,137816.0,,105990,16485,1307,906.0,401.0,,,,,,,,85.63,1.06,73036
2020-09-28,,,1741188.0,125412,82705,42694,13,,,251278.0,112217.0,139061.0,,108411,15670,1331,920.0,411.0,,,,,,,,86.44,1.06,73881
2020-09-29,,,1760914.0,126974,83730,43231,13,,,252840.0,112571.0,140269.0,,110814,14804,1356,937.0,419.0,,,,,,,,87.27,1.07,74710
2020-09-30,,,1784906.0,128599,84761,43825,13,,,254465.0,112892.0,141573.0,,112877,14340,1382,954.0,428.0,,,,,,,,87.77,1.07,75747
2020-10-01,,,1810686.0,129912,85598,44301,13,,,255739.0,113177.0,142562.0,,115038,13472,1402,969.0,433.0,,,,,,,,88.55,1.08,76808
2020-10-02,,,1835720.0,131388,86551,44824,13,,,257215.0,113452.0,143763.0,,116716,13247,1425,983.0,442.0,,,,,,,,88.83,1.08,77854
2020-10-03,,,1860408.0,132576,87294,45269,13,,,258403.0,113765.0,144638.0,,118258,12868,1450,1000.0,450.0,,,,,,,,89.2,1.09,78866
2020-10-04,,,1881421.0,133878,88117,45748,13,,,259705.0,114136.0,145569.0,,120341,12067,1470,1037.0,433.0,,,,,,,,89.89,1.1,79734
2020-10-05,,,1899393.0,134909,88715,46181,13,,,260736.0,114563.0,146173.0,,121596,11822,1491,1048.0,443.0,,,,,,,,90.13,1.11,80480
2020-10-06,,,1937126.0,136115,89473,46629,13,,,261942.0,114936.0,147006.0,,123286,11320,1509,1055.0,454.0,,,,,,,,90.57,1.11,82018
2020-10-07,,,1960080.0,137398,90318,47067,13,,,263225.0,115294.0,147931.0,,124841,11029,1528,1068.0,460.0,,,,,,,,90.86,1.11,82987
2020-10-08,,,1985376.0,138682,91159,47510,13,,,264509.0,115439.0,149070.0,,126267,10867,1548,1082.0,466.0,,,,,,,,91.05,1.12,84035
2020-10-09,,,2010557.0,139932,91957,47962,13,,,265759.0,115793.0,149966.0,,127540,10830,1562,1091.0,471.0,,,,,,,,91.14,1.12,85079
2020-10-10,,,2037038.0,141090,92678,48399,13,,,266917.0,116039.0,150878.0,,128841,10677,1572,1097.0,475.0,,,,,,,,91.32,1.11,86163
2020-10-11,,,2059967.0,142155,93345,48797,13,,,267982.0,116365.0,151617.0,,130003,10573,1579,1103.0,476.0,,,,,,,,91.45,1.11,87097
2020-10-12,,,2080161.0,143221,93997,49211,13,,,288951.0,116656.0,172295.0,,131228,10401,1592,1115.0,477.0,,,,,,,,91.63,1.11,87924
2020-10-13,,,2099570.0,144302,94658,49631,13,,,290032.0,116865.0,173167.0,,132382,10319,1601,1122.0,479.0,,,,,,,,91.74,1.11,88732
2020-10-14,,,2122372.0,145507,95415,50079,13,,,291237.0,116981.0,174256.0,,133706,10187,1614,1133.0,481.0,,,,,,,,91.89,1.11,89688
2020-10-15,,,2147116.0,146706,96162,50531,13,,,292436.0,117118.0,175318.0,,134719,10364,1623,1137.0,486.0,,,,,,,,91.83,1.11,90704
2020-10-16,,,2171575.0,147933,96956,50964,13,,,293663.0,117351.0,176312.0,,135858,10441,1634,1141.0,493.0,,,,,,,,91.84,1.1,91714
2020-10-17,,,2196371.0,149081,97679,51389,13,,,294811.0,117535.0,177276.0,,137176,10265,1640,1143.0,497.0,,,,,,,,92.01,1.1,92737
2020-10-18,,,2216063.0,150033,98282,51738,13,,,295763.0,117653.0,178110.0,,138351,10042,1640,1143.0,497.0,,,,,,,,92.21,1.09,93549
2020-10-19,,,2231220.0,151234,99026,52195,13,,,296964.0,117747.0,179217.0,,139511,10075,1648,1146.0,502.0,,,,,,,,92.25,1.09,94197
2020-10-20,,,2249081.0,152174,99621,52540,13,,,297904.0,117879.0,180025.0,,140436,10078,1660,1154.0,506.0,,,,,,,,92.29,1.09,94934
2020-10-21,,,2270379.0,153367,100382,52972,13,,,299097.0,117987.0,181110.0,,141506,10187,1674,1165.0,509.0,,,,,,,,92.27,1.09,95819
2020-10-22,,,2295280.0,154495,101104,53378,13,,,300225.0,118179.0,182046.0,,142798,10009,1688,1173.0,515.0,,,,,,,,92.43,1.09,96860
2020-10-23,,,2318573.0,155765,101894,53858,13,,,301495.0,118292.0,183203.0,,143978,10082,1705,1185.0,520.0,,,,,,,,92.43,1.09,97832
2020-10-24,,,2342213.0,157064,102696,54355,13,,,302794.0,118368.0,184426.0,,145196,10148,1720,1195.0,525.0,,,,,,,,92.44,1.1,98819
2020-10-25,,,2363741.0,158304,103475,54816,13,,,304034.0,118482.0,185552.0,,146282,10295,1727,1199.0,528.0,,,,,,,,92.41,1.09,99698
2020-10-26,,,2378724.0,159457,104190,55254,13,,,305187.0,118547.0,186640.0,,147566,10154,1737,1206.0,531.0,,,,,,,,92.54,1.09,100326
2020-10-27,,,2397074.0,160705,104985,55707,13,,,306435.0,118671.0,187764.0,,148503,10452,1750,1217.0,533.0,,,,,,,,92.41,1.09,101084
2020-10-28,,,2419630.0,162223,105935,56275,13,,,307953.0,118739.0,189214.0,,149451,11014,1758,1223.0,535.0,,,,,,,,92.13,1.08,102058
2020-10-29,,,2442239.0,163817,106878,56926,13,,,309547.0,118843.0,190704.0,,150660,11391,1766,1226.0,540.0,,,,,,,,91.97,1.08,103014
2020-10-30,,,2465381.0,165467,107927,57527,13,,,311197.0,118924.0,192273.0,,151839,11851,1777,1226.0,551.0,,,,,,,,91.76,1.07,103987
2020-10-31,,,2487987.0,167210,109025,58172,13,,,312940.0,,193926.0,,153230,12191,1789,1236.0,553.0,,,,,,,,91.64,1.07,104953
2020-11-01,,,2506822.0,168880,110037,58830,13,,,314610.0,119109.0,195501.0,,154451,12634,1795,1242.0,553.0,,,,,,,,91.46,1.06,105737
2020-11-02,,,2520247.0,170446,111051,59382,13,,,316176.0,119717.0,196459.0,,155717,12919,1810,1249.0,561.0,,,,,,,,91.36,1.06,106305
2020-11-03,,,2537989.0,172130,112067,60050,13,,,317860.0,120045.0,197815.0,,156975,13338,1817,1253.0,564.0,,,,,,,,91.2,1.06,107087
2020-11-04,,,2559356.0,174082,113292,60777,13,,,319812.0,120624.0,199188.0,,158136,14110,1836,1263.0,573.0,,,,,,,,90.84,1.05,108023
2020-11-05,,,2578623.0,176146,114587,61546,13,,,321876.0,121181.0,200695.0,,159643,14644,1859,1280.0,579.0,,,,,,,,90.63,1.06,108857
2020-11-06,,,2599454.0,178413,115961,62439,13,,,324143.0,121876.0,202267.0,,161176,15357,1880,1294.0,586.0,,,,,,,,90.34,1.05,109769
2020-11-07,,,2623750.0,180424,117256,63154,14,,,326154.0,122312.0,203842.0,,162814,15713,1897,1301.0,595.0,1.0,,,,,,,90.24,1.05,110820
2020-11-08,,,2646119.0,182804,118679,64111,14,,,328534.0,122390.0,206144.0,,164444,16448,1912,1312.0,599.0,1.0,,,,,,,89.96,1.05,111779
2020-11-09,,,2662908.0,185231,119869,65348,14,,,330961.0,122469.0,208492.0,,166595,16717,1919,1316.0,602.0,1.0,,,,,,,89.94,1.04,112517
2020-11-10,,,2683493.0,187777,121402,66361,14,,,333507.0,122646.0,210861.0,,168421,17421,1935,1328.0,606.0,1.0,,,,,,,89.69,1.03,113439
2020-11-11,,,2683493.0,187777,121402,66361,14,,,333507.0,122646.0,210861.0,,168421,17421,1935,1328.0,606.0,1.0,,,,,,,89.69,1.03,113439
2020-11-12,,,2732430.0,193111,124665,68432,14,,,338841.0,122864.0,215977.0,,172265,18867,1979,1357.0,621.0,1.0,,,,,,,89.21,1.02,115595
2020-11-13,,,2755864.0,195799,126291,69494,14,,,341529.0,123438.0,218091.0,,174380,19413,2006,1375.0,630.0,1.0,,,,,,,89.06,1.02,116620
2020-11-14,,,2776925.0,197917,127610,70293,14,,,343647.0,123472.0,220175.0,,176368,19538,2011,1378.0,632.0,1.0,,,,,,,89.11,1.02,117528
2020-11-15,,,2791274.0,199874,128755,71105,14,,,345604.0,123605.0,221999.0,,178298,19557,2019,1384.0,634.0,1.0,,,,,,,89.21,1.01,118151
2020-11-16,,,2800445.0,202027,130092,71921,14,,,347757.0,124055.0,223702.0,,180647,19342,2038,1398.0,639.0,1.0,,,,,,,89.42,1.01,118572
2020-11-17,,,2812982.0,204477,131646,72817,14,,,350207.0,124388.0,225819.0,,183261,19153,2063,1414.0,648.0,1.0,,,,,,,89.62,1.01,119179
2020-11-18,,,2835091.0,207039,133300,73725,14,,,352769.0,124879.0,227890.0,,185403,19543,2093,1433.0,659.0,1.0,,,,,,,89.55,1.01,120184
2020-11-19,,,2860380.0,209251,134673,74564,14,,,354981.0,125143.0,229838.0,,187559,19579,2113,1449.0,663.0,1.0,,,,,,,89.63,1.01,121270
2020-11-20,,,2889297.0,212355,136517,75824,14,,,358085.0,125574.0,232511.0,,190067,20150,2138,1472.0,665.0,1.0,,,,,,,89.5,1.01,122543
2020-11-21,,,2921480.0,215021,138191,76816,14,,,360751.0,125849.0,234902.0,,192533,20325,2163,1489.0,673.0,1.0,,,,,,,89.54,1.01,123925
2020-11-22,,,2953103.0,217300,139556,77730,14,,,363030.0,125965.0,237065.0,,194768,20344,2188,1505.0,682.0,1.0,,,,,,,89.63,1.01,125250
2020-11-23,,,2975016.0,219963,141170,78779,14,,,365693.0,126140.0,239553.0,,197335,20412,2216,1523.0,692.0,1.0,,,,,,,89.71,1.01,126209
2020-11-24,,,3005363.0,222292,142525,79753,14,,,368022.0,126274.0,241748.0,,199278,20765,2249,1547.0,701.0,1.0,,,,,,,89.65,1.01,127512
2020-11-25,,,3039676.0,224489,143895,80580,14,,,370219.0,126392.0,243827.0,,201250,20948,2291,1574.0,716.0,1.0,,,,,,,89.65,1.02,128981
2020-11-26,44526.0,3335699.0,3103597.0,226611,145154,81443,14,,,372341.0,126531.0,245810.0,,203517,20778,2316,1590.0,725.0,1.0,,,,,,,89.81,1.02,131586
2020-11-27,42353.0,3378052.0,3143516.0,228746,146421,82311,14,,,374476.0,126848.0,247628.0,,206001,20400,2345,1602.0,742.0,1.0,,,,,,,90.06,1.03,133256
2020-11-28,,3413893.0,3177814.0,230713,147594,83105,14,,,376443.0,126949.0,249494.0,,208422,19916,2375,1618.0,756.0,1.0,,,,,,,90.34,1.03,134670
2020-11-29,35841.0,3540820.0,3218960.0,232522,148652,83856,14,,,378252.0,126982.0,251270.0,,211216,18905,2401,1634.0,766.0,1.0,,,,,,,90.84,1.03,139677
2020-11-30,30721.0,3571541.0,3254060.0,234126,149698,84414,14,,,379856.0,127274.0,252582.0,,213336,18362,2428,1656.0,771.0,1.0,,,,,,,91.12,1.04,140889
2020-12-01,29721.0,3601262.0,3289802.0,235997,150829,85154,14,,,381727.0,127517.0,254210.0,,215797,17744,2456,1675.0,780.0,1.0,,,,,,,91.44,1.04,142062
2020-12-02,31876.0,3633138.0,3326702.0,237604,151787,85803,14,,,383334.0,127954.0,255380.0,,218443,16673,2488,1694.0,793.0,1.0,,,,,,,91.94,1.05,143319
2020-12-03,36738.0,3669876.0,3366702.0,239239,152802,86423,14,,,384969.0,128252.0,256717.0,,221203,15516,2520,1719.0,800.0,1.0,,,,,,,92.46,1.05,144768
2020-12-04,37563.0,3707439.0,3407802.0,240841,153759,87068,14,,,386571.0,128491.0,258080.0,,223973,14329,2539,1731.0,807.0,1.0,,,,,,,93.0,1.05,146250
2020-12-05,37641.0,3745080.0,3448402.0,242398,154710,87674,14,,,388128.0,128491.0,259637.0,,226524,13310,2564,1745.0,818.0,1.0,,,,,,,93.45,1.06,147735
2020-12-06,37539.0,3782619.0,3486902.0,243896,155586,88296,14,,,389626.0,128610.0,261016.0,,228411,12897,2588,1760.0,827.0,1.0,,,,,,,93.65,1.06,149216
2020-12-07,24151.0,3806770.0,3516402.0,245288,156419,88855,14,,,391018.0,128764.0,262254.0,,230551,12126,2611,1772.0,838.0,1.0,,,,,,,93.99,1.06,150168
2020-12-08,35383.0,3842153.0,3555002.0,246679,157271,89394,14,,,392409.0,128833.0,263576.0,,232108,11947,2624,1784.0,839.0,1.0,,,,,,,94.09,1.06,151564
2020-12-09,28926.0,3871079.0,3588102.0,248079,158096,89969,14,,,393809.0,129010.0,264799.0,,233696,11733,2650,1801.0,848.0,1.0,,,,,,,94.2,1.07,152705
2020-12-10,31179.0,3902258.0,3622002.0,249329,158845,90470,14,,,395059.0,129205.0,265854.0,,235197,11456,2676,1822.0,853.0,1.0,,,,,,,94.33,1.07,153935
2020-12-11,29842.0,3932100.0,3655002.0,250394,159467,90913,14,,,396124.0,129322.0,266802.0,,237009,10686,2699,1833.0,865.0,1.0,,,,,,,94.65,1.08,155112
2020-12-12,27788.0,3959888.0,3686120.0,251402,160041,91347,14,,,397132.0,129419.0,267713.0,,238374,10318,2710,1839.0,870.0,1.0,,,,,,,94.82,1.08,156209
2020-12-13,33922.0,3993810.0,3721620.0,252392,160655,91723,14,,,398112.0,129536.0,268576.0,,239800,9875,2717,1845.0,871.0,1.0,,,,,,,95.01,1.08,157547
2020-12-14,23328.0,4017138.0,3747920.0,253385,161207,92164,14,,,399105.0,129653.0,269452.0,,241544,9108,2733,1855.0,877.0,1.0,,,,,,,95.33,1.08,158467
2020-12-15,27762.0,4044900.0,3776875.0,254207,161703,92490,14,,,399927.0,130247.0,269680.0,,243224,8232,2751,1870.0,880.0,1.0,,,,,,,95.68,1.08,159562
2020-12-16,33607.0,4078507.0,3811475.0,255014,162189,92811,14,,,400734.0,130471.0,270263.0,,244676,7573,2765,1879.0,885.0,1.0,,,,,,,95.95,1.08,160888
2020-12-17,34553.0,4113060.0,3846974.0,255728,162591,93123,14,,,401448.0,130710.0,270738.0,,245933,7013,2782,1890.0,891.0,1.0,,,,,,,96.17,1.09,162251
2020-12-18,35339.0,4148399.0,3882660.0,256477,163019,93444,14,,,402197.0,130949.0,271248.0,,247097,6577,2803,1903.0,899.0,1.0,,,,,,,96.34,1.09,163645
2020-12-19,34538.0,4182937.0,3916941.0,257067,163382,93671,14,,,402787.0,131088.0,271699.0,,248172,6079,2816,1911.0,904.0,1.0,,,,,,,96.54,1.1,165007
2020-12-20,36129.0,4219066.0,3953224.0,257644,163737,93893,14,,,403364.0,131272.0,272092.0,,248935,5888,2821,1912.0,908.0,1.0,,,,,,,96.62,1.09,166433
2020-12-23,39500.0,4314166.0,4048073.0,259226,164645,94566,15,,,404946.0,132315.0,272631.0,,251149,5230,2847,1926.0,920.0,1.0,,,,,,,96.88,1.1,170184
2020-12-24,41612.0,4355778.0,4089147.0,259745,164976,94754,15,,,405465.0,132620.0,272845.0,,251908,4983,2854,1931.0,922.0,1.0,,,,,,,96.98,1.1,171826
2020-12-25,33222.0,4389000.0,4122313.0,260153,165226,94912,15,,,405873.0,132729.0,273144.0,,252545,4750,2858,1934.0,923.0,1.0,,,,,,,97.08,1.1,173136
2020-12-26,25846.0,4414846.0,4147911.0,260545,165467,95063,15,,,406265.0,133012.0,273253.0,,253145,4535,2865,1938.0,926.0,1.0,,,,,,,97.16,1.1,174156
2020-12-27,29978.0,4444824.0,4177389.0,260907,165691,95201,15,,,406627.0,133242.0,273385.0,,253765,4268,2874,1944.0,929.0,1.0,,,,,,,97.26,1.1,175338
2020-12-28,18733.0,4463557.0,4195934.0,261258,165903,95340,15,,,406978.0,133620.0,273358.0,,254336,4040,2882,1948.0,933.0,1.0,,,,,,,97.35,1.1,176077
