date,seaport,ships_arrived,passengers,positive_cases
2021-12-13,chennai,1,161,0
2021-12-13,thoothukudi,5,2286,34
2021-12-13,total,6,2447,34
2021-12-11,chennai,1,161,0
2021-12-11,thoothukudi,5,2286,34
2021-12-11,total,6,2447,34
2021-12-10,chennai,1,161,0
2021-12-10,thoothukudi,5,2286,34
2021-12-10,total,6,2447,34
2021-12-09,chennai,1,161,0
2021-12-09,thoothukudi,5,2286,34
2021-12-09,total,6,2447,34
2021-12-08,chennai,1,161,0
2021-12-08,thoothukudi,5,2286,34
2021-12-08,total,6,2447,34
2021-12-06,chennai,1,161,0
2021-12-06,thoothukudi,5,2286,34
2021-12-06,total,6,2447,34
2021-12-05,chennai,1,161,0
2021-12-05,thoothukudi,5,2286,34
2021-12-05,total,6,2447,34
2021-12-04,chennai,1,161,0
2021-12-04,thoothukudi,5,2286,34
2021-12-04,total,6,2447,34
2021-12-03,chennai,1,161,0
2021-12-03,thoothukudi,5,2286,34
2021-12-03,total,6,2447,34
2021-12-02,chennai,1,161,0
2021-12-02,thoothukudi,5,2286,34
2021-12-02,total,6,2447,34
2021-12-01,chennai,1,161,0
2021-12-01,thoothukudi,5,2286,34
2021-12-01,total,6,2447,34
2021-11-30,chennai,1,161,0
2021-11-30,thoothukudi,5,2286,34
2021-11-30,total,6,2447,34
2021-11-28,chennai,1,161,0
2021-11-28,thoothukudi,5,2286,34
2021-11-28,total,6,2447,34
2021-11-27,chennai,1,161,0
2021-11-27,thoothukudi,5,2286,34
2021-11-27,total,6,2447,34
2021-11-26,chennai,1,161,0
2021-11-26,thoothukudi,5,2286,34
2021-11-26,total,6,2447,34
2021-11-25,chennai,1,161,0
2021-11-25,thoothukudi,5,2286,34
2021-11-25,total,6,2447,34
2021-11-24,chennai,1,161,0
2021-11-24,thoothukudi,5,2286,34
2021-11-24,total,6,2447,34
2021-11-23,chennai,1,161,0
2021-11-23,thoothukudi,5,2286,34
2021-11-23,total,6,2447,34
2021-11-22,chennai,1,161,0
2021-11-22,thoothukudi,5,2286,34
2021-11-22,total,6,2447,34
2021-11-21,chennai,1,161,0
2021-11-21,thoothukudi,5,2286,34
2021-11-21,total,6,2447,34
2021-11-19,chennai,1,161,0
2021-11-19,thoothukudi,5,2286,34
2021-11-19,total,6,2447,34
2021-11-18,chennai,1,161,0
2021-11-18,thoothukudi,5,2286,34
2021-11-18,total,6,2447,34
2021-11-17,chennai,1,161,0
2021-11-17,thoothukudi,5,2286,34
2021-11-17,total,6,2447,34
2021-11-13,chennai,1,161,0
2021-11-13,thoothukudi,5,2286,34
2021-11-13,total,6,2447,34
2021-11-12,chennai,1,161,0
2021-11-12,thoothukudi,5,2286,34
2021-11-12,total,6,2447,34
2021-11-11,chennai,1,161,0
2021-11-11,thoothukudi,5,2286,34
2021-11-11,total,6,2447,34
2021-11-10,chennai,1,161,0
2021-11-10,thoothukudi,5,2286,34
2021-11-10,total,6,2447,34
2021-11-09,chennai,1,161,0
2021-11-09,thoothukudi,5,2286,34
2021-11-09,total,6,2447,34
2021-11-08,chennai,1,161,0
2021-11-08,thoothukudi,5,2286,34
2021-11-08,total,6,2447,34
2021-11-07,chennai,1,161,0
2021-11-07,thoothukudi,5,2286,34
2021-11-07,total,6,2447,34
2021-11-05,chennai,1,161,0
2021-11-05,thoothukudi,5,2286,34
2021-11-05,total,6,2447,34
2021-11-02,chennai,1,161,0
2021-11-02,thoothukudi,5,2286,34
2021-11-02,total,6,2447,34
2021-11-01,chennai,1,161,0
2021-11-01,thoothukudi,5,2286,34
2021-11-01,total,6,2447,34
2021-10-31,chennai,1,161,0
2021-10-31,thoothukudi,5,2286,34
2021-10-31,total,6,2447,34
2021-10-30,chennai,1,161,0
2021-10-30,thoothukudi,5,2286,34
2021-10-30,total,6,2447,34
2021-10-29,chennai,1,161,0
2021-10-29,thoothukudi,5,2286,34
2021-10-29,total,6,2447,34
2021-10-25,chennai,1,161,0
2021-10-25,thoothukudi,5,2286,34
2021-10-25,total,6,2447,34
2021-10-24,chennai,1,161,0
2021-10-24,thoothukudi,5,2286,34
2021-10-24,total,6,2447,34
2021-10-23,chennai,1,161,0
2021-10-23,thoothukudi,5,2286,34
2021-10-23,total,6,2447,34
2021-10-22,chennai,1,161,0
2021-10-22,thoothukudi,5,2286,34
2021-10-22,total,6,2447,34
2021-10-21,chennai,1,161,0
2021-10-21,thoothukudi,5,2286,34
2021-10-21,total,6,2447,34
2021-10-20,chennai,1,161,0
2021-10-20,thoothukudi,5,2286,34
2021-10-20,total,6,2447,34
2021-10-19,chennai,1,161,0
2021-10-19,thoothukudi,5,2286,34
2021-10-19,total,6,2447,34
2021-10-17,chennai,1,161,0
2021-10-17,thoothukudi,5,2286,34
2021-10-17,total,6,2447,34
2021-10-16,chennai,1,161,0
2021-10-16,thoothukudi,5,2286,34
2021-10-16,total,6,2447,34
2021-10-12,chennai,1,161,0
2021-10-12,thoothukudi,5,2286,34
2021-10-12,total,6,2447,34
2021-10-09,chennai,1,161,0
2021-10-09,thoothukudi,5,2286,34
2021-10-09,total,6,2447,34
2021-10-08,chennai,1,161,0
2021-10-08,thoothukudi,5,2286,34
2021-10-08,total,6,2447,34
2021-10-06,chennai,1,161,0
2021-10-06,thoothukudi,5,2286,34
2021-10-06,total,6,2447,34
2021-10-05,chennai,1,161,0
2021-10-05,thoothukudi,5,2286,34
2021-10-05,total,6,2447,34
2021-10-04,chennai,1,161,0
2021-10-04,thoothukudi,5,2286,34
2021-10-04,total,6,2447,34
2021-10-03,chennai,1,161,0
2021-10-03,thoothukudi,5,2286,34
2021-10-03,total,6,2447,34
2021-10-02,chennai,1,161,0
2021-10-02,thoothukudi,5,2286,34
2021-10-02,total,6,2447,34
2021-10-01,chennai,1,161,0
2021-10-01,thoothukudi,5,2286,34
2021-10-01,total,6,2447,34
2021-09-28,chennai,1,161,0
2021-09-28,thoothukudi,5,2286,34
2021-09-28,total,6,2447,34
2021-09-26,chennai,1,161,0
2021-09-26,thoothukudi,5,2286,34
2021-09-26,total,6,2447,34
2021-09-24,chennai,1,161,0
2021-09-24,thoothukudi,5,2286,34
2021-09-24,total,6,2447,34
2021-09-23,chennai,1,161,0
2021-09-23,thoothukudi,5,2286,34
2021-09-23,total,6,2447,34
2021-09-21,chennai,1,161,0
2021-09-21,thoothukudi,5,2286,34
2021-09-21,total,6,2447,34
2021-09-20,chennai,1,161,0
2021-09-20,thoothukudi,5,2286,34
2021-09-20,total,6,2447,34
2021-09-19,chennai,1,161,0
2021-09-19,thoothukudi,5,2286,34
2021-09-19,total,6,2447,34
2021-09-18,chennai,1,161,0
2021-09-18,thoothukudi,5,2286,34
2021-09-18,total,6,2447,34
2021-09-14,chennai,1,161,0
2021-09-14,thoothukudi,5,2286,34
2021-09-14,total,6,2447,34
2021-09-13,chennai,1,161,0
2021-09-13,thoothukudi,5,2286,34
2021-09-13,total,6,2447,34
2021-09-12,chennai,1,161,0
2021-09-12,thoothukudi,5,2286,34
2021-09-12,total,6,2447,34
2021-09-11,chennai,1,161,0
2021-09-11,thoothukudi,5,2286,34
2021-09-11,total,6,2447,34
2021-09-10,chennai,1,161,0
2021-09-10,thoothukudi,5,2286,34
2021-09-10,total,6,2447,34
2021-09-08,chennai,1,161,0
2021-09-08,thoothukudi,5,2286,34
2021-09-08,total,6,2447,34
2021-09-06,chennai,1,161,0
2021-09-06,thoothukudi,5,2286,34
2021-09-06,total,6,2447,34
2021-09-05,chennai,1,161,0
2021-09-05,thoothukudi,5,2286,34
2021-09-05,total,6,2447,34
2021-09-04,chennai,1,161,0
2021-09-04,thoothukudi,5,2286,34
2021-09-04,total,6,2447,34
2021-09-01,chennai,1,161,0
2021-09-01,thoothukudi,5,2286,34
2021-09-01,total,6,2447,34
2021-08-31,chennai,1,161,0
2021-08-31,thoothukudi,5,2286,34
2021-08-31,total,6,2447,34
2021-08-30,chennai,1,161,0
2021-08-30,thoothukudi,5,2286,34
2021-08-30,total,6,2447,34
2021-08-29,chennai,1,161,0
2021-08-29,thoothukudi,5,2286,34
2021-08-29,total,6,2447,34
2021-08-28,chennai,1,161,0
2021-08-28,thoothukudi,5,2286,34
2021-08-28,total,6,2447,34
2021-08-27,chennai,1,161,0
2021-08-27,thoothukudi,5,2286,34
2021-08-27,total,6,2447,34
2021-08-25,chennai,1,161,0
2021-08-25,thoothukudi,5,2286,34
2021-08-25,total,6,2447,34
2021-08-24,chennai,1,161,0
2021-08-24,thoothukudi,5,2286,34
2021-08-24,total,6,2447,34
2021-08-20,chennai,1,161,0
2021-08-20,thoothukudi,5,2286,34
2021-08-20,total,6,2447,34
2021-08-18,chennai,1,161,0
2021-08-18,thoothukudi,5,2286,34
2021-08-18,total,6,2447,34
2021-08-15,chennai,1,161,0
2021-08-15,thoothukudi,5,2286,34
2021-08-15,total,6,2447,34
2021-08-14,chennai,1,161,0
2021-08-14,thoothukudi,5,2286,34
2021-08-14,total,6,2447,34
2021-08-13,chennai,1,161,0
2021-08-13,thoothukudi,5,2286,34
2021-08-13,total,6,2447,34
2021-08-11,chennai,1,161,0
2021-08-11,thoothukudi,5,2286,34
2021-08-11,total,6,2447,34
2021-08-09,chennai,1,161,0
2021-08-09,thoothukudi,5,2286,34
2021-08-09,total,6,2447,34
2021-08-05,chennai,1,161,0
2021-08-05,thoothukudi,5,2286,34
2021-08-05,total,6,2447,34
2021-08-03,chennai,1,161,0
2021-08-03,thoothukudi,5,2286,34
2021-08-03,total,6,2447,34
2021-08-02,chennai,1,161,0
2021-08-02,thoothukudi,5,2286,34
2021-08-02,total,6,2447,34
2021-07-31,chennai,1,161,0
2021-07-31,thoothukudi,5,2286,34
2021-07-31,total,6,2447,34
2021-07-30,chennai,1,161,0
2021-07-30,thoothukudi,5,2286,34
2021-07-30,total,6,2447,34
2021-07-29,chennai,1,161,0
2021-07-29,thoothukudi,5,2286,34
2021-07-29,total,6,2447,34
2021-07-28,chennai,1,161,0
2021-07-28,thoothukudi,5,2286,34
2021-07-28,total,6,2447,34
2021-07-27,chennai,1,161,0
2021-07-27,thoothukudi,5,2286,34
2021-07-27,total,6,2447,34
2021-07-26,chennai,1,161,0
2021-07-26,thoothukudi,5,2286,34
2021-07-26,total,6,2447,34
2021-07-25,chennai,1,161,0
2021-07-25,thoothukudi,5,2286,34
2021-07-25,total,6,2447,34
2021-07-23,chennai,1,161,0
2021-07-23,thoothukudi,5,2286,34
2021-07-23,total,6,2447,34
2021-07-22,chennai,1,161,0
2021-07-22,thoothukudi,5,2286,34
2021-07-22,total,6,2447,34
2021-07-21,chennai,1,161,0
2021-07-21,thoothukudi,5,2286,34
2021-07-21,total,6,2447,34
2021-07-20,chennai,1,161,0
2021-07-20,thoothukudi,5,2286,34
2021-07-20,total,6,2447,34
2021-07-19,chennai,1,161,0
2021-07-19,thoothukudi,5,2286,34
2021-07-19,total,6,2447,34
2021-07-17,chennai,1,161,0
2021-07-17,thoothukudi,5,2286,34
2021-07-17,total,6,2447,34
2021-07-16,chennai,1,161,0
2021-07-16,thoothukudi,5,2286,34
2021-07-16,total,6,2447,34
2021-07-14,chennai,1,161,0
2021-07-14,thoothukudi,5,2286,34
2021-07-14,total,6,2447,34
2021-07-13,chennai,1,161,0
