date,district,total_active_cases_till_yesterday,new_cases_today,discharged_cases_today,deaths_today,total_active_cases_including_today,total_indegenous_cases_till_yesterday,indegenous_cases_today,total_imported_cases_till_yesterday,imported_cases_today,total_cases_till_today,total_cases_discharged,total_deaths
2020-07-29,thirupathur,418,41,59,0,400,907.0,39.0,104.0,2.0,1052.0,641,11
2020-07-29,thiruvallur,4169,382,461,4,4086,12794.0,382.0,8.0,0.0,13184.0,8872,226
2020-07-29,thiruvannamalai,1684,177,93,2,1766,5296.0,177.0,350.0,0.0,5823.0,4002,55
2020-07-29,thiruvarur,618,112,26,1,703,1512.0,112.0,37.0,0.0,1661.0,952,6
2020-07-29,thoothukudi,2492,316,377,2,2429,6061.0,316.0,214.0,0.0,6591.0,4124,38
2020-07-29,tirunelveli,1735,382,158,2,1957,3940.0,379.0,407.0,3.0,4729.0,2745,27
2020-07-29,tiruppur,307,37,29,0,315,750.0,37.0,8.0,0.0,795.0,472,8
2020-07-29,trichy,1396,136,123,0,1409,3744.0,136.0,9.0,0.0,3889.0,2420,60
2020-07-29,vellore,1293,105,146,4,1248,5349.0,105.0,38.0,0.0,5492.0,4191,53
2020-07-29,villupuram,972,138,148,0,962,3223.0,137.0,138.0,1.0,3499.0,2504,33
2020-07-29,virudhunagar,2486,370,333,5,2518,6782.0,370.0,104.0,0.0,7256.0,4664,74
2020-07-30,airport surveillance (domestic),110,26,6,0,130,0.0,0.0,549.0,26.0,575.0,445,0
2020-07-30,airport surveillance (international),145,2,10,0,137,0.0,0.0,805.0,2.0,807.0,669,1
2020-07-30,ariyalur,158,17,0,1,174,880.0,17.0,17.0,0.0,914.0,734,6
2020-07-30,chengalpattu,3701,354,580,4,3471,13838.0,354.0,5.0,0.0,14197.0,10480,246
2020-07-30,chennai,12754,1175,1126,18,12785,97570.0,1175.0,22.0,0.0,98767.0,83890,2092
2020-07-30,coimbatore,1687,303,257,4,1729,4306.0,303.0,38.0,0.0,4647.0,2868,50
2020-07-30,cuddalore,1045,141,115,4,1067,2615.0,141.0,173.0,0.0,2929.0,1833,29
2020-07-30,dharmapuri,281,16,7,0,290,573.0,15.0,176.0,1.0,765.0,472,3
2020-07-30,dindigul,687,138,78,3,744,2559.0,138.0,63.0,0.0,2760.0,1970,46
2020-07-30,erode,198,12,33,0,177,656.0,12.0,22.0,0.0,690.0,504,9
2020-07-30,grand total,57490,5864,5295,97,57962,228765.0,5811.0,5349.0,53.0,239978.0,178178,3838
2020-07-30,kallakurichi,1167,93,28,0,1232,3230.0,93.0,403.0,0.0,3726.0,2472,22
2020-07-30,kancheepuram,3202,175,263,3,3111,8426.0,175.0,3.0,0.0,8604.0,5383,110
2020-07-30,kanyakumari,1943,248,176,0,2015,4186.0,248.0,89.0,0.0,4523.0,2475,33
2020-07-30,karur,168,41,0,0,209,384.0,41.0,44.0,0.0,469.0,251,9
2020-07-30,krishnagiri,516,26,47,0,495,820.0,26.0,104.0,0.0,950.0,441,14
2020-07-30,madurai,2392,220,226,2,2384,10488.0,218.0,130.0,2.0,10838.0,8221,233
2020-07-30,nagapattinam,290,28,12,1,305,593.0,28.0,64.0,0.0,685.0,372,8
2020-07-30,namakkal,294,48,33,0,309,554.0,43.0,50.0,5.0,652.0,338,5
2020-07-30,nilgiris,152,33,24,0,161,722.0,33.0,13.0,0.0,768.0,605,2
2020-07-30,perambalur,156,27,21,0,162,393.0,27.0,2.0,0.0,422.0,257,3
2020-07-30,pudukottai,794,128,59,3,860,1897.0,128.0,29.0,0.0,2054.0,1169,25
2020-07-30,railway surveillance,2,0,0,0,2,0.0,0.0,425.0,0.0,425.0,423,0
2020-07-30,ramanathapuram,699,46,73,2,670,3036.0,46.0,133.0,0.0,3215.0,2483,62
2020-07-30,ranipet,1666,272,212,1,1725,4448.0,272.0,49.0,0.0,4769.0,3014,30
2020-07-30,salem,1088,70,103,3,1052,3071.0,69.0,357.0,1.0,3498.0,2416,30
2020-07-30,sivagangai,459,75,63,2,469,2166.0,75.0,60.0,0.0,2301.0,1789,43
2020-07-30,tenkasi,952,56,18,3,987,1864.0,56.0,48.0,0.0,1968.0,962,19
2020-07-30,thanjavur,1074,97,74,6,1091,2535.0,97.0,19.0,0.0,2651.0,1534,26
2020-07-30,theni,1945,261,162,4,2040,4434.0,257.0,34.0,4.0,4729.0,2632,57
2020-07-30,thirupathur,397,50,21,0,426,943.0,48.0,106.0,2.0,1099.0,662,11
2020-07-30,thiruvallur,4057,325,443,2,3937,13148.0,325.0,8.0,0.0,13481.0,9315,229
2020-07-30,thiruvannamalai,1766,187,0,2,1951,5473.0,185.0,350.0,2.0,6010.0,4002,57
2020-07-30,thiruvarur,703,4,91,3,613,1624.0,4.0,37.0,0.0,1665.0,1043,9
2020-07-30,thoothukudi,2430,220,370,5,2275,6378.0,220.0,214.0,0.0,6812.0,4494,43
2020-07-30,tirunelveli,1953,277,109,8,2113,4315.0,272.0,410.0,5.0,5002.0,2854,35
2020-07-30,tiruppur,315,32,29,2,316,787.0,32.0,8.0,0.0,827.0,501,10
2020-07-30,trichy,1413,118,11,0,1520,3884.0,118.0,9.0,0.0,4011.0,2431,60
2020-07-30,vellore,1249,184,174,4,1255,5455.0,183.0,38.0,1.0,5677.0,4365,57
2020-07-30,villupuram,962,95,136,2,919,3360.0,93.0,139.0,2.0,3594.0,2640,35
2020-07-30,virudhunagar,2520,244,105,5,2654,7154.0,244.0,104.0,0.0,7502.0,4769,79
2020-08-07,airport surveillance (domestic),171,2,21,0,152,0.0,0.0,675.0,2.0,677.0,525,0
2020-08-07,airport surveillance (international),156,1,81,0,76,0.0,0.0,852.0,1.0,853.0,776,1
2020-08-07,ariyalur,218,51,31,1,237,1136.0,51.0,18.0,0.0,1205.0,957,11
2020-08-07,chengalpattu,2655,319,337,8,2629,16903.0,319.0,5.0,0.0,17227.0,14306,292
2020-08-07,chennai,11749,984,1103,24,11606,106103.0,984.0,22.0,0.0,107109.0,93231,2272
2020-08-07,coimbatore,1581,228,224,5,1580,5961.0,228.0,38.0,0.0,6227.0,4546,101
2020-08-07,cuddalore,1913,212,123,3,1999,4045.0,211.0,188.0,1.0,4445.0,2394,52
2020-08-07,dharmapuri,85,16,16,0,85,629.0,14.0,185.0,2.0,830.0,738,7
2020-08-07,dindigul,561,134,117,0,578,3262.0,134.0,69.0,0.0,3465.0,2824,63
2020-08-07,erode,239,67,10,1,295,859.0,67.0,29.0,0.0,955.0,646,14
2020-08-07,grand total,53486,5880,6488,119,52759,273448.0,5856.0,5696.0,24.0,285024.0,227575,4690
2020-08-07,kallakurichi,827,139,61,2,903,3728.0,139.0,403.0,0.0,4270.0,3335,32
2020-08-07,kancheepuram,2887,166,356,5,2692,11005.0,166.0,3.0,0.0,11174.0,8340,142
2020-08-07,kanyakumari,1932,187,298,5,1816,5733.0,187.0,95.0,0.0,6015.0,4131,68
2020-08-07,karur,319,26,48,1,296,636.0,26.0,44.0,0.0,706.0,399,11
2020-08-07,krishnagiri,450,46,52,4,440,1135.0,40.0,129.0,6.0,1310.0,850,20
2020-08-07,madurai,1863,109,184,2,1786,11550.0,109.0,138.0,0.0,11797.0,9733,278
2020-08-07,nagapattinam,390,78,30,0,438,852.0,77.0,69.0,1.0,999.0,550,11
2020-08-07,namakkal,363,34,49,0,348,822.0,34.0,68.0,0.0,924.0,566,10
2020-08-07,nilgiris,159,13,17,1,154,903.0,13.0,15.0,0.0,931.0,773,4
2020-08-07,perambalur,142,69,21,0,190,570.0,69.0,2.0,0.0,641.0,442,9
2020-08-07,pudukottai,821,173,54,3,937,2724.0,173.0,31.0,0.0,2928.0,1955,36
2020-08-07,railway surveillance,2,0,0,0,2,0.0,0.0,426.0,0.0,426.0,424,0
2020-08-07,ramanathapuram,389,43,38,1,393,3370.0,43.0,133.0,0.0,3546.0,3081,72
2020-08-07,ranipet,1733,253,354,1,1631,6295.0,253.0,49.0,0.0,6597.0,4921,45
2020-08-07,salem,1110,168,103,6,1169,3878.0,166.0,374.0,2.0,4420.0,3202,49
2020-08-07,sivagangai,460,64,62,1,461,2708.0,64.0,60.0,0.0,2832.0,2315,56
2020-08-07,tenkasi,872,117,108,4,877,2583.0,117.0,48.0,0.0,2748.0,1828,43
2020-08-07,thanjavur,881,217,67,3,1028,3465.0,217.0,19.0,0.0,3701.0,2634,39
2020-08-07,theni,2687,351,276,4,2758,6797.0,351.0,40.0,0.0,7188.0,4344,86
2020-08-07,thirupathur,485,66,54,1,496,1323.0,66.0,109.0,0.0,1498.0,976,26
2020-08-07,thiruvallur,3411,388,449,6,3344,15824.0,388.0,8.0,0.0,16220.0,12602,274
2020-08-07,thiruvannamalai,1997,252,620,6,1623,6704.0,248.0,356.0,4.0,7312.0,5602,87
2020-08-07,thiruvarur,182,44,27,0,199,1838.0,44.0,37.0,0.0,1919.0,1708,12
2020-08-07,thoothukudi,1835,195,240,6,1784,8232.0,192.0,221.0,3.0,8648.0,6797,67
2020-08-07,tirunelveli,2268,200,170,4,2294,5650.0,200.0,415.0,0.0,6265.0,3902,69
2020-08-07,tiruppur,328,31,38,2,319,1049.0,31.0,9.0,0.0,1089.0,750,20
2020-08-07,trichy,1273,105,104,0,1274,4825.0,105.0,9.0,0.0,4939.0,3598,67
2020-08-07,vellore,1377,158,211,5,1319,6846.0,156.0,52.0,2.0,7056.0,5651,86
2020-08-07,villupuram,804,73,129,2,746,4168.0,73.0,149.0,0.0,4390.0,3602,42
2020-08-07,virudhunagar,1911,101,205,2,1805,9337.0,101.0,104.0,0.0,9542.0,7621,116
2020-08-08,airport surveillance (domestic),152,6,1,0,157,0.0,0.0,677.0,6.0,683.0,526,0
2020-08-08,airport surveillance (international),76,0,0,0,76,0.0,0.0,853.0,0.0,853.0,776,1
2020-08-08,ariyalur,235,42,13,1,263,1185.0,42.0,18.0,0.0,1245.0,970,12
2020-08-08,chengalpattu,2386,425,114,8,2689,16981.0,425.0,5.0,0.0,17411.0,14420,302
2020-08-08,chennai,11637,986,869,20,11734,107116.0,986.0,22.0,0.0,108124.0,94100,2290
2020-08-08,coimbatore,1619,183,149,10,1643,6229.0,183.0,38.0,0.0,6450.0,4695,112
2020-08-08,cuddalore,1989,193,108,3,2071,4246.0,192.0,189.0,1.0,4628.0,2502,55
2020-08-08,dharmapuri,84,22,13,1,92,642.0,21.0,187.0,1.0,851.0,751,8
2020-08-08,dindigul,722,138,53,4,803,3540.0,138.0,69.0,0.0,3747.0,2877,67
2020-08-08,erode,294,58,18,2,332,925.0,58.0,29.0,0.0,1012.0,664,16
2020-08-08,grand total,52759,5883,5043,118,53481,279304.0,5866.0,5720.0,17.0,290907.0,232618,4808
2020-08-08,kallakurichi,936,90,210,2,814,3901.0,90.0,403.0,0.0,4394.0,3545,35
2020-08-08,kancheepuram,2656,284,167,4,2769,11135.0,284.0,3.0,0.0,11422.0,8507,146
2020-08-08,kanyakumari,1826,197,126,1,1896,5930.0,196.0,95.0,1.0,6222.0,4257,69
2020-08-08,karur,288,40,62,1,265,654.0,40.0,44.0,0.0,738.0,461,12
2020-08-08,krishnagiri,431,60,51,1,439,1166.0,57.0,135.0,3.0,1361.0,901,21
2020-08-08,madurai,1795,92,256,4,1627,11668.0,91.0,138.0,1.0,11898.0,9989,282
2020-08-08,nagapattinam,438,77,24,0,491,929.0,77.0,70.0,0.0,1076.0,574,11
2020-08-08,namakkal,345,32,42,2,333,853.0,32.0,68.0,0.0,953.0,608,12
2020-08-08,nilgiris,153,19,15,0,157,914.0,19.0,15.0,0.0,948.0,788,3
2020-08-08,perambalur,190,45,26,0,209,639.0,45.0,2.0,0.0,686.0,468,9
2020-08-08,pudukottai,945,114,73,0,986,2905.0,114.0,31.0,0.0,3050.0,2028,36
2020-08-08,railway surveillance,2,0,0,0,2,0.0,0.0,426.0,0.0,426.0,424,0
2020-08-08,ramanathapuram,377,55,22,1,409,3397.0,55.0,133.0,0.0,3585.0,3103,73
2020-08-08,ranipet,1640,138,366,3,1409,6557.0,138.0,49.0,0.0,6744.0,5287,48
2020-08-08,salem,1152,55,226,3,978,4027.0,55.0,376.0,0.0,4458.0,3428,52
2020-08-08,sivagangai,461,55,60,5,451,2772.0,55.0,60.0,0.0,2887.0,2375,61
2020-08-08,tenkasi,878,203,48,1,1032,2701.0,203.0,48.0,0.0,2952.0,1876,44
2020-08-08,thanjavur,1034,227,81,3,1177,3688.0,227.0,19.0,0.0,3934.0,2715,42
2020-08-08,theni,2656,452,252,5,2851,7046.0,452.0,40.0,0.0,7538.0,4596,91
2020-08-08,thirupathur,492,58,40,4,506,1385.0,58.0,109.0,0.0,1552.0,1016,30
2020-08-08,thiruvallur,3345,391,327,6,3403,16213.0,391.0,8.0,0.0,16612.0,12929,280
2020-08-08,thiruvannamalai,1800,121,204,2,1715,7129.0,120.0,360.0,1.0,7610.0,5806,89
2020-08-08,thiruvarur,197,30,6,0,221,1880.0,30.0,37.0,0.0,1947.0,1714,12
2020-08-08,thoothukudi,1794,247,229,2,1810,8434.0,245.0,224.0,2.0,8905.0,7026,69
2020-08-08,tirunelveli,2329,126,140,7,2308,5884.0,126.0,415.0,0.0,6425.0,4042,75
2020-08-08,tiruppur,291,45,26,1,309,1052.0,45.0,9.0,0.0,1106.0,776,21
2020-08-08,trichy,1283,84,62,2,1303,4939.0,84.0,9.0,0.0,5032.0,3660,69
2020-08-08,vellore,1314,155,180,2,1287,6997.0,154.0,54.0,1.0,7206.0,5831,88
2020-08-08,villupuram,728,92,277,3,540,4222.0,92.0,149.0,0.0,4463.0,3879,44
2020-08-08,virudhunagar,1789,246,107,4,1924,9423.0,246.0,104.0,0.0,9773.0,7728,121
2020-08-09,airport surveillance (domestic),157,7,34,0,130,0.0,0.0,683.0,7.0,690.0,560,0
2020-08-09,airport surveillance (international),76,7,2,0,81,0.0,0.0,853.0,7.0,860.0,778,1
2020-08-09,ariyalur,263,46,25,1,283,1227.0,46.0,18.0,0.0,1291.0,995,13
2020-08-09,chengalpattu,2692,397,356,5,2728,17409.0,397.0,5.0,0.0,17811.0,14776,307
2020-08-09,chennai,11738,989,1061,12,11654,108106.0,989.0,22.0,0.0,109117.0,95161,2302
2020-08-09,coimbatore,1646,217,185,13,1665,6415.0,217.0,38.0,0.0,6670.0,4880,125
2020-08-09,cuddalore,2071,146,102,2,2113,4438.0,146.0,190.0,0.0,4774.0,2604,57
2020-08-09,dharmapuri,92,29,1,1,119,663.0,28.0,188.0,1.0,880.0,752,9
2020-08-09,dindigul,803,131,327,4,603,3678.0,131.0,69.0,0.0,3878.0,3204,71
2020-08-09,erode,318,66,16,1,367,969.0,65.0,29.0,1.0,1064.0,680,17
2020-08-09,grand total,53481,5994,6020,119,53336,285170.0,5974.0,5737.0,20.0,296901.0,238638,4927
2020-08-09,kallakurichi,814,86,60,0,840,3991.0,86.0,403.0,0.0,4480.0,3605,35
2020-08-09,kancheepuram,2761,393,431,5,2718,11411.0,393.0,3.0,0.0,11807.0,8938,151
2020-08-09,kanyakumari,1895,127,268,4,1750,6125.0,127.0,96.0,0.0,6348.0,4525,73
2020-08-09,karur,266,32,17,0,281,695.0,32.0,44.0,0.0,771.0,478,12
2020-08-09,krishnagiri,440,60,29,0,471,1224.0,60.0,138.0,0.0,1422.0,930,21
2020-08-09,madurai,1627,107,463,6,1265,11759.0,107.0,139.0,0.0,12005.0,10452,288
2020-08-09,nagapattinam,491,69,39,0,521,1006.0,69.0,70.0,0.0,1145.0,613,11
2020-08-09,namakkal,336,35,34,2,335,888.0,35.0,68.0,0.0,991.0,642,14
2020-08-09,nilgiris,157,10,15,0,152,933.0,10.0,15.0,0.0,958.0,803,3
2020-08-09,perambalur,209,32,14,0,227,684.0,32.0,2.0,0.0,718.0,482,9
2020-08-09,pudukottai,986,139,113,0,1012,3019.0,139.0,31.0,0.0,3189.0,2141,36
2020-08-09,railway surveillance,2,0,0,0,2,0.0,0.0,426.0,0.0,426.0,424,0
2020-08-09,ramanathapuram,410,60,47,2,421,3453.0,60.0,133.0,0.0,3646.0,3150,75
2020-08-09,ranipet,1410,219,226,4,1399,6696.0,219.0,49.0,0.0,6964.0,5513,52
2020-08-09,salem,977,165,64,0,1078,4081.0,163.0,376.0,2.0,4622.0,3492,52
2020-08-09,sivagangai,450,50,47,4,449,2826.0,50.0,60.0,0.0,2936.0,2422,65
2020-08-09,tenkasi,1039,173,39,1,1172,2911.0,173.0,48.0,0.0,3132.0,1915,45
