date,travel_mode,passengers,positive_cases
2020-07-23,airport_domestic,153963,468.0
2020-07-23,airport_international,41460,751.0
2020-07-23,grand total,420925,5044.0
2020-07-23,road_bus,40370,
2020-07-23,road_own,159986,3367.0
2020-07-23,sea_port,2447,34.0
2020-07-23,train,22699,424.0
2020-07-26,airport_domestic,165068,506.0
2020-07-26,airport_international,43276,787.0
2020-07-26,grand total,439297,5237.0
2020-07-26,road_bus,40494,
2020-07-26,road_own,164438,3485.0
2020-07-26,sea_port,2447,34.0
2020-07-26,train,23574,425.0
2020-07-29,airport_domestic,175172,549.0
2020-07-29,airport_international,45216,805.0
2020-07-29,grand total,455638,5371.0
2020-07-29,road_bus,40619,
2020-07-29,road_own,168610,3558.0
2020-07-29,sea_port,2447,34.0
2020-07-29,train,23574,425.0
2020-07-30,airport_domestic,178540,575.0
2020-07-30,airport_international,46042,807.0
2020-07-30,grand total,462131,5424.0
2020-07-30,road_bus,40641,
2020-07-30,road_own,170033,3583.0
2020-07-30,sea_port,2447,34.0
2020-07-30,train,24428,425.0
2020-08-07,airport_domestic,212107,677.0
2020-08-07,airport_international,51367,853.0
2020-08-07,grand total,514931,5742.0
2020-08-07,road_bus,40764,
2020-08-07,road_own,182307,3752.0
2020-08-07,sea_port,2447,34.0
2020-08-07,train,25939,426.0
2020-08-08,airport_domestic,217290,683.0
2020-08-08,airport_international,52132,853.0
2020-08-08,grand total,522753,5759.0
2020-08-08,road_bus,40769,
2020-08-08,road_own,184176,3763.0
2020-08-08,sea_port,2447,34.0
2020-08-08,train,25939,426.0
2020-08-09,airport_domestic,222420,690.0
2020-08-09,airport_international,53202,860.0
2020-08-09,grand total,532443,5779.0
2020-08-09,road_bus,40784,
2020-08-09,road_own,186591,3769.0
2020-08-09,sea_port,2447,34.0
2020-08-09,train,26999,426.0
2020-08-11,airport_domestic,233037,709.0
2020-08-11,airport_international,54653,863.0
2020-08-11,grand total,548747,5834.0
2020-08-11,road_bus,40797,
2020-08-11,road_own,190814,3800.0
2020-08-11,sea_port,2447,34.0
2020-08-11,train,26999,428.0
2020-08-13,airport_domestic,243523,726.0
2020-08-13,airport_international,56588,867.0
2020-08-13,grand total,567334,5886.0
2020-08-13,road_bus,40810,
2020-08-13,road_own,195816,3831.0
2020-08-13,sea_port,2447,34.0
