date,airport,flights_arrived,passengers,positive_cases
2021-09-23,total,48539,4630334,1083
2021-09-21,chennai,36769,3515734,447
2021-09-21,coimbatore,5792,602211,370
2021-09-21,madurai,3827,371486,159
2021-09-21,trichy,1912,114985,107
2021-09-21,total,48300,4604416,1083
2021-09-20,chennai,36672,3504059,447
2021-09-20,coimbatore,5776,600389,370
2021-09-20,madurai,3817,370604,159
2021-09-20,trichy,1908,114781,107
2021-09-20,total,48173,4589833,1083
2021-09-19,chennai,36572,3483042,447
2021-09-19,coimbatore,5761,598446,370
2021-09-19,madurai,3807,369586,159
2021-09-19,trichy,1904,114532,107
2021-09-19,total,48044,4565606,1083
2021-09-18,chennai,36480,3472559,447
2021-09-18,coimbatore,5746,596603,370
2021-09-18,madurai,3798,368685,159
2021-09-18,trichy,1900,114329,107
2021-09-18,total,47924,4552176,1083
2021-09-14,chennai,36106,3429016,447
2021-09-14,coimbatore,5685,589357,370
2021-09-14,madurai,3759,364933,158
2021-09-14,trichy,1886,113535,107
2021-09-14,total,47436,4496841,1082
2021-09-13,chennai,36007,3416751,447
2021-09-13,coimbatore,5670,587711,370
2021-09-13,madurai,3749,364018,158
2021-09-13,trichy,1882,113369,107
2021-09-13,total,47308,4481849,1082
2021-09-12,chennai,35906,3403582,447
2021-09-12,coimbatore,5655,585574,370
2021-09-12,madurai,3739,362915,158
2021-09-12,trichy,1878,113140,107
2021-09-12,total,47178,4465211,1082
2021-09-11,chennai,35819,3394251,447
2021-09-11,coimbatore,5640,584066,370
2021-09-11,madurai,3730,362002,158
2021-09-11,trichy,1874,112932,107
2021-09-11,total,47063,4453251,1082
2021-09-10,chennai,35718,3383519,447
2021-09-10,coimbatore,5625,582180,370
2021-09-10,madurai,3720,360881,158
2021-09-10,trichy,1870,112685,107
2021-09-10,total,46933,4439265,1082
2021-09-08,chennai,35531,3360750,447
2021-09-08,coimbatore,5595,578053,370
2021-09-08,madurai,3701,358625,158
2021-09-08,trichy,1863,112168,107
2021-09-08,total,46690,4409596,1082
2021-09-06,chennai,35344,3339272,447
2021-09-06,coimbatore,5566,574687,370
2021-09-06,madurai,3682,356592,158
2021-09-06,trichy,1856,111775,107
2021-09-06,total,46448,4382326,1082
2021-09-05,chennai,35246,3326727,447
2021-09-05,coimbatore,5551,572652,370
2021-09-05,madurai,3672,355440,158
2021-09-05,trichy,1852,111526,107
2021-09-05,total,46321,4366345,1082
2021-09-04,chennai,35156,3315580,447
2021-09-04,coimbatore,5535,570386,370
2021-09-04,madurai,3663,354473,158
2021-09-04,trichy,1848,111292,107
2021-09-04,total,46202,4351731,1082
2021-09-01,chennai,34963,3292790,447
2021-09-01,coimbatore,5506,566811,370
2021-09-01,madurai,3644,352407,158
2021-09-01,trichy,1841,110901,107
2021-09-01,total,45954,4322909,1082
2021-08-31,chennai,34788,3270865,447
2021-08-31,coimbatore,5479,563355,370
2021-08-31,madurai,3624,350668,158
2021-08-31,trichy,1835,110541,107
2021-08-31,total,45726,4295429,1082
2021-08-30,chennai,34703,3260954,447
2021-08-30,coimbatore,5465,561985,370
2021-08-30,madurai,3615,349986,158
2021-08-30,trichy,1831,110342,107
2021-08-30,total,45614,4283267,1082
2021-08-29,chennai,34619,3250581,447
2021-08-29,coimbatore,5451,560369,370
2021-08-29,madurai,3605,349064,158
2021-08-29,trichy,1827,110140,107
2021-08-29,total,45502,4270154,1082
2021-08-28,chennai,34542,3241161,447
2021-08-28,coimbatore,5438,558927,370
2021-08-28,madurai,3595,348045,158
2021-08-28,trichy,1824,109974,107
2021-08-28,total,45399,4258107,1082
2021-08-27,chennai,34456,3230856,447
2021-08-27,coimbatore,5424,557248,370
2021-08-27,madurai,3586,347182,158
2021-08-27,trichy,1820,109701,107
2021-08-27,total,45286,4244987,1082
2021-08-25,chennai,34298,3211383,447
2021-08-25,coimbatore,5397,554033,370
2021-08-25,madurai,3567,345333,158
2021-08-25,trichy,1815,109404,107
2021-08-25,total,45077,4220153,1082
2021-08-24,chennai,34219,3202393,447
2021-08-24,coimbatore,5383,552653,370
2021-08-24,madurai,3557,344423,158
2021-08-24,trichy,1813,109303,107
2021-08-24,total,44972,4208772,1082
2021-08-20,chennai,33884,3162192,446
2021-08-20,coimbatore,5325,546371,370
2021-08-20,madurai,3519,340889,158
2021-08-20,trichy,1798,108431,107
2021-08-20,total,44526,4157883,1081
2021-08-18,chennai,31195,2858934,440
2021-08-18,coimbatore,4937,501254,370
2021-08-18,madurai,3210,313092,158
2021-08-18,trichy,1685,102424,107
2021-08-18,total,41027,3775704,1075
2021-08-15,chennai,33479,3111564,445
2021-08-15,coimbatore,5257,538497,370
2021-08-15,madurai,3471,336096,158
2021-08-15,trichy,1783,107541,107
2021-08-15,total,43990,4093698,1080
2021-08-14,chennai,33402,3101527,445
2021-08-14,coimbatore,5244,536987,370
2021-08-14,madurai,3462,335020,158
2021-08-14,trichy,1780,107355,107
2021-08-14,total,43888,4080889,1080
2021-08-13,chennai,33318,3090992,445
2021-08-13,coimbatore,5230,535369,370
2021-08-13,madurai,3453,334135,158
2021-08-13,trichy,1776,107114,107
2021-08-13,total,43777,4067610,1080
2021-08-11,chennai,33146,3071084,445
2021-08-11,coimbatore,5205,532537,370
2021-08-11,madurai,3434,332409,158
2021-08-11,trichy,1770,106755,107
2021-08-11,total,43555,4042785,1080
2021-08-09,chennai,32979,3051538,445
2021-08-09,coimbatore,5180,530227,370
2021-08-09,madurai,3415,330790,158
2021-08-09,trichy,1763,106344,107
2021-08-09,total,43337,4018899,1080
2021-08-05,chennai,32625,3008716,445
2021-08-05,coimbatore,5125,523674,370
2021-08-05,madurai,3375,326982,158
2021-08-05,trichy,1749,105492,107
2021-08-05,total,42874,3964864,1080
2021-08-03,chennai,32456,2988167,443
2021-08-03,coimbatore,5099,520605,370
2021-08-03,madurai,3356,325240,158
2021-08-03,trichy,1745,105264,107
2021-08-03,total,42656,3939276,1078
2021-08-02,chennai,32364,2976655,443
2021-08-02,coimbatore,5085,518979,370
2021-08-02,madurai,3347,324397,158
2021-08-02,trichy,1742,105112,107
2021-08-02,total,42538,3925143,1078
2021-07-31,chennai,32190,2954888,443
2021-07-31,coimbatore,5061,515591,370
2021-07-31,madurai,3328,322404,158
2021-07-31,trichy,1734,104641,107
2021-07-31,total,42313,3897524,1078
2021-07-30,chennai,32112,2946777,443
2021-07-30,coimbatore,5051,514326,370
2021-07-30,madurai,3319,321627,158
2021-07-30,trichy,1730,104473,107
2021-07-30,total,42212,3887203,1078
2021-07-29,chennai,32042,2939746,443
2021-07-29,coimbatore,5043,513346,370
2021-07-29,madurai,3311,320927,158
2021-07-29,trichy,1726,104277,107
2021-07-29,total,42122,3878296,1078
2021-07-28,chennai,31964,2932156,443
2021-07-28,coimbatore,5032,512275,370
2021-07-28,madurai,3302,320300,158
2021-07-28,trichy,1722,104107,107
2021-07-28,total,42020,3868838,1078
2021-07-27,chennai,31896,2925799,443
2021-07-27,coimbatore,5024,511320,370
2021-07-27,madurai,3293,319723,158
2021-07-27,trichy,1719,103946,107
2021-07-27,total,41932,3860788,1078
2021-07-26,chennai,31819,2917969,443
2021-07-26,coimbatore,5014,510290,370
2021-07-26,madurai,3285,319092,158
2021-07-26,trichy,1717,103844,107
2021-07-26,total,41835,3851195,1078
2021-07-25,chennai,31734,2908567,443
2021-07-25,coimbatore,5003,508961,370
2021-07-25,madurai,3275,318268,158
2021-07-25,trichy,1713,103642,107
2021-07-25,total,41725,3839438,1078
2021-07-23,chennai,31576,2893447,442
2021-07-23,coimbatore,4984,506603,370
2021-07-23,madurai,3256,316659,158
2021-07-23,trichy,1705,103263,107
2021-07-23,total,41521,3819972,1077
2021-07-22,chennai,31504,2886904,441
2021-07-22,coimbatore,4976,505561,370
2021-07-22,madurai,3246,315923,158
2021-07-22,trichy,1701,103073,107
2021-07-22,total,41427,3811461,1076
2021-07-21,chennai,31425,2879325,441
2021-07-21,coimbatore,4965,504354,370
2021-07-21,madurai,3237,315209,158
2021-07-21,trichy,1697,102913,107
2021-07-21,total,41324,3801801,1076
2021-07-20,chennai,31345,2874871,440
2021-07-20,coimbatore,4957,503514,370
2021-07-20,madurai,3228,314627,158
2021-07-20,trichy,1693,102754,107
2021-07-20,total,41223,3795766,1075
2021-07-19,chennai,31271,2867393,440
2021-07-19,coimbatore,4948,502634,370
2021-07-19,madurai,3219,313880,158
2021-07-19,trichy,1689,102586,107
2021-07-19,total,41127,3786493,1075
2021-07-17,chennai,31118,2853163,440
2021-07-17,coimbatore,4929,500126,370
2021-07-17,madurai,3201,312306,158
2021-07-17,trichy,1681,102246,107
2021-07-17,total,40929,3767841,1075
2021-07-16,chennai,31042,2845273,440
2021-07-16,coimbatore,4918,498634,370
2021-07-16,madurai,3192,311549,158
2021-07-16,trichy,1677,102041,107
2021-07-16,total,40829,3757497,1075
2021-07-14,chennai,30916,2830509,440
2021-07-14,coimbatore,4905,496551,370
2021-07-14,madurai,3176,310063,158
2021-07-14,trichy,1671,101700,107
2021-07-14,total,40668,3738823,1075
2021-07-13,chennai,30860,2824334,440
2021-07-13,coimbatore,4901,495936,370
2021-07-13,madurai,3168,309305,158
2021-07-13,trichy,1668,101540,107
2021-07-13,total,40597,3731115,1075
2021-07-08,chennai,30549,2787106,440
2021-07-08,coimbatore,4866,491270,370
2021-07-08,madurai,3125,305431,158
2021-07-08,trichy,1657,100886,107
2021-07-08,total,40197,3684693,1075
2021-07-07,chennai,30490,2779861,440
2021-07-07,coimbatore,4860,490465,370
2021-07-07,madurai,3117,304821,158
2021-07-07,trichy,1655,100886,107
2021-07-07,total,40122,3676033,1075
2021-07-04,chennai,30303,2758059,440
2021-07-04,coimbatore,4841,488051,370
2021-07-04,madurai,3092,302846,158
2021-07-04,trichy,1648,100886,107
2021-07-04,total,39884,3649842,1075
2021-07-02,chennai,30242,2751563,440
2021-07-02,coimbatore,4826,486262,370
2021-07-02,madurai,3075,301524,158
2021-07-02,trichy,1644,100886,107
2021-07-02,total,39787,3640235,1075
2021-07-01,chennai,30181,2745113,440
2021-07-01,coimbatore,4819,485451,370
2021-07-01,madurai,3067,300871,158
2021-07-01,trichy,1642,100886,107
2021-07-01,total,39709,3632321,1075
2021-06-30,chennai,30120,2738964,440
2021-06-30,coimbatore,4811,484712,370
2021-06-30,madurai,3060,300370,158
2021-06-30,trichy,1639,100886,107
2021-06-30,total,39630,3624932,1075
2021-06-29,chennai,30065,2733761,440
2021-06-29,coimbatore,4805,484209,370
2021-06-29,madurai,3053,299947,158
2021-06-29,trichy,1636,100886,107
2021-06-29,total,39559,3618803,1075
2021-06-28,chennai,30007,2728104,440
2021-06-28,coimbatore,4797,483577,370
2021-06-28,madurai,3046,299565,158
2021-06-28,trichy,1633,100886,107
2021-06-28,total,39483,3612132,1075
2021-06-23,chennai,29727,2701395,440
2021-06-23,coimbatore,4762,480385,370
2021-06-23,madurai,3009,296996,158
2021-06-23,trichy,1618,100886,107
2021-06-23,total,39116,3579662,1075
2021-06-17,chennai,29400,2673002,440
2021-06-17,coimbatore,4722,477678,370
2021-06-17,madurai,2968,294285,158
2021-06-17,trichy,1600,100886,107
2021-06-17,total,38690,3545851,1075
2021-06-16,chennai,29350,2669052,440
2021-06-16,coimbatore,4714,477241,370
2021-06-16,madurai,2961,293920,158
2021-06-16,trichy,1597,100886,107
2021-06-16,total,38622,3541099,1075
2021-06-13,chennai,29191,2657640,440
2021-06-13,coimbatore,4692,475779,370
2021-06-13,madurai,2940,292665,158
2021-06-13,trichy,1588,100886,107
2021-06-13,total,38411,3526970,1075
2021-06-05,chennai,28831,2630390,440
2021-06-05,coimbatore,4646,472678,370
2021-06-05,madurai,2891,289514,158
2021-06-05,trichy,1574,100886,107
2021-06-05,total,37942,3493468,1075
2021-05-23,chennai,28248,2605062,440
2021-05-23,coimbatore,4562,469099,370
2021-05-23,madurai,2817,285755,158
2021-05-23,trichy,1552,100886,107
2021-05-23,total,37179,3460802,1075
2021-05-21,chennai,28172,2601377,440
2021-05-21,coimbatore,4550,468534,370
2021-05-21,madurai,2807,285173,158
2021-05-21,trichy,1548,100886,107
2021-05-21,total,37077,3455970,1075
2021-05-14,chennai,27915,2589216,440
2021-05-14,coimbatore,4514,466909,370
2021-05-14,madurai,2772,283003,158
2021-05-14,trichy,1532,100886,107
2021-05-14,total,36733,3440014,1075
2021-05-11,chennai,27801,2584189,440
2021-05-11,coimbatore,4497,466150,370
2021-05-11,madurai,2759,282086,158
2021-05-11,trichy,1526,100886,107
2021-05-11,total,36583,3433311,1075
2021-05-09,chennai,27713,2578993,440
2021-05-09,coimbatore,4485,465083,370
2021-05-09,madurai,2750,281304,158
2021-05-09,trichy,1522,100886,107
2021-05-09,total,36470,3426266,1075
2021-05-08,chennai,27665,2576126,440
2021-05-08,coimbatore,4479,464516,370
2021-05-08,madurai,2745,280868,158
2021-05-08,trichy,1520,100886,107
2021-05-08,total,36409,3422396,1075
2021-05-04,chennai,27439,2564348,440
2021-05-04,coimbatore,4334,445403,370
2021-05-04,madurai,2726,279292,157
2021-05-04,trichy,1511,100886,107
2021-05-04,total,36010,3389929,1074
2021-05-03,chennai,27386,2560325,440
2021-05-03,coimbatore,4323,444762,370
2021-05-03,madurai,2720,278819,157
2021-05-03,trichy,1508,100886,107
2021-05-03,total,35937,3384792,1074
2021-05-01,chennai,27238,2551287,439
2021-05-01,coimbatore,4294,442545,370
2021-05-01,madurai,2708,277800,157
2021-05-01,trichy,1501,100886,107
2021-05-01,total,35741,3372518,1073
2021-04-30,chennai,27145,2545752,439
2021-04-30,coimbatore,4280,441380,370
2021-04-30,madurai,2701,277029,157
2021-04-30,trichy,1498,100886,107
2021-04-30,total,35624,3365047,1073
2021-04-25,chennai,26706,2521232,435
2021-04-25,coimbatore,4221,439276,370
2021-04-25,madurai,2665,273666,157
2021-04-25,trichy,1479,100886,107
2021-04-25,total,35071,3335060,1069
2021-04-24,chennai,26613,2515979,435
2021-04-24,coimbatore,4186,435022,370
2021-04-24,madurai,2657,272789,157
2021-04-24,trichy,1475,100886,107
2021-04-24,total,34931,3324676,1069
2021-04-20,chennai,26211,2488069,434
2021-04-20,coimbatore,4151,433957,370
2021-04-20,madurai,2623,269656,157
2021-04-20,trichy,1460,100886,106
2021-04-20,total,34445,3292568,1067
2021-04-19,chennai,26099,2479914,434
2021-04-19,coimbatore,4125,430480,370
2021-04-19,madurai,2613,268944,157
2021-04-19,trichy,1456,100886,106
2021-04-19,total,34293,3280224,1067
2021-04-11,chennai,25183,2413854,426
2021-04-11,coimbatore,3995,420517,370
2021-04-11,madurai,2538,263124,157
2021-04-11,trichy,1424,100886,106
2021-04-11,total,33140,3198381,1059
2021-04-10,chennai,25054,2404713,426
2021-04-10,coimbatore,3978,418726,370
2021-04-10,madurai,2528,262222,157
2021-04-10,trichy,1420,100886,106
2021-04-10,total,32980,3186547,1059
2021-04-09,chennai,24929,2395227,426
2021-04-09,coimbatore,3960,417171,370
2021-04-09,madurai,2518,261374,157
2021-04-09,trichy,1416,100886,106
2021-04-09,total,32823,3174658,1059
2021-04-06,chennai,24557,2366998,425
2021-04-06,coimbatore,3907,412858,370
2021-04-06,madurai,2489,258940,157
2021-04-06,trichy,1404,100886,106
2021-04-06,total,32357,3139682,1058
2021-04-04,chennai,24307,2345555,425
2021-04-04,coimbatore,3870,409618,370
2021-04-04,madurai,2469,256780,157
2021-04-04,trichy,1396,100886,106
2021-04-04,total,32042,3112839,1058
2021-04-03,chennai,24181,2334402,425
2021-04-03,coimbatore,3832,406149,370
2021-04-03,madurai,2459,255671,157
2021-04-03,trichy,1392,100886,106
2021-04-03,total,31864,3097108,1058
2021-03-28,chennai,23429,2273165,423
2021-03-28,coimbatore,3749,398713,366
2021-03-28,madurai,2399,249484,156
2021-03-28,trichy,1368,100886,106
2021-03-28,total,30945,3022248,1051
2021-03-27,chennai,23315,2262512,422
2021-03-27,coimbatore,3732,396449,366
2021-03-27,madurai,2390,248106,156
2021-03-27,trichy,1363,100886,106
2021-03-27,total,30800,3007953,1050
2021-03-24,chennai,22961,2231109,421
2021-03-24,coimbatore,3680,391097,365
2021-03-24,madurai,2362,244943,156
2021-03-24,trichy,1348,100886,106
2021-03-24,total,30351,2968035,1048
2021-03-22,chennai,22731,2211094,420
2021-03-22,coimbatore,3647,387724,365
2021-03-22,madurai,2345,243050,156
2021-03-22,trichy,1338,100886,106
2021-03-22,total,30061,2942754,1047
2021-03-21,chennai,22615,2199667,420
