date,active_cases,tested_positive_today,tested_positive_till_date,rtpcr_samples_tested_today,rtpcr_samples_tested_till_date,persons_tested_rt_pcr_today,persons_tested_rt_pcr_till_date,male_positive_tests_today,female_positive_tests_today,transgender_positive_tests_today,male_positive_tests_till_date,female_positive_tests_till_date,transgender_positive_tests_till_date,discharged_today,discharged_total,deaths_today,deaths_total,deaths_private_hospitals,deaths_government_hopitals
2020-08-29,52726,6326,415590,80988,4654797,78973,4499670,3881,2471,0,251013,164548,29,6045,355727,87,7137,28,59
2020-08-30,52721,6468,422085,83250,4738047,80100,4579770,3824,2671,0,254837,167219,29,6406,362133,94,7231,37,57
2020-08-31,52578,5925,428041,75100,4813147,73097,4652867,3533,2423,0,258370,169642,29,6008,368141,91,7322,35,56
2020-09-01,52379,5897,433969,75165,4888312,73155,4726022,3853,2075,0,262223,171717,29,6031,374172,96,7418,35,61
2020-09-02,52380,5962,439959,75829,4964141,73883,4799905,3465,2525,0,265688,174242,29,5891,380063,98,7516,41,57
2020-09-03,52070,5855,445851,82901,5047042,80864,4880769,3447,2445,0,269135,176687,29,6110,386173,92,7608,34,58
2020-09-04,51633,5951,451827,83699,5130741,81588,4962357,3604,2372,0,272739,179059,29,6334,392507,79,7687,28,51
2020-09-07,51215,5769,469256,80503,5379011,78526,5204757,3369,2407,0,283073,186154,29,5930,410116,89,7925,36,53
2020-09-09,49203,5576,480524,82573,5544850,80401,5366224,3394,2190,0,289777,190718,29,6516,423231,78,8090,21,57
2020-09-10,48482,5522,486052,85473,5630323,83411,5449635,3377,2151,0,293154,192869,29,6185,429416,64,8154,22,42
2020-09-11,47918,5514,491571,84893,5715216,82891,5532526,3324,2195,0,296478,195064,29,6006,435422,77,8231,36,41
2020-09-12,47110,5490,497066,88562,5803778,86486,5619012,3313,2182,0,299791,197246,29,6227,441649,76,8307,37,39
2020-09-14,46912,5742,508511,80123,5968209,78190,5779589,3153,2599,0,306354,202128,29,5799,453165,53,8434,19,34
2020-09-15,46806,5687,514208,80623,6048832,78711,5858300,3484,2213,0,309838,204341,29,5735,458900,68,8502,28,40
2020-09-16,46633,5645,519860,84567,6133399,82644,5940944,3489,2163,0,313327,206504,29,5768,464668,57,8559,23,34
2020-09-17,46610,5555,525420,84524,6217923,82683,6023627,3319,2241,0,316646,208745,29,5524,470192,59,8618,23,36
2020-09-18,46506,5478,530908,85543,6303466,83701,6107328,3293,2194,1,319939,210939,30,5525,475717,67,8685,34,33
2020-09-20,46703,5514,541993,86073,6474656,84338,6274931,3409,2107,0,326699,215264,30,5206,486479,60,8811,22,38
2020-09-21,46495,5341,547337,80672,6555328,78841,6353772,3260,2084,0,329959,217348,30,5492,491971,60,8871,29,31
2020-09-22,46350,5334,552674,84730,6640058,82928,6436700,3228,2109,0,333187,219457,30,5406,497377,76,8947,32,44
2020-09-23,46249,5319,557999,84979,6725037,83191,6519891,3282,2043,0,336469,221500,30,5363,502740,63,9010,27,36
2020-09-24,46405,5679,563691,90607,6815644,88784,6608675,3546,2146,0,340015,223646,30,5470,508210,66,9076,23,43
2020-09-25,46386,5671,569370,94877,6910521,93002,6701677,3455,2224,0,343470,225870,30,5626,513836,72,9148,35,37
2020-09-27,46341,5786,580808,96102,7100660,94200,6888043,3544,2247,0,350462,230316,30,5706,525154,80,9313,27,53
2020-09-28,46306,5577,586397,80465,7181125,78614,6966657,3396,2192,1,353858,232508,31,5554,530708,70,9383,29,41
2020-09-29,46281,5537,591943,85997,7267122,84163,7050820,3395,2151,0,357253,234659,31,5501,536209,70,9453,29,41
2020-09-30,46263,5646,597602,86928,7354050,85058,7135878,3476,2183,0,360729,236842,31,5610,541819,67,9520,21,46
2020-10-01,46369,5683,603290,87647,7441697,85808,7221686,3400,2288,0,364129,239130,31,5516,547335,66,9586,27,39
2020-10-02,46294,5588,608885,84991,7526688,83123,7304809,3417,2178,0,367546,241308,31,5603,552938,67,9653,24,43
2020-10-03,46255,5614,614507,87311,7613999,85446,7390255,3417,2205,0,370963,243513,31,5596,558534,65,9718,24,41
2020-10-04,46120,5482,619996,86012,7700011,84159,7474414,3322,2167,0,374285,245680,31,5558,564092,66,9784,29,37
2020-10-05,45881,5388,625391,82725,7782736,80868,7555282,3256,2139,0,377541,247819,31,5572,569664,62,9846,31,31
2020-10-06,45279,5014,630408,81128,7863864,79279,7634561,3088,1929,0,380629,249748,31,5548,575212,71,9917,30,41
2020-10-07,45135,5438,635855,93242,7957106,91401,7725962,3338,2109,0,383967,251857,31,5524,580736,67,9984,32,35
2020-10-08,44437,5079,640943,87341,8044447,85435,7811397,3113,1975,0,387080,253832,31,5718,586454,68,10052,31,37
2020-10-09,44197,5166,646128,97087,8141534,95301,7906698,3164,2021,0,390244,255853,31,5357,591811,68,10120,34,34
2020-10-11,44095,5015,656385,90107,8322832,88439,8084587,3053,1962,0,396505,259849,31,5005,602038,65,10252,39,26
2020-10-12,43747,4876,661264,80162,8402994,78440,8163027,2877,2001,1,399382,261850,32,5165,607203,62,10314,29,33
2020-10-13,43239,4666,665930,85509,8488503,83803,8246830,2834,1832,0,402216,263682,32,5117,612320,57,10371,19,38
2020-10-14,42566,4462,670392,95538,8584041,93844,8340674,2701,1761,0,404917,265443,32,5083,617403,52,10423,21,31
2020-10-15,41872,4410,674802,90752,8674793,89067,8429741,2660,1750,0,407577,267193,32,5055,622458,49,10472,22,27
2020-10-16,40959,4389,679191,91245,8766038,89497,8519238,2631,1758,0,410208,268951,32,5245,627703,57,10529,20,37
2020-10-17,40192,4295,683486,90242,8856280,88574,8607812,2594,1701,0,412802,270652,32,5005,632708,57,10586,27,30
2020-10-18,39121,3914,687400,90286,8946566,88643,8696455,2319,1595,0,415121,272247,32,4929,637637,56,10642,29,27
2020-10-19,38093,3536,690936,85130,9031696,83625,8780080,2095,1441,0,417216,273688,32,4515,642152,49,10691,25,24
2020-10-20,36734,3094,694030,80371,9112067,78903,8858983,1830,1264,0,419046,274952,32,4403,646555,50,10741,19,31
2020-10-22,34198,3077,700193,81259,9275108,79821,9019152,1829,1248,0,422711,277450,32,4314,655170,45,10825,20,25
2020-10-23,32960,3057,703250,81472,9356580,80051,9099203,1818,1239,0,424529,278689,32,4262,659432,33,10858,13,20
2020-10-24,31787,2886,706136,80237,9436817,78896,9178099,1711,1175,0,426240,279864,32,4024,663456,35,10893,16,19
2020-10-25,30606,2869,709005,80690,9517507,79350,9257449,1720,1149,0,427960,281013,32,4019,667475,31,10924,14,17
2020-10-26,29268,2708,711713,72236,9589743,70898,9328347,1634,1074,0,429594,282087,32,4014,671489,32,10956,14,18
2020-10-27,27734,2522,714235,70687,9660430,69344,9397691,1518,1004,0,431112,283091,32,4029,675518,27,10983,11,16
2020-10-28,26356,2516,716751,72433,9732863,71147,9468838,1508,1008,0,432620,284099,32,3859,679377,35,11018,16,19
2020-10-29,24886,2652,719403,75224,9808087,73862,9542700,1595,1057,0,434215,285156,32,4087,683464,35,11053,16,19
2020-10-30,23532,2608,722011,77356,9885443,76048,9618748,1568,1040,0,435783,286196,32,3924,687388,38,11091,17,21
2020-10-31,22164,2511,724522,70767,9956210,69484,9688232,1507,1004,0,437290,287200,32,3848,691236,31,11122,17,14
2020-11-01,20994,2504,727026,73012,10029222,71797,9760029,1509,995,0,438799,288195,32,3644,694880,30,11152,15,15
2020-11-02,19504,2481,729507,70297,10099519,68984,9829013,1453,1028,0,440252,289223,32,3940,698820,31,11183,21,10
2020-11-03,19201,2435,731942,70398,10169917,69496,9898509,1557,877,1,441809,290100,33,2707,701527,31,11214,16,15
2020-11-04,19154,2487,734429,75331,10245248,74496,9973005,1529,958,0,443338,291058,33,2504,704031,30,11244,13,17
2020-11-05,19061,2348,736777,80192,10325440,79388,10052393,1455,893,0,444793,291951,33,2413,706444,28,11272,14,14
2020-11-06,19002,2370,739147,80786,10406226,79985,10132378,1434,936,0,446227,292887,33,2402,708846,27,11299,6,21
2020-11-07,18966,2341,741488,80112,10486338,79328,10211706,1456,885,0,447683,293772,33,2352,711198,25,11324,14,11
2020-11-08,18894,2334,743822,75384,10561722,74589,10286295,1410,924,0,449093,294696,33,2386,713584,20,11344,9,11
2020-11-09,18825,2257,746079,75277,10636999,74508,10360803,1380,877,0,450473,295573,33,2308,715892,18,11362,6,12
2020-11-10,18709,2146,748225,72257,10709256,71511,10432314,1335,811,0,451808,296384,33,2237,718129,25,11387,9,16
2020-11-11,18655,2184,750409,77309,10786565,76572,10508886,1350,834,0,453158,297218,33,2210,720339,28,11415,13,15
2020-11-12,18395,2112,752521,77356,10863921,76574,10585460,1296,816,0,454454,298034,33,2347,722686,25,11440,12,13
2020-11-13,17748,1939,754460,73486,10937407,72629,10658089,1193,746,0,455647,298780,33,2572,725258,14,11454,7,7
2020-11-16,15765,1721,759916,63777,11136662,62982,10854878,1114,611,0,459073,300810,33,2384,732656,17,11495,9,8
2020-11-17,15085,1652,761568,62415,11199077,61644,10916522,1032,620,0,460105,301430,33,2314,734970,18,11513,12,6
2020-11-18,14470,1704,763282,67014,11266091,66244,10982766,1052,662,0,461157,302092,33,2311,737281,18,11531,10,8
2020-11-19,13907,1704,764989,67115,11333206,66365,11049131,1029,678,0,462186,302770,33,2251,739532,19,11550,7,12
2020-11-20,13404,1686,766677,68033,11401239,67309,11116440,1031,657,0,463217,303427,33,2173,741705,18,11568,11,7
2020-11-21,12916,1662,768340,69190,11470429,68479,11184919,1010,653,0,464227,304080,33,2133,743838,18,11586,7,11
2020-11-22,12542,1655,769995,70809,11541238,70139,11255058,982,673,0,465209,304753,33,2010,745848,19,11605,11,8
2020-11-23,12245,1619,771619,65012,11606250,64377,11319435,958,666,0,466167,305419,33,1904,747752,17,11622,9,8
2020-11-24,11875,1551,773176,67271,11673521,66634,11386069,944,613,0,467111,306032,33,1910,749662,17,11639,7,10
2020-11-25,11520,1534,774710,68082,11741603,67458,11453527,914,619,1,468025,306651,34,1873,751535,16,11655,8,8
2020-11-26,11173,1457,776174,60964,11802567,60365,11513892,884,580,0,468909,307231,34,1797,753332,14,11669,6,8
2020-11-27,11109,1435,777616,61610,11864177,61112,11575004,883,559,0,469792,307790,34,1494,754826,12,11681,5,7
2020-11-28,11073,1428,779046,66063,11930240,65579,11640583,878,552,0,470670,308342,34,1453,756279,13,11694,7,6
2020-11-29,11052,1450,780505,67145,11997385,66655,11707238,888,571,0,471558,308913,34,1471,757750,9,11703,2,7
2020-12-01,10980,1399,783319,65058,12125059,64588,11833957,868,536,0,473298,309987,34,1411,760617,10,11722,6,4
2020-12-02,10999,1421,784747,68854,12193913,68388,11902345,897,531,0,474195,310518,34,1398,762015,11,11733,6,5
2020-12-03,10988,1408,786163,70156,12264069,69685,11972030,841,575,0,475036,311093,34,1413,763428,14,11747,6,8
2020-12-05,10882,1364,788920,70881,12405328,70412,12112345,791,575,0,476674,312212,34,1407,766261,15,11777,8,7
2020-12-06,10788,1315,790240,70765,12476093,70299,12182644,799,521,0,477473,312733,34,1398,767659,16,11793,11,5
2020-12-07,10695,1311,791552,64010,12540103,63547,12246191,770,542,0,478243,313275,34,1389,769048,16,11809,9,7
2020-12-08,10588,1236,792788,65186,12605289,64743,12310934,753,483,0,478996,313758,34,1330,770378,13,11822,7,6
2020-12-09,10491,1217,794020,70262,12675551,69824,12380758,734,498,0,479730,314256,34,1315,771693,14,11836,7,7
2020-12-10,10392,1209,795240,68928,12744479,68494,12449252,737,483,0,480467,314739,34,1302,772995,17,11853,9,8
2020-12-11,10299,1233,796475,70436,12814915,69999,12519251,772,463,0,481239,315202,34,1311,774306,17,11870,8,9
2020-12-12,10208,1213,797693,72122,12887037,71690,12590941,759,459,0,481998,315661,34,1296,775602,13,11883,6,7
2020-12-13,10115,1191,798888,69568,12956605,69143,12660084,713,482,0,482711,316143,34,1276,776878,12,11895,7,5
2020-12-14,10039,1140,800029,63989,13020594,63588,12723672,679,462,0,483390,316605,34,1203,778081,14,11909,8,6
2020-12-15,9951,1130,801161,66213,13086807,65810,12789482,720,412,0,484110,317017,34,1210,779291,10,11919,6,4
2020-12-17,9829,1168,803516,75532,13235354,75127,12937211,716,458,0,485544,317938,34,1214,781745,11,11942,5,6
2020-12-18,9781,1131,804650,75347,13310701,74957,13012168,658,476,0,486202,318414,34,1170,782915,12,11954,7,5
2020-12-19,9692,1117,805777,76348,13387049,75947,13088115,688,439,0,486890,318853,34,1202,784117,14,11968,6,8
2020-12-20,9593,1106,806891,72967,13460016,72568,13160683,661,453,0,487551,319306,34,1198,785315,15,11983,8,7
2020-12-21,9495,1062,807962,63016,13523032,62630,13223313,656,415,0,488207,319721,34,1157,786472,12,11995,6,6
2020-12-22,9391,1046,809014,65357,13588389,64977,13288290,638,414,0,488845,320135,34,1139,787611,17,12012,7,10
2020-12-23,9314,1062,810080,70911,13659300,70534,13358824,650,416,0,489495,320551,34,1131,788742,12,12024,4,8
2020-12-24,9217,1033,811115,70993,13730293,70620,13429444,625,410,0,490120,320961,34,1120,789862,12,12036,6,6
2020-12-25,9129,1024,812142,65510,13795803,65142,13494586,615,412,0,490735,321373,34,1103,790965,12,12048,8,4
2020-12-26,9039,1019,813161,64441,13860244,64075,13558661,622,397,0,491357,321770,34,1098,792063,11,12059,5,6
2020-12-27,8947,1006,814170,64283,13924527,63919,13622580,623,386,0,491980,322156,34,1091,793154,10,12069,3,7
2020-12-28,8867,1005,815175,63242,13987769,62884,13685464,624,381,0,492604,322537,34,1074,794228,11,12080,5,6
2020-12-29,8747,955,816132,64768,14052537,64413,13749877,596,361,0,493200,322898,34,1065,795293,12,12092,6,6
2020-12-30,8615,942,817077,70196,14122733,69843,13819720,582,363,0,493782,323261,34,1060,796353,17,12109,8,9
2020-12-31,8501,930,818014,68761,14191494,68415,13888135,573,364,0,494355,323625,34,1038,797391,13,12122,7,6
2021-01-01,8380,920,818935,67151,14258645,66808,13954943,573,348,0,494928,323973,34,1029,798420,13,12135,5,8
2021-01-02,8272,905,819845,62401,14321046,62065,14017008,582,328,0,495510,324301,34,1007,799427,11,12146,5,6
2021-01-03,8127,864,820712,61077,14382123,60743,14077751,539,328,0,496049,324629,34,1002,800429,10,12156,4,6
2021-01-04,7970,835,821550,60502,14442625,60174,14137925,518,320,0,496567,324949,34,985,801414,10,12166,3,7
2021-01-05,7808,820,822370,60304,14502929,59980,14197905,491,329,0,497058,325278,34,971,802385,11,12177,7,4
2021-01-06,7665,804,823181,63582,14566511,63268,14261173,494,317,0,497552,325595,34,943,803328,11,12188,5,6
2021-01-07,7547,802,823986,64364,14630875,64060,14325233,487,318,0,498039,325913,34,911,804239,12,12200,6,6
2021-01-08,7432,788,824776,64231,14695106,63932,14389165,479,311,0,498518,326224,34,897,805136,8,12208,3,5
2021-01-09,7304,757,825537,65513,14760619,65219,14454384,443,318,0,498961,326542,34,882,806018,7,12215,5,2
2021-01-10,7164,716,826261,64080,14824699,63794,14518178,434,290,0,499395,326832,34,857,806875,7,12222,3,4
2021-01-11,6971,680,826943,60314,14885013,60024,14578202,406,276,0,499801,327108,34,869,807744,6,12228,4,2
2021-01-12,6807,665,827614,60563,14945576,60287,14638489,416,255,0,500217,327363,34,827,808571,8,12236,5,3
2021-01-13,6653,667,828287,62683,15008259,62409,14700898,422,251,0,500639,327614,34,821,809392,6,12242,3,3
2021-01-14,6488,663,828952,60681,15068940,60406,14761304,409,256,0,501048,327870,34,826,810218,4,12246,2,2
2021-01-15,6299,614,829573,55847,15124787,55579,14816883,389,232,0,501437,328102,34,805,811023,5,12251,3,2
2021-01-16,6128,605,830183,52307,15177094,52049,14868932,371,239,0,501808,328341,34,775,811798,6,12257,4,2
2021-01-17,5940,589,830772,52213,15229307,51956,14920888,353,236,0,502161,328577,34,770,812568,7,12264,5,2
2021-01-18,5725,548,831323,50501,15279808,50248,14971136,316,235,0,502477,328812,34,758,813326,8,12272,5,3
2021-01-19,5487,540,831866,51461,15331269,51204,15022340,334,209,0,502811,329021,34,772,814098,9,12281,6,3
2021-01-21,5196,592,833011,61023,15452541,60788,15143139,366,230,0,503513,329464,34,705,815516,9,12299,6,3
2021-01-22,5073,568,833585,62152,15514693,61922,15205061,325,249,0,503838,329713,34,689,816205,8,12307,6,2
2021-01-23,4984,584,834171,63073,15577766,62849,15267910,366,220,0,504204,329933,34,673,816878,2,12309,1,1
2021-01-24,4904,566,834740,62619,15640385,62405,15330315,341,228,0,504545,330161,34,642,817520,7,12316,3,4
2021-01-25,4813,537,835280,55919,15696304,55710,15386025,299,241,0,504844,330402,34,627,818147,4,12320,2,2
2021-01-26,4736,523,835803,55815,15752119,55617,15441642,307,216,0,505151,330618,34,595,818742,5,12325,3,2
2021-01-27,4676,507,836315,56098,15808217,55910,15497552,305,207,0,505456,330825,34,564,819306,8,12333,5,3
2021-01-28,4629,503,836818,52457,15860674,52276,15549828,300,203,0,505756,331028,34,544,819850,6,12339,3,3
2021-01-29,4601,504,837327,52520,15913194,52343,15602171,309,200,0,506065,331228,34,531,820381,6,12345,3,3
2021-01-30,4575,503,837832,52725,15965919,52550,15654721,297,208,0,506362,331436,34,526,820907,5,12350,2,3
2021-01-31,4554,508,838340,54043,16019962,53869,15708590,316,192,0,506678,331628,34,523,821430,6,12356,2,4
2021-02-01,4532,502,838842,51664,16071626,51492,15760082,290,212,0,506968,331840,34,517,821947,7,12363,4,3
2021-02-02,4517,508,839352,51644,16123270,51470,15811552,306,204,0,507274,332044,34,521,822468,4,12367,1,3
2021-02-03,4494,512,839866,53649,16176919,53471,15865023,314,200,0,507588,332244,34,533,823001,4,12371,2,2
2021-02-04,4467,490,840360,51882,16228801,51710,15916733,301,193,0,507889,332437,34,517,823518,4,12375,1,3
2021-02-05,4446,486,840849,52656,16281457,52487,15969220,282,207,0,508171,332644,34,506,824024,4,12379,2,2
2021-02-06,4417,471,841326,53256,16334713,53088,16022308,290,187,0,508461,332831,34,503,824527,3,12382,2,1
2021-02-07,4389,469,841797,53530,16388243,53364,16075672,267,204,0,508728,333035,34,498,825025,1,12383,0,1
2021-02-08,4354,459,842261,51613,16439856,51448,16127120,269,195,0,508997,333230,34,495,825520,4,12387,3,1
2021-02-09,4328,468,842730,51174,16491030,51010,16178130,302,167,0,509299,333397,34,491,826011,4,12391,3,1
2021-02-10,4309,478,843209,53076,16544106,52912,16231042,284,194,1,509583,333591,35,493,826504,5,12396,2,3
2021-02-11,4294,476,843690,55755,16599861,55592,16286634,288,193,0,509871,333784,35,490,826994,6,12402,3,3
2021-02-12,4285,478,844173,55290,16655151,55128,16341762,291,192,0,510162,333976,35,486,827480,6,12408,3,3
2021-02-13,4275,477,844650,54034,16709185,53873,16395635,295,182,0,510457,334158,35,482,827962,5,12413,2,3
2021-02-14,4260,470,845120,53483,16762668,53323,16448958,277,193,0,510734,334351,35,479,828441,6,12419,3,3
2021-02-15,4232,455,845575,50352,16813020,50193,16499151,250,205,0,510984,334556,35,477,828918,6,12425,3,3
2021-02-16,4206,451,846026,50800,16863820,50643,16549794,269,182,0,511253,334738,35,470,829388,7,12432,4,3
2021-02-17,4192,451,846480,52350,16916170,52196,16601990,271,183,0,511524,334921,35,462,829850,6,12438,4,2
2021-02-18,4173,454,846937,51101,16967271,50944,16652934,269,188,0,511793,335109,35,470,830320,6,12444,2,4
2021-02-19,4147,445,847385,52280,17019551,52124,16705058,261,187,0,512054,335296,35,467,830787,7,12451,4,3
2021-02-20,4120,438,847823,51046,17070597,50893,16755951,256,182,0,512310,335478,35,459,831246,6,12457,1,5
2021-02-21,4109,450,848275,50148,17120745,49995,16805946,275,177,0,512585,335655,35,460,831706,3,12460,0,3
2021-02-22,4091,447,848724,50202,17170947,50048,16855994,279,170,0,512864,335825,35,461,832167,6,12466,2,4
2021-02-23,4074,441,849166,51301,17222248,51150,16907144,255,187,0,513119,336012,35,453,832620,6,12472,3,3
2021-02-24,4062,463,849629,50395,17272643,50239,16957383,270,193,0,513389,336205,35,469,833089,6,12478,2,4
2021-02-25,4053,466,850096,50740,17323383,50583,17007966,275,192,0,513664,336397,35,471,833560,5,12483,2,3
2021-02-26,4046,480,850577,52746,17376129,52585,17060551,287,194,0,513951,336591,35,483,834043,5,12488,2,3
2021-02-27,4036,483,851063,52628,17428757,52464,17113015,281,205,0,514232,336796,35,491,834534,5,12493,2,3
2021-02-28,4022,479,851542,50815,17479572,50652,17163667,282,197,0,514514,336993,35,490,835024,3,12496,1,2
2021-03-01,4009,470,852016,50091,17529663,49930,17213597,276,198,0,514790,337191,35,482,835506,5,12501,2,3
2021-03-02,3997,461,852478,50209,17579872,50051,17263648,284,178,0,515074,337369,35,473,835979,1,12502,0,1
2021-03-03,3990,489,852967,50783,17630655,50618,17314266,294,195,0,515368,337564,35,494,836473,2,12504,0,2
2021-03-04,3978,477,853449,50706,17681361,50543,17364809,276,206,0,515644,337770,35,490,836963,4,12508,1,3
2021-03-05,3954,538,853992,54863,17736224,54676,17419485,328,215,0,515972,337985,35,562,837525,5,12513,2,3
2021-03-06,3952,562,854554,55051,17791275,54864,17474349,334,228,0,516306,338213,35,560,838085,4,12517,1,3
2021-03-07,3997,567,855121,55116,17846391,54841,17529190,348,219,0,516654,338432,35,521,838606,1,12518,1,0
2021-03-08,4018,555,855677,54325,17900716,54148,17583338,340,216,0,516994,338648,35,532,839138,3,12521,2,1
2021-03-09,4073,564,856246,55134,17955850,54964,17638302,329,240,0,517323,338888,35,510,839648,4,12525,2,2
2021-03-10,4207,666,856917,65082,18020932,64905,17703207,407,264,0,517730,339152,35,532,840180,5,12530,2,3
2021-03-11,4344,678,857602,65945,18086877,65764,17768971,406,279,0,518136,339431,35,543,840723,5,12535,3,2
2021-03-12,4483,669,858272,65109,18151986,64933,17833904,394,276,0,518530,339707,35,527,841250,4,12539,2,2
2021-03-13,4662,690,858967,65295,18217281,65124,17899028,414,281,0,518944,339988,35,512,841762,4,12543,2,2
2021-03-14,4870,758,859726,67269,18284550,67087,17966115,449,310,0,519393,340298,35,547,842309,4,12547,2,2
2021-03-15,5149,835,860562,64829,18349379,64645,18030760,476,360,0,519869,340658,35,553,842862,4,12551,2,2
2021-03-16,5450,864,861429,64193,18413572,64006,18094766,498,369,0,520367,341027,35,561,843423,5,12556,1,4
2021-03-17,5811,938,862374,71888,18485460,71696,18166462,549,396,0,520916,341423,35,576,843999,8,12564,4,4
2021-03-18,6222,985,863363,72025,18557485,71835,18238297,604,385,0,521520,341808,35,569,844568,9,12573,5,4
2021-03-19,6690,1083,864450,73201,18630686,72998,18311295,639,448,0,522159,342256,35,610,845178,9,12582,6,3
2021-03-20,7291,1240,865693,75165,18705851,74954,18386249,743,500,0,522902,342756,35,634,845812,8,12590,5,3
2021-03-21,7903,1280,866982,75258,18781109,75035,18461284,748,541,0,523650,343297,35,668,846480,9,12599,4,5
2021-03-22,8619,1382,868367,73247,18854356,73027,18534311,817,568,0,524467,343865,35,659,847139,10,12609,5,5
2021-03-23,9145,1428,869804,76128,18930484,75827,18610138,860,577,0,525327,344442,35,902,848041,9,12618,4,5
2021-03-24,9746,1630,871440,80634,19011118,80293,18690431,972,664,0,526299,345106,35,1023,849064,12,12630,6,6
2021-03-25,10487,1770,873219,81103,19092221,80761,18771192,1044,735,0,527343,345841,35,1027,850091,11,12641,5,5
2021-03-26,11318,1958,875190,85053,19177274,84676,18855868,1195,776,0,528538,346617,35,1131,851222,9,12650,4,5
2021-03-27,12157,2084,877279,85173,19262447,84759,18940627,1287,801,1,529825,347418,36,1241,852463,9,12659,4,5
2021-03-28,13070,2181,879473,85350,19347797,84927,19025554,1285,909,0,531110,348327,36,1270,853733,11,12670,4,7
2021-03-29,13983,2271,881752,80704,19428501,80253,19105807,1359,920,0,532469,349247,36,1352,855085,14,12684,7,7
2021-03-30,14846,2332,884094,83154,19511655,82666,19188473,1404,938,0,533873,350185,36,1463,856548,16,12700,7,9
2021-03-31,15879,2568,886673,83713,19595368,83204,19271677,1509,1070,0,535382,351255,36,1527,858075,19,12719,11,8
2021-04-01,17043,2813,889490,85876,19681244,85331,19357008,1697,1120,0,537079,352375,36,1634,859709,19,12738,10,8
2021-04-02,18606,3282,892780,86066,19767310,85494,19442502,1899,1391,0,538978,353766,36,1715,861424,12,12750,8,4
2021-04-03,20204,3429,896226,82078,19849388,81467,19523969,2041,1405,0,541019,355171,36,1834,863258,14,12764,7,7
2021-04-04,21958,3562,899807,82791,19932179,82187,19606156,2170,1411,0,543189,356582,36,1813,865071,14,12778,7,7
2021-04-05,23777,3663,903479,80056,20012235,79442,19685598,2196,1476,0,545385,358058,36,1842,866913,11,12789,5,6
2021-04-06,25598,3612,907124,80856,20093091,80253,19765851,2176,1469,0,547561,359527,36,1809,868722,15,12804,6,9
2021-04-07,27743,3972,911110,80535,20173626,79927,19845778,2391,1595,0,549952,361122,36,1824,870546,17,12821,9,8
2021-04-08,30131,4260,915386,85281,20258907,84658,19930436,2593,1683,0,552545,362805,36,1869,872415,19,12840,8,11
2021-04-09,33659,5409,920827,88135,20347042,87505,20017941,3289,2152,0,555834,364957,36,1890,874305,23,12863,9,14
2021-04-10,37673,5963,926816,84546,20431588,83895,20101836,3652,2337,0,559486,367294,36,1952,876257,23,12886,7,16
2021-04-11,41955,6583,933434,88538,20520126,87767,20189603,3992,2626,0,563478,369920,36,2314,878571,22,12908,14,8
2021-04-12,46308,6703,940145,82982,20603108,82202,20271805,4036,2675,0,567514,372595,36,2339,880910,19,12927,11,8
2021-04-13,49985,6958,947129,83332,20686440,82236,20354041,4203,2781,0,571717,375376,36,3289,884199,18,12945,8,10
