date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-07-23,jalandhar,16.0,0.33,,16 new cases,,63052.0,91.0,61471.0,1490.0
2021-07-23,bathinda,6.0,0.75,,6 new cases,,41480.0,93.0,40348.0,1039.0
2021-07-23,faridkot,5.0,0.6,,5 new cases,,13818.0,36.0,13471.0,311.0
2021-07-23,ferozepur,5.0,0.61,,5 new cases,,14204.0,67.0,13647.0,490.0
2021-07-23,sas nagar,5.0,0.64,,5 new cases,,68422.0,36.0,67329.0,1057.0
2021-07-23,amritsar,4.0,0.16,,4 new cases,,47024.0,55.0,45388.0,1581.0
2021-07-23,hoshiarpur,4.0,0.16,,4 new cases,,30620.0,44.0,29602.0,974.0
2021-07-23,muktsar,4.0,0.2,,4 new case,,18710.0,35.0,18152.0,523.0
2021-07-23,patiala,4.0,0.19,,4 new cases,,48671.0,28.0,47306.0,1337.0
2021-07-23,ludhiana,3.0,0.03,,3 new cases (opd),,87256.0,71.0,85092.0,2093.0
2021-07-23,barnala,2.0,0.53,,2 new cases,,5896.0,16.0,5640.0,240.0
2021-07-23,fazilka,2.0,0.26,,2 new cases (opd),,20129.0,51.0,19553.0,525.0
2021-07-23,kapurthala,2.0,0.17,,2 new cases,,17724.0,22.0,17150.0,552.0
2021-07-23,fg sahib,1.0,0.11,,1 new case,,8771.0,10.0,8483.0,278.0
2021-07-23,gurdaspur,1.0,0.04,,1 new case,,22215.0,32.0,21386.0,797.0
2021-07-23,mansa,1.0,0.13,,1 new case,,15565.0,12.0,15252.0,301.0
2021-07-23,moga,1.0,0.17,,1 new case,,8612.0,5.0,8376.0,231.0
2021-07-23,pathankot,1.0,0.1,,1 new case,,18563.0,16.0,18134.0,413.0
2021-07-23,sangrur,1.0,0.04,,1 new case (ili),,15671.0,17.0,14787.0,867.0
2021-07-23,tarn taran,1.0,0.11,,1 new case,,7966.0,18.0,7578.0,370.0
2021-07-23,ropar,0.0,0.0,,,,12866.0,9.0,12441.0,416.0
2021-07-23,sbs nagar,0.0,0.0,,,,11423.0,4.0,11048.0,371.0
2021-07-23,on the daypunjab,69.0,0.17,,,,,,,
2021-07-23,total,,,,,,598658.0,768.0,581634.0,16256.0
2021-07-22,jalandhar,13.0,0.34,,13 new cases,,63036.0,94.0,61453.0,1489.0
2021-07-22,bathinda,10.0,1.3,,10 new cases,,41474.0,96.0,40339.0,1039.0
2021-07-22,ferozepur,6.0,0.96,,6 new cases,,14199.0,63.0,13646.0,490.0
2021-07-22,gurdaspur,6.0,0.22,,6 new cases,,22214.0,34.0,21383.0,797.0
2021-07-22,amritsar,5.0,0.15,,5 new cases,,47020.0,62.0,45378.0,1580.0
2021-07-22,ludhiana,4.0,0.05,,"1 new case (ili), 3 new cases (opd)",,87253.0,84.0,85076.0,2093.0
2021-07-22,fg sahib,3.0,0.32,,3 new cases,,8769.0,12.0,8481.0,276.0
2021-07-22,hoshiarpur,3.0,0.18,,3 new cases,,30616.0,47.0,29595.0,974.0
2021-07-22,sas nagar,3.0,0.37,,3 new cases,,68417.0,39.0,67322.0,1056.0
2021-07-22,barnala,2.0,0.27,,2 new cases,,5894.0,15.0,5639.0,240.0
2021-07-22,faridkot,2.0,0.18,,2 new cases,,13813.0,31.0,13471.0,311.0
2021-07-22,fazilka,2.0,0.54,,2 new cases (opd),,20127.0,51.0,19551.0,525.0
2021-07-22,kapurthala,2.0,0.13,,2 new cases,,17722.0,30.0,17140.0,552.0
2021-07-22,mansa,2.0,0.3,,2 new cases,,15564.0,14.0,15250.0,300.0
2021-07-22,patiala,2.0,0.14,,2 new cases,,48668.0,29.0,47302.0,1337.0
2021-07-22,sangrur,2.0,0.1,,2 new cases (ili),,15670.0,18.0,14785.0,867.0
2021-07-22,muktsar,1.0,0.05,,1 new case,,18706.0,33.0,18150.0,523.0
2021-07-22,ropar,1.0,0.17,,1 new case,,12866.0,12.0,12438.0,416.0
2021-07-22,moga,0.0,0.0,,,,8611.0,6.0,8374.0,231.0
2021-07-22,pathankot,0.0,0.0,,,,18562.0,16.0,18133.0,413.0
2021-07-22,sbs nagar,0.0,0.0,,,,11424.0,5.0,11048.0,371.0
2021-07-22,tarn taran,0.0,0.0,,,,7965.0,20.0,7575.0,370.0
2021-07-22,on the daypunjab,69.0,0.19,,,,,,,
2021-07-22,total,,,,,,598590.0,811.0,581529.0,16250.0
2021-07-21,jalandhar,10.0,0.21,,10 new cases,,63023.0,102.0,61432.0,1489.0
2021-07-21,bathinda,6.0,0.48,,6 new cases,,41464.0,99.0,40327.0,1038.0
2021-07-21,ferozepur,6.0,0.57,,6 new cases,,14193.0,59.0,13644.0,490.0
2021-07-21,amritsar,5.0,0.15,,5 new cases,,47015.0,63.0,45372.0,1580.0
2021-07-21,fazilka,5.0,0.8,,"1 contact of positive case,1 new case(ili), 3 new cases (opd)",,20125.0,51.0,19549.0,525.0
2021-07-21,ludhiana,5.0,0.07,,"2 new cases (ili), 3 new cases",,87249.0,104.0,85052.0,2093.0
2021-07-21,patiala,5.0,0.21,,"2 contact of positive case, 3 new cases",,48666.0,28.0,47301.0,1337.0
2021-07-21,sas nagar,5.0,0.49,,5 new cases,,68414.0,43.0,67315.0,1056.0
2021-07-21,faridkot,4.0,0.5,,4 new cases,,13811.0,36.0,13464.0,311.0
2021-07-21,hoshiarpur,4.0,0.18,,"1 contact of positive case, 3 new cases",,30613.0,47.0,29592.0,974.0
2021-07-21,muktsar,3.0,0.14,,3 new cases,,18705.0,44.0,18138.0,523.0
2021-07-21,kapurthala,2.0,0.15,,2 new cases,,17720.0,29.0,17140.0,551.0
2021-07-21,sangrur,2.0,0.09,,2 new cases,,15668.0,21.0,14780.0,867.0
2021-07-21,barnala,1.0,0.32,,1 new case,,5892.0,15.0,5637.0,240.0
2021-07-21,gurdaspur,1.0,0.03,,1 new case,,22208.0,41.0,21370.0,797.0
2021-07-21,moga,1.0,0.23,,1 new case,,8611.0,6.0,8374.0,231.0
2021-07-21,pathankot,1.0,0.1,,1 new case,,18562.0,16.0,18133.0,413.0
2021-07-21,ropar,1.0,0.17,,1 new case,,12865.0,12.0,12437.0,416.0
2021-07-21,tarn taran,1.0,0.1,,1 new case,,7965.0,20.0,7575.0,370.0
2021-07-21,fg sahib,0.0,0.0,,,,8766.0,14.0,8477.0,275.0
2021-07-21,mansa,0.0,0.0,,,,15563.0,14.0,15249.0,300.0
2021-07-21,sbs nagar,0.0,0.0,,,,11423.0,5.0,11048.0,370.0
2021-07-21,on the daypunjab,68.0,0.17,,,,,,,
2021-07-21,total,,,,,,598521.0,869.0,581406.0,16246.0
2021-07-20,ludhiana,10.0,0.11,,"2 contact of positive case, 3 new case(ili), 5 new case",,87244.0,123.0,85028.0,2093.0
2021-07-20,hoshiarpur,8.0,0.39,,"2 contact of positive case, 1 new case(ili), 5 new cases",,30609.0,47.0,29588.0,974.0
2021-07-20,jalandhar,8.0,0.21,,8 new cases,,63013.0,107.0,61418.0,1488.0
2021-07-20,amritsar,5.0,0.21,,5 new cases,,47010.0,73.0,45357.0,1580.0
2021-07-20,sas nagar,5.0,0.69,,5 new cases,,68409.0,41.0,67312.0,1056.0
2021-07-20,bathinda,4.0,1.49,,4 new cases,,41458.0,101.0,40319.0,1038.0
2021-07-20,ferozepur,4.0,0.56,,4 new cases,,14187.0,53.0,13644.0,490.0
2021-07-20,faridkot,3.0,0.38,,3 new cases,,13807.0,33.0,13464.0,310.0
2021-07-20,fazilka,3.0,0.38,,"1 contact of positive case,2 new cases(opd)",,20120.0,47.0,19548.0,525.0
2021-07-20,fg sahib,3.0,0.42,,3 new case,,8766.0,14.0,8477.0,275.0
2021-07-20,kapurthala,3.0,0.2,,3 new cases,,17718.0,35.0,17132.0,551.0
2021-07-20,moga,2.0,0.65,,2 new cases,,8610.0,5.0,8374.0,231.0
2021-07-20,patiala,2.0,0.13,,"1 contact of positive case, 1 new case",,48661.0,29.0,47296.0,1336.0
2021-07-20,sangrur,2.0,0.1,,2 new case,,15666.0,20.0,14779.0,867.0
2021-07-20,barnala,1.0,0.35,,1 new case,,5891.0,14.0,5637.0,240.0
2021-07-20,gurdaspur,1.0,0.04,,1 new case,,22207.0,43.0,21367.0,797.0
2021-07-20,mansa,1.0,0.21,,1 new case,,15563.0,18.0,15245.0,300.0
2021-07-20,muktsar,1.0,0.06,,1 new case,,18702.0,43.0,18136.0,523.0
2021-07-20,ropar,1.0,0.21,,1 new case,,12864.0,11.0,12437.0,416.0
2021-07-20,tarn taran,1.0,0.11,,1 new case,,7964.0,19.0,7575.0,370.0
2021-07-20,pathankot,0.0,0.0,,,,18561.0,17.0,18131.0,413.0
2021-07-20,sbs nagar,0.0,0.0,,,,11425.0,6.0,11048.0,371.0
2021-07-20,on the daypunjab,68.0,0.2,,,,,,,
2021-07-20,total,,,,,,598455.0,899.0,581312.0,16244.0
2021-07-19,amritsar,9.0,0.36,,9 new cases,,47005.0,83.0,45342.0,1580.0
2021-07-19,ferozepur,8.0,1.02,,8 new cases,,14183.0,53.0,13644.0,486.0
2021-07-19,hoshiarpur,8.0,1.15,,"2 contact of positive case, 1 new case(ili), 5 new cases",,30601.0,44.0,29583.0,974.0
2021-07-19,mansa,5.0,0.77,,5 new cases,,15562.0,20.0,15242.0,300.0
2021-07-19,ludhiana,4.0,0.06,,"2 contact of positive case, 1 new case(ili), 1 new case",,87234.0,126.0,85015.0,2093.0
2021-07-19,bathinda,3.0,0.53,,3 new cases,,41454.0,110.0,40306.0,1038.0
2021-07-19,gurdaspur,3.0,0.09,,3 new cases,,22206.0,46.0,21363.0,797.0
2021-07-19,jalandhar,3.0,0.08,,3 new cases,,63005.0,108.0,61409.0,1488.0
2021-07-19,kapurthala,3.0,0.22,,3 new cases,,17716.0,38.0,17127.0,551.0
2021-07-19,muktsar,2.0,0.14,,2 new cases,,18701.0,46.0,18133.0,522.0
2021-07-19,sas nagar,2.0,0.3,,2 new cases,,68404.0,44.0,67304.0,1056.0
2021-07-19,fazilka,1.0,0.17,,1 new case (opd),,20117.0,58.0,19534.0,525.0
2021-07-19,fg sahib,1.0,0.14,,1 new case,,8763.0,12.0,8477.0,274.0
2021-07-19,pathankot,1.0,0.13,,1 new case,,18561.0,26.0,18122.0,413.0
2021-07-19,patiala,1.0,0.1,,1 new case,,48659.0,37.0,47286.0,1336.0
2021-07-19,sangrur,1.0,0.06,,1 new case,,15664.0,20.0,14777.0,867.0
2021-07-19,tarn taran,1.0,0.1,,1 new case,,7963.0,18.0,7575.0,370.0
2021-07-19,barnala,0.0,0.0,,,,5890.0,14.0,5636.0,240.0
2021-07-19,faridkot,0.0,0.0,,,,13804.0,31.0,13463.0,310.0
2021-07-19,moga,0.0,0.0,,,,8608.0,3.0,8374.0,231.0
2021-07-19,ropar,0.0,0.0,,,,12863.0,10.0,12437.0,416.0
2021-07-19,sbs nagar,0.0,0.0,,,,11424.0,6.0,11048.0,370.0
2021-07-19,on the daypunjab,56.0,0.18,,,,,,,
2021-07-19,total,,,,,,598387.0,953.0,581197.0,16237.0
2021-07-18,faridkot,10.0,1.21,,10 new cases,,13804.0,32.0,13462.0,310.0
2021-07-18,jalandhar,10.0,0.21,,10 new cases,,63002.0,114.0,61400.0,1488.0
2021-07-18,ludhiana,9.0,0.09,,"4 new cases (ili), 5 new cases (opd)",,87230.0,130.0,85007.0,2093.0
2021-07-18,gurdaspur,8.0,0.31,,8 new cases,,22203.0,46.0,21360.0,797.0
2021-07-18,hoshiarpur,8.0,0.39,,"2 contact of positive case, 2 new case(ili), 4 new cases",,30593.0,42.0,29577.0,974.0
2021-07-18,amritsar,6.0,0.19,,6 new cases,,46996.0,90.0,45326.0,1580.0
2021-07-18,muktsar,6.0,0.25,,6 new cases,,18699.0,55.0,18122.0,522.0
2021-07-18,ferozepur,5.0,0.47,,5 new cases,,14175.0,63.0,13626.0,486.0
2021-07-18,bathinda,4.0,0.35,,4 new cases,,41451.0,118.0,40295.0,1038.0
2021-07-18,fazilka,3.0,0.27,,"1 new case (ili), 2 new cases (opd)",,20116.0,60.0,19531.0,525.0
2021-07-18,ropar,3.0,0.51,,3 new cases,,12863.0,10.0,12437.0,416.0
2021-07-18,sas nagar,3.0,0.22,,3 new cases,,68402.0,50.0,67296.0,1056.0
2021-07-18,kapurthala,2.0,0.16,,2 new cases,,17713.0,39.0,17123.0,551.0
2021-07-18,mansa,2.0,0.24,,2 new cases,,15557.0,20.0,15237.0,300.0
2021-07-18,pathankot,2.0,0.17,,2 new cases,,18561.0,29.0,18119.0,413.0
2021-07-18,patiala,2.0,0.08,,2 new cases,,48658.0,50.0,47272.0,1336.0
2021-07-18,sbs nagar,2.0,0.16,,2 new case,,11426.0,9.0,11048.0,369.0
2021-07-18,sangrur,1.0,0.06,,1 new case,,15663.0,26.0,14771.0,866.0
2021-07-18,barnala,0.0,0.0,,,,5890.0,14.0,5636.0,240.0
2021-07-18,fg sahib,0.0,0.0,,,,8762.0,18.0,8472.0,272.0
2021-07-18,moga,0.0,0.0,,,,8608.0,3.0,8374.0,231.0
2021-07-18,tarn taran,0.0,0.0,,,,7962.0,28.0,7564.0,370.0
2021-07-18,on the daypunjab,86.0,0.2,,,,,,,
2021-07-18,total,,,,,,598334.0,1046.0,581055.0,16233.0
2021-07-17,bathinda,20.0,1.77,,"1 new case (ili), 19 new cases",,41447.0,134.0,40277.0,1036.0
2021-07-17,jalandhar,17.0,0.29,,17 new cases,,62992.0,122.0,61383.0,1487.0
2021-07-17,ferozepur,11.0,1.05,,11 new cases,,14170.0,64.0,13620.0,486.0
2021-07-17,fazilka,8.0,0.63,,8 new cases (opd),,20113.0,62.0,19526.0,525.0
2021-07-17,ludhiana,7.0,0.08,,"4 new cases (ili), 3 new cases (opd)",,87221.0,136.0,84993.0,2092.0
2021-07-17,hoshiarpur,6.0,0.25,,"1 contact of positive case, 1 new case(ili), 4 new cases",,30585.0,42.0,29570.0,973.0
2021-07-17,pathankot,6.0,0.53,,6 new cases,,18560.0,34.0,18113.0,413.0
2021-07-17,patiala,6.0,0.29,,"1 contact of positive case, 5 new cases",,48656.0,65.0,47255.0,1336.0
2021-07-17,amritsar,5.0,0.15,,5 new cases,,46989.0,100.0,45310.0,1579.0
2021-07-17,faridkot,5.0,0.47,,5 new cases,,13794.0,31.0,13453.0,310.0
2021-07-17,muktsar,5.0,0.22,,5 new cases,,18693.0,61.0,18110.0,522.0
2021-07-17,moga,4.0,1.28,,4 new cases,,8608.0,9.0,8368.0,231.0
2021-07-17,gurdaspur,3.0,0.1,,3 new cases,,22195.0,47.0,21351.0,797.0
2021-07-17,kapurthala,3.0,0.36,,3 new cases,,17711.0,53.0,17108.0,550.0
2021-07-17,sas nagar,3.0,0.17,,3 new cases,,68399.0,58.0,67285.0,1056.0
2021-07-17,barnala,2.0,0.46,,2 new cases,,5890.0,15.0,5635.0,240.0
2021-07-17,fg sahib,2.0,0.19,,2 new cases,,8762.0,19.0,8471.0,272.0
2021-07-17,mansa,2.0,0.36,,2 new cases,,15555.0,26.0,15229.0,300.0
2021-07-17,sangrur,2.0,0.09,,"1 new case, 1 new case (ili)",,15662.0,27.0,14769.0,866.0
2021-07-17,sbs nagar,1.0,0.08,,1 new case,,11424.0,10.0,11047.0,367.0
2021-07-17,ropar,0.0,0.0,,,,12860.0,10.0,12434.0,416.0
2021-07-17,tarn taran,0.0,0.0,,,,7962.0,28.0,7564.0,370.0
2021-07-17,on the daypunjab,118.0,0.27,,,,,,,
2021-07-17,total,,,,,,598248.0,1153.0,580871.0,16224.0
2021-07-16,ferozepur,20.0,2.34,,20 new cases,,14159.0,58.0,13615.0,486.0
2021-07-16,bathinda,15.0,1.21,,"1 new case (ili), 14 new cases",,41427.0,130.0,40262.0,1035.0
2021-07-16,jalandhar,13.0,0.27,,13 new cases,,62975.0,129.0,61359.0,1487.0
2021-07-16,amritsar,9.0,0.31,,9 new cases,,46984.0,123.0,45282.0,1579.0
2021-07-16,ludhiana,8.0,0.09,,"3 new cases (ili), 4 new cases (opd), 1new case",,87214.0,148.0,84975.0,2091.0
2021-07-16,sas nagar,7.0,0.63,,7 new cases,,68396.0,69.0,67271.0,1056.0
2021-07-16,hoshiarpur,6.0,0.27,,"1 contact of positive case, 1 new case(ili), 4 new cases",,30579.0,45.0,29562.0,972.0
2021-07-16,fazilka,4.0,0.4,,"1 contact of positive case, 1 new case(ili), 2 new cases (opd)",,20105.0,62.0,19518.0,525.0
2021-07-16,gurdaspur,4.0,0.11,,4 new cases,,22192.0,46.0,21349.0,797.0
2021-07-16,kapurthala,4.0,0.25,,4 new cases,,17708.0,60.0,17098.0,550.0
2021-07-16,muktsar,3.0,0.11,,3 new cases,,18688.0,61.0,18105.0,522.0
2021-07-16,fg sahib,2.0,0.18,,2 new cases,,8760.0,24.0,8464.0,272.0
2021-07-16,patiala,2.0,0.1,,2 new cases,,48650.0,76.0,47239.0,1335.0
2021-07-16,ropar,2.0,0.28,,2 new cases,,12860.0,16.0,12428.0,416.0
2021-07-16,tarn taran,2.0,0.18,,2 new cases,,7962.0,32.0,7560.0,370.0
2021-07-16,faridkot,1.0,0.09,,1 new case,,13789.0,30.0,13449.0,310.0
2021-07-16,pathankot,1.0,0.07,,1 new case,,18554.0,31.0,18110.0,413.0
2021-07-16,sangrur,1.0,0.05,,1 new case (ili),,15660.0,32.0,14763.0,865.0
2021-07-16,barnala,0.0,0.0,,,,5888.0,15.0,5633.0,240.0
2021-07-16,mansa,0.0,0.0,,,,15553.0,31.0,15222.0,300.0
2021-07-16,moga,0.0,0.0,,,,8604.0,7.0,8366.0,231.0
2021-07-16,sbs nagar,0.0,0.0,,,,11423.0,13.0,11047.0,363.0
2021-07-16,on the daypunjab,104.0,0.24,,,,,,,
2021-07-16,total,,,,,,598130.0,1238.0,580677.0,16215.0
2021-07-15,bathinda,16.0,1.19,,16 new cases,,41412.0,133.0,40244.0,1035.0
2021-07-15,ludhiana,16.0,0.3,,"1 contact of positive case, 7 new cases(ili), 6 new cases (opd), 2 new cases",,87206.0,159.0,84956.0,2091.0
2021-07-15,fazilka,12.0,1.27,,"1 contact of positive case, 1 new case(ili), 10 new cases (opd)",,20101.0,100.0,19476.0,525.0
2021-07-15,jalandhar,11.0,0.23,,11 new cases,,62962.0,123.0,61352.0,1487.0
2021-07-15,amritsar,8.0,0.25,,8 new cases,,46975.0,135.0,45261.0,1579.0
2021-07-15,gurdaspur,7.0,0.19,,"1 contact of positive case, 2 new cases(ili), 4 new cases",,22188.0,47.0,21344.0,797.0
2021-07-15,hoshiarpur,6.0,0.27,,"2 contact of positive case, 4 new cases",,30573.0,50.0,29551.0,972.0
2021-07-15,kapurthala,5.0,0.35,,5 new cases,,17704.0,64.0,17092.0,548.0
2021-07-15,faridkot,3.0,0.42,,3 new cases,,13788.0,40.0,13438.0,310.0
2021-07-15,muktsar,3.0,0.12,,3 new cases,,18685.0,63.0,18101.0,521.0
2021-07-15,pathankot,3.0,0.23,,3 new cases,,18554.0,38.0,18103.0,413.0
2021-07-15,sangrur,3.0,0.14,,"2 new cases (ili), 1 new case",,15659.0,37.0,14757.0,865.0
2021-07-15,fg sahib,2.0,0.17,,2 new cases,,8758.0,28.0,8458.0,272.0
2021-07-15,moga,2.0,0.75,,2 new cases,,8604.0,7.0,8366.0,231.0
2021-07-15,patiala,2.0,0.08,,2 new cases,,48648.0,79.0,47234.0,1335.0
2021-07-15,sas nagar,2.0,0.21,,2 new cases,,68389.0,72.0,67261.0,1056.0
2021-07-15,sbs nagar,2.0,0.18,,2 new cases,,11423.0,17.0,11043.0,363.0
2021-07-15,mansa,1.0,0.28,,1 new case,,15553.0,33.0,15220.0,300.0
2021-07-15,ropar,1.0,0.17,,1 new case,,12858.0,15.0,12427.0,416.0
2021-07-15,barnala,0.0,0.0,,,,5888.0,17.0,5631.0,240.0
2021-07-15,ferozepur,0.0,0.0,,,,14139.0,44.0,13609.0,486.0
2021-07-15,tarn taran,0.0,0.0,,,,7960.0,31.0,7559.0,370.0
2021-07-15,on the daypunjab,105.0,0.27,,,,,,,
2021-07-15,total,,,,,,598027.0,1332.0,580483.0,16212.0
2021-07-14,bathinda,20.0,1.66,,20 new cases,,41396.0,135.0,40226.0,1035.0
2021-07-14,jalandhar,13.0,0.29,,13 new cases,,62951.0,124.0,61340.0,1487.0
2021-07-14,amritsar,10.0,0.3,,10 new cases,,46967.0,136.0,45252.0,1579.0
2021-07-14,gurdaspur,9.0,0.34,,9 new cases,,22181.0,48.0,21336.0,797.0
2021-07-14,kapurthala,9.0,0.51,,9 new cases,,17699.0,64.0,17087.0,548.0
2021-07-14,sas nagar,8.0,0.69,,8 new cases,,68387.0,75.0,67256.0,1056.0
2021-07-14,hoshiarpur,6.0,0.23,,"2 contact of positive case, 1 new case(ili), 3 new cases",,30567.0,53.0,29542.0,972.0
2021-07-14,fg sahib,5.0,0.56,,5 new cases,,8756.0,27.0,8457.0,272.0
2021-07-14,ludhiana,5.0,0.05,,"3 new cases (ili), 1 new case (opd), 1new case",,87190.0,154.0,84946.0,2090.0
2021-07-14,muktsar,5.0,0.23,,5 new cases,,18682.0,66.0,18095.0,521.0
2021-07-14,fazilka,4.0,0.52,,4 new cases (opd),,20095.0,103.0,19468.0,524.0
2021-07-14,ferozepur,3.0,0.58,,3 new cases,,14140.0,45.0,13609.0,486.0
2021-07-14,mansa,3.0,0.59,,3 new cases,,15552.0,36.0,15216.0,300.0
2021-07-14,patiala,3.0,0.16,,"2 contact of positive case, 1 new case",,48646.0,87.0,47224.0,1335.0
2021-07-14,barnala,2.0,0.63,,2 new cases,,5888.0,20.0,5629.0,239.0
2021-07-14,faridkot,2.0,0.35,,2 new cases,,13785.0,45.0,13431.0,309.0
2021-07-14,tarn taran,2.0,0.24,,2 new cases,,7960.0,42.0,7548.0,370.0
2021-07-14,pathankot,1.0,0.09,,1 new case,,18551.0,44.0,18094.0,413.0
2021-07-14,sangrur,1.0,0.04,,1 new case (ili),,15656.0,43.0,14748.0,865.0
2021-07-14,moga,0.0,0.0,,,,8602.0,5.0,8366.0,231.0
2021-07-14,ropar,0.0,0.0,,,,12857.0,18.0,12423.0,416.0
2021-07-14,sbs nagar,0.0,0.0,,,,11421.0,16.0,11043.0,362.0
2021-07-14,on the daypunjab,111.0,0.27,,,,,,,
2021-07-14,total,,,,,,597929.0,1386.0,580336.0,16207.0
2021-07-13,jalandhar,22.0,0.59,,22 new cases,,62940.0,131.0,61323.0,1486.0
2021-07-13,ludhiana,16.0,0.18,,"6 new cases (ili), 8 new cases (opd), 2new cases",,87185.0,162.0,84933.0,2090.0
2021-07-13,amritsar,10.0,0.46,,10 new cases,,46957.0,141.0,45238.0,1578.0
2021-07-13,faridkot,10.0,1.39,,10 new cases,,13783.0,46.0,13428.0,309.0
2021-07-13,sangrur,7.0,0.34,,"3 new case (ili), 4 new case",,15655.0,48.0,14742.0,865.0
2021-07-13,sas nagar,6.0,0.67,,6 new cases,,68379.0,80.0,67243.0,1056.0
2021-07-13,bathinda,5.0,1.12,,5 new cases,,41376.0,132.0,40210.0,1034.0
2021-07-13,ferozepur,5.0,1.19,,5 new cases,,14137.0,43.0,13609.0,485.0
