date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2020-07-14,409643,,,,,5663,2635.0,213,54,,11,,,,,,,,,,,,,,,,,,,
2020-07-15,421593,,,,,5867,2711.0,221,46,,9,,,,,,,,,,,,,,,,,,,
2020-07-16,429832,,,,,6277,2587.0,230,58,,7,,,,,,,,,,,,,,,,,,,
2020-07-17,438793,,,,,6373,2830.0,239,61,,7,,,,,,,,,,,,,,,,,,,
2020-07-18,450732,,,,,6454,3092.0,246,63,,9,,,,,,,,,,,,,,,,,,,
2020-07-19,459900,,,,,6535,3311.0,254,63,,10,,,,,,,,,,,,,,,,,,,
2020-07-20,466057,,,,,7118,3130.0,262,58,,10,,,,,,,,,,,,,,,,,,,
2020-07-21,478421,,,,,7389,3237.0,263,61,,10,,,,,,,,,,,,,,,,,,,
2020-07-22,489836,,,,,7641,3391.0,269,74,,12,,,,,,,,,,,,,,,,,,,
2020-07-23,500562,,,,,7741,3721.0,277,70,,13,,,,,,,,,,,,,,,,,,,
2020-07-24,509267,,,,,8096,3838.0,282,83,,17,,,,,,,,,,,,,,,,,,,
2020-07-25,521906,,,,,8297,4096.0,291,86,,16,,,,,,,,,,,,,,,,,,,
2020-07-26,531336,,,,,8810,4102.0,306,105,,20,,,,,,,,,,,,,,,,,,,
2020-07-30,572067,,,,,10509,4577.0,370,135,,18,,,,,,,,,,,,,,,,,,,
2020-07-31,582573,,,,,10734,4999.0,386,135,,10,,,,,,,,,,,,,,,,,,,
2020-08-01,592392,,,,,11075,5583.0,405,145,,13,,,,,,,,,,,,,,,,,,,
2020-08-02,599651,,,,,11466,5964.0,423,146,,11,,,,,,,,,,,,,,,,,,,
2020-08-03,603912,,,,,11882,6203.0,442,148,,18,,,,,,,,,,,,,,,,,,,
2020-08-04,611609,,,,,12491,6062.0,462,149,,25,,,,,,,,,,,,,,,,,,,
2020-08-05,622127,,,,,12943,6422.0,491,148,,22,,,,,,,,,,,,,,,,,,,
2020-08-06,634271,,,,,13659,6715.0,517,150,,26,,,,,,,,,,,,,,,,,,,
2020-08-07,646439,,,,,14040,7351.0,539,117,,29,,,,,,,,,,,,,,,,,,,
2020-08-08,659284,,,,,14860,7506.0,562,123,,26,,,,,,,,,,,,,,,,,,,
2020-08-09,672761,,,,,15319,7998.0,586,131,,22,,,,,,,,,,,,,,,,,,,
2020-08-10,681321,,,,,15735,8550.0,604,129,,22,,,,,,,,,,,,,,,,,,,
2020-08-11,697327,,,,,16790,8463.0,636,139,,21,,,,,,,,,,,,,,,,,,,
2020-08-12,711260,,,,,17212,9022.0,675,142,,18,,,,,,,,,,,,,,,,,,,
2020-08-13,723357,,,,,17839,9391.0,706,142,,25,,,,,,,,,,,,,,,,,,,
2020-08-14,741834,,,,,18328,9954.0,731,160,,30,,,,,,,,,,,,,,,,,,,
2020-08-15,759990,,,,,18863,10407.0,771,212,,40,,,,,,,,,,,,,,,,,,,
2020-08-16,770873,,,,,19431,10963.0,812,217,,35,,,,,,,,,,,,,,,,,,,
2020-08-17,782463,,,,,20180,11653.0,862,345,,38,,,,,,,,,,,,,,,,,,,
2020-08-18,801990,,,,,21762,11740.0,898,336,,37,,,,,,,,,,,,,,,,,,,
2020-08-19,819657,17667.0,,,,22703,12460.0,920,362,,36,,,,,,,,,,,,,,,,,,,
2020-08-20,839947,20290.0,,,,23037,13830.0,957,345,,39,,,,,,,,,,,,,,,,,,,
2020-08-21,863840,23893.0,,,,23893,14443.0,991,418,,42,,,,,,,,,,,,,,,,,,,
2020-08-22,885950,22110.0,,,,24302,15305.0,1036,336,,49,,,,,,,,,,,,,,,,,,,
2020-08-23,907160,21210.0,,,,26528,14165.0,1086,374,,46,,,,,,,,,,,,,,,,,,,
2020-08-24,919614,12454.0,,,,28357,13798.0,1129,414,,51,,,,,,,,,,,,,,,,,,,
2020-08-25,941939,22325.0,,,,29145,14254.0,1178,499,,55,,,,,,,,,,,,,,,,,,,
2020-08-26,964051,22112.0,,,,30231,14640.0,1219,423,,60,,,,,,,,,,,,,,,,,,,
2020-08-27,988119,24068.0,,,,30972,15608.0,1256,425,,49,,,,,,,,,,,,,,,,,,,
2020-08-28,1007852,19733.0,,,,33008,15063.0,1307,491,,68,,,,,,,,,,,,,,,,,,,
2020-08-29,1026465,18613.0,,,,34091,15409.0,1348,475,,69,,,,,,,,,,,,,,,,,,,
2020-08-30,1046132,19667.0,,,,35747,15375.0,1404,474,,77,,,,,,,,,,,,,,,,,,,
2020-08-31,1062667,16535.0,,,,37027,15512.0,1453,474,,77,,,,,,,,,,,,,,,,,,,
2020-09-01,1081671,19004.0,,,,38147,15849.0,1512,464,,70,,,,,,,,,,,,,,,,,,,
2020-09-02,1101912,20241.0,,,,39742,15629.0,1618,440,,71,,,,,,,,,,,,,,,,,,,
2020-09-03,1121016,19104.0,,,,41271,15554.0,1690,470,,68,,,,,,,,,,,,,,,,,,,
2020-09-04,1144008,22992.0,,,,42543,15731.0,1739,501,,80,,,,,,,,,,,,,,,,,,,
2020-09-05,1168106,24098.0,,,,43849,15870.0,1808,507,,85,,,,,,,,,,,,,,,,,,,
2020-09-07,1212432,19172.0,,,,47020,16640.0,1923,534,,75,,,,,,,,,,,,,,,,,,,
2020-09-09,1269052,27932.0,,,,50558,17065.0,2061,573,,74,,,,,,,,,,,,,,,,,,,
2020-09-10,1298969,29917.0,,,,51906,18088.0,2149,544,,79,,,,,,,,,,,,,,,,,,,
2020-09-11,1332564,33595.0,,,,53308,19096.0,2212,529,,79,,,,,,,,,,,,,,,,,,,
2020-09-12,1364940,32376.0,,,,55385,19384.0,2288,521,,82,,,,,,,,,,,,,,,,,,,
2020-09-13,1391662,26722.0,,,,57536,19787.0,2356,501,,91,,,,,,,,,,,,,,,,,,,
2020-09-14,1410759,19097.0,,,,58999,20690.0,2424,544,,85,,,,,,,,,,,,,,,,,,,
2020-09-15,1439583,28824.0,,,,60814,21154.0,2514,481,,88,,,,,,,,,,,,,,,,,,,
2020-09-16,1467301,27718.0,,,,63570,21022.0,2592,451,,82,,,,,,,,,,,,,,,,,,,
2020-09-17,1496340,29039.0,,,,65818,21568.0,2646,489,,88,,,,,,,,,,,,,,,,,,,
2020-09-18,1524012,27672.0,,,,68463,21662.0,2708,501,,76,,,,,,,,,,,,,,,,,,,
2020-09-19,1552393,28381.0,,,,70373,22399.0,2757,509,,71,,,,,,,,,,,,,,,,,,,
2020-09-20,1579113,26720.0,,,,72598,22278.0,2813,490,,67,,,,,,,,,,,,,,,,,,,
2020-09-21,1599134,20021.0,,,,75409,21661.0,2860,475,,59,,,,,,,,,,,,,,,,,,,
2020-09-22,1627821,28687.0,,,,77127,21288.0,2926,565,,65,,,,,,,,,,,,,,,,,,,
2020-09-23,1654508,26687.0,,,,79244,21230.0,2990,458,,72,,,,,,,,,,,,,,,,,,,
2020-09-24,1682723,28215.0,,,,81475,20679.0,3066,443,,76,,,,,,,,,,,,,,,,,,,
2020-09-25,1713652,30929.0,,,,84025,19937.0,3134,435,,73,,,,,,,,,,,,,,,,,,,
2020-09-26,1740183,26531.0,,,,86013,19483.0,3188,422,,68,,,,,,,,,,,,,,,,,,,
2020-09-27,1763498,23315.0,,,,88312,18556.0,3238,451,,63,,,,,,,,,,,,,,,,,,,
2020-09-28,1786627,23129.0,,,,90345,17746.0,3284,331,,68,,,,,,,,,,,,,,,,,,,
2020-09-29,1810086,23459.0,,,,92277,16824.0,3359,396,,65,,,,,,,,,,,,,,,,,,,
2020-09-30,1841955,31869.0,,,,93666,16814.0,3406,372,,49,,,,,,,,,,,,,,,,,,,
2020-10-01,1872887,30932.0,,,,95937,15763.0,3451,332,,54,,,,,,,,,,,,,,,,,,,
2020-10-03,1928289,25313.0,,,,99468,14289.0,3562,338,,60,,,,,,,,,,,,,,,,,,,
2020-10-04,1951623,23334.0,,,,100977,13577.0,3603,315,,52,,,,,,,,,,,,,,,,,,,
2020-10-05,1973958,22335.0,,,,102648,12897.0,3641,291,,47,,,,,,,,,,,,,,,,,,,
2020-10-06,1996719,22761.0,,,,104355,11982.0,3679,274,,38,,,,,,,,,,,,,,,,,,,
2020-10-07,2025935,29216.0,,,,105585,11563.0,3712,253,,42,,,,,,,,,,,,,,,,,,,
2020-10-08,2053875,27940.0,,,,107200,10775.0,3741,228,,42,,,,,,,,,,,,,,,,,,,
2020-10-09,2084554,30679.0,,,,108533,10153.0,3773,208,,40,,,,,,,,,,,,,,,,,,,
2020-10-10,2117713,33159.0,,,,109767,9752.0,3798,194,,45,,,,,,,,,,,,,,,,,,,
2020-10-11,2145369,27656.0,,,,110865,9275.0,3833,180,,35,,,,,,,,,,,,,,,,,,,
2020-10-12,2167731,22362.0,,,,112417,8258.0,3860,202,,32,,,,,,,,,,,,,,,,,,,
2020-10-13,2189467,21736.0,,,,113105,8212.0,3894,186,,38,,,,,,,,,,,,,,,,,,,
2020-10-14,2218914,29447.0,,,,114075,7760.0,3925,176,,32,,,,,,,,,,,,,,,,,,,
2020-10-15,2247431,28517.0,,,,115186,7090.0,3954,167,,32,,,,,,,,,,,,,,,,,,,
2020-10-16,2274772,27341.0,,,,116165,6592.0,3980,147,,21,,,,,,,,,,,,,,,,,,,
2020-10-17,2300669,25897.0,,,,116925,6230.0,3999,140,,22,,,,,,,,,,,,,,,,,,,
2020-10-18,2321084,20415.0,,,,117883,5735.0,4012,145,,23,,,,,,,,,,,,,,,,,,,
2020-10-19,2339398,18314.0,,,,118767,5307.0,4029,117,,27,,,,,,,,,,,,,,,,,,,
2020-10-20,2359842,20444.0,,,,119658,4895.0,4037,115,,27,,,,,,,,,,,,,,,,,,,
2020-10-21,2385846,26004.0,,,,120220,4808.0,4060,121,,31,,,,,,,,,,,,,,,,,,,
2020-10-22,2409686,23840.0,,,,121155,4466.0,4072,103,,47,,,,,,,,,,,,,,,,,,,
2020-10-23,2433133,23447.0,,,,121735,4327.0,4095,110,,27,,,,,,,,,,,,,,,,,,,
2020-10-24,2457574,24441.0,,,,122256,4277.0,4107,116,,21,,,,,,,,,,,,,,,,,,,
2020-10-25,2478710,21136.0,,,,122721,4217.0,4117,105,,20,,,,,,,,,,,,,,,,,,,
2020-10-27,2515967,22219.0,,,,123510,4089.0,4138,105,,19,,,,,,,,,,,,,,,,,,,
2020-10-28,2538610,22643.0,,,,123866,4239.0,4158,102,,20,,,,,,,,,,,,,,,,,,,
2020-10-29,2561105,22495.0,,,,124293,4266.0,4168,102,,21,,,,,,,,,,,,,,,,,,,
2020-10-30,2582787,21682.0,,,,124870,4101.0,4187,95,,19,,,,,,,,,,,,,,,,,,,
2020-10-31,2604208,21421.0,,,,125198,4257.0,4203,97,,18,,,,,,,,,,,,,,,,,,,
2020-11-01,2620786,16578.0,,,,125566,4195.0,4214,99,,16,,,,,,,,,,,,,,,,,,,
2020-11-02,2630382,9596.0,,,,125961,4183.0,4227,116,,15,,,,,,,,,,,,,,,,,,,
2020-11-03,2650809,20427.0,,,,126315,4226.0,4245,117,,15,,,,,,,,,,,,,,,,,,,
2020-11-04,2669626,18817.0,,,,126583,4471.0,4259,120,,13,,,,,,,,,,,,,,,,,,,
2020-11-05,2687429,17803.0,,,,126932,4621.0,4281,125,,14,,,,,,,,,,,,,,,,,,,
2020-11-06,2706741,19312.0,,,,127304,4882.0,4295,118,,15,,,,,,,,,,,,,,,,,,,
2020-11-07,2726398,19657.0,,,,127821,4827.0,4310,122,,12,,,,,,,,,,,,,,,,,,,
2020-11-08,2747106,20708.0,,,,128217,4910.0,4318,126,,9,,,,,,,,,,,,,,,,,,,
2020-11-09,2756807,9701.0,,,,128727,4934.0,4338,127,,14,,,,,,,,,,,,,,,,,,,
2020-11-10,2779972,23165.0,,,,129089,5038.0,4358,134,,15,,,,,,,,,,,,,,,,,,,
2020-11-11,2801305,21333.0,,,,129549,5246.0,4389,156,,15,,,,,,,,,,,,,,,,,,,
2020-11-12,2822668,21363.0,,,,130018,5439.0,4412,134,,17,,,,,,,,,,,,,,,,,,,
2020-11-13,2843699,21031.0,,,,130406,5771.0,4428,153,,17,,,,,,,,,,,,,,,,,,,
2020-11-16,2878477,,,,,132001,5601.0,4480,156,,18,,,,,,,,,,,,,,,,,,,
2020-11-17,2901513,,,,,132266,5821.0,4510,152,,20,,,,,,,,,,,,,,,,,,,
2020-11-18,2922722,21209.0,,,,132917,5937.0,4541,144,,17,,,,,,,,,,,,,,,,,,,
2020-11-19,2946382,,,,,133427,6194.0,4556,139,,13,,,,,,,,,,,,,,,,,,,
2020-11-20,2970682,24300.0,,,,133919,6504.0,4572,141,,12,,,,,,,,,,,,,,,,,,,
2020-11-21,2995244,24562.0,,,,134511,6561.0,4595,137,,13,,,,,,,,,,,,,,,,,,,
2020-11-22,3015699,20455.0,,,,135008,6724.0,4614,136,,13,,,,,,,,,,,,,,,,,,,
2020-11-23,3024921,9222.0,,,,135739,6687.0,4631,137,,11,,,,,,,,,,,,,,,,,,,
2020-11-24,3051542,26621.0,,,,136178,6834.0,4653,139,,11,,,,,,,,,,,,,,,,,,,
2020-11-25,3075865,24323.0,,,,136622,7129.0,4684,137,,13,,,,,,,,,,,,,,,,,,,
2020-11-26,3103006,27141.0,,,,137089,7479.0,4710,150,,14,,,,,,,,,,,,,,,,,,,
2020-11-27,3128711,25705.0,,,,137630,7719.0,4737,148,,19,,,,,,,,,,,,,,,,,,,
2020-11-28,3156767,28056.0,,,,138206,7834.0,4765,164,,15,,,,,,,,,,,,,,,,,,,
2020-11-29,3181773,25006.0,,,,138870,7888.0,4780,157,,16,,,,,,,,,,,,,,,,,,,
2020-11-30,3193166,11393.0,,,,139442,7842.0,4807,150,,14,,,,,,,,,,,,,,,,,,,
2020-12-01,3208209,15043.0,,,,140254,7634.0,4821,147,,13,,,,,,,,,,,,,,,,,,,
2020-12-02,3237858,29649.0,,,,140772,7694.0,4842,150,,12,,,,,,,,,,,,,,,,,,,
2020-12-03,3265505,27647.0,,,,141478,7724.0,4862,163,,8,,,,,,,,,,,,,,,,,,,
2020-12-04,3295141,29636.0,,,,142121,7785.0,4882,163,,9,,,,,,,,,,,,,,,,,,,
2020-12-05,3324621,29480.0,,,,142792,7727.0,4905,164,,13,,,,,,,,,,,,,,,,,,,
2020-12-06,3352671,28050.0,,,,143415,7896.0,4915,166,,12,,,,,,,,,,,,,,,,,,,
2020-12-07,3365119,12448.0,,,,144301,7604.0,4934,168,,16,,,,,,,,,,,,,,,,,,,
2020-12-08,3395729,30610.0,,,,145093,7274.0,4964,163,,14,,,,,,,,,,,,,,,,,,,
2020-12-09,3423632,27903.0,,,,145623,7325.0,4980,155,,22,,,,,,,,,,,,,,,,,,,
2020-12-10,3442386,18754.0,,,,146126,7423.0,5007,136,,20,,,,,,,,,,,,,,,,,,,
2020-12-11,3468629,26243.0,,,,146777,7286.0,5036,133,,14,,,,,,,,,,,,,,,,,,,
2020-12-12,3494393,25764.0,,,,147431,7091.0,5057,127,,19,,,,,,,,,,,,,,,,,,,
2020-12-13,3522061,27668.0,,,,148047,7076.0,5077,129,,17,,,,,,,,,,,,,,,,,,,
2020-12-14,3533856,11795.0,,,,148680,6881.0,5098,140,,19,,,,,,,,,,,,,,,,,,,
2020-12-15,3558306,24450.0,,,,149434,6502.0,5117,127,,19,,,,,,,,,,,,,,,,,,,
2020-12-16,3583661,25355.0,,,,150007,6241.0,5135,112,,14,,,,,,,,,,,,,,,,,,,
2020-12-17,3609574,25913.0,,,,150636,6045.0,5150,116,,15,,,,,,,,,,,,,,,,,,,
2020-12-18,3634626,25052.0,,,,151119,5981.0,5170,100,,11,,,,,,,,,,,,,,,,,,,
2020-12-19,3659116,24490.0,,,,151679,5837.0,5189,93,,12,,,,,,,,,,,,,,,,,,,
2020-12-20,3675493,16377.0,,,,152223,5618.0,5201,97,,13,,,,,,,,,,,,,,,,,,,
2020-12-21,3687114,11621.0,,,,152758,5408.0,5212,113,,15,,,,,,,,,,,,,,,,,,,
2020-12-22,3712608,25494.0,,,,153382,5053.0,5230,133,,8,,,,,,,,,,,,,,,,,,,
2020-12-24,3762120,25504.0,,,,154433,4812.0,5260,96,,12,,,,,,,,,,,,,,,,,,,
2020-12-25,3786885,24765.0,,,,154845,4707.0,5269,82,,13,,,,,,,,,,,,,,,,,,,
2020-12-26,3802080,15195.0,,,,155409,4436.0,5281,71,,15,,,,,,,,,,,,,,,,,,,
2020-12-27,3821222,19142.0,,,,155892,4214.0,5299,73,,15,,,,,,,,,,,,,,,,,,,
2020-12-28,3832411,11189.0,,,,156342,4014.0,5312,77,,15,,,,,,,,,,,,,,,,,,,
2020-12-29,3856388,23977.0,,,,156719,3837.0,5322,78,,17,,,,,,,,,,,,,,,,,,,
2020-12-31,3900473,21874.0,,,,157496,3685.0,5341,73,,16,,,,,,,,,,,,,,,,,,,
2021-01-03,3955383,17642.0,,,,158482,3361.0,5376,80,,9,,,,,,,,,,,,,,,,,,,
2021-01-04,3966071,10688.0,,,,158972,3069.0,5400,73,,5,,,,,,,,,,,,,,,,,,,
2021-01-05,3988705,22634.0,,,,159265,2983.0,5404,84,,3,,,,,,,,,,,,,,,,,,,
2021-01-06,4011514,22809.0,,,,159500,2998.0,5412,111,,6,,,,,,,,,,,,,,,,,,,
2021-01-08,4058814,24822.0,,,,160042,3007.0,5437,102,,10,,,,,,,,,,,,,,,,,,,
2021-01-09,4080787,21973.0,,,,160343,2952.0,5439,96,,13,,,,,,,,,,,,,,,,,,,
2021-01-10,4101234,20447.0,,,,160655,2933.0,5445,104,,8,,,,,,,,,,,,,,,,,,,
2021-01-11,4111108,9874.0,,,,160920,2858.0,5447,109,,8,,,,,,,,,,,,,,,,,,,
2021-01-12,4134274,23166.0,,,,161235,2788.0,5456,105,,8,,,,,,,,,,,,,,,,,,,
2021-01-13,4158855,24581.0,,,,161457,2817.0,5463,94,,9,,,,,,,,,,,,,,,,,,,
2021-01-14,4177959,19104.0,,,,161710,2767.0,5473,99,,9,,,,,,,,,,,,,,,,,,,
2021-01-17,4238428,20298.0,,,,162484,2617.0,5504,52,,10,,,,,,,,,,,,,,,,,,,
2021-01-18,4249101,10673.0,,,,162762,2458.0,5509,57,,11,,,,,,,,,,,,,,,,,,,
2021-01-19,4271814,22713.0,,,,163009,2412.0,5516,74,,12,,,,,,,,,,,,,,,,,,,
2021-01-20,4292764,20950.0,,,,163211,2405.0,5520,76,,9,,,,,,,,,,,,,,,,,,,
2021-01-21,4307614,14850.0,19862.0,,,163438,2343.0,5535,81,,9,,,,,,,,,,,,,,,,,,,
2021-01-22,4328277,20663.0,15771.0,,,163655,2324.0,5543,78,,11,,,,,,,,,,,,,,,,,,,
2021-01-23,4348641,20364.0,17568.0,,,163887,2293.0,5553,77,,11,,,,,,,,,,,,,,,,,,,
2021-01-24,4366353,17712.0,,,,164119,2256.0,5555,63,,10,,,,,,,,,,,,,,,,,,,
2021-01-26,4395884,19117.0,12864.0,,,164541,2106.0,5571,71,,8,,,,,,,,,,,,,,,,,,,
2021-01-27,4404889,9005.0,17712.0,,,164745,2080.0,5581,71,,8,,,,,,,,,,,,,,,,,,,
2021-01-28,4425238,20349.0,11830.0,,,164937,2079.0,5590,77,,12,,,,,,,,,,,,,,,,,,,
2021-01-29,4444257,19019.0,19186.0,,,165145,2114.0,5601,85,,12,,,,,,,,,,,,,,,,,,,
2021-01-30,4463437,19180.0,18480.0,,,165291,2184.0,5609,86,,6,,,,,,,,,,,,,,,,,,,
2021-01-31,4479716,16279.0,18068.0,,,165533,2128.0,5615,79,,8,,,,,,,,,,,,,,,,,,,
2021-02-01,4490598,10882.0,15176.0,,,165753,2101.0,5616,77,,9,,,,,,,,,,,,,,,,,,,
2021-02-02,4506064,15466.0,9580.0,,,165924,2122.0,5628,73,,10,,,,,,,,,,,,,,,,,,,
2021-02-03,4520789,14725.0,14785.0,,,166103,2130.0,5628,74,,12,,,,,,,,,,,,,,,,,,,
2021-02-04,4538121,17332.0,17029.0,,,166263,2159.0,5635,72,,9,,,,,,,,,,,,,,,,,,,
2021-02-05,4556670,18549.0,18279.0,,,166477,2145.0,5634,92,,10,,,,,,,,,,,,,,,,,,,
2021-02-06,4576958,20288.0,20450.0,,,166643,2156.0,5640,81,,7,,,,,,,,,,,,,,,,,,,
2021-02-07,4594107,17149.0,20749.0,,,166828,2176.0,5642,97,,5,,,,,,,,,,,,,,,,,,,
2021-02-08,4603909,9802.0,13665.0,,,167073,2112.0,5653,89,,7,,,,,,,,,,,,,,,,,,,
2021-02-09,4625667,21758.0,14579.0,,,167285,2077.0,5661,85,,7,,,,,,,,,,,,,,,,,,,
2021-02-10,4646808,21141.0,21490.0,,,167465,2112.0,5675,87,,4,,,,,,,,,,,,,,,,,,,
2021-02-11,4669167,22359.0,22342.0,,,167652,2224.0,5682,88,,4,,,,,,,,,,,,,,,,,,,
2021-02-12,4689490,20323.0,20098.0,,,167814,2300.0,5690,90,,5,,,,,,,,,,,,,,,,,,,
2021-02-13,4709119,19629.0,20319.0,,,168035,2335.0,5694,93,,5,,,,,57.0,57.0,,,,,,,,,,,,,
2021-02-14,4726971,17852.0,17791.0,,,168239,2360.0,5697,96,,6,,,,,0.0,57.0,,,,,,,,,,,,,
2021-02-15,4735787,8816.0,15321.0,,,168456,2357.0,5707,82,,6,,,,,949.0,1006.0,,,,,,,,,,,,,
2021-02-16,4755811,20024.0,12826.0,,,168654,2401.0,5712,81,,6,,,,,1004.0,2010.0,,,,,,,,,,,,,
2021-02-17,4774987,19176.0,18978.0,,,168833,2546.0,5722,70,,8,,,,,1039.0,3049.0,,,,,,,,,,,,,
2021-02-19,4813220,18333.0,21127.0,,,169216,2803.0,5740,81,,8,,,,,3752.0,9325.0,,,,,,,,,,,,,
2021-02-20,4833218,19998.0,19619.0,,,169480,2883.0,5748,83,,10,2500.0,122298.0,2500.0,122298.0,4532.0,13857.0,,,,,,,,,,,,,
2021-02-21,4850347,17129.0,19028.0,,,169686,3019.0,5754,69,,11,98.0,122396.0,98.0,122396.0,410.0,14267.0,,,,,,,,,,,,,
2021-02-22,4860435,10088.0,15529.0,,,169911,3167.0,5769,77,,10,4908.0,127304.0,4908.0,127304.0,6136.0,20403.0,,,,,,,,,,,,,
2021-02-23,4882164,21729.0,13174.0,,,170187,3295.0,5779,77,,10,6283.0,133587.0,6283.0,133587.0,3462.0,23865.0,,,,,,,,,,,,,
2021-02-24,4902624,20460.0,22083.0,,,170435,3598.0,5786,82,,9,5587.0,139174.0,5587.0,139174.0,3521.0,27386.0,,,,,,,,,,,,,
2021-02-25,4926621,23997.0,24051.0,,,170713,3870.0,5799,82,,11,8892.0,148066.0,8892.0,148066.0,5258.0,32644.0,,,,,,,,,,,,,
2021-02-27,4982773,29023.0,32520.0,,,171336,4436.0,5825,79,,14,0.0,154066.0,0.0,154066.0,0.0,36252.0,,,,,,,,,,,,,
2021-02-28,4999390,16617.0,27474.0,,,171712,4632.0,5832,81,,9,0.0,154066.0,0.0,154066.0,0.0,36252.0,,,,,,,,,,,,,
2021-03-01,5013117,13727.0,16249.0,,,172106,4853.0,5850,106,,9,5915.0,159981.0,5915.0,159981.0,2380.0,38632.0,,,,,,,,,,,,,
2021-03-02,5041833,28716.0,19968.0,,,172480,5198.0,5860,113,,9,4725.0,164706.0,4725.0,164706.0,1581.0,40153.0,1581.0,40153.0,,,,,,,,,,,
2021-03-03,5069381,27548.0,26645.0,,,172845,5593.0,5872,99,,14,3741.0,168447.0,3741.0,168447.0,1655.0,41808.0,1655.0,41808.0,,,,,,,,,,,
2021-03-04,5097802,28421.0,28115.0,,,173230,6264.0,5887,94,,14,5211.0,173658.0,5211.0,173658.0,2498.0,44306.0,2498.0,44306.0,,,,,,,,,,,
2021-03-05,5126962,29160.0,29619.0,,,173630,6661.0,5898,110,,15,4713.0,178371.0,4713.0,178371.0,2694.0,47000.0,2694.0,47000.0,,,,,,,,,,,
2021-03-06,5159683,32721.0,34388.0,,,174274,7164.0,5910,131,,20,3172.0,181543.0,3172.0,181543.0,2386.0,49386.0,2386.0,49386.0,,,,,,,,,,,
2021-03-07,5190528,30845.0,31877.0,,,174967,7497.0,5927,143,,14,447.0,181990.0,447.0,181990.0,106.0,49492.0,106.0,49492.0,,,,,,,,,,,
2021-03-08,5205020,14492.0,28326.0,,,175659,8020.0,5941,127,,18,4035.0,186025.0,4035.0,186025.0,2290.0,51782.0,2290.0,51782.0,,,,,,,,,,,
2021-03-09,5236903,31883.0,21897.0,,,176164,8522.0,5961,157,,25,4591.0,190616.0,4591.0,190616.0,4102.0,55884.0,4102.0,55884.0,,,,,,,,,,,
