date,city,patients,deaths
2021-05-30,ambala,1,0
2021-05-30,bhiwani,1,0
2021-05-30,central delhi,1,0
2021-05-30,chandigarh,2,0
2021-05-30,dehradun,1,0
2021-05-30,fatehabad,1,0
2021-05-30,ganganagar,1,0
2021-05-30,gautam buddhanagar,1,0
2021-05-30,grand total,35,2
2021-05-30,jammu,2,0
2021-05-30,kaithal,2,0
2021-05-30,karnal,2,0
2021-05-30,kathua,2,0
2021-05-30,kurukshetra,1,0
2021-05-30,mandi,1,0
2021-05-30,meerut,1,0
2021-05-30,nanded,1,0
2021-05-30,new delhi,1,1
2021-05-30,panchkula,1,0
2021-05-30,saharanpur,2,0
2021-05-30,shahjahanpur,1,0
2021-05-30,sirsa,8,1
2021-05-30,west delhi,1,0
2021-05-31,ambala,1,0
2021-05-31,bhiwani,1,0
2021-05-31,central delhi,1,0
2021-05-31,chandigarh,3,0
2021-05-31,dehradun,2,0
2021-05-31,fatehabad,1,0
2021-05-31,ganganagar,1,0
2021-05-31,gautam buddha nagar,1,0
2021-05-31,grand total,41,2
2021-05-31,jammu,2,0
2021-05-31,kaithal,2,0
2021-05-31,karnal,3,0
2021-05-31,kathua,2,0
2021-05-31,kurukshetra,1,0
2021-05-31,mandi,1,0
2021-05-31,meerut,1,0
2021-05-31,nanded,1,0
2021-05-31,new delhi,1,1
2021-05-31,panchkula,1,0
2021-05-31,saharanpur,2,0
2021-05-31,shahjahanpur,2,0
2021-05-31,sirsa,9,1
2021-05-31,sonipat,1,0
2021-05-31,west delhi,1,0
2021-06-01,ambala,1,0
2021-06-01,bhiwani,1,0
2021-06-01,central delhi,1,0
2021-06-01,chandigarh,3,0
2021-06-01,dehradun,2,0
2021-06-01,fatehabad,1,0
2021-06-01,ganganagar,1,0
2021-06-01,gautam buddhanagar,1,0
2021-06-01,grand total,41,2
2021-06-01,jammu,2,0
2021-06-01,kaithal,2,0
2021-06-01,karnal,3,0
2021-06-01,kathua,2,0
2021-06-01,kurukshetra,1,0
2021-06-01,mandi,1,0
2021-06-01,meerut,1,0
2021-06-01,nanded,1,0
2021-06-01,new delhi,1,1
2021-06-01,panchkula,1,0
2021-06-01,saharanpur,2,0
2021-06-01,shahjahanpur,2,0
2021-06-01,sirsa,9,1
2021-06-01,sonipat,1,0
2021-06-01,west delhi,1,0
2021-06-03,ambala,2,0
2021-06-03,bhiwani,1,0
2021-06-03,bikaner,1,0
2021-06-03,central delhi,1,0
2021-06-03,chandigarh,3,1
2021-06-03,dehradun,2,0
2021-06-03,fatehabad,1,0
2021-06-03,ganganagar,1,0
2021-06-03,gautam buddha nagar,1,0
2021-06-03,grand total,46,6
2021-06-03,hisar,1,0
2021-06-03,jammu,3,0
2021-06-03,kaithal,2,0
2021-06-03,karnal,3,1
2021-06-03,kathua,2,0
2021-06-03,kurukshetra,1,0
2021-06-03,mandi,1,0
2021-06-03,meerut,1,0
2021-06-03,nanded,1,0
2021-06-03,new delhi,1,1
2021-06-03,panchkula,1,0
2021-06-03,saharanpur,2,0
2021-06-03,shahjahanpur,2,0
2021-06-03,sirsa,10,2
2021-06-03,sonipat,1,1
2021-06-03,west delhi,1,0
2021-06-04,ambala,2,0
2021-06-04,bhiwani,1,0
2021-06-04,bikaner,1,0
2021-06-04,central delhi,1,0
2021-06-04,chandigarh,3,1
2021-06-04,dehradun,2,0
2021-06-04,fatehabad,1,0
2021-06-04,ganganagar,1,0
2021-06-04,gautam buddha nagar,1,0
2021-06-04,grand total,46,6
2021-06-04,hisar,1,0
2021-06-04,jammu,3,0
2021-06-04,kaithal,2,0
2021-06-04,karnal,3,1
2021-06-04,kathua,2,0
2021-06-04,kurukshetra,1,0
2021-06-04,mandi,1,0
2021-06-04,meerut,1,0
2021-06-04,nanded,1,0
2021-06-04,new delhi,1,1
2021-06-04,panchkula,1,0
2021-06-04,saharanpur,2,0
2021-06-04,shahjahanpur,2,0
2021-06-04,sirsa,10,2
2021-06-04,sonipat,1,1
2021-06-04,west delhi,1,0
2021-06-06,ambala,3,0
2021-06-06,bhiwani,1,0
2021-06-06,bikaner,1,0
2021-06-06,central delhi,1,1
2021-06-06,chandigarh,3,1
2021-06-06,dehradun,2,0
2021-06-06,fatehabad,1,0
2021-06-06,ganganagar,1,0
2021-06-06,gautam buddha nagar,1,0
2021-06-06,grand total,47,7
2021-06-06,hisar,1,0
2021-06-06,jammu,3,0
2021-06-06,kaithal,2,0
2021-06-06,karnal,3,1
2021-06-06,kathua,2,0
2021-06-06,kurukshetra,1,0
2021-06-06,mandi,1,0
2021-06-06,meerut,1,0
2021-06-06,nanded,1,0
2021-06-06,new delhi,1,1
2021-06-06,panchkula,1,0
2021-06-06,saharanpur,2,0
2021-06-06,shahjahanpur,2,0
2021-06-06,sirsa,10,2
2021-06-06,sonipat,1,1
2021-06-06,west delhi,1,0
2021-06-07,ambala,4,0
2021-06-07,bhiwani,1,0
2021-06-07,bikaner,1,0
2021-06-07,central,1,1
2021-06-07,chandigarh,3,0
2021-06-07,dehradun,2,0
2021-06-07,fatehabad,1,0
2021-06-07,ganganagar,1,0
2021-06-07,gautam buddha nagar,1,0
2021-06-07,grand total,48,5
2021-06-07,hisar,1,0
2021-06-07,jammu,3,0
2021-06-07,kaithal,2,0
2021-06-07,karnal,3,0
2021-06-07,kathua,2,0
2021-06-07,kurukshetra,1,0
2021-06-07,mandi,1,0
2021-06-07,meerut,1,0
2021-06-07,nanded,1,0
2021-06-07,new delhi,1,1
2021-06-07,panchkula,1,0
2021-06-07,saharanpur,2,0
2021-06-07,shahjahanpur,2,0
2021-06-07,sirsa,10,2
2021-06-07,sonipat,1,1
2021-06-07,west,1,0
2021-06-08,ambala,4,0
2021-06-08,bhiwani,1,0
2021-06-08,bikaner,1,0
2021-06-08,central delhi,1,1
2021-06-08,chandigarh,3,0
2021-06-08,dehradun,2,0
2021-06-08,fatehabad,1,0
2021-06-08,ganganagar,1,0
2021-06-08,gautam buddha nagar,1,0
2021-06-08,grand total,49,5
2021-06-08,hanumangarh,1,0
2021-06-08,hisar,1,0
2021-06-08,jammu,3,0
2021-06-08,kaithal,2,0
2021-06-08,karnal,3,0
2021-06-08,kathua,2,0
2021-06-08,kurukshetra,1,0
2021-06-08,mandi,1,0
2021-06-08,meerut,1,0
2021-06-08,nanded,1,0
2021-06-08,new delhi,1,1
2021-06-08,panchkula,1,0
2021-06-08,saharanpur,2,0
2021-06-08,shahjahanpur,2,0
2021-06-08,sirsa,10,2
2021-06-08,sonipat,1,1
2021-06-08,west delhi,1,0
2021-06-09,ambala,4,0
2021-06-09,bhiwani,1,0
2021-06-09,bikaner,1,0
2021-06-09,central delhi,1,1
2021-06-09,chandigarh,3,0
2021-06-09,dehradun,2,0
2021-06-09,fatehabad,1,0
2021-06-09,ganganagar,1,0
2021-06-09,gautam buddha nagar,1,0
2021-06-09,grand total,46,4
2021-06-09,hisar,1,0
2021-06-09,jammu,3,0
2021-06-09,kaithal,2,0
2021-06-09,karnal,3,0
2021-06-09,kathua,2,0
2021-06-09,kurukshetra,1,0
2021-06-09,mandi,1,0
2021-06-09,meerut,1,0
2021-06-09,nanded,1,0
2021-06-09,new delhi,1,1
2021-06-09,panchkula,1,0
2021-06-09,saharanpur,2,0
2021-06-09,shahjahanpur,2,0
2021-06-09,sirsa,8,1
2021-06-09,sonipat,1,1
2021-06-09,west delhi,1,0
2021-06-10,ambala,4,0
2021-06-10,bhiwani,1,0
2021-06-10,bikaner,1,0
2021-06-10,central delhi,1,1
2021-06-10,chandigarh,3,0
2021-06-10,dehradun,2,0
2021-06-10,fatehabad,2,0
2021-06-10,ganganagar,1,0
2021-06-10,gautam buddha nagar,1,0
2021-06-10,grand total,47,4
2021-06-10,hisar,1,0
2021-06-10,jammu,3,0
2021-06-10,kaithal,2,0
2021-06-10,karnal,3,0
2021-06-10,kathua,2,0
2021-06-10,kurukshetra,1,0
2021-06-10,mandi,1,0
2021-06-10,meerut,1,0
2021-06-10,nanded,1,0
2021-06-10,new delhi,1,1
2021-06-10,panchkula,1,0
2021-06-10,saharanpur,2,0
2021-06-10,shahjahanpur,2,0
2021-06-10,sirsa,8,1
2021-06-10,sonipat,1,1
2021-06-10,west delhi,1,0
2021-06-11,ambala,4,0
2021-06-11,bhiwani,1,0
2021-06-11,bikaner,1,0
2021-06-11,central,1,1
2021-06-11,chandigarh,3,0
2021-06-11,dehradun,3,0
2021-06-11,fatehabad,3,0
2021-06-11,ganganagar,1,0
2021-06-11,gautam buddha nagar,1,0
2021-06-11,grand total,50,4
2021-06-11,hisar,1,0
2021-06-11,jammu,3,0
2021-06-11,kaithal,2,0
2021-06-11,karnal,3,0
2021-06-11,kathua,2,0
2021-06-11,kurukshetra,2,0
2021-06-11,mandi,1,0
2021-06-11,meerut,1,0
2021-06-11,nanded,1,0
2021-06-11,new delhi,1,1
2021-06-11,panchkula,1,0
2021-06-11,saharanpur,2,0
2021-06-11,shahjahanpur,2,0
2021-06-11,sirsa,8,1
2021-06-11,sonipat,1,1
2021-06-11,west,1,0
2021-06-12,ambala,4,0
2021-06-12,bhiwani,1,0
2021-06-12,bikaner,1,0
2021-06-12,central,1,1
2021-06-12,chandigarh,3,0
2021-06-12,dehradun,3,0
2021-06-12,fatehabad,3,0
2021-06-12,ganganagar,1,0
2021-06-12,gautam buddha nagar,1,0
2021-06-12,grand total,50,4
2021-06-12,hisar,1,0
2021-06-12,jammu,3,0
2021-06-12,kaithal,2,0
2021-06-12,karnal,3,0
2021-06-12,kathua,2,0
2021-06-12,kurukshetra,2,0
2021-06-12,mandi,1,0
2021-06-12,meerut,1,0
2021-06-12,nanded,1,0
2021-06-12,new delhi,1,1
2021-06-12,panchkula,1,0
2021-06-12,saharanpur,2,0
2021-06-12,shahjahanpur,2,0
2021-06-12,sirsa,8,1
2021-06-12,sonipat,1,1
2021-06-12,west,1,0
2021-06-13,ambala,4,0
2021-06-13,bhiwani,1,0
2021-06-13,bikaner,1,0
2021-06-13,central,1,1
2021-06-13,chandigarh,3,0
2021-06-13,dehradun,3,0
2021-06-13,fatehabad,3,0
2021-06-13,ganganagar,1,0
2021-06-13,gautam buddha nagar,1,0
2021-06-13,grand total,51,4
2021-06-13,hisar,1,0
2021-06-13,jammu,3,0
2021-06-13,kaithal,2,0
2021-06-13,karnal,3,0
2021-06-13,kathua,2,0
2021-06-13,kurukshetra,2,0
2021-06-13,mandi,1,0
2021-06-13,meerut,1,0
2021-06-13,nanded,1,0
2021-06-13,new delhi,1,1
2021-06-13,panchkula,1,0
2021-06-13,saharanpur,1,0
2021-06-13,shahjahanpur,2,0
2021-06-13,sirsa,10,1
2021-06-13,sonipat,1,1
2021-06-13,west,1,0
2021-06-14,ambala,4,0
2021-06-14,bhiwani,1,0
2021-06-14,bikaner,1,0
2021-06-14,central,1,1
2021-06-14,chandigarh,3,0
2021-06-14,dehradun,3,0
2021-06-14,fatehabad,3,0
2021-06-14,ganganagar,1,0
2021-06-14,gautam buddha nagar,1,0
2021-06-14,grand total,53,4
2021-06-14,hanumangarh,1,0
2021-06-14,hisar,1,0
2021-06-14,jammu,3,0
2021-06-14,kaithal,2,0
2021-06-14,karnal,3,0
2021-06-14,kathua,2,0
2021-06-14,kurukshetra,2,0
2021-06-14,mandi,1,0
2021-06-14,meerut,1,0
2021-06-14,nanded,1,0
2021-06-14,new delhi,1,1
2021-06-14,panchkula,1,0
2021-06-14,saharanpur,1,0
2021-06-14,shahjahanpur,2,0
2021-06-14,sirsa,11,0
2021-06-14,sonipat,1,1
2021-06-14,west,1,1
2021-06-15,ambala,4,0
2021-06-15,bhiwani,1,0
2021-06-15,bikaner,1,0
2021-06-15,central,1,1
2021-06-15,chandigarh,3,0
2021-06-15,dehradun,3,0
2021-06-15,fatehabad,3,0
2021-06-15,ganganagar,1,0
2021-06-15,gautam buddha nagar,1,0
2021-06-15,grand total,54,5
2021-06-15,hanumangarh,1,0
2021-06-15,hisar,1,0
2021-06-15,jammu,4,0
2021-06-15,kaithal,2,0
2021-06-15,karnal,3,0
2021-06-15,kathua,2,0
2021-06-15,kurukshetra,2,0
2021-06-15,mandi,1,0
2021-06-15,meerut,1,0
2021-06-15,nanded,1,0
2021-06-15,new delhi,1,1
2021-06-15,panchkula,1,0
2021-06-15,saharanpur,2,0
2021-06-15,shahjahanpur,2,0
2021-06-15,sirsa,10,0
2021-06-15,sonipat,1,2
2021-06-15,west,1,1
2021-06-16,ambala,4,0
2021-06-16,bhiwani,1,0
2021-06-16,bikaner,1,0
2021-06-16,central,1,1
2021-06-16,chandigarh,3,0
2021-06-16,dehradun,3,0
2021-06-16,fatehabad,3,0
2021-06-16,ganganagar,1,0
2021-06-16,gautam buddha nagar,1,0
2021-06-16,grand total,57,5
2021-06-16,hanumangarh,1,0
2021-06-16,hisar,1,0
2021-06-16,jammu,5,0
2021-06-16,kaithal,2,0
2021-06-16,karnal,3,0
2021-06-16,kathua,2,0
2021-06-16,kurukshetra,2,0
2021-06-16,mandi,1,0
2021-06-16,meerut,1,0
2021-06-16,nanded,1,0
2021-06-16,new delhi,1,1
2021-06-16,panchkula,1,0
2021-06-16,saharanpur,2,0
2021-06-16,shahjahanpur,2,0
2021-06-16,sirmaur,1,0
2021-06-16,sirsa,11,2
2021-06-16,sonipat,1,1
2021-06-16,west,1,0
2021-06-17,ambala,4,1
2021-06-17,bhiwani,1,0
2021-06-17,bikaner,1,0
2021-06-17,central,1,1
2021-06-17,chandigarh,3,0
2021-06-17,dehradun,3,0
2021-06-17,fatehabad,3,0
2021-06-17,ganganagar,1,0
2021-06-17,gautam buddha nagar,1,0
2021-06-17,grand total,57,6
2021-06-17,hanumangarh,1,0
2021-06-17,hisar,1,0
2021-06-17,jammu,5,0
2021-06-17,kaithal,2,0
2021-06-17,karnal,3,0
2021-06-17,kathua,2,0
2021-06-17,kurukshetra,2,0
2021-06-17,mandi,1,0
2021-06-17,meerut,1,0
2021-06-17,nanded,1,0
2021-06-17,new delhi,1,1
2021-06-17,panchkula,1,0
2021-06-17,saharanpur,2,0
2021-06-17,shahjahanpur,2,0
2021-06-17,sirmaur,1,0
2021-06-17,sirsa,11,2
2021-06-17,sonipat,1,1
2021-06-17,west,1,0
2021-06-18,ambala,4,1
2021-06-18,bhiwani,1,0
2021-06-18,bikaner,1,0
2021-06-18,central delhi,1,1
2021-06-18,chandigarh,3,0
2021-06-18,dehradun,3,0
2021-06-18,fatehabad,3,0
2021-06-18,ganganagar,1,0
2021-06-18,gautam buddha nagar,1,0
2021-06-18,grand total,58,6
2021-06-18,hanumangarh,1,0
2021-06-18,hisar,1,0
2021-06-18,jammu,5,0
2021-06-18,kaithal,3,0
2021-06-18,karnal,3,0
2021-06-18,kathua,2,0
2021-06-18,kurukshetra,2,0
2021-06-18,mandi,1,0
2021-06-18,meerut,1,0
2021-06-18,nanded,1,0
2021-06-18,new delhi,1,1
2021-06-18,panchkula,1,0
2021-06-18,saharanpur,2,0
2021-06-18,shahjahanpur,2,0
2021-06-18,sirmaur,1,0
2021-06-18,sirsa,11,2
2021-06-18,sonipat,1,1
2021-06-18,west delhi,1,0
2021-06-19,ambala,4,1
2021-06-19,bhiwani,1,0
2021-06-19,bikaner,1,0
