date,icu_patients_today,icu_patients_today_districts,ventilator_patients_today,ventilator_patients_today_districts,discharged_patients_today,discharged_patients_today_districts,deaths_today,deaths_today_districts
2020-07-24,1,Tarn Taran-1),5,"Ludhiana-2, Tarn Taran-1, Gurdaspur-2)",355,"Ludhiana-199, Amritsar-10, Sangrur-3, SAS Nagar-18, Gurdaspur-7, Hoshiarpur-42, Tarn Taran-9, Ferozepur-36, FG Sahib-4, Faridkot-1, Moga-9, Muktsar-3, Fazilka-10, Barnala-3, Mansa-1)",5,"Pathankot-1, Patiala-1, Hoshiarpur-1, Sangrur-1, Ludhiana-1)"
2020-07-25,0,,1,Patiala-1),201,"Amritsar-71, Hoshiarpur-11, Muktsar-1, Sangrur-21, Ferozepur-14, Ropar-16, SAS Nagar-22, FG Sahib-5, Fazilka-4, Pathankot-2, Moga-1, Barnala-2, SBS Nagar-9, Bathinda-22)",9,"Jalandhar-1, Ferozepur-1, Barnala-1 Ludhiana-4, Amritsar-1, Ropar-1)"
2020-07-26,2,"Pathankot-1, Amritsar-1)",6,"Amritsar-2, Gurdaspur-1, Jalandhar-1, Ludhiana-1, Tarn Taran-1)",513,"Ludhiana-182, Amritsar-31, Patiala-225, SAS Nagar-11, Gurdaspur-2, Pathankot-7, SBS Nagar-4, Hoshiarpur-1, Tarn Taran-1,  Ferozepur-4, FG Sahib-4, Faridkot-29, Moga-2, Bathinda-2, Muktsar-2, Fazilka-6)",15,"Jalandhar-1, Ropar-2, SAS Nagar-1, Ludhiana-5, Amritsar-2, Gurdaspur-2, Bathinda-1, SBS Nagar-1)"
2020-07-30,0,,4,"Kapurthala-1, Ludhiana-3)",296,"Jalandhar-15, Amritsar-82, Patiala-57, Sangrur-20, SAS Nagar-36, Gurdaspur-2, Hoshiarpur-20, Tarn Taran-7, Ferozepur-1, FG Sahib-19, Moga-3,  Bathinda-2, Muktsar-11, Kapurthala-9, Fazilka-10, Barnala-1, Mansa-1)",10,"Amritsar-1, Hoshiarpur-1, Jalandhar-3, Ludhiana-4, Patiala-1)"
2020-07-31,7,"Amritsar-1, Gian Sagar Banur-6)",3,Ludhiana-3),225," Amritsar-65, Sangrur-26, SAS Nagar-25, Gurdaspur-10, Ludhiana-54, FG Sahib-9, Moga-14,  Faridkot-11, Kapurthala-2, Muktsar-6, Mansa-3)",16,"Amritsar-3, Barnala-2, Jalandhar-1, Ludhiana-6, Patiala-2, Kapurthala-1)"
2020-08-01,6,"Gurdaspur-1, Jalandhar-5)",6,"Ludhiana-5, Patiala-1)",341,"Ludhiana-152, Sangrur-29, SAS Nagar-21, Hoshiarpur-53, Ferozepur-16, Pathankot-13, SBS Nagar-10, Faridkot-14, Fazilka-29, Muktsar-1, Barnala-3)",19,"Amritsar-2, Kapurthala-1, SAS Nagar-1, Muktsar-1, Jalandhar-1, Ludhiana-10, Sangrur-2, Barnala-1)"
2020-08-02,0,,1,Ludhiana-1),391,"Jalandhar-32, Amritsar-23, Patiala-223, Sangrur-28, Hoshiarpur-41, Gurdaspur-9, Pathankot-5, Fazilka-8, Kapurthala-11, Mansa-11)",18,"Tarn Taran-1, Ludhiana-8, Amritsar-3, Patiala-4, Pathankot-1, SAS Nagar-1)"
2020-08-03,2,"Gurdaspur-1, Jalandhar-1)",7,"Jammu-2, Ludhiana-6)",416,"Ludhiana-144, Amritsar-91, Patiala-43, Sangrur-14, SAS Nagar-18, Hoshiarpur-16, Gurdaspur-26, Pathankot-6, FG Sahib-23, Moga-9, Fazilka-8, Muktsar-9, Barnala-9)",19,"Amritsar-2, Barnala-1, Bathinda-3, Jalandhar-1, Ludhiana-8, SAS Nagar-1, SBS Nagar-1, Patiala-1, Sangrur-1)"
2020-08-04,7,"Amritsar-1, Jalandhar-4, Sangrur-2)",7,"Jalandhar-5, Sangrur-1, Ludhiana-1)",609,"Jalandhar-63, Amritsar-56, Sangrur-26, Hoshiarpur-7, Gurdaspur-85, Pathankot-11, Bathinda-104, Moga-20, Mansa-4, Ludhiana-191, SAS Nagar-3, FG Sahib-20, kapurthala-15, Muktsar-2, Barnala-2)",20,"FG Sahib-1, Gurdaspur-1, Jalandhar-5, Ludhiana-7, Patiala-5, Sangrur-1)"
2020-08-05,4,"Amritsar-1, Jalandhar-3)",9,"Ludhiana-2, Sangrur-1, Kapurthala-2, Jalandhar-1, SBS Nagar-1, Amritsar-2)",452,"Patiala-183, Sangrur-26, SAS Nagar-3, Hoshiarpur-8, Gurdaspur-2, Ferozepur-29, Tarn Taran-12, Bathinda-21, FG Sahib-5, Moga-28, SBS Nagar-14, Faridkot-25, Fazilka-36, Kapurthala-11, Ropar-41, Muktsar-7, Barnala-1  )",29,"Amritsar-1, Faridkot-1, Ferozepur-1, Gurdaspur-3, Jalandhar-4, Kapurthala-1, Ludhiana-9, Mansa-1, Patiala-5, Ropar-1, Sangrur-2)"
2020-08-06,13,"Amritsar-6, Tarn Taran-1, Jalandhar-6)",6,"Jalandhar-1, Ludhiana-4, Moga-1)",716,"Ludhiana-361, Amritsar-85, Patiala-107, Sangrur-31, SAS Nagar-16, Gurdaspur-41, Ferozepur-5, Pathankot-8, FG Sahib-23, Moga-12, Fazilka-1, Muktsar-9, Barnala-12, Mansa-5  )",26,"Amritsar-1, Ferozepur-1, Gurdaspur-1, Jalandhar-7, Ludhiana-13, Patiala-1,  Sangrur-1, Tarn Taran-1)"
2020-08-07,10,"Gurdaspur-2, Amritsar-1, Jalandhar-6, Sangrur-1)",7,"Ludhiana-6, Sangrur-1)",381,"Amritsar-71, Patiala-108, Sangrur-15, SAS Nagar-57, Hoshiarpur-19, Ferozepur-11, Pathankot-18, FG Sahib-17, Faridkot-6, Kapurthala-24, Ropar-22, Muktsar-1, Barnala-12  )",23,"Amritsar-3, FG Sahib-2, Fazilka-1, Jalandhar-3, Kapurthala-1, Ludhiana-9, SBS Nagar-2, Patiala-1, Sangrur-1)"
2020-08-08,4,Jalandhar-4),3,"Ludhiana-2, Kapurthala-1)",820,"Ludhiana-254, Jalandhar-236, Amritsar-73, Hoshiarpur-10, Gurdasur-49, Ferozepur-15, Pathankot-36, Bathinda-66, FG Sahib-8, Moga-34, Faridkot-6, Muktsar-4, Mansa-29  )",23,"Amritsar-2, Barnala-1, Jalandhar-1, Ludhiana-12, SAS Nagar-1, SBS Nagar-1, Patiala-3, Ropar-1, Sangrur-1)"
2020-08-09,4,"Jalandhar-3, Gurdaspur-1)",2,"Ludhiana-1, Gurdaspur-1)",459,"Ludhiana-90, Amritsar-133, Sangrur-50, SAS Nagar-10, Hoshiarpur-7, Gurdaspur-52, Tarn Taran-35, FG Sahib-25, Moga-1, Fazilka-20, Kapurthala-23, Muktsar-3, Barnala-6, Mansa-4  )",24,"Amritsar-4, Barnala-1, Bathinda-3, Gurdaspur-1, Jalandhar-2, Kapurthala-2, Ludhiana-9, SAS Nagar-1, Sangrur-1)"
2020-08-10,0,,2,Ludhiana-2),416,"Amritsar-38, Patiala-216, Hoshiarpur-22, Gurdaspur-24, Ferozepur-24, Pathgankot-28, Bathinda-28, Moga-25, Muktsar-1, Barnala-5, Mansa-5  )",20,"Ferozepur-2, Jalandhar-3,Ludhiana-6, Moga-1, SAS Nagar-1, Patiala-7)"
2020-08-11,26,"Gurdaspur-2, Hoshiarpur-1, Jalandhar-15, Amritsar-4, Pathankot-1, Sangrur-1, Patiala-2)",5,"Fazilka-1, Tarn Taran-1, Jalandhar-3)",1055,"Ludhiana-516, Jalandhar-262, Amritsar-49, Sangrur-60, SAS Nagar-36, Gurdaspur-18, Ferozepur-22, Pathankot-5, FG Sahib-17, Moga-10, SBS Nagar-28, Fazilka-26, Muktsar-1, Barnala-5)",32,"Amritsar-3, Bathinda-1, Gurdaspur-1, Jalandhar-3, Kapurthala-1, Ludhiana-11, SAS Nagar-3, Muktsar-1, Patiala-3, Sangrur-4, Tarn Taran-1)"
2020-08-12,4,"Jalandhar-3, Amritsar-1)",0,,422,"Ludhiana-190, Amritsar-17, Sangrur-24, SAS Nagar-19, Hoshiarpur-2, Gurdaspur-28, Pathankot-12, Bathinda-57, FG Sahib-7, Moga-10, Fazilka-10, Kapurthala-43,  Barnala-3)",39,"Amritsar-3, Barnala-1, Bathinda-1, FG Sahib-1, Gurdaspur-2, Hoshiarpur-6, Jalandhar-3, Ludhiana-13, SAS Nagar-2, Pathankot-2, Patiala-4, Sangrur-1)"
2020-08-13,7,"Jalandhar-6, Amritsar-1)",14,"Ludhioana-10, Jalandhar-2, Faridkot-2)",627,"Ludhiana-160, Amritsar-72, Sangrur-23,  Hoshiarpur-15, Gurdaspur-23, Ferozepur-70, Pathankot-11, Tarn Taran-55, FG Sahib-15, Moga-83, SBS Nagar-2, Fazilka-5, Kapurthala-26, Ropar-36, Muktsar-14, Barnala-4, Mansa-13)",36,"Amritsar-2, Gurdaspur-1, Hoshiarpur-1, Jalandhar-5, Kapurthala-3, Ludhiana-13, SAS Nagar-3, Patiala-2, Ropar-1, Sangrur-3, Tarn Taran-2)"
2020-08-14,4,"Jalandhar-2, Amritsar-2)",5,"Hoshiarpur-1, Jalandhar-1, Ludhiana-3)",489,"Jalandhar-113, Amritsar-45, SAS Nagar-114, Hoshiarpur-3, Pathankot-13, Tarn Taran-12, Bathinda-49, FG Sahib-31, Moga-8, SBS Nagar-2, Faridkot-49, Fazilka-17, Kapurthala-16, Muktsar-5,  Mansa-12)",25,"Amritsar-1, Barnala-1, Ferozepur-2,  Hoshiarpur-1, Jalandhar-3, Ludhiana-7, SAS Nagar-2, Patiala-4, Sangrur-4)"
2020-08-15,6,"Jalandhar-3, Amritsar-3)",14,"Pathankot-1, Jalandhar-4, Ludhiana-9)",535,"Ludhiana-273, Sangrur-42, SAS Nagar-23, Hoshiarpur-21, Bathinda-45, Kapurthala-14, FG Sahib-12, Moga-3, SBS Nagar-7, Ropar-37, Muktsar-17, Barnala-40, Mansa-1)",40,"Amritsar-2, Faridkot-1, FG Sahib-3, Fazilka-2, Jalandhar-2, Kapurthala-2, Ludhiana-12, Moga-2, SAS Nagar-2, Pathankot-1, Patiala-3, Sangrur-3, Tarn Taran-5)"
2020-08-16,11,"Gurdaspur-1, Amritsar-2, Hoshiarpur-3, Jalandhar-5)",0,,568,"Ludhiana-94, Amritsar-91, Sangrur-19, SAS Nagar-36, Hoshiarpur-29, Gurdaspur-110, Ferozepur-43, Pathankot-53, Bathinda-54, FG Sahib-13, Moga-5, Fazilka-9, Kapurthala-7, Muktsar-5)",41,"Amritsar-3, Barnala-1, FG Sahib-1, Fazilka-1, Ferozepur-2, Gurdaspur-1, Hoshiarpur-1, Jalandhar-4, Kapurthala-1, Ludhiana-14, Moga-1, SAS Nagar-1,  Patiala-7, Sangrur-3)"
2020-08-17,6,Jalandhar-6),8,"Ludhiana-4, Pathankot-1, Jalandhar-2, Hoshiarpur-1)",749,"Ludhiana-151, Jalandhar-212, Sangrur-26, SAS Nagar-21, Hoshiarpur-49, Gurdaspur-57, Ferozepur-9, Pathankot-17, Bathinda-86, FG Sahib-25, Moga-4, SBS Nagar-26, Fazilka-23, Muktsar-5, Barnala-31, Mansa-7)",51,"Amritsar-2, Barnala-1, Bathinda-3, Faridkot-1, FG Sahib-3, Ferozepur-3, Gurdaspur-1, Hoshiarpur-1, Jalandhar-5, Kapurthala-1, Ludhiana-14, Moga-1, SAS Nagar-1,  SBS Nagar-2, Pathankot-1, Patiala-6, Sangrur-2, Tarn Taran-3)"
2020-08-18,5,Jalandhar-5),11,"Ludhiana-8, Sangrur-1, SBS Nagar-1, Kapurthala-1)",1582,"Ludhiana-212, Patiala-714, Amritsar-108,  SAS Nagar-17, Sangrur-31, Bathinda-42, Gurdaspur-22, Ferozepur-29, Moga-71, Hoshiarpur-4, Pathankot-47, Barnala-64, FG Sahib-9, Faridkot-59, Ropar-55, SBS Nagar-18, Muktsar-27, Kapurthala-32, Tarn Taran-21)",35,"Amritsar-4, Faridkot-1, FG Sahib-1,  Jalandhar-1, Ludhiana-8, SAS Nagar-3, Muktsar-1, SBS Nagar-3, Patiala-4, Ropar-2, Sangrur-4, Tarn Taran-2, Kapurthala-1)"
2020-08-19,14,"Amritsar-4, Jalandhar-10)",5,"Ludhiana-2, Jalandhar-2, Amritsar-1)",941,"Jalandhar-281, Patiala-236, Amritsar-98, SAS Nagar-170, Sangrur-12, Gurdaspur-15, Ferozepur-7, Moga-13, Hoshiarpur-35, Pathankot-23, Barnala-10, FG Sahib-4, Fazilka-10, Muktsar-9, Mansa-18)",24,"Amritsar-1, Barnala-1, FG Sahib-1, Ferozepur-1, Jalandhar-3, Kapurthala-1, Ludhiana-8, Mansa-1, Pathankot-1, Patiala-6)"
2020-08-20,5,Jalandhar-05),12,"Ludhiana-5, Jalandhar-5, Amritsar-1, Faridkot-1)",334,"Jalandhar-106, Amritsar-62, Sangrur-24, Gurdaspur-29, Ferozepur-12, Hoshiarpur-2, Pathankot-14, FG Sahib-23, Ropar-5, Fazilka-7, SBS Nagar-37, Muktsar-4, Mansa-9)",37,"Amritsar-2, Gurdaspur-1, Hoshiarpur-2, Jalandhar-3, Kapurthala-1, Ludhiana-10, SAS Nagar-5, Muktsar-1, SBS Nagar-2, Patiala-5, Sangrur-5)"
2020-08-21,0,,10,"Ludhiana-8, Ludhiana-1, Hoshiarpur-1)",856,"Jalandhar-97, Patiala-218, Amritsar-44, Sangrur-19, Bathinda-115, Ferozepur-3, Moga-48, Pathankot-41, Barnala-35, FG Sahib-19, Kapurthala-142, Tarn Taran-48, Fazilka-4, SBS Nagar-12, Muktsar-11)",34,"Amritsar-3, Barnala-1, Faridkot-1, FG Sahib-1, Ferozepur-1, Gurdaspur-1,  Jalandhar-5, Kapurthala-4, Ludhiana-8, Mansa-1, Moga-2, SAS Nagar-1, Patiala-5)"
2020-08-22,1,Amritsar-1),15,"Ludhiana-7, Hoshiarpur-1, Ferozepur-1, Jalandhar-5, Amritsar-1)",409,"Amritsar-46, SAS Nagar-26, Sangrur-20, Ferozepur-9, Moga-6, Hoshiarpur-64, Pathankot-10, Barnala-67, FG Sahib-9, Tarn Taran-32, Ropar-45, Fazilka-13, SBS Nagar-17, Muktsar-16, Mansa-29)",45,"Amritsar-2, Ludhiana-15, Bathinda-1, Mansa-1, Faridkot-1, Moga-1, FG Sahib-2, SAS Nagar-3, Ferozepur-2, SBS Nagar-1, Gurdaspur-1, Ropar-1, Jalandhar-8, Sangrur-5, Tarn Taran-1)"
2020-08-23,0,,8,"Ludhiana-4, Ferozepur-1, Jalandhar-1, Faridkot-2)",2226,"Ludhiana-1183, Jalandhar-49, Patiala-289, Amritsar-150, Sangrur-47, Bathinda-115, Gurdaspur-224, Ferozepur-4, Moga-5, Hoshiarpur-54, Pathankot-21, Barnala-8, Kapurthala-20, Fazilka-19, SBS Nagar-7, Muktsar-14, Mansa-17)",50,"Fazilka-1, Ferozepur-2, Gurdaspur-6, Hoshiarpur-2, Jalandhar-7, Kapurthala-1, Ludhiana-9, Muktsar-1, Patiala-19, Sangrur-1, Tarn Taran-1)"
2020-08-24,27,"Jalandhar-25, Gurdaspur-2)",10,"Ludhiana-9, Amritsar-1)",1829,"Ludhiana-507, Jalandhar-232, Patiala-294, Amritsar-22, SAS Nagar-167, Bathinda-165, Gurdaspur-35, Ferozepur-21, Moga-64, Hoshiarpur-11, Pathankot-25, Barnala-18, FG Sahib-64, Kapurthala-41, Faridkot-93, Tarn Taran-18, Fazilka-8, SBS Nagar-17, Muktsar-25, Mansa-02)",43,"Amritsar-1, FG Sahib-1, Fazilka-1, Gurdaspur-4, Jalandhar-6, Kapurthala-3, Ludhiana-11, Mansa-3, SAS Nagar-8, SBS Nagar-1, Patiala-3, Sangrur-1)"
2020-08-25,3,Jalandhar-3),10,"SBS Nagar-1, Ludhiana-8, Hoshiarpur-1)",788,"Ludhiana-187, Jalandhar-130, Patiala-118, Amritsar-6, SAS Nagar-86, Sangrur-73, Gurdaspur-23, Moga-11, Hoshiarpur-24, Pathankot-13, Barnala-23, FG Sahib-32, Kapurthala-15, Tarn Taran-9, Fazilka-4, Muktsar-15, Mansa-19)",49,"Amritsar-5, Bathinda-1, Faridkot-4, F G Sahib-2, Gurdaspur-1, Jalandhar-4, Ludhiana-11, Mansa-1, Moga-2, SAS Nagar-9, Pathankot-1, Patiala-5, Sangrur-3)"
2020-08-26,14,"Jalandhar-12, Patiala-2)",25,"Bathinda-2, Ludhiana-13, Moga-1, Kapurthala-3, Patiala-1, Faridkot-1, Jalandhar-2, Pathankot-1, Hoshiarpur-1)",1086,"Ludhiana-243, Jalandhar-88, Patiala-169, Amritsar-37, Sangrur-72, Bathinda-168, Gurdaspur-46, Pathankot-13, Barnala-13, FG Sahib-15, Kapurthala-16, Faridkot-8, Tarn Taran-15, Ropar-53, Fazilka-48, SBS Nagar-30, Muktsar-52)",41,"Barnala-2, Bathinda-1, Gurdaspur-3, Hoshiarpur-4, Jalandhar-1, Kapurthala-4, Ludhiana-12, Mansa-2, Moga-1, SAS Nagar-1, Muktsar-2, Pathankot-1, Patiala-5, Sangrur-2)"
2020-08-27,9,"Gurdaspur-3, Hoshiarpur-1, Jalandhar-5)",16,"Barnala-1, Ludhiana-10, Kapurthala-1, Jalandhar-1, Bathinda-1, Amritsar-2)",741,"Jalandhar-153, Patiala-119, Amritsar-70, Sangrur-41, Bathinda-2, Gurdaspur-50, Moga-4, Hoshiarpur-29, Pathankot-35, Barnala-68, FG Sahib-37, Kapurthala-4, Faridkot-4, Tarn Taran-2, Fazilka-41, SBS Nagar-14, Muktsar-45, Mansa-23)",37,"Amritsar-7, Barnala-1, Fazilka-1, Hoshiarpur-2, Kapurthala-1, Ludhiana-5, SAS Nagar-5, SBS Nagar-1, Pathankot-2, Patiala-4, Ropar-1, Sangrur-5, Tarn Taran-2)"
2020-08-28,17,"Gurdaspur-3, Jalandhar-14)",27,"Ludhiana-13, Jalandhar-11, Kapurthala-1, Barnala-1, Gurdaspur-1)",2036,"Ludhiana-489, Jalandhar-145, Amritsar-106, SAS Nagar-401, Sangrur-56, Bathinda-68, Gurdaspur-41, Ferozepur-447, Moga-6, Hoshiarpur-26, Pathankot-16, Barnala-15, FG Sahib-46, Kapurthala-16, Faridkot-36, Tarn Taran-20, Ropar-23, Fazilka-20, SBS Nagar-21, Muktsar-30, Mansa-8)",51,"Amritsar-12, Barnala-1, Bathinda-1, Fazilka-2, FG Sahib-2, Gurdaspur-2, Hoshiarpur-1, Jalandhar-5, Kapurthala-1, Ludhiana-11, Mansa-2, SAS Nagar-1, SBS Nagar-1, Patiala-5, Sangrur-2, Tarn Taran-2)"
2020-08-29,22,"Amritsar-3, Jalandhar-19)",13,"Faridkot-1, Kapurthala-2, Moga-1, Barnala-1, Ludhiana-6, SBS Nagar-1, Amritsar-1)",1083,"Ludhiana-207, Patiala-322 Amritsar-72, SAS Nagar-87, Sangrur-65, Gurdaspur-56,  Moga-1, Hoshiarpur-38, Pathankot-20, Barnala-14, FG Sahib-43, Kapurthala-44, Tarn Taran-29, Ropar-33, Fazilka-9, SBS Nagar-13, Muktsar-26, Mansa-4)",41,"Amritsar-2, Faridkot-1, Fazilka-1, FG Sahib-2, Hoshiarpur-2, Jalandhar-3, Ludhiana-17, Moga-2, SAS Nagar-1, Patiala-10)"
2020-08-30,0,,10,"Jalandhar-5, Sangrur-1, Kapurthala-2, Hoshiarpur-2)",1656,"Ludhiana-350, Jalandhar-297, Patiala-206, Amritsar-78, SAS Nagar-104, Sangrur-66, Gurdaspur-35, Ferozepur-167, Moga-105, Hoshiarpur-42, Pathankot-26, Barnala-49, FG Sahib-8, Kapurthala-19, Faridkot-9, Tarn Taran-18, Ropar-35, Fazilka-2, SBS Nagar-13, Muktsar-26, Mansa-1)",56,"Amritsar-3, Bathinda-4, Faridkot-1, FG Sahib-2, Ferozepur-1, Hoshiarpur-2, Jalandhar-7, Kapurthala-4, Ludhiana-15, Moga-1, SAS Nagar-1, Muktsar-1, Pathankot-1, Patiala-8, Sangrur-5)"
2020-08-31,0,,0,,1280,"Ludhiana-152, Jalandhar-103, Patiala-135, Amritsar-48, SAS Nagar-92, Sangrur-60, Bathinda-260, Gurdaspur-57, Moga-2, Hoshiarpur-51, Pathankot-33, Barnala-54, FG Sahib-53, Kapurthala-95, Tarn Taran-1, Ropar-43, Fazilka-9, Muktsar-32)",50,"Amritsar-5, FG Sahib-1, Fazilka-1, Gurdaspur-1, Hoshiarpur-5, Jalandhar-3, Kapurthala-4, Ludhiana-18, Moga-1, SAS Nagar-10, Patiala-1)"
2020-09-01,0,,5,"Ludhiana-2, Hoshiarpur-1, Ferozepur-1, SBS Nagar-1)",1120,"Ludhiana-182, Patiala-168, Amritsar-69, Sangrur-44, Gurdaspur-98, Moga-78, Hoshiarpur-58, Pathankot-20, Barnala-36, FG Sahib-29, Kapurthala-68, Faridkot-116, SBS Nagar-40, Muktsar-17, Mansa-97)",59,"Amritsar-7, Barnala-2, Bathinda-3, Faridkot-2, FG Sahib-4, Fazilka-1, Ferozepur-5, Gurdaspur-1, Hoshiarpur-1, Jalandhar-8, Kapurthala-4, Ludhiana-13, Moga-1, Pathankot-1, Patiala-5, Tarn Taran-1)"
2020-09-02,0,,11,"Ludhiana-8, Muktsar-1, SBS Nagar-1, Hoshiarpur-1)",1595,"Ludhiana-347, Jalandhar-84, Patiala-179, Amritsar-108, Sangrur-08, Bathinda-197, Gurdaspur-13, Ferozepur-397, Hoshiarpur-104, Pathankot-25, Barnala-12, FG Sahib-1, Kapurthala-4, Tarn Taran-47, Fazilka-26, SBS Nagar-7, Muktsar-35, Mansa-1)",106,"Amritsar-8, Bathinda-10, Faridkot-2, FG Sahib-3, Fazilka-3, Ferozepur-5, Gurdaspur-8, Hoshiarpur-5, Jalandhar-11, Kapurthala-5, Ludhiana-18, SAS Nagar-9, Muktsar-1, SBS Nagar-1, Patiala-6, Ropar-7, Sangrur-2, Tarn Taran-2)"
