date,district,containment,population_contained
2020-07-07,amritsar,dai wali gali,500
2020-07-07,amritsar,duburji verka,530
2020-07-07,amritsar,haripura gali no 5,500
2020-07-07,amritsar,"sa rb duni chand, sr",300
2020-07-07,barnala,kc road st no 1-4,600
2020-07-07,fatehgarh sahib,"vill badochi kala, phc chk",450
2020-07-07,hoshiarpur,ward no21 vijay nagar hoshiarpur,946
2020-07-07,jalandhar,kalia colony,485
2020-07-07,jalandhar,lamba pind,417
2020-07-07,jalandhar,nagra,495
2020-07-07,jalandhar,old santokhpura,789
2020-07-07,jalandhar,ram nagar,573
2020-07-07,jalandhar,sant nagar,332
2020-07-07,jalandhar,sidarth nagar,1016
2020-07-07,jalandhar,upkar nagar,373
2020-07-07,jalandhar,vill.uppal,523
2020-07-07,ludhiana,basant avenue,2200
2020-07-07,ludhiana,harikrishan nagar (daba giaspura),1050
2020-07-07,ludhiana,labor colony,1020
2020-07-07,ludhiana,"new kartar nagar, salme tabri",1280
2020-07-07,ludhiana,rajiv gandhi nagar,4620
2020-07-07,ludhiana,ram nagar dholewal,2982
2020-07-07,ludhiana,samrat colony,1580
2020-07-07,moga,v. bagha purana,181
2020-07-07,mohali,derabassi camp,250
2020-07-07,mohali,harmilap nagar baltana,70
2020-07-07,mohali,mubarakpur area 1,1200
2020-07-07,mohali,mubarakpur area 2,350
2020-07-07,mohali,sector 91,300
2020-07-07,pathankot,vill.habita pindi,332
2020-07-07,patiala,"dhiru ki majri, patiala",400
2020-07-07,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-07,sangrur,defence colony,2666
2020-07-07,sangrur,dr.chhaju wali gali,250
2020-07-07,sangrur,gulshan iqbal colony,385
2020-07-07,sangrur,guru teg bahdur mlk,1005
2020-07-07,sangrur,jujhar nagar+ajit nagar,1715
2020-07-07,sangrur,kishna baag colony,180
2020-07-07,sangrur,krbl factory,342
2020-07-07,sangrur,kushal basti,953
2020-07-07,sangrur,mahindru street near pnb,555
2020-07-07,sangrur,sbi street,70
2020-07-07,sangrur,shekhupura basti,120
2020-07-07,sangrur,village chotian,3492
2020-07-07,sangrur,zone 1 gujjran wala muhalla,450
2020-07-07,sangrur,"zone 2, rattan colony ,jamalpura",1200
2020-07-08,amritsar,dai wali gali,500
2020-07-08,amritsar,duburji verka,530
2020-07-08,amritsar,haripura gali no 5,500
2020-07-08,amritsar,"sa rb duni chand, sr",300
2020-07-08,barnala,kc road st no 1-4,600
2020-07-08,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-08,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,1378
2020-07-08,jalandhar,kalia colony,485
2020-07-08,jalandhar,lamba pind,417
2020-07-08,jalandhar,nagra,495
2020-07-08,jalandhar,old santokhpura,789
2020-07-08,jalandhar,ram nagar,573
2020-07-08,jalandhar,sant nagar,332
2020-07-08,jalandhar,sidarth nagar,1016
2020-07-08,jalandhar,upkar nagar,373
2020-07-08,jalandhar,vill.uppal,523
2020-07-08,ludhiana,basant avenue,2200
2020-07-08,ludhiana,harikrishan nagar (daba giaspura),1050
2020-07-08,ludhiana,labor colony,1020
2020-07-08,ludhiana,"new kartar nagar, salme tabri",1280
2020-07-08,ludhiana,rajiv gandhi nagar,4620
2020-07-08,ludhiana,ram nagar dholewal,2982
2020-07-08,ludhiana,samrat colony,1580
2020-07-08,moga,v. bagha purana,177
2020-07-08,mohali,sector 91,300
2020-07-08,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-08,pathankot,vill.habita pindi,332
2020-07-08,patiala,"dhiru ki majri, patiala",400
2020-07-08,patiala,"vill luhand, block kalomajra, patiala",68
2020-07-08,sangrur,defence colony,2666
2020-07-08,sangrur,dr.chhaju wali gali,250
2020-07-08,sangrur,gulshan iqbal colony,385
2020-07-08,sangrur,guru teg bahdur mlk,1005
2020-07-08,sangrur,jujhar nagar+ajit nagar,1715
2020-07-08,sangrur,kishna baag colony,180
2020-07-08,sangrur,krbl factory,342
2020-07-08,sangrur,kushal basti,953
2020-07-08,sangrur,mahindru street near pnb,555
2020-07-08,sangrur,sbi street,70
2020-07-08,sangrur,shekhupura basti,120
2020-07-08,sangrur,village chotian,3492
2020-07-08,sangrur,zone 1 gujjran wala muhalla,450
2020-07-08,sangrur,"zone 2, rattan colony ,jamalpura",1200
2020-07-09,amritsar,dai wali gali,500
2020-07-09,amritsar,duburji verka,530
2020-07-09,amritsar,haripura gali no 5,500
2020-07-09,amritsar,"sa rb duni chand, sr",300
2020-07-09,barnala,kc road st no 1-4,600
2020-07-09,faridkot,dhana basti,383
2020-07-09,faridkot,street no.2 panchayti gaushala road jalto,250
2020-07-09,hoshiarpur,tanda ram colony-guru teg bahadur colony chardi patel,1378
2020-07-09,jalandhar,atwal house,130
2020-07-09,jalandhar,lamba pind,417
2020-07-09,jalandhar,ram nagar,573
2020-07-09,jalandhar,sanjay gandhi nagar,242
2020-07-09,jalandhar,sant nagar,332
2020-07-09,jalandhar,thakur colony,484
2020-07-09,jalandhar,ucha suraj ganj,108
2020-07-09,kapurthala,housefed complex kapurthala,300
2020-07-09,kapurthala,punjab gramin bank,82
2020-07-09,kapurthala,tarloki nath mohalla,550
2020-07-09,ludhiana,field ganj kucha no5,125
2020-07-09,ludhiana,labor colony,1020
2020-07-09,ludhiana,rajiv gandhi nagar,4620
2020-07-09,ludhiana,suncity colony,126
2020-07-09,moga,v. bagha purana,177
2020-07-09,mohali,majat charcoal factory,20
2020-07-09,mohali,sector 91,300
2020-07-09,muktsar sahib,village maan singh wala s/c bhangewala,500
2020-07-09,pathankot,vill.habita pindi,332
2020-07-09,patiala,anand nagar extension patiala,182
