date,district,containment,population_contained
2021-06-19,gurdaspur,"awankha chhamb bhathha, behrampur",200
2021-06-19,mansa,"village joga, block khiala kalan",10300
2021-06-19,mansa,kulrian,9010
2021-06-19,mohali,village kuradi,2000
2021-06-19,muktsar,distt. jail,723
2021-06-19,pathankot,magiyal,97
2021-06-19,pathankot,kalesar,126
2021-06-19,patiala,"around house no. 1206 sukhdaspura mohalla ,patiala.",150
2021-06-18,amritsar,"new amritsar, a block and b block",3800
2021-06-18,amritsar,construction unit no 8 gmc,60
2021-06-18,fatehgarh sahib,vill jassra chanarthal kalan,220
2021-06-18,fazilika,nai abadi abohar,1494
2021-06-18,ferozepur,panje ke uttar ghs,155
2021-06-18,gurdaspur,"awankha chhamb bhathha, behrampur",200
2021-06-18,mansa,"village joga, block khiala kalan",10300
2021-06-18,mansa,kulrian,9010
2021-06-18,mohali,village kuradi,2000
2021-06-18,muktsar,distt. jail,723
2021-06-18,pathankot,magiyal,97
2021-06-18,pathankot,kalesar,126
2021-06-18,patiala,"around house no. 1206 sukhdaspura mohalla ,patiala.",150
2021-06-17,amritsar,"new amritsar, a block and b block",3800
2021-06-17,amritsar,construction unit no 8 gmc,60
2021-06-17,fatehgarh sahib,vill jassra chanarthal kalan,290
2021-06-17,fazilika,naiabadiabohar,1494
2021-06-17,ferozepur,panjeke uttar ghs,155
2021-06-17,gurdaspur,"jhapkara, behrampur",342
2021-06-17,jalandhar,"patti kamalpur, phcbarapind",576
2021-06-17,mansa,"village joga, block khiala kalan",10300
2021-06-17,mansa,kulrian,9010
2021-06-17,mohali,village kuradi,2000
2021-06-17,muktsar,distt. jail,900
2021-06-17,pathankot,magiyal,97
2021-06-17,pathankot,kalesar,126
2021-06-17,patiala,"village kansuhakallan, block bhadson, patiala.",150
2021-06-16,amritsar,"new amritsar, a block and b block",3800
2021-06-16,amritsar,green avenue,4000
2021-06-16,amritsar,construction unit no 8 gmc,4000
2021-06-16,fatehgarh sahib,vill jassra chanarthal kalan,290
2021-06-16,fazilika,naiabadiabohar,1477
2021-06-16,ferozepur,panjeke uttar ghs,155
2021-06-16,gurdaspur,"jhapkara, behrampur",342
2021-06-16,jalandhar,"patti kamalpur, phcbarapind",576
2021-06-16,mansa,"nangal kalan village,phc khialakalan",8463
2021-06-16,mansa,"village joga, block khiala kalan",10300
2021-06-16,mansa,kulrian,9010
2021-06-16,mansa,mojo khurd,1590
2021-06-16,mohali,village kuradi,2000
2021-06-16,muktsar,distt. jail,900
2021-06-16,pathankot,magiyal,97
2021-06-16,pathankot,kalesar,126
2021-06-16,patiala,"village kansuhakallan, block bhadson, patiala.",150
2021-06-15,amritsar,"new amritsar, a block and b block",3800
2021-06-15,amritsar,kashmir avenuue(gopalnagar),800
2021-06-15,amritsar,green avenue,4000
2021-06-15,amritsar,construction unit no 8 gmc,60
2021-06-15,fatehgarh sahib,vill jassra chanarthal kalan,290
2021-06-15,fazilika,naiabadiabohar,1477
2021-06-15,ferozepur,adarsh nagar guruharsahai,105
2021-06-15,ferozepur,vikasviharfzr city,130
2021-06-15,ferozepur,panjeke uttar ghs,155
2021-06-15,gurdaspur,"jhapkara, behrampur",342
2021-06-15,jalandhar,"patti kamalpur, phcbarapind",576
2021-06-15,mansa,"nangal kalan village,phc khialakalan",8463
2021-06-15,mansa,"village joga, block khiala kalan",4848
2021-06-15,mansa,kulrian,10300
2021-06-15,mansa,mojo khurd,9010
2021-06-15,mohali,village kuradi,2000
2021-06-15,muktsar,distt. jail,900
2021-06-15,pathankot,magiyal,97
2021-06-15,pathankot,kalesar,126
2021-06-15,patiala,"village kansuha kallan, block bhadson, patiala.",150
2021-06-14,amritsar,"new amritsar, a block and b block",3800
2021-06-14,amritsar,kashmir avenuue(gopalnagar),800
2021-06-14,amritsar,green avenue,4000
2021-06-14,amritsar,construction unit no 8 gmc,3700
2021-06-14,fatehgarh sahib,vill jassra chanarthal kalan,290
2021-06-14,fazilika,naiabadiabohar,1477
2021-06-14,fazilika,vill.churiwaladhana,652
2021-06-14,fazilika,vill. kular,334
2021-06-14,ferozepur,adarsh nagar guruharsahai,105
2021-06-14,ferozepur,vikasviharfzr city,130
2021-06-14,ferozepur,panjeke uttar ghs,155
2021-06-14,gurdaspur,"jhapkara, behrampur",342
2021-06-14,jalandhar,"patti kamalpur, phcbarapind",576
2021-06-14,mansa,"nangal kalan village,phc khialakalan",8463
2021-06-14,mansa,"village joga, block khiala kalan",4848
2021-06-14,mansa,kulrian,10300
2021-06-14,mansa,mojo khurd,9010
2021-06-14,mohali,village kuradi,2000
2021-06-14,muktsar,distt. jail,900
2021-06-14,muktsar,near guruduara sahib and karyana store midda,550
2021-06-14,pathankot,magiyal,97
2021-06-14,pathankot,kalesar,126
2021-06-14,patiala,"village kansuhakallan, block bhadson, patiala.",150
2021-04-19,amritsar,"new amritsar, a block and b block",3800
2021-04-19,jalandhar,"mota singh nagar, garha urban",99
2021-04-19,ropar,barwa and chehar majara,2879
2021-04-19,ropar,mojowal and mojowal basti (urban),905
2021-04-19,gurdaspur,babehali,5287
2021-04-19,gurdaspur,prem nagr hardochanni road gsp,1380
2021-04-19,patiala,"netaji subash national institute of sports, patiala.",150
2021-04-19,hoshiarpur,kharkan,2285
2021-04-19,faridkot,machaki kalan,3561
2021-04-19,faridkot,quila nau,4856
2021-04-19,faridkot,dugri phase 1,0
2021-04-19,faridkot,dugri phase 2,0
2021-04-19,pathankot,"jawahar novodya vidayala,gharota",120
2021-03-30,patiala,thapar university hostel – b & m,1257
2021-03-30,ludhiana,"lehndi patti, vill bhundri, block sidhwan bet",1672
2021-03-30,jalandhar,choudhary mohalla,144
2021-03-30,jalandhar,ravidasspura,72
2021-03-30,ropar,barwa and chehar majara,2879
2021-03-30,barnala,jnv (school) dhilwan,190
2021-03-30,hoshiarpur,talwara sec. 3,552
2021-03-30,fazilika,nursing hostal jalalabad,60
2021-03-25,sbs nagar,"sidhmohalla, banga",472
2021-03-25,patiala,thapar university hostel – b & m,1257
2021-03-25,gurdaspur,sohal,5725
2021-03-25,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-25,jalandhar,"ravidaspura, phillor",104
2021-03-25,jalandhar,choudhary mohalla,72
2021-03-24,sbs nagar,"sidhmohalla, banga",472
2021-03-24,patiala,thapar university hostel – b & m,1257
2021-03-24,gurdaspur,sohal,5725
2021-03-24,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-24,jalandhar,"ravidaspura, phillor",104
2021-03-24,jalandhar,choudhary mohalla,72
2021-03-23,sbs nagar,"sidhmohalla, banga",472
2021-03-23,patiala,thapar university hostel – b & m,1257
2021-03-23,gurdaspur,sohal,5725
2021-03-23,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-23,jalandhar,"ravidaspura, phillor",104
2021-03-23,jalandhar,choudhary mohalla,72
2021-03-22,sbs nagar,"sidh mohalla, banga",472
2021-03-22,patiala,thapar university hostel – b & m,1257
2021-03-22,gurdaspur,sohal,5725
2021-03-22,ludhiana,"lehndi patti, vill bhundri, block sidhwan bet",1672
2021-03-21,sbs nagar,"sidhmohalla, banga",123
2021-03-21,patiala,thapar university hostel – b & m,1257
2021-03-21,gurdaspur,sohal,5725
2021-03-21,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-20,sbs nagar,"sidhmohalla, banga",123
2021-03-20,patiala,thapar university hostel – b & m,1257
2021-03-20,gurdaspur,sohal,5725
2021-03-20,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-18,sbs nagar,"sidhmohalla, banga",123
2021-03-18,patiala,thapar university hostel – b & m,1257
2021-03-18,gurdaspur,sohal,5725
2021-03-18,ludhiana,"lehndipatti, villbhundri, block sidhwan bet",1672
2021-03-17,sbs nagar,"sidh mohalla, banga",123
2021-03-17,patiala,thapar university hostel – b & m,1257
2020-12-08,ropar,ncc camp ropar,35
2020-12-07,ropar,ncc camp ropar,35
2020-11-17,barnala,bhadaur,850
2020-11-16,barnala,bhadaur,850
2020-11-13,barnala,bhadaur,850
2020-11-12,barnala,bhadaur,850
2020-11-11,barnala,bhadaur,850
2020-11-10,barnala,bhadaur,850
2020-11-09,barnala,bhadaur,850
2020-11-08,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-07,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-06,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-05,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-04,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-03,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-02,muktsar sahib,"district jail, sri muktsar sahib",800
2020-11-01,muktsar sahib,"district jail, sri muktsar sahib",800
2020-10-31,muktsar sahib,"district jail, sri muktsar sahib",800
2020-10-30,muktsar sahib,"district jail, sri muktsar sahib",800
2020-10-29,muktsar sahib,"district jail, sri muktsar sahib",800
2020-10-28,fazilika,nai abadi abohar,3539
2020-10-27,fazilika,nai abadi abohar,3539
2020-10-25,fazilika,naiabadiabohar,3539
2020-10-24,fazilika,nai abadi abohar,3539
2020-10-23,fazilika,nai abadi abohar,3539
2020-10-22,fazilika,nai abadi abohar,3539
2020-10-21,fazilika,nai abadi abohar,3539
2020-10-20,fazilika,naiabadiabohar,3539
2020-10-20,fazilika,bsf fallianwala,250
2020-10-19,fazilika,naiabadiabohar,3539
2020-10-19,fazilika,bsf fallianwala,250
2020-10-18,fazilika,naiabadiabohar,3539
2020-10-18,fazilika,bsf fallianwala,250
2020-10-17,fazilika,naiabadiabohar,3539
2020-10-17,fazilika,bsf fallianwala,250
2020-10-16,ludhiana,new durgapurihaibowal,3640
2020-10-15,ludhiana,new durgapurihaibowal,3640
2020-10-14,ludhiana,new durga puri haibowal,3640
2020-10-13,ludhiana,new durga puri haibowal,3640
2020-10-12,ludhiana,new durga puri haibowal,3640
2020-10-11,amritsar,beas hospital and colony,1200
2020-10-10,amritsar,beas hospital and colony,1200
2020-10-09,amritsar,beas hospital and colony,1200
2020-10-08,amritsar,beas hospital and colony,1200
2020-10-03,ludhiana,new durgapurihaibowal,3640
2020-10-01,amritsar,beas hospital and colony,1200
2020-09-30,amritsar,beas hospital and colony,1200
2020-09-29,ludhiana,new durga puri haibowal,3640
2020-09-28,ludhiana,new durga puri haibowal,3640
2020-09-27,ludhiana,new durga puri haibowal,3640
2020-09-26,ludhiana,new durga puri haibowal,3640
2020-09-25,ludhiana,new durga puri haibowal,3640
2020-09-24,ludhiana,new durga puri haibowal,968
2020-09-23,ludhiana,new durga puri haibowal,968
2020-09-22,,kusht asharam backside bus stand khanna,0
2020-09-22,,new durga puri haibowal,3640
2020-09-21,,kusht asharam backside bus stand khanna,0
2020-09-21,,new durga puri haibowal,3640
2020-09-20,amritsar,sharifpura,6502
2020-09-19,amritsar,sharifpura,6502
2020-09-18,amritsar,sharifpura,6502
2020-09-17,amritsar,sharifpura,6502
2020-09-16,amritsar,sharifpura,6502
2020-09-15,amritsar,sharifpura,6502
2020-09-14,amritsar,sharifpura,6502
2020-09-13,amritsar,sharifpura,6502
2020-09-12,amritsar,sharifpura,6502
2020-09-11,amritsar,sharifpura,6502
2020-09-10,amritsar,sharifpura,6502
2020-09-09,amritsar,sharifpura,6502
2020-09-07,amritsar,sharifpura,6502
2020-09-05,amritsar,sharifpura,6502
2020-09-05,amritsar,bsf khasa,2500
2020-09-04,amritsar,sharifpura,6502
2020-09-04,amritsar,bsf khasa,2500
2020-09-03,amritsar,sharifpura,6502
2020-09-03,amritsar,bsf khasa,2500
2020-09-02,amritsar,sharifpura,6502
2020-09-02,amritsar,bsf khasa,2500
2020-09-01,amritsar,sharifpura,6502
2020-09-01,amritsar,bsf khasa,2500
2020-08-31,amritsar,sharifpura,6502
2020-08-31,amritsar,bsf khasa,2500
2020-08-30,amritsar,sharifpura,6502
2020-08-30,amritsar,bsf khasa,2500
2020-08-29,amritsar,sharifpura,6502
2020-08-29,amritsar,bsf khasa,2500
2020-08-28,amritsar,sharifpura,6502
2020-08-28,amritsar,bsf khasa,2500
2020-08-27,amritsar,sharifpura,6502
2020-08-27,amritsar,bsf khasa,2500
2020-08-26,amritsar,sharifpura,6502
2020-08-26,amritsar,bsf khasa,2500
2020-08-25,amritsar,sharifpura,6502
2020-08-25,amritsar,bsf khasa,2500
2020-08-24,amritsar,sharifpura,6502
2020-08-24,amritsar,bsf khasa,2500
2020-08-23,amritsar,sharifpura,6502
2020-08-23,amritsar,bsf khasa,2500
2020-08-22,1,sharifpura,6502
2020-08-22,1,bsf khasa,2500
2020-08-21,1,sharifpura,6502
2020-08-21,1,bsf khasa,2500
2020-08-20,amritsar,sharifpura,6502
2020-08-20,amritsar,bsf khasa,2500
2020-08-20,jalandhar,tel wali gali,235
2020-08-20,jalandhar,santoshi nagar,152
2020-08-20,jalandhar,adarsh nagar,104
2020-08-20,jalandhar,shekha bazaar,80
2020-08-20,jalandhar,"village - sarin, nakodar",903
2020-08-20,pathankot,kartholi nagar,250
2020-08-20,pathankot,sarif chack,210
2020-08-20,patiala,"peeli sarhak, ragho majra",476
2020-08-20,fatehgarh sahib,tewana feed rurki,55
2020-08-20,fatehgarh sahib,surjit nagar mgg,457
2020-08-20,ludhiana,heavenly palace doraha,582
2020-08-20,ludhiana,salempura,820
2020-08-20,gurdaspur,ward no8 fatehgarh churian,1356
2020-08-19,amritsar,sharifpura,6502
2020-08-19,amritsar,bsf khasa,2500
2020-08-19,jalandhar,tel wali gali,235
2020-08-19,jalandhar,santoshi nagar,152
2020-08-19,jalandhar,adarsh nagar,104
2020-08-19,jalandhar,shekha bazaar,80
2020-08-19,jalandhar,"village - sarin, nakodar",903
2020-08-19,pathankot,kartholi nagar,250
2020-08-19,pathankot,sarif chack,210
2020-08-19,patiala,"peeli sarhak, ragho majra",476
2020-08-19,fatehgarh sahib,tewana feed rurki,55
2020-08-19,fatehgarh sahib,surjit nagar mgg,457
2020-08-19,ludhiana,heavenly palace doraha,582
2020-08-19,ludhiana,salempura,820
2020-08-19,gurdaspur,ward no8 fatehgarh churian,1356
2020-08-18,amritsar,sharifpura,6502
2020-08-18,amritsar,bsf khasa,2500
2020-08-18,jalandhar,tel wali gali,235
2020-08-18,jalandhar,santoshi nagar,152
2020-08-18,jalandhar,adarsh nagar,104
2020-08-18,jalandhar,shekha bazaar,80
2020-08-18,jalandhar,"village - sarin, nakodar",903
2020-08-18,pathankot,kartholi nagar,250
2020-08-18,pathankot,sarif chack,210
2020-08-18,patiala,"peeli sarhak, ragho majra",476
2020-08-18,fatehgarh sahib,tewana feed rurki,55
2020-08-18,fatehgarh sahib,surjit nagar mgg,457
2020-08-18,ludhiana,heavenly palace doraha,582
2020-08-18,ludhiana,salempura,820
2020-08-18,gurdaspur,ward no8 fatehgarh churian,1356
2020-08-17,amritsar,sharifpura,6502
2020-08-17,amritsar,bsf khasa,2500
2020-08-17,jalandhar,shakti nagar,541
2020-08-17,jalandhar,tel wali gali,235
2020-08-17,pathankot,kartholi nagar,250
2020-08-17,pathankot,sarif chack,210
2020-08-17,patiala,"peeli sarhak, ragho majra",476
2020-08-17,ferozepur,alle ke & pioneer colony,1328
2020-08-17,fatehgarh sahib,tewana feed rurki,55
2020-08-17,fatehgarh sahib,surjit nagar mgg,457
2020-08-17,ludhiana,heavenly palace doraha,582
2020-08-17,ludhiana,salempura,820
2020-08-16,amritsar,sharifpura,6502
2020-08-16,amritsar,bsf khasa,2500
2020-08-16,jalandhar,shakti nagar,541
2020-08-16,jalandhar,tel wali gali,235
2020-08-16,pathankot,kartholi nagar,250
2020-08-16,pathankot,sarif chack,210
2020-08-16,patiala,"peeli sarhak, ragho majra",476
2020-08-16,ferozepur,alle ke & pioneer colony,1328
2020-08-16,fatehgarh sahib,tewana feed rurki,55
2020-08-16,fatehgarh sahib,surjit nagar mgg,457
2020-08-15,amritsar,sharifpura,6502
2020-08-15,amritsar,bsf khasa,2500
2020-08-15,jalandhar,shakti nagar,541
2020-08-15,jalandhar,tel wali gali,235
2020-08-15,pathankot,prem nagar,300
2020-08-15,pathankot,sarif chack,210
2020-08-15,patiala,"peeli sarhak, ragho majra",476
2020-08-15,ferozepur,alle ke & pioneer colony,1328
2020-08-15,fatehgarh sahib,tewana feed rurki,55
2020-08-15,fatehgarh sahib,surjit nagar mgg,457
2020-08-14,amritsar,sharifpura,6502
2020-08-14,amritsar,bsf khasa,2500
2020-08-14,jalandhar,shakti nagar,541
2020-08-14,jalandhar,tel wali gali,235
2020-08-14,pathankot,prem nagar,300
2020-08-14,pathankot,sarif chack,210
2020-08-14,patiala,"peeli sarhak, ragho majra",476
2020-08-14,ferozepur,alle ke & pioneer colony,1328
2020-08-14,fatehgarh sahib,tewana feed rurki,55
2020-08-14,fatehgarh sahib,surjit nagar mgg,457
2020-08-13,amritsar,sharifpura,6502
2020-08-13,amritsar,bsf khasa,2500
2020-08-13,jalandhar,shakti nagar,541
2020-08-13,jalandhar,tel wali gali,235
2020-08-13,pathankot,prem nagar,300
2020-08-13,patiala,"peeli sarhak, ragho majra",476
2020-08-13,ferozepur,alle ke & pioneer colony,1328
2020-08-13,fatehgarh sahib,tewana feed rurki,55
2020-08-13,fatehgarh sahib,surjit nagar mgg,457
2020-08-12,amritsar,sharifpura,6502
2020-08-12,amritsar,bsf khasa,2500
2020-08-12,jalandhar,shakti nagar,541
2020-08-12,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-12,pathankot,prem nagar,300
2020-08-12,pathankot,shiv nagar,220
2020-08-12,pathankot,preet nagar,122
2020-08-12,patiala,"peeli sarhak, ragho majra",118
2020-08-12,ferozepur,alle ke & pioneer colony,1328
2020-08-11,amritsar,sharifpura,6502
2020-08-11,amritsar,bsf khasa,2500
2020-08-11,jalandhar,shakti nagar,541
2020-08-11,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-11,pathankot,prem nagar,300
2020-08-11,pathankot,shiv nagar,220
2020-08-11,pathankot,preet nagar,122
2020-08-11,patiala,"peeli sarhak, ragho majra",118
2020-08-11,ferozepur,alle ke & pioneer colony,1328
2020-08-10,amritsar,sharifpura,6502
2020-08-10,jalandhar,shakti nagar,541
2020-08-10,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-10,pathankot,prem nagar,300
2020-08-10,pathankot,shiv nagar,220
2020-08-09,amritsar,sharifpura,6502
2020-08-09,jalandhar,shakti nagar,541
2020-08-09,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-09,pathankot,prem nagar,300
2020-08-09,pathankot,shiv nagar,220
2020-08-09,bathinda,nathana,3817
2020-08-08,jalandhar,shakti nagar,541
2020-08-08,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-08,pathankot,prem nagar,300
2020-08-08,bathinda,nathana,3817
2020-08-07,jalandhar,shakti nagar,541
2020-08-07,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-07,pathankot,prem nagar,300
2020-08-07,bathinda,nathana,3817
2020-08-06,jalandhar,bhoor mandi,312
2020-08-06,jalandhar,new hargobind,527
2020-08-06,jalandhar,shakti nagar,541
2020-08-06,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-06,pathankot,sundernagar ptk,581
2020-08-06,pathankot,prem nagar,300
2020-08-06,bathinda,nathana,3817
2020-08-05,jalandhar,bhoor mandi,280
2020-08-05,jalandhar,new hargobind,527
2020-08-05,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-05,pathankot,sundernagar ptk,581
2020-08-05,pathankot,prem nagar,300
2020-08-05,bathinda,nathana,3817
2020-08-04,jalandhar,bhoor mandi,280
2020-08-04,jalandhar,new hargobind,527
2020-08-04,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-04,pathankot,sundernagar ptk,581
2020-08-04,pathankot,prem nagar,300
2020-08-04,bathinda,nathana,3817
2020-08-03,jalandhar,bhoor mandi,280
2020-08-03,jalandhar,new hargobind,527
2020-08-03,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-03,pathankot,sundernagar ptk,581
2020-08-03,bathinda,nathana,3817
2020-08-02,jalandhar,bhoor mandi,280
2020-08-02,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-02,pathankot,sundernagar ptk,581
2020-08-02,bathinda,nathana,3817
2020-08-01,jalandhar,bhoor mandi,280
2020-08-01,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-08-01,pathankot,sundernagar ptk,581
2020-08-01,bathinda,nathana,3817
2020-07-31,jalandhar,bhoor mandi,280
2020-07-31,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-07-31,pathankot,sundernagar ptk,581
2020-07-31,bathinda,nathana,3817
2020-07-30,jalandhar,bhoor mandi,280
2020-07-30,hoshiarpur,bsf camp kharkan block harta badla,1018
2020-07-30,pathankot,sundernagar ptk,581
2020-07-30,bathinda,nathana,3817
2020-07-26,jalandhar,makhdoompura,572
2020-07-26,jalandhar,bhoor mandi,280
2020-07-26,sbs nagar,"jain street, rahon",108
2020-07-26,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-26,mohali,sgsh sohana,90
2020-07-25,jalandhar,makhdoompura,572
2020-07-25,jalandhar,bhoor mandi,280
2020-07-25,sbs nagar,"jain street, rahon",108
2020-07-25,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-25,mohali,sgsh sohana,90
2020-07-24,patiala,top khana mod patiala,2824
2020-07-24,jalandhar,makhdoompura,572
2020-07-24,jalandhar,bhoor mandi,280
2020-07-24,sbs nagar,"jain street, rahon",108
2020-07-24,ferozepur,talwandi bhai,11305
2020-07-24,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-24,mohali,sgsh sohana,90
2020-07-23,patiala,top khana mod patiala,2824
2020-07-23,jalandhar,makhdoompura,572
2020-07-23,jalandhar,bhoor mandi,280
2020-07-23,sbs nagar,"jain street, rahon",108
2020-07-23,ferozepur,talwandi bhai,11305
2020-07-23,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-23,mohali,sgsh sohana,99
2020-07-22,patiala,top khana mod patiala,2824
2020-07-22,jalandhar,makhdoompura,572
2020-07-22,jalandhar,bhoor mandi,280
2020-07-22,sbs nagar,"jain street, rahon",108
2020-07-22,ferozepur,talwandi bhai,11305
2020-07-22,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-22,mohali,sgsh sohana,99
2020-07-21,patiala,top khana mod patiala,2824
2020-07-21,jalandhar,makhdoompura,572
2020-07-21,jalandhar,bhoor mandi,280
2020-07-21,sbs nagar,"jain street, rahon",108
2020-07-21,ferozepur,talwandi bhai,11305
2020-07-21,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-20,patiala,top khana mod patiala,2824
2020-07-20,jalandhar,makhdoompura,572
2020-07-20,jalandhar,bhoor mandi,280
2020-07-20,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-20,sbs nagar,"jain street, rahon",108
2020-07-20,ferozepur,talwandi bhai,11305
2020-07-20,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-19,patiala,top khana mod patiala,2824
2020-07-19,ludhiana,"ashok nagar, salem tabri 95",3030
2020-07-19,jalandhar,fatehpur,325
2020-07-19,jalandhar,makhdoompura,572
2020-07-19,jalandhar,bhoor mandi,280
2020-07-19,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-19,sbs nagar,"jain street, rahon",108
2020-07-19,ferozepur,talwandi bhai,11305
2020-07-19,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-18,patiala,top khana mod patiala,2824
2020-07-18,ludhiana,"ashok nagar, salem tabri 95",3030
2020-07-18,jalandhar,fatehpur,325
2020-07-18,jalandhar,makhdoompura,572
2020-07-18,jalandhar,bhoor mandi,280
2020-07-18,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
2020-07-18,sbs nagar,"jain street, rahon",108
2020-07-18,ferozepur,talwandi bhai,11305
2020-07-18,hoshiarpur,bsf camp kharkan block harta badla,1755
2020-07-17,patiala,top khana mod patiala,2824
2020-07-17,ludhiana,"ashok nagar, salem tabri 95",3030
2020-07-17,jalandhar,fatehpur,325
2020-07-17,jalandhar,makhdoompura,572
2020-07-17,gurdaspur,"dera baba nanak, ward no6.9.10.11",2607
