date,district,cases_new,cases_total,discharged_new,discharged_total,active_cases_total,deaths_new,deaths_total,non_covid_deaths
2020-07-23,bagalakote,106,984,0,318,630,0,36,0
2020-07-23,ballari,164,3153,36,1407,1679,5,67,0
2020-07-23,belagavi,214,1529,0,426,1069,4,34,0
2020-07-23,bengaluru rural,161,1240,0,247,986,0,7,0
2020-07-23,bengaluru urban,2207,39200,1038,9326,29090,48,783,1
2020-07-23,bidar,94,1640,0,1021,548,3,69,2
2020-07-23,chamarajanagara,27,422,22,232,185,0,5,0
2020-07-23,chikkaballapura,65,1156,49,441,691,3,23,1
2020-07-23,chikkamagaluru,62,548,53,272,262,2,14,0
2020-07-23,chitradurga,10,319,0,121,195,0,3,0
2020-07-23,dakshina kannada,218,4209,301,1532,2592,7,83,2
2020-07-23,davanagere,107,1178,26,667,481,0,30,0
2020-07-23,dharwada,183,2668,76,921,1667,2,80,0
2020-07-23,gadag,72,774,3,289,468,2,17,0
2020-07-23,hassan,108,1239,24,633,571,2,35,0
2020-07-23,haveri,18,601,34,326,255,1,20,0
2020-07-23,kalaburagi,229,3370,14,1895,1426,0,49,0
2020-07-23,kodagu,22,310,0,210,95,0,5,0
2020-07-23,kolara,40,758,50,244,495,0,19,0
2020-07-23,koppala,17,596,29,347,238,0,11,0
2020-07-23,others*,0,36,0,32,1,0,3,0
2020-07-23,raichuru,258,1396,27,719,660,2,17,0
2020-07-23,ramanagara,26,587,0,195,382,1,10,0
2020-07-23,shivamogga,82,1013,23,424,574,2,15,0
2020-07-23,tumakuru,56,853,17,297,526,2,30,0
2020-07-23,udupi,160,2846,65,1830,1005,0,11,0
2020-07-23,uttara kannada,83,1418,84,698,707,0,13,0
2020-07-23,vijayapura,20,1830,57,1302,504,1,24,0
2020-07-23,yadagiri,55,1811,0,1507,303,0,1,0
2020-07-24,bagalakote,184,1168,0,318,814,0,36,0
2020-07-24,ballari,136,3289,53,1460,1760,2,69,0
2020-07-24,belagavi,116,1645,0,426,1184,1,35,0
2020-07-24,bengaluru rural,26,1266,0,247,1010,2,9,0
2020-07-24,bengaluru urban,2267,41467,746,10072,30561,50,833,1
2020-07-24,bidar,87,1727,150,1171,485,0,67,4
2020-07-24,chamarajanagara,33,455,0,232,217,1,6,0
2020-07-24,chikkaballapura,92,1248,78,519,702,3,26,1
2020-07-24,chikkamagaluru,28,576,42,314,245,3,17,0
2020-07-24,chitradurga,13,332,10,131,195,3,6,0
2020-07-24,dakshina kannada,180,4389,239,1771,2527,6,89,2
2020-07-24,davanagere,77,1255,84,751,472,2,32,0
2020-07-24,dharwada,174,2842,52,973,1784,5,85,0
2020-07-24,gadag,108,882,11,300,563,2,19,0
2020-07-24,hassana,118,1357,66,699,621,2,37,0
2020-07-24,haveri,59,660,62,388,251,1,21,0
2020-07-24,kalaburagi,159,3529,26,1921,1554,5,54,0
2020-07-24,kodagu,3,313,26,236,72,0,5,0
2020-07-24,kolara,36,794,36,280,494,1,20,0
2020-07-24,koppala,39,635,32,379,243,2,13,0
2020-07-24,mysuru,281,2450,18,749,1602,6,99,0
