date,unit_name,ppe,n95_masks,reusable_masks,disposable_masks,gloves,sanitizer
2021-06-24,alipurduar,17800,26250,13400,100900,89475,5092.0
2021-06-24,bankura,46717,57116,31400,66550,157900,9061.0
2021-06-24,birbhum,36150,28300,32400,96050,49700,6910.0
2021-06-24,bishnupur hd,15350,38449,55602,32468,166536,4000.0
2021-06-24,coochbehar,33600,29450,29200,136375,89109,6449.0
2021-06-24,dakshin dinajpur,20400,19650,21500,121600,108700,5280.0
2021-06-24,darjeeling,90411,95347,22900,344239,254975,3656.0
2021-06-24,diamond harbour hd,52726,56013,33267,185720,192465,9750.0
2021-06-24,hooghly,82150,69983,59497,395100,46782,18211.0
2021-06-24,howrah,125265,91432,66580,410165,27842,11339.0
2021-06-24,jalpaiguri,34800,41754,45550,151038,280550,8318.0
2021-06-24,jhargram,19715,16520,24890,69100,132000,5468.0
2021-06-24,kalimpong,21150,23245,19800,131992,162649,4884.0
2021-06-24,malda,26100,23200,26000,87100,97700,7151.0
2021-06-24,murshidabad,36594,62202,56900,789737,115350,5867.0
2021-06-24,nadia,72470,55389,37100,149050,184300,11481.0
2021-06-24,north 24 parganas,112000,102594,44140,936465,300000,11675.0
2021-06-24,basirhat hd,44320,59020,35636,174000,261150,7094.0
2021-06-24,paschim bardhaman,37850,35100,17780,121000,121900,2257.0
2021-06-24,paschim medinipur,42226,61566,49858,268357,172335,7885.0
2021-06-24,purba bardhaman,65800,60100,27100,136550,158800,11064.0
2021-06-24,purba medinipur,54550,52030,33220,424050,74532,20481.0
2021-06-24,nandigram hd,18750,38026,30640,121050,101000,8244.0
2021-06-24,purulia,50450,36245,52700,148550,121700,7421.0
2021-06-24,rampurhat hd,24150,29000,30300,62050,76650,5637.0
2021-06-24,south 24 parganas,57450,41498,88488,332050,141395,7084.0
2021-06-24,uttar dinajpur,35750,43550,68314,201900,318500,9246.0
2021-06-24,bankura s mc&h,21415,55773,10200,199384,294296,7428.0
2021-06-24,coochbehar mc&h,13800,14900,14600,58700,271000,3442.0
2021-06-24,nb mc&h,40350,103500,20000,224200,246500,8390.0
2021-06-24,diamond harbour mc&h,14089,32255,10100,147750,183050,5503.0
2021-06-24,malda mc&h,18800,86900,13100,188500,258500,7708.0
2021-06-24,murshidabad mc&h,31848,96364,16601,180950,72600,8390.0
2021-06-24,bardhaman mc&h,23900,35377,17500,121281,332000,6329.0
2021-06-24,medinipur mc&h,56400,89015,38595,63350,212595,5345.0
2021-06-24,purulia mc&h,13300,24108,51600,49300,166548,12715.0
2021-06-24,rampurhat mc&h,21400,40232,17600,40000,88500,10048.0
2021-06-24,raiganj mc&h,14100,13059,13100,56500,87000,2246.0
2021-06-24,jnm mc&h,93600,147600,24000,187000,290500,4000.0
2021-06-24,sagar dutta mc&h,93600,147600,17600,187000,290500,4000.0
2021-06-24,id & bg hospital,57000,81500,29000,101100,149000,4950.0
2021-06-24,rg kar mch,40850,76822,15800,301050,80728,8664.0
2021-06-24,nrs mch,69922,123519,32729,215550,293700,7276.0
2021-06-24,ipgmer & sskmh,98900,133800,68500,47049,499500,18167.0
2021-06-24,"medical college, kolkata",187142,192649,22577,53528,43500,10732.0
2021-06-24,cnmch,52350,55500,23150,133500,269700,3672.0
2021-06-24,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209.0
2021-06-24,stock in hand-in transit,268865,2075034,514313,1585270,1589820,86569.0
2021-06-24,,3120262,5815040,2447359,11650208,11453210,560789.0
2021-06-23,alipurduar,17800,26250,13400,100900,89475,5092.0
