date,district,cases_total,cases_new,discharged_total,discharged_new,deaths_total,deaths_new,active_cases_new,active_cases_total,last_reported_case
2020-06-10,birbhum,235,2,179,4,1,0,-2,55,2021-06-09
2020-06-10,coochbehar,217,1,67,0,0,0,1,150,2021-06-09
2020-06-10,dakshin dinajpur,44,0,35,2,0,0,-2,9,2021-06-06
2020-06-10,darjeeling,128,10,40,0,3,0,10,85,2021-06-09
2020-06-10,hooghly,649,30,201,10,12,0,20,436,2021-06-09
2020-06-10,howrah,1524,29,543,9,55,2,18,926,2021-06-09
2020-06-10,jalpaiguri,101,1,14,2,0,0,-1,87,2021-06-09
2020-06-10,jhargram,11,0,6,0,0,0,0,5,2021-06-06
2020-06-10,kalimpong,23,1,7,0,1,0,1,15,2021-06-09
2020-06-10,kolkata,3128,110,1221,16,275,10,84,1632,2021-06-09
2020-06-10,malda,235,2,121,8,0,0,-6,114,2021-06-09
2020-06-10,murshidabad,149,4,103,2,3,1,1,43,2021-06-09
2020-06-10,nadia,149,15,74,6,2,0,9,73,2021-06-09
2020-06-10,north 24 parganas,1258,72,431,20,63,4,48,764,2021-06-09
2020-06-10,other state,66,0,41,23,3,0,-23,22,2021-06-06
2020-06-10,paschim bardhaman,90,6,44,4,2,0,2,44,2021-06-09
2020-06-10,paschim medinipur,209,19,62,1,1,0,18,146,2021-06-09
2020-06-10,purba bardhaman,127,2,103,6,0,0,-4,24,2021-06-09
2020-06-10,purba medinipur,171,10,80,3,2,0,7,89,2021-06-09
2020-06-10,purulia,83,0,42,0,0,0,0,41,2021-06-08
2020-06-10,south 24 parganas,331,14,118,1,9,0,13,204,2021-06-09
2020-06-10,total,9328,343,3779,159,432,17,167,5117,
2020-06-10,uttar dinajpur,209,2,197,41,0,0,-39,12,2021-06-09
2020-06-11,alipurduar,39,1,7,0,0,0,1,32,2021-06-10
2020-06-11,bankura,171,18,43,0,0,0,18,128,2021-06-10
2020-06-11,birbhum,239,4,185,6,1,0,-2,53,2021-06-10
2020-06-11,coochbehar,219,2,69,2,0,0,0,150,2021-06-10
2020-06-11,dakshin dinajpur,47,3,35,0,0,0,3,12,2021-06-10
2020-06-11,darjeeling,169,41,46,6,3,0,35,120,2021-06-10
2020-06-11,hooghly,666,17,201,0,12,0,17,453,2021-06-10
2020-06-11,howrah,1568,44,551,8,57,2,34,960,2021-06-10
2020-06-11,jalpaiguri,135,34,23,9,0,0,25,112,2021-06-10
2020-06-11,jhargram,11,0,11,5,0,0,-5,0,2021-06-06
2020-06-11,kalimpong,35,12,9,2,1,0,10,25,2021-06-10
2020-06-11,kolkata,3245,117,1303,82,279,4,31,1663,2021-06-10
2020-06-11,malda,243,8,144,23,0,0,-15,99,2021-06-10
2020-06-11,murshidabad,155,6,103,0,3,0,6,49,2021-06-10
2020-06-11,nadia,162,13,75,1,2,0,12,85,2021-06-10
2020-06-11,north 24 parganas,1325,67,457,26,65,2,39,803,2021-06-10
2020-06-11,other state,66,0,43,2,3,0,-2,20,2021-06-06
2020-06-11,paschim bardhaman,99,9,44,0,2,0,9,53,2021-06-10
2020-06-11,paschim medinipur,215,6,62,0,1,0,6,152,2021-06-10
2020-06-11,purba bardhaman,127,0,105,2,0,0,-2,22,2021-06-09
2020-06-11,purba medinipur,178,7,81,1,2,0,6,95,2021-06-10
2020-06-11,purulia,83,0,63,21,0,0,-21,20,2021-06-08
2020-06-11,south 24 parganas,357,26,131,13,11,2,11,215,2021-06-10
2020-06-11,total,9768,440,3988,209,442,10,221,5338,
2020-06-11,uttar dinajpur,214,5,197,0,0,0,5,17,2021-06-10
2020-06-12,alipurduar,41,2,27,20,0,0,-18,14,2021-06-11
2020-06-12,bankura,176,5,43,0,0,0,5,133,2021-06-11
2020-06-12,birbhum,242,3,202,17,1,0,-14,39,2021-06-11
2020-06-12,coochbehar,246,27,70,1,0,0,26,176,2021-06-11
2020-06-12,dakshin dinajpur,64,17,35,0,0,0,17,29,2021-06-11
2020-06-12,darjeeling,184,15,68,22,3,0,-7,113,2021-06-11
2020-06-12,hooghly,682,16,210,9,14,2,5,458,2021-06-11
2020-06-12,howrah,1620,52,561,10,58,1,41,1001,2021-06-11
2020-06-12,jalpaiguri,165,30,44,21,0,0,9,121,2021-06-11
2020-06-12,jhargram,11,0,11,0,0,0,0,0,2021-06-06
2020-06-12,kalimpong,39,4,15,6,1,0,-2,23,2021-06-11
2020-06-12,kolkata,3356,111,1323,20,283,4,87,1750,2021-06-11
2020-06-12,malda,253,10,173,29,0,0,-19,80,2021-06-11
2020-06-12,murshidabad,156,1,106,3,3,0,-2,47,2021-06-11
2020-06-12,nadia,176,14,77,2,3,1,11,96,2021-06-11
2020-06-12,north 24 parganas,1424,99,472,15,65,0,84,887,2021-06-11
2020-06-12,other state,66,0,43,0,3,0,0,20,2021-06-06
2020-06-12,paschim bardhaman,102,3,56,12,2,0,-9,44,2021-06-11
2020-06-12,paschim medinipur,245,30,62,0,1,0,30,182,2021-06-11
2020-06-12,purba bardhaman,129,2,105,0,0,0,2,24,2021-06-11
2020-06-12,purba medinipur,186,8,88,7,2,0,1,96,2021-06-11
2020-06-12,purulia,84,1,83,20,0,0,-19,1,2021-06-11
2020-06-12,south 24 parganas,383,26,134,3,12,1,22,237,2021-06-11
2020-06-12,total,10244,476,4206,218,451,9,249,5587,
2020-06-12,uttar dinajpur,214,0,198,1,0,0,-1,16,2021-06-10
2020-06-13,alipurduar,44,3,27,0,0,0,3,17,2021-06-12
2020-06-13,bankura,179,3,87,44,0,0,-41,92,2021-06-12
2020-06-13,birbhum,243,1,202,0,1,0,1,40,2021-06-12
2020-06-13,coochbehar,258,12,70,0,0,0,12,188,2021-06-12
2020-06-13,dakshin dinajpur,65,1,35,0,0,0,1,30,2021-06-12
2020-06-13,darjeeling,188,4,68,0,3,0,4,117,2021-06-12
2020-06-13,hooghly,686,4,333,123,14,0,-119,339,2021-06-12
2020-06-13,howrah,1682,62,594,33,60,2,27,1028,2021-06-12
2020-06-13,jalpaiguri,190,25,60,16,0,0,9,130,2021-06-12
2020-06-13,jhargram,11,0,11,0,0,0,0,0,2021-06-06
2020-06-13,kalimpong,40,1,15,0,1,0,1,24,2021-06-12
2020-06-13,kolkata,3514,158,1381,58,287,4,96,1846,2021-06-12
2020-06-13,malda,255,2,177,4,0,0,-2,78,2021-06-12
2020-06-13,murshidabad,162,6,109,3,3,0,3,50,2021-06-12
2020-06-13,nadia,186,10,82,5,3,0,5,101,2021-06-12
2020-06-13,north 24 parganas,1493,69,505,33,70,5,31,918,2021-06-12
2020-06-13,other state,66,0,44,1,3,0,-1,19,2021-06-06
2020-06-13,paschim bardhaman,102,0,57,1,2,0,-1,43,2021-06-11
2020-06-13,paschim medinipur,294,49,64,2,1,0,47,229,2021-06-12
2020-06-13,purba bardhaman,131,2,108,3,0,0,-1,23,2021-06-12
2020-06-13,purba medinipur,199,13,88,0,2,0,13,109,2021-06-12
2020-06-13,purulia,84,0,83,0,0,0,0,1,2021-06-11
2020-06-13,south 24 parganas,411,28,144,10,13,1,17,254,2021-06-12
2020-06-13,total,10698,454,4542,336,463,12,106,5693,
2020-06-13,uttar dinajpur,215,1,198,0,0,0,1,17,2021-06-12
2020-06-14,alipurduar,45,1,31,4,0,0,-3,14,2021-06-13
2020-06-14,bankura,179,0,87,0,0,0,0,92,2021-06-12
2020-06-14,birbhum,252,9,215,13,1,0,-4,36,2021-06-13
2020-06-14,coochbehar,259,1,211,141,0,0,-140,48,2021-06-13
2020-06-14,dakshin dinajpur,65,0,35,0,0,0,0,30,2021-06-12
2020-06-14,darjeeling,197,9,80,12,4,1,-4,113,2021-06-13
2020-06-14,hooghly,692,6,335,2,14,0,4,343,2021-06-13
2020-06-14,howrah,1722,40,595,1,61,1,38,1066,2021-06-13
2020-06-14,jalpaiguri,217,27,60,0,0,0,27,157,2021-06-13
2020-06-14,jhargram,11,0,11,0,0,0,0,0,2021-06-06
2020-06-14,kalimpong,45,5,16,1,1,0,4,28,2021-06-13
2020-06-14,kolkata,3672,158,1412,31,293,6,121,1967,2021-06-13
2020-06-14,malda,265,10,192,15,0,0,-5,73,2021-06-13
2020-06-14,murshidabad,166,4,109,0,3,0,4,54,2021-06-13
2020-06-14,nadia,194,8,82,0,4,1,7,108,2021-06-13
2020-06-14,north 24 parganas,1563,70,787,282,71,1,-213,705,2021-06-13
2020-06-14,other state,66,0,44,0,3,0,0,19,2021-06-06
2020-06-14,paschim bardhaman,106,4,57,0,2,0,4,47,2021-06-13
2020-06-14,paschim medinipur,295,1,70,6,2,1,-6,223,2021-06-13
2020-06-14,purba bardhaman,132,1,108,0,0,0,1,24,2021-06-13
2020-06-14,purba medinipur,211,12,95,7,2,0,5,114,2021-06-13
2020-06-14,purulia,84,0,84,1,0,0,-1,0,2021-06-11
2020-06-14,south 24 parganas,430,19,146,2,14,1,16,270,2021-06-13
2020-06-14,total,11087,389,5060,518,475,12,-141,5552,
2020-06-14,uttar dinajpur,219,4,198,0,0,0,4,21,2021-06-13
2020-06-15,alipurduar,74,29,31,0,0,0,29,43,2021-06-14
2020-06-15,bankura,180,1,88,1,0,0,0,92,2021-06-14
2020-06-15,birbhum,254,2,218,3,1,0,-1,35,2021-06-14
2020-06-15,coochbehar,264,5,211,0,0,0,5,53,2021-06-14
2020-06-15,dakshin dinajpur,79,14,35,0,0,0,14,44,2021-06-14
2020-06-15,darjeeling,219,22,93,13,4,0,9,122,2021-06-14
2020-06-15,hooghly,695,3,434,99,14,0,-96,247,2021-06-14
2020-06-15,howrah,1758,36,780,185,63,2,-151,915,2021-06-14
2020-06-15,jalpaiguri,234,17,77,17,0,0,0,157,2021-06-14
2020-06-15,jhargram,19,8,11,0,0,0,8,8,2021-06-14
2020-06-15,kalimpong,45,0,16,0,1,0,0,28,2021-06-13
2020-06-15,kolkata,3776,104,1486,74,297,4,26,1993,2021-06-14
2020-06-15,malda,321,56,192,0,0,0,56,129,2021-06-14
2020-06-15,murshidabad,174,8,114,5,3,0,3,57,2021-06-14
2020-06-15,nadia,200,6,90,8,4,0,-2,106,2021-06-14
2020-06-15,north 24 parganas,1619,56,802,15,74,3,38,743,2021-06-14
2020-06-15,other state,66,0,44,0,3,0,0,19,2021-06-06
2020-06-15,paschim bardhaman,110,4,60,3,2,0,1,48,2021-06-14
2020-06-15,paschim medinipur,300,5,71,1,2,0,4,227,2021-06-14
2020-06-15,purba bardhaman,139,7,109,1,0,0,6,30,2021-06-14
2020-06-15,purba medinipur,213,2,96,1,2,0,1,115,2021-06-14
2020-06-15,purulia,85,1,84,0,0,0,1,1,2021-06-14
2020-06-15,south 24 parganas,443,13,152,6,15,1,6,276,2021-06-14
2020-06-15,total,11494,407,5494,434,485,10,-37,5515,
2020-06-15,uttar dinajpur,227,8,200,2,0,0,6,27,2021-06-14
2020-06-16,alipurduar,74,0,33,2,0,0,-2,41,2021-06-14
2020-06-16,bankura,182,2,88,0,0,0,2,94,2021-06-15
2020-06-16,birbhum,267,13,218,0,1,0,13,48,2021-06-15
2020-06-16,coochbehar,282,18,212,1,0,0,17,70,2021-06-15
2020-06-16,dakshin dinajpur,81,2,35,0,0,0,2,46,2021-06-15
2020-06-16,darjeeling,220,1,106,13,4,0,-12,110,2021-06-15
2020-06-16,hooghly,710,15,444,10,14,0,5,252,2021-06-15
2020-06-16,howrah,1798,40,986,206,65,2,-168,747,2021-06-15
2020-06-16,jalpaiguri,239,5,92,15,0,0,-10,147,2021-06-15
2020-06-16,jhargram,19,0,11,0,0,0,0,8,2021-06-14
2020-06-16,kalimpong,46,1,24,8,1,0,-7,21,2021-06-15
2020-06-16,kolkata,3946,170,1548,62,301,4,104,2097,2021-06-15
2020-06-16,malda,331,10,192,0,0,0,10,139,2021-06-15
2020-06-16,murshidabad,176,2,115,1,3,0,1,58,2021-06-15
2020-06-16,nadia,208,8,104,14,4,0,-6,100,2021-06-15
2020-06-16,north 24 parganas,1689,70,874,72,77,3,-5,738,2021-06-15
2020-06-16,other state,66,0,44,0,3,0,0,19,2021-06-06
2020-06-16,paschim bardhaman,110,0,61,1,2,0,-1,47,2021-06-14
2020-06-16,paschim medinipur,309,9,174,103,2,0,-94,133,2021-06-15
2020-06-16,purba bardhaman,140,1,109,0,0,0,1,31,2021-06-15
2020-06-16,purba medinipur,228,15,99,3,2,0,12,127,2021-06-15
2020-06-16,purulia,86,1,84,0,0,0,1,2,2021-06-15
2020-06-16,south 24 parganas,474,31,174,22,16,1,8,284,2021-06-15
2020-06-16,total,11909,415,6028,534,495,10,-129,5386,
2020-06-16,uttar dinajpur,228,1,201,1,0,0,0,27,2021-06-15
2020-06-17,alipurduar,102,28,33,0,0,0,28,69,2021-06-16
2020-06-17,bankura,183,1,120,32,0,0,-31,63,2021-06-16
2020-06-17,birbhum,272,5,219,1,1,0,4,52,2021-06-16
2020-06-17,coochbehar,283,1,212,0,0,0,1,71,2021-06-16
2020-06-17,dakshin dinajpur,81,0,35,0,0,0,0,46,2021-06-15
2020-06-17,darjeeling,222,2,108,2,4,0,0,110,2021-06-16
2020-06-17,hooghly,731,21,444,0,15,1,20,272,2021-06-16
2020-06-17,howrah,1870,72,1249,263,66,1,-192,555,2021-06-16
2020-06-17,jalpaiguri,255,16,114,22,0,0,-6,141,2021-06-16
2020-06-17,jhargram,19,0,11,0,0,0,0,8,2021-06-14
2020-06-17,kalimpong,46,0,24,0,1,0,0,21,2021-06-15
2020-06-17,kolkata,4089,143,1598,50,308,7,86,2183,2021-06-16
2020-06-17,malda,338,7,199,7,0,0,0,139,2021-06-16
2020-06-17,murshidabad,179,3,122,7,3,0,-4,54,2021-06-16
2020-06-17,nadia,216,8,115,11,5,1,-4,96,2021-06-16
2020-06-17,north 24 parganas,1735,46,922,48,77,0,-2,736,2021-06-16
2020-06-17,other state,66,0,45,1,3,0,-1,18,2021-06-06
2020-06-17,paschim bardhaman,115,5,64,3,2,0,2,49,2021-06-16
2020-06-17,paschim medinipur,316,7,200,26,2,0,-19,114,2021-06-16
2020-06-17,purba bardhaman,141,1,111,2,0,0,-1,30,2021-06-16
2020-06-17,purba medinipur,230,2,117,18,3,1,-17,110,2021-06-16
2020-06-17,purulia,86,0,84,0,0,0,0,2,2021-06-15
2020-06-17,south 24 parganas,497,23,183,9,16,0,14,298,2021-06-16
2020-06-17,total,12300,391,6533,505,506,11,-125,5261,
2020-06-17,uttar dinajpur,228,0,204,3,0,0,-3,24,2021-06-15
2020-06-18,alipurduar,102,0,33,0,0,0,0,69,2021-06-16
2020-06-18,bankura,183,0,120,0,0,0,0,63,2021-06-16
2020-06-18,birbhum,277,5,221,2,1,0,3,55,2021-06-17
2020-06-18,coochbehar,285,2,212,0,0,0,2,73,2021-06-17
2020-06-18,dakshin dinajpur,81,0,50,15,0,0,-15,31,2021-06-15
2020-06-18,darjeeling,240,18,134,26,4,0,-8,102,2021-06-17
2020-06-18,hooghly,742,11,446,2,16,1,8,280,2021-06-17
2020-06-18,howrah,1927,57,1387,138,68,2,-83,472,2021-06-17
2020-06-18,jalpaiguri,268,13,115,1,0,0,12,153,2021-06-17
2020-06-18,jhargram,19,0,11,0,0,0,0,8,2021-06-14
2020-06-18,kalimpong,46,0,26,2,1,0,-2,19,2021-06-15
2020-06-18,kolkata,4269,180,1780,182,316,8,-10,2173,2021-06-17
2020-06-18,malda,355,17,202,3,0,0,14,153,2021-06-17
2020-06-18,murshidabad,181,2,136,14,3,0,-12,42,2021-06-17
2020-06-18,nadia,233,17,117,2,5,0,15,111,2021-06-17
2020-06-18,north 24 parganas,1796,61,971,49,77,0,12,748,2021-06-17
2020-06-18,other state,66,0,45,0,3,0,0,18,2021-06-06
2020-06-18,paschim bardhaman,118,3,72,8,2,0,-5,44,2021-06-17
2020-06-18,paschim medinipur,321,5,211,11,2,0,-6,108,2021-06-17
2020-06-18,purba bardhaman,144,3,112,1,0,0,2,32,2021-06-17
2020-06-18,purba medinipur,241,11,118,1,3,0,10,120,2021-06-17
2020-06-18,purulia,87,1,84,0,0,0,1,3,2021-06-17
2020-06-18,south 24 parganas,526,29,194,11,17,1,17,315,2021-06-17
2020-06-18,total,12735,435,7001,468,518,12,-45,5216,
2020-06-18,uttar dinajpur,228,0,204,0,0,0,0,24,2021-06-15
2020-06-19,alipurduar,102,0,36,3,0,0,-3,66,2021-06-16
2020-06-19,bankura,190,7,138,18,0,0,-11,52,2021-06-18
2020-06-19,birbhum,280,3,222,1,1,0,2,57,2021-06-18
2020-06-19,coochbehar,288,3,232,20,0,0,-17,56,2021-06-18
2020-06-19,dakshin dinajpur,85,4,57,7,0,0,-3,28,2021-06-18
2020-06-19,darjeeling,248,8,137,3,4,0,5,107,2021-06-18
2020-06-19,hooghly,753,11,476,30,16,0,-19,261,2021-06-18
2020-06-19,howrah,1984,57,1399,12,70,2,43,515,2021-06-18
2020-06-19,jalpaiguri,272,4,137,22,0,0,-18,135,2021-06-18
2020-06-19,jhargram,19,0,11,0,0,0,0,8,2021-06-14
2020-06-19,kalimpong,48,2,32,6,1,0,-4,15,2021-06-18
2020-06-19,kolkata,4400,131,1866,86,322,6,39,2212,2021-06-18
2020-06-19,malda,368,13,202,0,0,0,13,166,2021-06-18
2020-06-19,murshidabad,183,2,139,3,3,0,-1,41,2021-06-18
2020-06-19,nadia,245,12,120,3,5,0,9,120,2021-06-18
2020-06-19,north 24 parganas,1848,52,1012,41,78,1,10,758,2021-06-18
2020-06-19,other state,66,0,45,0,3,0,0,18,2021-06-06
2020-06-19,paschim bardhaman,118,0,75,3,2,0,-3,41,2021-06-17
2020-06-19,paschim medinipur,327,6,224,13,2,0,-7,101,2021-06-18
2020-06-19,purba bardhaman,148,4,112,0,0,0,4,36,2021-06-18
2020-06-19,purba medinipur,244,3,122,4,3,0,-1,119,2021-06-18
2020-06-19,purulia,87,0,84,0,0,0,0,3,2021-06-17
2020-06-19,south 24 parganas,558,32,221,27,19,2,3,318,2021-06-18
2020-06-19,total,13090,355,7303,302,529,11,42,5258,
2020-06-19,uttar dinajpur,229,1,204,0,0,0,1,25,2021-06-18
2020-06-20,alipurduar,149,47,39,3,0,0,44,110,2021-06-19
2020-06-20,bankura,194,4,139,1,0,0,3,55,2021-06-19
2020-06-20,birbhum,280,0,229,7,2,1,-8,49,2021-06-18
2020-06-20,coochbehar,288,0,253,21,0,0,-21,35,2021-06-18
2020-06-20,dakshin dinajpur,87,2,69,12,0,0,-10,18,2021-06-19
2020-06-20,darjeeling,268,20,144,7,5,1,12,119,2021-06-19
2020-06-20,hooghly,768,15,496,20,17,1,-6,255,2021-06-19
2020-06-20,howrah,2040,56,1405,6,72,2,48,563,2021-06-19
2020-06-20,jalpaiguri,285,13,139,2,0,0,11,146,2021-06-19
2020-06-20,jhargram,19,0,18,7,0,0,-7,1,2021-06-14
2020-06-20,kalimpong,50,2,36,4,1,0,-2,13,2021-06-19
2020-06-20,kolkata,4527,127,2166,300,323,1,-174,2038,2021-06-19
2020-06-20,malda,385,17,216,14,0,0,3,169,2021-06-19
2020-06-20,murshidabad,185,2,146,7,3,0,-5,36,2021-06-19
2020-06-20,nadia,261,16,126,6,5,0,10,130,2021-06-19
2020-06-20,north 24 parganas,1904,56,1084,72,80,2,-18,740,2021-06-19
2020-06-20,other state,66,0,45,0,3,0,0,18,2021-06-06
2020-06-20,paschim bardhaman,120,2,75,0,2,0,2,43,2021-06-19
2020-06-20,paschim medinipur,329,2,269,45,3,1,-44,57,2021-06-19
2020-06-20,purba bardhaman,149,1,112,0,0,0,1,37,2021-06-19
2020-06-20,purba medinipur,244,0,123,1,3,0,-1,118,2021-06-18
2020-06-20,purulia,87,0,84,0,0,0,0,3,2021-06-17
2020-06-20,south 24 parganas,614,56,244,23,21,2,31,349,2021-06-19
2020-06-20,total,13531,441,7865,562,540,11,-132,5126,
2020-06-20,uttar dinajpur,232,3,208,4,0,0,-1,24,2021-06-19
2020-06-21,alipurduar,173,24,42,3,0,0,21,131,2021-06-20
2020-06-21,bankura,197,3,139,0,0,0,3,58,2021-06-20
2020-06-21,birbhum,280,0,230,1,2,0,-1,48,2021-06-18
2020-06-21,coochbehar,288,0,264,11,0,0,-11,24,2021-06-18
2020-06-21,dakshin dinajpur,107,20,70,1,0,0,19,37,2021-06-20
2020-06-21,darjeeling,296,28,144,0,5,0,28,147,2021-06-20
2020-06-21,hooghly,785,17,500,4,18,1,12,267,2021-06-20
2020-06-21,howrah,2085,45,1493,88,75,3,-46,517,2021-06-20
2020-06-21,jalpaiguri,300,15,152,13,0,0,2,148,2021-06-20
2020-06-21,jhargram,19,0,18,0,0,0,0,1,2021-06-14
2020-06-21,kalimpong,52,2,36,0,1,0,2,15,2021-06-20
2020-06-21,kolkata,4653,126,2367,201,329,6,-81,1957,2021-06-20
2020-06-21,malda,389,4,220,4,0,0,0,169,2021-06-20
2020-06-21,murshidabad,192,7,147,1,3,0,6,42,2021-06-20
2020-06-21,nadia,266,5,131,5,5,0,0,130,2021-06-20
2020-06-21,north 24 parganas,1992,88,1144,60,84,4,24,764,2021-06-20
2020-06-21,other state,66,0,45,0,3,0,0,18,2021-06-06
2020-06-21,paschim bardhaman,120,0,75,0,3,1,-1,42,2021-06-19
2020-06-21,paschim medinipur,332,3,271,2,3,0,1,58,2021-06-20
2020-06-21,purba bardhaman,149,0,129,17,0,0,-17,20,2021-06-19
2020-06-21,purba medinipur,251,7,130,7,3,0,0,118,2021-06-20
2020-06-21,purulia,87,0,84,0,0,0,0,3,2021-06-17
2020-06-21,south 24 parganas,631,17,258,14,21,0,3,352,2021-06-20
2020-06-21,total,13945,414,8297,432,555,15,-33,5093,
2020-06-21,uttar dinajpur,235,3,208,0,0,0,3,27,2021-06-20
2020-06-22,alipurduar,176,3,66,24,0,0,-21,110,2021-06-21
2020-06-22,bankura,201,4,145,6,0,0,-2,56,2021-06-21
2020-06-22,birbhum,281,1,244,14,2,0,-13,35,2021-06-21
2020-06-22,coochbehar,288,0,264,0,0,0,0,24,2021-06-18
2020-06-22,dakshin dinajpur,126,19,70,0,0,0,19,56,2021-06-21
2020-06-22,darjeeling,329,33,165,21,5,0,12,159,2021-06-21
