date,total_vax_today,first_dose_today,second_dose_today,cumulative_vax,cumulative_vax_first_dose,cumulative_vax_sec_dose,cvc_count,aefi_cases,vax_wastage
2021-06-10,221185.0,209439.0,11746,16931094.0,12981780.0,3949314.0,,,
2021-06-11,192983.0,183690.0,9293,17124077.0,13165470.0,3958607.0,,,
2021-06-12,236621.0,215284.0,21337,17360698.0,13380754.0,3979944.0,,,
2021-06-13,214034.0,192863.0,21171,17574732.0,13573617.0,4001115.0,,,
2021-06-14,53910.0,50805.0,3105,17628642.0,13624422.0,4004220.0,,,
2021-06-15,199133.0,150123.0,49010,17827775.0,13774545.0,4053230.0,,,
2021-06-16,245411.0,206164.0,39247,18073186.0,13980709.0,4092477.0,,,
2021-06-17,119920.0,108640.0,11280,18193106.0,14089349.0,4103757.0,,,
2021-06-18,175843.0,149017.0,26826,18368949.0,14238366.0,4130583.0,,,
2021-06-19,206106.0,165115.0,40991,18575055.0,14403481.0,4171574.0,,,
2021-06-20,278994.0,210061.0,68933,18854049.0,14613542.0,4240507.0,,,
2021-06-21,67680.0,54540.0,13140,18921729.0,14668082.0,4253647.0,,,
2021-06-22,327989.0,249601.0,78388,19249718.0,14917683.0,4332035.0,,,
2021-06-23,301413.0,240147.0,61266,19551131.0,15157830.0,4393301.0,,,
2021-06-24,341440.0,271373.0,70067,19892571.0,15429203.0,4463368.0,,,
2021-06-25,316274.0,250230.0,66044,20208845.0,15679433.0,4529412.0,,1743.0,-6.0
2021-06-26,383795.0,295641.0,88154,20592640.0,15975074.0,4617566.0,,1753.0,-6.0
2021-06-27,295801.0,215242.0,80559,20888441.0,16190316.0,4698125.0,,1823.0,-6.0
2021-06-28,79609.0,57737.0,21872,20968050.0,16248053.0,4719997.0,,1836.0,-6.0
2021-06-29,297896.0,180418.0,117478,21265946.0,16428471.0,4837475.0,,1864.0,-6.0
2021-06-30,281683.0,163766.0,117917,21547629.0,16592237.0,4955392.0,,1870.0,-6.0
2021-07-01,176029.0,101906.0,74123,21723658.0,16694143.0,5029515.0,,1898.0,-6.0
2021-07-02,115622.0,64339.0,51283,21839280.0,16758482.0,5080798.0,,1900.0,-6.0
2021-07-03,308850.0,118060.0,190790,22148130.0,16876542.0,5271588.0,,1926.0,-6.0
2021-07-04,265710.0,113989.0,151721,22413840.0,16990531.0,5423309.0,,1936.0,-6.0
2021-07-05,67783.0,29578.0,38205,22481623.0,17020109.0,5461514.0,,1942.0,-6.0
2021-07-06,298857.0,120147.0,178710,22780480.0,17140256.0,5640224.0,,1951.0,-6.0
2021-07-07,240706.0,94693.0,146013,23021186.0,17234949.0,5786237.0,,1960.0,-6.0
2021-07-08,158380.0,70833.0,87547,23179566.0,17305782.0,5873784.0,,1966.0,-6.0
2021-07-09,244714.0,94647.0,150067,23424280.0,17400429.0,6023851.0,,1991.0,-6.0
2021-07-10,237821.0,82011.0,155810,23662101.0,17482440.0,6179661.0,,2001.0,-6.0
2021-07-11,211283.0,70703.0,140580,23873384.0,17553143.0,6320241.0,,2008.0,-6.0
2021-07-12,88391.0,27665.0,60726,23961775.0,17580808.0,6380967.0,,2010.0,-6.0
2021-07-13,199123.0,64924.0,134199,24160898.0,17645732.0,6515166.0,,2014.0,-6.0
