date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes
2020-07-04,79.0,26,53.0,10600.0,23.82,948,106.0,6908.0,395.0,275630.0,49273.0,275630.0,,338.0
2020-07-05,79.0,26,53.0,10600.0,24.36,948,106.0,6908.0,395.0,287230.0,41349.0,287230.0,,317.0
2020-07-06,79.0,26,53.0,10607.0,25.07,948,106.0,6908.0,395.0,294290.0,41520.0,294290.0,,309.0
2020-07-07,79.0,26,53.0,10607.0,26.56,948,106.0,6908.0,395.0,298810.0,38614.0,298810.0,,311.0
2020-07-08,80.0,26,54.0,10657.0,27.29,948,106.0,6908.0,395.0,304719.0,36824.0,304719.0,,301.0
2020-07-09,80.0,26,54.0,10658.0,27.41,948,106.0,6908.0,395.0,309130.0,34595.0,309130.0,,279.0
2020-07-10,80.0,26,54.0,10830.0,27.02,948,106.0,6908.0,395.0,313719.0,34254.0,313719.0,,257.0
2020-07-11,80.0,26,54.0,10840.0,26.85,948,106.0,6908.0,395.0,319607.0,32460.0,319607.0,,239.0
2020-07-12,80.0,26,54.0,10862.0,27.03,948,106.0,6908.0,395.0,325181.0,30839.0,325181.0,,247.0
2020-07-13,80.0,26,54.0,10862.0,28.48,948,106.0,6908.0,395.0,331395.0,28430.0,331395.0,,277.0
2020-07-14,80.0,26,54.0,10832.0,31.14,948,106.0,6908.0,395.0,335132.0,26201.0,335132.0,,297.0
2020-07-15,80.0,26,54.0,10939.0,31.99,948,106.0,6908.0,395.0,338291.0,24303.0,338291.0,,341.0
2020-07-16,80.0,26,54.0,10992.0,32.85,948,106.0,6908.0,395.0,341139.0,25380.0,341139.0,,349.0
2020-07-17,81.0,27,54.0,11027.0,34.79,948,106.0,6908.0,395.0,342140.0,27410.0,342140.0,,497.0
2020-07-18,81.0,27,54.0,11227.0,34.17,948,106.0,6908.0,395.0,343502.0,29603.0,343502.0,,558.0
2020-07-19,81.0,27,54.0,11179.0,36.76,948,106.0,6908.0,395.0,345621.0,31320.0,345621.0,,608.0
2020-07-20,81.0,27,54.0,11239.0,37.09,948,106.0,6908.0,395.0,347720.0,31329.0,347720.0,,689.0
2020-07-21,81.0,27,54.0,11239.0,37.82,948,106.0,6908.0,395.0,350130.0,32304.0,350130.0,,778.0
2020-07-22,81.0,27,54.0,11239.0,39.55,948,106.0,6908.0,395.0,354139.0,31320.0,354139.0,,838.0
2020-07-23,81.0,27,54.0,11239.0,40.05,948,106.0,6908.0,395.0,356140.0,32140.0,356140.0,,878.0
2020-07-24,81.0,27,54.0,11239.0,40.86,948,106.0,6908.0,395.0,359140.0,31219.0,359140.0,,1078.0
2020-07-25,81.0,27,54.0,11239.0,40.71,948,106.0,6908.0,395.0,362140.0,33184.0,362140.0,,1313.0
2020-07-26,81.0,27,54.0,11239.0,42.32,948,106.0,6908.0,395.0,363721.0,34291.0,363721.0,,1413.0
2020-07-27,83.0,28,55.0,11299.0,42.04,948,106.0,6908.0,395.0,365391.0,34912.0,365391.0,,1403.0
2020-07-28,83.0,28,55.0,11299.0,41.83,948,106.0,6908.0,395.0,368203.0,33628.0,368203.0,,1474.0
2020-07-29,83.0,28,55.0,11299.0,40.11,948,106.0,6908.0,395.0,371291.0,32280.0,371291.0,,1422.0
2020-07-30,83.0,28,55.0,11299.0,40.15,948,106.0,6908.0,395.0,374945.0,31424.0,374945.0,,1474.0
2020-08-01,83.0,28,55.0,11299.0,39.05,948,106.0,6908.0,395.0,379181.0,31229.0,379181.0,,1610.0
2020-08-02,83.0,28,55.0,11552.0,37.88,948,106.0,6908.0,395.0,383458.0,33479.0,383458.0,,1565.0
2020-08-03,83.0,28,55.0,11560.0,39.18,948,106.0,6908.0,395.0,385489.0,32490.0,385489.0,,1711.0
2020-08-06,83.0,28,55.0,11560.0,39.79,948,106.0,6908.0,395.0,391392.0,29340.0,391392.0,,1702.0
2020-08-09,83.0,28,55.0,11560.0,39.08,948,106.0,6908.0,395.0,397139.0,27204.0,397139.0,,1558.0
2020-08-11,83.0,28,55.0,11775.0,37.1,948,109.0,7126.0,715.0,401289.0,27927.0,401289.0,,1608.0
2020-08-12,84.0,29,55.0,11775.0,36.57,948,109.0,7126.0,715.0,402173.0,28838.0,402173.0,,1735.0
2020-08-13,84.0,29,55.0,11775.0,35.8,948,200.0,11507.0,715.0,404788.0,32987.0,404788.0,,1832.0
2020-08-15,84.0,29,55.0,11775.0,36.31,1243,200.0,11507.0,790.0,409384.0,38715.0,409384.0,,1857.0
2020-08-16,84.0,29,55.0,11775.0,36.15,1243,200.0,11507.0,790.0,412385.0,39731.0,412385.0,,1888.0
2020-08-17,84.0,29,55.0,11775.0,36.87,1243,200.0,11507.0,790.0,415294.0,41937.0,415294.0,,1963.0
2020-08-18,84.0,29,55.0,11775.0,36.82,1243,200.0,11507.0,790.0,418439.0,43927.0,418439.0,,1953.0
2020-08-19,85.0,30,55.0,11825.0,38.24,1243,200.0,11507.0,790.0,421739.0,44591.0,421739.0,,1952.0
2020-08-20,86.0,31,55.0,11935.0,36.24,1243,200.0,11507.0,790.0,424390.0,45184.0,424390.0,,1919.0
2020-08-21,86.0,31,55.0,11935.0,35.84,1243,200.0,11507.0,790.0,428628.0,46037.0,428628.0,,1993.0
2020-08-22,87.0,32,55.0,12035.0,36.71,1243,200.0,11507.0,790.0,432017.0,47305.0,432017.0,,1962.0
2020-08-23,87.0,32,55.0,12035.0,36.51,1243,200.0,11507.0,790.0,436185.0,48140.0,436185.0,,1989.0
2020-08-24,87.0,32,55.0,12035.0,35.57,1243,200.0,11507.0,790.0,440938.0,47814.0,440938.0,,1879.0
2020-08-25,87.0,32,55.0,12045.0,35.17,1243,200.0,11507.0,790.0,444152.0,48038.0,444152.0,,1776.0
2020-08-26,87.0,32,55.0,12045.0,35.0,1243,200.0,11507.0,790.0,448028.0,49183.0,448028.0,,1756.0
2020-08-27,87.0,32,55.0,12045.0,34.69,1243,200.0,11507.0,790.0,451773.0,50259.0,451773.0,,1697.0
2020-08-28,87.0,32,55.0,12045.0,33.55,1243,200.0,11507.0,790.0,455294.0,52937.0,455294.0,,1760.0
2020-08-29,87.0,32,55.0,12045.0,33.28,1243,200.0,11507.0,790.0,459294.0,51597.0,459294.0,,1744.0
2020-08-30,87.0,32,55.0,12045.0,32.69,1243,200.0,11507.0,790.0,463901.0,52692.0,463901.0,,1713.0
2020-08-31,87.0,32,55.0,12045.0,32.14,1243,200.0,11507.0,790.0,467017.0,54318.0,467017.0,,1779.0
2020-09-01,87.0,32,55.0,12045.0,33.08,1243,200.0,11507.0,790.0,471365.0,55738.0,471365.0,,1760.0
2020-09-02,87.0,32,55.0,12045.0,32.75,1243,200.0,11507.0,790.0,476813.0,56307.0,476813.0,,1747.0
2020-09-03,90.0,35,55.0,12275.0,32.36,1243,200.0,11507.0,790.0,481283.0,58039.0,481283.0,,1720.0
2020-09-04,90.0,35,55.0,12275.0,32.47,1243,200.0,11507.0,790.0,486937.0,60142.0,486937.0,,1739.0
2020-09-05,91.0,36,55.0,12355.0,33.94,1243,200.0,11507.0,790.0,491374.0,61955.0,491374.0,,1613.0
2020-09-06,91.0,36,55.0,12355.0,33.99,1243,200.0,11507.0,790.0,496284.0,62037.0,496284.0,,1622.0
2020-09-07,91.0,36,55.0,12355.0,33.65,1243,200.0,11507.0,790.0,501382.0,63845.0,501382.0,,1777.0
2020-09-08,92.0,37,55.0,12385.0,33.67,1243,200.0,11507.0,790.0,506526.0,64921.0,506526.0,,1766.0
2020-09-09,92.0,37,55.0,12385.0,32.93,1243,200.0,11507.0,790.0,511392.0,65701.0,511392.0,,1810.0
2020-09-11,92.0,37,55.0,12505.0,32.48,1243,200.0,11507.0,790.0,521732.0,66395.0,521732.0,,1738.0
2020-09-12,92.0,37,55.0,12675.0,32.98,1243,200.0,11507.0,790.0,526937.0,67852.0,526937.0,,1714.0
2020-09-13,92.0,37,55.0,12675.0,32.36,1243,200.0,11507.0,790.0,531258.0,69637.0,531258.0,,1725.0
2020-09-14,92.0,37,55.0,12675.0,32.16,1243,200.0,11507.0,790.0,536613.0,71270.0,536613.0,,1702.0
2020-09-15,92.0,37,55.0,12675.0,32.87,1243,200.0,11507.0,790.0,541628.0,72695.0,541628.0,,1697.0
2020-09-16,92.0,37,55.0,12675.0,33.09,1243,200.0,11507.0,790.0,546735.0,73951.0,546735.0,,1672.0
2020-09-17,92.0,37,55.0,12675.0,33.39,1243,200.0,11507.0,790.0,551731.0,74814.0,551731.0,,1695.0
2020-09-18,92.0,37,55.0,12675.0,33.58,1243,200.0,11507.0,790.0,557136.0,73816.0,557136.0,,1641.0
2020-09-19,92.0,37,55.0,12675.0,33.84,1243,200.0,11507.0,790.0,562921.0,75201.0,562921.0,,1605.0
2020-09-20,92.0,37,55.0,12675.0,33.94,1243,200.0,11507.0,790.0,567203.0,75861.0,567203.0,,1511.0
2020-09-21,92.0,37,55.0,12675.0,33.14,1243,200.0,11507.0,790.0,572813.0,76409.0,572813.0,,1465.0
2020-09-22,92.0,37,55.0,12675.0,33.54,1243,200.0,11507.0,790.0,578639.0,76812.0,578639.0,,1422.0
2020-09-23,92.0,37,55.0,12675.0,33.93,1243,200.0,11507.0,790.0,584195.0,77102.0,584195.0,,1446.0
2020-09-24,92.0,37,55.0,12675.0,34.79,1243,200.0,11507.0,790.0,590514.0,77638.0,590514.0,,1438.0
2020-09-25,92.0,37,55.0,12675.0,35.46,1243,200.0,11507.0,790.0,596381.0,77820.0,596381.0,,1445.0
2020-09-26,92.0,37,55.0,12675.0,35.47,1243,200.0,11507.0,790.0,601927.0,77340.0,601927.0,,1342.0
2020-09-27,92.0,37,55.0,12675.0,36.09,1243,200.0,11507.0,790.0,606728.0,78103.0,606728.0,,1422.0
2020-09-28,92.0,37,55.0,12675.0,35.94,1243,200.0,11507.0,790.0,611937.0,78870.0,611937.0,,1305.0
2020-09-29,92.0,37,55.0,12675.0,35.77,1243,200.0,11507.0,790.0,617403.0,77260.0,617403.0,,1462.0
2020-09-30,92.0,37,55.0,12715.0,35.34,1243,200.0,11507.0,790.0,622936.0,78417.0,622936.0,,1338.0
2020-10-01,92.0,37,55.0,12715.0,35.45,1243,200.0,11507.0,790.0,628307.0,79614.0,628307.0,,1313.0
2020-10-02,92.0,37,55.0,12715.0,37.02,1243,200.0,11507.0,790.0,634825.0,79213.0,634825.0,,1343.0
2020-10-03,92.0,37,55.0,12715.0,37.4,1243,200.0,11507.0,790.0,641364.0,79609.0,641364.0,,1320.0
2020-10-04,92.0,37,55.0,12715.0,37.16,1243,200.0,11507.0,790.0,646827.0,80471.0,646827.0,,1337.0
2020-10-05,92.0,37,55.0,12715.0,37.51,1243,200.0,11507.0,790.0,651827.0,80281.0,651827.0,,1363.0
2020-10-06,92.0,37,55.0,12715.0,38.0,1243,200.0,11507.0,790.0,656728.0,81261.0,656728.0,,1329.0
2020-10-07,92.0,37,55.0,12715.0,37.61,1243,200.0,11507.0,790.0,662317.0,80969.0,662317.0,,1346.0
2020-10-08,92.0,37,55.0,12715.0,38.04,1243,200.0,11507.0,790.0,667894.0,80427.0,667894.0,,1408.0
2020-10-09,92.0,37,55.0,12715.0,37.59,1243,200.0,11507.0,790.0,673279.0,82401.0,673279.0,,1376.0
2020-10-10,92.0,37,55.0,12715.0,36.85,1243,200.0,11507.0,790.0,679520.0,84817.0,679520.0,,1353.0
2020-10-11,92.0,37,55.0,12715.0,37.4,1243,200.0,11507.0,790.0,685742.0,86732.0,685742.0,,1338.0
2020-10-12,92.0,37,55.0,12715.0,35.82,1243,200.0,11507.0,790.0,690831.0,88061.0,690831.0,,1324.0
2020-10-13,92.0,37,55.0,12715.0,37.43,1243,200.0,11507.0,790.0,696831.0,90385.0,696831.0,,1264.0
2020-10-14,92.0,37,55.0,12715.0,36.52,1243,200.0,11507.0,790.0,703829.0,90731.0,703829.0,,1215.0
2020-10-15,92.0,37,55.0,12715.0,37.88,1243,200.0,11507.0,790.0,709408.0,91628.0,709408.0,,1183.0
2020-10-16,92.0,37,55.0,12715.0,37.66,1243,200.0,11507.0,790.0,715851.0,91273.0,715851.0,,1252.0
2020-10-17,93.0,38,55.0,12751.0,37.82,1243,200.0,11507.0,790.0,721806.0,92571.0,721806.0,,1237.0
2020-10-18,93.0,38,55.0,12751.0,37.32,1243,200.0,11507.0,790.0,727204.0,92296.0,727204.0,,1261.0
2020-10-19,93.0,38,55.0,12751.0,37.49,1243,200.0,11507.0,790.0,733802.0,93571.0,733802.0,,1276.0
2020-10-20,93.0,38,55.0,12751.0,37.85,1243,200.0,11507.0,790.0,739061.0,92835.0,739061.0,,1231.0
2020-10-21,93.0,38,55.0,12751.0,37.31,1243,200.0,11507.0,790.0,745083.0,93185.0,745083.0,,1227.0
2020-10-22,93.0,38,55.0,12751.0,37.71,1243,200.0,11507.0,790.0,751871.0,94608.0,751871.0,,1219.0
2020-10-23,93.0,38,55.0,12751.0,37.33,1243,200.0,11507.0,790.0,757692.0,94201.0,757692.0,,1163.0
2020-10-24,93.0,38,55.0,12751.0,37.93,1243,200.0,11507.0,790.0,763028.0,94822.0,763028.0,,1123.0
2020-10-25,93.0,38,55.0,12751.0,36.3,1809,200.0,11507.0,1090.0,769082.0,95394.0,769082.0,,1073.0
2020-10-26,93.0,38,55.0,12751.0,36.83,1809,200.0,11507.0,1090.0,775803.0,95927.0,775803.0,,1012.0
2020-10-27,93.0,38,55.0,12751.0,35.63,1809,200.0,11507.0,1090.0,781083.0,96563.0,781083.0,,1029.0
2020-10-28,94.0,39,55.0,12811.0,35.57,1809,200.0,11507.0,1090.0,787093.0,96743.0,787093.0,,983.0
2020-10-29,94.0,39,55.0,12811.0,34.93,1809,200.0,11507.0,1090.0,792809.0,97613.0,792809.0,,957.0
2020-10-30,94.0,39,55.0,12811.0,34.81,1809,200.0,11507.0,1090.0,798805.0,98173.0,798805.0,,968.0
2020-10-31,94.0,39,55.0,12811.0,34.79,1809,200.0,11507.0,1090.0,804925.0,98736.0,804925.0,,975.0
2020-11-01,94.0,39,55.0,12811.0,35.09,1809,200.0,11507.0,1090.0,810624.0,97842.0,810624.0,,946.0
2020-11-02,96.0,41,55.0,12966.0,34.84,1809,200.0,11507.0,1090.0,816947.0,98092.0,816947.0,,965.0
2020-11-03,96.0,41,55.0,12966.0,32.75,1809,200.0,11507.0,1090.0,822937.0,98614.0,822937.0,,985.0
2020-11-04,96.0,41,55.0,12966.0,33.04,1809,200.0,11507.0,1090.0,828083.0,98271.0,828083.0,,1032.0
2020-11-05,96.0,41,55.0,12966.0,35.19,1809,200.0,11507.0,1090.0,833088.0,97921.0,833088.0,,1041.0
2020-11-06,101.0,41,60.0,13498.0,33.71,1809,200.0,11507.0,1090.0,838213.0,97575.0,838213.0,,1060.0
2020-11-07,101.0,44,57.0,13508.0,34.42,1809,200.0,11507.0,1090.0,843295.0,97223.0,843295.0,,1443.0
2020-11-08,101.0,44,57.0,13508.0,34.59,1809,200.0,11507.0,1090.0,848418.0,96864.0,848418.0,,1410.0
2020-11-09,101.0,44,57.0,13508.0,34.0,1809,200.0,11507.0,1090.0,853444.0,96499.0,853444.0,,1332.0
2020-11-10,101.0,44,57.0,13508.0,33.61,1809,200.0,11507.0,1090.0,858576.0,96158.0,858576.0,,1310.0
2020-11-11,101.0,44,57.0,13508.0,33.61,1809,200.0,11507.0,1090.0,863788.0,95852.0,863788.0,,1310.0
2020-11-12,101.0,44,57.0,13508.0,33.05,1809,200.0,11507.0,1090.0,868953.0,95528.0,868953.0,,1295.0
2020-11-13,101.0,44,57.0,13508.0,32.53,1809,200.0,11507.0,1090.0,874188.0,95160.0,874188.0,,1306.0
2020-11-14,101.0,44,57.0,13508.0,31.19,1809,200.0,11507.0,1090.0,879386.0,94834.0,879386.0,,1227.0
2020-11-15,101.0,44,57.0,13508.0,29.97,1809,200.0,11507.0,1090.0,884609.0,94492.0,884609.0,,1187.0
2020-11-16,101.0,44,57.0,13508.0,30.02,1809,200.0,11507.0,1090.0,889924.0,94136.0,889924.0,,1081.0
2020-11-17,101.0,44,57.0,13508.0,29.15,1809,200.0,11507.0,1090.0,895213.0,93767.0,895213.0,,1037.0
2020-11-18,101.0,44,57.0,13508.0,29.09,1809,200.0,11507.0,1090.0,900476.0,93418.0,900476.0,,1039.0
2020-11-19,101.0,44,57.0,13508.0,28.97,1809,200.0,11507.0,1090.0,905570.0,93044.0,905570.0,,1008.0
2020-11-20,101.0,44,57.0,13508.0,28.48,1809,200.0,11507.0,1090.0,910739.0,92688.0,910739.0,,958.0
2020-11-21,101.0,44,57.0,13508.0,29.3,1809,200.0,11507.0,1090.0,915963.0,92313.0,915963.0,,886.0
2020-11-22,101.0,44,57.0,13508.0,28.89,1809,200.0,11507.0,1090.0,921239.0,91961.0,921239.0,,872.0
2020-11-23,101.0,44,57.0,13508.0,29.47,1809,200.0,11507.0,1090.0,926474.0,91615.0,926474.0,,916.0
2020-11-24,101.0,44,57.0,13508.0,29.18,1809,200.0,11507.0,1090.0,931788.0,91254.0,931788.0,,903.0
2020-11-25,101.0,44,57.0,13534.0,28.18,1809,200.0,11507.0,1090.0,937073.0,90899.0,937073.0,,928.0
2020-11-26,101.0,44,57.0,13534.0,27.98,1809,200.0,11507.0,1090.0,942319.0,90537.0,942319.0,,900.0
2020-11-27,102.0,45,57.0,13534.0,28.15,1809,200.0,11507.0,1090.0,947610.0,90189.0,947610.0,,909.0
2020-11-28,102.0,45,57.0,13538.0,28.06,1809,200.0,11507.0,1090.0,952914.0,89822.0,952914.0,,824.0
2020-11-29,102.0,45,57.0,13538.0,28.14,1809,200.0,11507.0,1090.0,958212.0,89566.0,958212.0,,780.0
2020-11-30,102.0,45,57.0,13538.0,27.91,1809,200.0,11507.0,1090.0,963524.0,89218.0,963524.0,,781.0
2020-12-01,102.0,45,57.0,13538.0,27.28,2523,200.0,11507.0,1279.0,968829.0,88857.0,968829.0,,738.0
2020-12-02,102.0,45,57.0,13538.0,26.55,2523,200.0,11507.0,1279.0,974127.0,88502.0,974127.0,,724.0
2020-12-03,102.0,45,57.0,13538.0,26.05,2523,200.0,11507.0,1279.0,979442.0,88154.0,979442.0,,679.0
2020-12-04,102.0,45,57.0,13538.0,25.58,2523,200.0,11507.0,1279.0,984728.0,87802.0,984728.0,,624.0
2020-12-05,102.0,45,57.0,13538.0,25.27,2523,200.0,11507.0,1279.0,990042.0,87456.0,990042.0,,625.0
2020-12-06,102.0,45,57.0,13538.0,24.88,2523,200.0,11507.0,1279.0,995338.0,87099.0,995338.0,,615.0
2020-12-07,102.0,45,57.0,13588.0,24.31,2523,200.0,11507.0,1279.0,1000642.0,86745.0,1000642.0,,567.0
2020-12-08,102.0,45,57.0,13588.0,23.72,2523,200.0,11507.0,1279.0,1005954.0,86395.0,1005954.0,,537.0
2020-12-09,102.0,45,57.0,13588.0,23.51,2523,200.0,11507.0,1279.0,1011252.0,86033.0,1011252.0,,536.0
2020-12-10,102.0,45,57.0,13588.0,22.88,2523,200.0,11507.0,1279.0,1016563.0,85677.0,1016563.0,,506.0
2020-12-11,102.0,45,57.0,13588.0,22.71,2523,200.0,11507.0,1279.0,1021895.0,85330.0,1021895.0,,486.0
2020-12-12,102.0,45,57.0,13588.0,22.22,2523,200.0,11507.0,1279.0,1027203.0,84970.0,1027203.0,,446.0
2020-12-13,102.0,45,57.0,13588.0,21.6,2523,200.0,11507.0,1279.0,1032525.0,84622.0,1032525.0,,415.0
2020-12-14,102.0,45,57.0,13588.0,20.89,2523,200.0,11507.0,1279.0,1037822.0,84267.0,1037822.0,,382.0
2020-12-15,102.0,45,57.0,13588.0,20.16,2523,200.0,11507.0,1279.0,1043134.0,83911.0,1043134.0,,374.0
2020-12-16,102.0,45,57.0,13588.0,19.49,2523,200.0,11507.0,1279.0,1048418.0,83546.0,1048418.0,,355.0
2020-12-17,102.0,45,57.0,13588.0,18.71,2523,200.0,11507.0,1279.0,1053728.0,83198.0,1053728.0,,319.0
2020-12-18,102.0,45,57.0,13588.0,18.25,2523,200.0,11507.0,1279.0,1059026.0,82837.0,1059026.0,,305.0
2020-12-19,102.0,45,57.0,13588.0,17.56,2523,200.0,11507.0,1279.0,1064340.0,82482.0,1064340.0,,286.0
2020-12-20,102.0,45,57.0,13588.0,16.69,2523,200.0,11507.0,1279.0,1069646.0,82141.0,1069646.0,,256.0
2020-12-21,102.0,45,57.0,13588.0,16.32,2523,200.0,11507.0,1279.0,1074958.0,81791.0,1074958.0,,247.0
2020-12-22,102.0,45,57.0,13588.0,15.86,2523,200.0,11507.0,1279.0,1080266.0,81429.0,1080266.0,,202.0
2020-12-23,102.0,45,57.0,13588.0,15.18,2523,200.0,11507.0,1279.0,1085582.0,81073.0,1085582.0,,196.0
2020-12-24,102.0,45,57.0,13588.0,14.77,2523,200.0,11507.0,1279.0,1090896.0,80726.0,1090896.0,,146.0
2020-12-25,102.0,45,57.0,13588.0,14.32,2523,200.0,11507.0,1279.0,1096195.0,80370.0,1096195.0,,166.0
2020-12-26,102.0,45,57.0,13588.0,13.31,2523,200.0,11507.0,1279.0,1101509.0,80021.0,1101509.0,,144.0
2020-12-27,102.0,45,57.0,13588.0,13.05,2523,200.0,11507.0,1279.0,1106807.0,79663.0,1106807.0,,120.0
2020-12-28,102.0,45,57.0,13588.0,12.87,2523,200.0,11507.0,1279.0,1111218.0,79304.0,1111218.0,,115.0
2020-12-29,102.0,45,57.0,13588.0,12.17,2523,200.0,11507.0,1279.0,1122725.0,78606.0,1122725.0,,101.0
2020-12-30,102.0,45,57.0,13588.0,11.92,2523,200.0,11507.0,1279.0,1128024.0,78259.0,1128024.0,,99.0
2020-12-31,102.0,45,57.0,13588.0,11.52,2523,200.0,11507.0,1279.0,1133336.0,77904.0,1133336.0,,98.0
2021-01-01,102.0,45,57.0,13588.0,10.93,2523,200.0,11507.0,1279.0,1138646.0,77554.0,1138646.0,,97.0
2021-01-02,102.0,45,57.0,13588.0,10.72,2523,200.0,11507.0,1279.0,1143970.0,77199.0,1143970.0,,96.0
2021-01-03,102.0,45,57.0,13588.0,10.26,2523,200.0,11507.0,1279.0,1149518.0,76788.0,1149518.0,,87.0
2021-01-04,102.0,45,57.0,13588.0,10.02,2523,200.0,11507.0,1279.0,1155120.0,76367.0,1155120.0,,76.0
2021-01-05,102.0,45,57.0,13588.0,9.5,2523,200.0,11507.0,1279.0,1160736.0,75949.0,1160736.0,,76.0
2021-01-06,102.0,45,57.0,13588.0,9.32,2523,200.0,11507.0,1279.0,1166362.0,75524.0,1166362.0,,79.0
2021-01-07,102.0,45,57.0,13588.0,9.08,2523,200.0,11507.0,1279.0,1172011.0,75092.0,1172011.0,,74.0
2021-01-08,102.0,45,57.0,13588.0,9.07,2523,200.0,11507.0,1279.0,1177558.0,74663.0,1177558.0,,64.0
2021-01-09,102.0,45,57.0,13588.0,8.82,2523,200.0,11507.0,1279.0,1183198.0,74233.0,1183198.0,,56.0
2021-01-10,102.0,45,57.0,13588.0,8.54,2523,200.0,11507.0,1279.0,1188846.0,73798.0,1188846.0,,65.0
2021-01-11,102.0,45,57.0,12840.0,8.79,2369,200.0,11507.0,1279.0,1194607.0,73348.0,1194607.0,,69.0
2021-01-12,102.0,45,57.0,12840.0,8.72,2369,200.0,11507.0,1279.0,1200355.0,72880.0,1200355.0,,58.0
2021-01-13,102.0,45,57.0,12840.0,8.46,2369,200.0,11507.0,1279.0,1206167.0,72400.0,1206167.0,,60.0
2021-01-14,102.0,45,57.0,12840.0,8.21,2369,200.0,11507.0,1279.0,1212008.0,71914.0,1212008.0,,54.0
2021-01-15,102.0,45,57.0,12840.0,8.2,2369,200.0,11507.0,1279.0,1217863.0,71439.0,1217863.0,,58.0
2021-01-16,102.0,45,57.0,12440.0,7.65,2349,200.0,11507.0,1279.0,1223775.0,70959.0,1223775.0,,53.0
2021-01-17,101.0,44,57.0,12440.0,7.39,2349,200.0,11507.0,1279.0,1229710.0,70468.0,1229710.0,,50.0
2021-01-18,101.0,44,57.0,12440.0,6.99,2319,200.0,11507.0,1279.0,1235697.0,69956.0,1235697.0,,49.0
2021-01-19,101.0,44,57.0,12440.0,6.61,2319,200.0,11507.0,1279.0,1241709.0,69432.0,1241709.0,,22.0
2021-01-20,101.0,44,57.0,12440.0,6.24,2319,200.0,11507.0,1279.0,1247932.0,68903.0,1247932.0,,27.0
2021-01-21,101.0,44,57.0,12440.0,6.03,2319,200.0,11507.0,1279.0,1254257.0,68365.0,1254257.0,,31.0
