date,general_queries_24h,general_queries_cum,consultations_24h,consultations_total,ambulances_assigned_24h,ambulance_calls_24h,telepsych_counselling_24h,telepsych_counselling_total
2020-08-06,3850.0,1032295.0,2632.0,45496.0,548.0,,1238.0,
2020-08-09,,,,,,,,
2020-08-11,4519.0,1052971.0,3318.0,59539.0,535.0,,1710.0,11474.0
2020-08-12,4102.0,1057490.0,3625.0,62857.0,545.0,,1619.0,13184.0
2020-08-13,4219.0,1061592.0,3720.0,66482.0,542.0,,1573.0,14803.0
2020-08-15,4693.0,1070120.0,4217.0,74130.0,535.0,,1831.0,17996.0
2020-08-16,4521.0,1074813.0,4120.0,78347.0,539.0,,1639.0,19827.0
2020-08-17,4375.0,1079334.0,4218.0,82467.0,537.0,,1810.0,21466.0
2020-08-18,4530.0,1083709.0,4737.0,86685.0,541.0,,1731.0,23276.0
2020-08-19,4427.0,1088239.0,4514.0,91422.0,531.0,,1627.0,25007.0
2020-08-20,4417.0,1092666.0,4437.0,95936.0,529.0,,1621.0,26634.0
2020-08-21,4313.0,1097083.0,4511.0,100373.0,527.0,,1593.0,28255.0
2020-08-22,4286.0,1101396.0,4539.0,104884.0,529.0,,1610.0,29848.0
2020-08-23,4173.0,1105682.0,4511.0,109423.0,525.0,,1593.0,31458.0
2020-08-24,4237.0,1109855.0,4612.0,113934.0,518.0,,1648.0,33051.0
2020-08-25,4393.0,1114092.0,4591.0,118546.0,514.0,,1512.0,34699.0
2020-08-26,4412.0,1118485.0,4617.0,123137.0,518.0,,1407.0,36211.0
2020-08-27,4286.0,1122897.0,4558.0,127754.0,514.0,,1439.0,37618.0
2020-08-28,4013.0,1127183.0,4361.0,132312.0,495.0,,1486.0,39057.0
2020-08-29,4038.0,1131196.0,4295.0,136673.0,492.0,,1438.0,40543.0
2020-08-30,3917.0,1135234.0,4181.0,140968.0,481.0,,1283.0,41981.0
2020-08-31,3951.0,1139151.0,4237.0,145149.0,480.0,,1139.0,43264.0
2020-09-01,3903.0,1143102.0,4279.0,149386.0,483.0,,1281.0,44403.0
2020-09-02,3953.0,1147005.0,4236.0,153665.0,483.0,,1307.0,45684.0
2020-09-03,3911.0,1150958.0,4257.0,157901.0,481.0,,1329.0,46991.0
2020-09-04,3927.0,1154869.0,4275.0,162158.0,482.0,,1347.0,48320.0
2020-09-05,3909.0,1158796.0,4221.0,166433.0,480.0,,1371.0,49667.0
2020-09-06,3907.0,1162705.0,4250.0,170654.0,497.0,,1363.0,51038.0
2020-09-07,3962.0,1166612.0,4239.0,174904.0,499.0,,1338.0,52401.0
2020-09-08,3907.0,1170574.0,4212.0,179143.0,486.0,,1361.0,53739.0
2020-09-09,3914.0,1174481.0,4203.0,183355.0,482.0,,1303.0,55100.0
2020-09-11,3963.0,1182313.0,4236.0,191774.0,480.0,,1239.0,57742.0
2020-09-12,3911.0,1186276.0,4213.0,196010.0,475.0,,1271.0,58981.0
2020-09-13,3950.0,1190187.0,4205.0,200223.0,483.0,,1214.0,60252.0
2020-09-14,3972.0,1194137.0,4241.0,204428.0,478.0,,1251.0,61466.0
2020-09-15,3981.0,1198109.0,4273.0,208669.0,482.0,,1185.0,62717.0
2020-09-16,3937.0,1202090.0,4328.0,212942.0,483.0,,1253.0,63902.0
2020-09-17,3967.0,1206027.0,4311.0,217270.0,482.0,,1283.0,65155.0
2020-09-18,3809.0,1209994.0,4251.0,221581.0,487.0,,1131.0,66438.0
2020-09-19,3761.0,1213803.0,4182.0,225832.0,488.0,,1194.0,67569.0
2020-09-20,3713.0,1217564.0,4182.0,230014.0,487.0,,1240.0,68763.0
2020-09-21,3683.0,1221277.0,4038.0,234196.0,478.0,,1132.0,70003.0
2020-09-22,3621.0,1224960.0,4013.0,238234.0,480.0,,1107.0,71135.0
2020-09-23,3680.0,1228581.0,4072.0,242247.0,481.0,,1154.0,72242.0
2020-09-24,3673.0,1232261.0,4108.0,246319.0,487.0,,1127.0,73396.0
2020-09-25,3624.0,1235934.0,4135.0,250427.0,493.0,,1123.0,74523.0
2020-09-26,3617.0,1239558.0,4126.0,254562.0,497.0,,1147.0,75646.0
2020-09-27,3601.0,1243175.0,4087.0,258688.0,499.0,,1172.0,76793.0
2020-09-28,3659.0,1246776.0,4261.0,262775.0,501.0,,1129.0,77965.0
