date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
2020-07-11,1344,28453,17959.0,611.0,906.0,26.0,9588.0,707.0,63.11,
2020-07-12,1560,30013,18581.0,622.0,932.0,26.0,10500.0,912.0,61.9,
2020-07-13,1435,31448,19213.0,632.0,956.0,24.0,11279.0,779.0,61.09,
2020-07-14,1390,32838,19931.0,718.0,980.0,24.0,11927.0,648.0,60.69,
2020-07-15,1589,34427,20680.0,749.0,1000.0,20.0,12747.0,820.0,60.06,
2020-07-16,1690,36117,21415.0,735.0,1023.0,23.0,13679.0,932.0,59.29,
2020-07-17,1894,38011,22253.0,838.0,1049.0,26.0,14709.0,1030.0,58.54,
2020-07-18,2198,40209,23539.0,1286.0,1076.0,27.0,15594.0,885.0,58.54,
2020-07-19,2278,42487,24883.0,1344.0,1112.0,36.0,16492.0,898.0,58.56,
2020-07-20,2282,44769,26418.0,1535.0,1147.0,35.0,17204.0,712.0,59.01,
2020-07-21,2261,47030,28035.0,1617.0,1182.0,35.0,17813.0,609.0,59.61,
2020-07-22,2291,49321,29650.0,1615.0,1221.0,39.0,18450.0,637.0,60.11,
2020-07-23,2436,51757,31656.0,2006.0,1255.0,34.0,18846.0,396.0,61.16,
2020-07-24,2216,53973,33529.0,1873.0,1290.0,35.0,19154.0,308.0,62.12,
2020-07-25,2404,56377,35654.0,2125.0,1332.0,42.0,19391.0,237.0,63.24,
2020-07-26,2341,58718,37751.0,2097.0,1372.0,40.0,19595.0,204.0,64.29,
2020-07-27,2112,60830,39917.0,2166.0,1411.0,39.0,19502.0,-93.0,65.62,
2020-07-28,2134,62964,42022.0,2105.0,1449.0,38.0,19493.0,-9.0,66.74,
2020-07-29,2294,65258,44116.0,2094.0,1490.0,41.0,19652.0,159.0,67.6,
2020-07-30,2434,67692,46256.0,2140.0,1536.0,46.0,19900.0,248.0,68.33,
2020-08-01,2589,72777,50517.0,2143.0,1629.0,48.0,20631.0,398.0,69.41,
2020-08-02,2739,75516,52730.0,2213.0,1678.0,49.0,21108.0,477.0,69.83,
2020-08-03,2716,78232,54818.0,2088.0,1731.0,53.0,21683.0,575.0,70.07,
2020-08-06,2954,86754,61023.0,2061.0,1902.0,56.0,23829.0,837.0,70.34,
2020-08-09,2939,95554,67120.0,1996.0,2059.0,54.0,26375.0,889.0,70.24,
2020-08-11,2931,101390,73395.0,3067.0,2149.0,49.0,25846.0,-185.0,72.39,
2020-08-12,2936,104326,76120.0,2725.0,2203.0,54.0,26003.0,157.0,72.96,
2020-08-13,2997,107323,78617.0,2497.0,2259.0,56.0,26447.0,444.0,73.25,
2020-08-15,3074,113432,83836.0,2647.0,2377.0,58.0,27219.0,369.0,73.91,
2020-08-16,3066,116498,86771.0,2935.0,2428.0,51.0,27299.0,80.0,74.48,
2020-08-17,3080,119578,89703.0,2932.0,2473.0,45.0,27402.0,103.0,75.02,
2020-08-18,3175,122753,92690.0,2987.0,2528.0,55.0,27535.0,133.0,75.51,
2020-08-19,3169,125922,95663.0,2973.0,2581.0,53.0,27678.0,143.0,75.97,
2020-08-20,3197,129119,98789.0,3126.0,2634.0,53.0,27696.0,18.0,76.51,
2020-08-21,3245,132364,101871.0,3082.0,2689.0,55.0,27804.0,108.0,76.96,
2020-08-22,3232,135596,104959.0,3088.0,2737.0,48.0,27900.0,96.0,77.41,
2020-08-23,3274,138870,108007.0,3048.0,2794.0,57.0,28069.0,169.0,77.78,
2020-08-24,2967,141837,111292.0,3285.0,2851.0,57.0,27694.0,-375.0,78.46,
2020-08-25,2964,144801,114543.0,3251.0,2909.0,58.0,27349.0,-345.0,79.1,
2020-08-26,2974,147775,117857.0,3314.0,2964.0,55.0,26954.0,-395.0,79.75,
2020-08-27,2997,150772,121046.0,3189.0,3017.0,53.0,26709.0,-245.0,80.28,
2020-08-28,2982,153754,124332.0,3286.0,3073.0,56.0,26349.0,-360.0,80.86,
2020-08-29,3012,156766,127644.0,3312.0,3126.0,53.0,25996.0,-353.0,81.42,
2020-08-30,3019,159785,130952.0,3308.0,3176.0,50.0,25657.0,-339.0,81.96,
2020-08-31,2993,162778,134270.0,3318.0,3228.0,52.0,25280.0,-377.0,82.49,
2020-09-01,2943,165721,137616.0,3346.0,3283.0,55.0,24822.0,-458.0,83.04,
2020-09-02,2976,168697,140913.0,3297.0,3339.0,56.0,24445.0,-377.0,83.53,
2020-09-03,2984,171681,144248.0,3335.0,3394.0,55.0,24039.0,-406.0,84.02,
2020-09-04,2978,174659,147553.0,3305.0,3452.0,58.0,23654.0,-385.0,84.48,
2020-09-05,3042,177701,150801.0,3248.0,3510.0,58.0,23390.0,-264.0,84.86,
2020-09-06,3087,180788,154008.0,3207.0,3562.0,52.0,23218.0,-172.0,85.19,
2020-09-07,3077,183865,157029.0,3021.0,3620.0,58.0,23216.0,-2.0,85.4,
2020-09-08,3091,186956,160025.0,2996.0,3677.0,57.0,23254.0,38.0,85.6,
2020-09-09,3107,190063,162992.0,2967.0,3730.0,53.0,23341.0,87.0,85.76,
2020-09-11,3157,196332,169043.0,3016.0,3828.0,57.0,23461.0,84.0,86.1,
2020-09-12,3161,199493,172085.0,3042.0,3887.0,59.0,23521.0,60.0,86.26,
2020-09-13,3215,202708,175139.0,3054.0,3945.0,58.0,23624.0,103.0,86.4,
2020-09-14,3211,205919,178223.0,3084.0,4003.0,58.0,23693.0,69.0,86.55,
2020-09-15,3227,209146,181142.0,2919.0,4062.0,59.0,23942.0,249.0,86.61,
2020-09-16,3237,212383,184113.0,2971.0,4123.0,61.0,24147.0,205.0,86.69,
2020-09-17,3197,215580,187061.0,2948.0,4183.0,60.0,24336.0,189.0,86.77,
2020-09-18,3192,218772,190021.0,2960.0,4242.0,59.0,24509.0,173.0,86.86,
2020-09-19,3188,221960,193014.0,2993.0,4298.0,56.0,24648.0,139.0,86.96,
2020-09-20,3177,225137,195972.0,2958.0,4359.0,61.0,24806.0,158.0,87.05,
2020-09-21,3165,228302,198983.0,3011.0,4421.0,62.0,24898.0,92.0,87.16,
2020-09-22,3182,231484,202030.0,3047.0,4483.0,62.0,24971.0,73.0,87.28,
2020-09-23,3189,234673,205028.0,2998.0,4544.0,61.0,25101.0,130.0,87.37,
2020-09-24,3196,237869,208042.0,3014.0,4606.0,62.0,25221.0,120.0,87.46,
2020-09-25,3190,241059,211020.0,2978.0,4665.0,59.0,25374.0,153.0,87.54,
2020-09-26,3181,244240,213975.0,2955.0,4721.0,56.0,25544.0,170.0,87.61,
2020-09-27,3185,247425,216921.0,2946.0,4781.0,60.0,25723.0,179.0,87.67,
2020-09-28,3155,250580,219844.0,2923.0,4837.0,56.0,25899.0,176.0,87.73,
2020-09-29,3188,253768,222805.0,2961.0,4899.0,62.0,26064.0,165.0,87.8,
2020-09-30,3281,257049,225759.0,2954.0,4958.0,59.0,26332.0,268.0,87.83,
2020-10-01,3275,260324,228755.0,2996.0,5017.0,59.0,26552.0,220.0,87.87,
2020-10-02,3310,263634,231699.0,2944.0,5070.0,53.0,26865.0,313.0,87.89,
2020-10-03,3340,266974,234712.0,3013.0,5132.0,62.0,27130.0,265.0,87.92,
2020-10-04,3357,270331,237698.0,2986.0,5194.0,62.0,27439.0,309.0,87.93,
2020-10-05,3348,273679,240707.0,3009.0,5255.0,61.0,27717.0,278.0,87.95,
2020-10-06,3370,277049,243743.0,3036.0,5318.0,63.0,27988.0,271.0,87.98,
2020-10-07,3455,280504,246767.0,3024.0,5376.0,58.0,28361.0,373.0,87.97,
2020-10-08,3526,284030,249737.0,2970.0,5439.0,63.0,28854.0,493.0,87.93,
2020-10-09,3573,287603,252806.0,3069.0,5501.0,62.0,29296.0,442.0,87.9,
2020-10-10,3591,291194,255838.0,3032.0,5563.0,62.0,29793.0,497.0,87.86,
2020-10-11,3612,294806,258948.0,3110.0,5622.0,59.0,30236.0,443.0,87.84,
2020-10-12,3583,298389,262103.0,3155.0,5682.0,60.0,30604.0,368.0,87.84,
2020-10-13,3631,302020,265288.0,3185.0,5744.0,62.0,30988.0,384.0,87.84,
2020-10-14,3677,305697,268384.0,3096.0,5808.0,64.0,31505.0,517.0,87.79,
2020-10-15,3720,309417,271563.0,3179.0,5870.0,62.0,31984.0,479.0,87.77,
2020-10-16,3771,313188,274757.0,3194.0,5931.0,61.0,32500.0,516.0,87.73,
2020-10-17,3865,317053,277940.0,3183.0,5992.0,61.0,33121.0,621.0,87.66,
2020-10-18,3983,321036,281053.0,3113.0,6056.0,64.0,33927.0,806.0,87.55,
2020-10-19,3992,325028,284325.0,3272.0,6119.0,63.0,34584.0,657.0,87.48,
2020-10-20,4029,329057,287707.0,3382.0,6180.0,61.0,35170.0,586.0,87.43,
2020-10-21,4069,333126,291303.0,3596.0,6244.0,64.0,35579.0,409.0,87.45,
2020-10-22,4157,337283,294911.0,3608.0,6308.0,64.0,36064.0,485.0,87.44,
2020-10-23,4143,341426,298587.0,3676.0,6368.0,60.0,36471.0,407.0,87.45,
2020-10-24,4148,345574,302340.0,3753.0,6427.0,59.0,36807.0,336.0,87.49,
2020-10-25,4127,349701,306197.0,3857.0,6487.0,60.0,37017.0,210.0,87.56,
2020-10-26,4121,353822,310086.0,3889.0,6546.0,59.0,37190.0,173.0,87.64,
2020-10-27,3957,357779,314003.0,3917.0,6604.0,58.0,37172.0,-18.0,87.76,
2020-10-28,3924,361703,317928.0,3925.0,6664.0,60.0,37111.0,-61.0,87.9,
2020-10-29,3989,365692,321873.0,3945.0,6725.0,61.0,37094.0,-17.0,88.02,
2020-10-30,3979,369671,325888.0,4015.0,6784.0,59.0,36999.0,-95.0,88.16,
2020-10-31,3993,373664,329937.0,4049.0,6841.0,57.0,36886.0,-113.0,88.3,
2020-11-01,3987,377651,333990.0,4053.0,6900.0,59.0,36761.0,-125.0,88.44,
2020-11-02,3957,381608,338075.0,4085.0,6957.0,57.0,36576.0,-185.0,88.59,
2020-11-03,3981,385589,342133.0,4058.0,7013.0,56.0,36443.0,-133.0,88.73,
2020-11-04,3987,389576,346262.0,4129.0,7068.0,55.0,36246.0,-197.0,88.88,
2020-11-05,3948,393524,350449.0,4187.0,7122.0,54.0,35953.0,-293.0,89.05,
2020-11-06,3942,397466,354732.0,4283.0,7177.0,55.0,35557.0,-396.0,89.25,
2020-11-07,3928,401394,359071.0,4339.0,7235.0,58.0,35088.0,-469.0,89.46,
2020-11-08,3920,405314,363454.0,4383.0,7294.0,59.0,34566.0,-522.0,89.67,
2020-11-09,3907,409221,367850.0,4396.0,7350.0,56.0,34021.0,-545.0,89.89,
2020-11-10,3891,413112,372265.0,4415.0,7403.0,53.0,33444.0,-577.0,90.11,
2020-11-11,3872,416984,376696.0,4431.0,7452.0,49.0,32836.0,-608.0,90.34,
2020-11-12,3856,420840,381149.0,4453.0,7506.0,54.0,32185.0,-651.0,90.57,
2020-11-13,3835,424675,385617.0,4468.0,7557.0,51.0,31501.0,-684.0,90.8,
2020-11-14,3823,428498,390096.0,4479.0,7610.0,53.0,30792.0,-709.0,91.04,
2020-11-15,3053,431551,394576.0,4480.0,7661.0,51.0,29314.0,-1478.0,91.43,
2020-11-16,3012,434563,398952.0,4376.0,7714.0,53.0,27897.0,-1417.0,91.81,
2020-11-17,3654,438217,403340.0,4388.0,7766.0,52.0,27111.0,-786.0,92.04,
2020-11-18,3668,441885,407769.0,4429.0,7820.0,54.0,26296.0,-815.0,92.28,
2020-11-19,3620,445505,411759.0,3990.0,7873.0,53.0,25873.0,-423.0,92.43,
2020-11-20,3626,449131,415609.0,3850.0,7923.0,50.0,25599.0,-274.0,92.54,
2020-11-21,3639,452770,419403.0,3794.0,7976.0,53.0,25391.0,-208.0,92.63,
2020-11-22,3591,456361,423129.0,3726.0,8025.0,49.0,25207.0,-184.0,92.72,
2020-11-23,3557,459918,426816.0,3687.0,8072.0,47.0,25030.0,-177.0,92.8,
2020-11-24,3545,463463,430462.0,3646.0,8121.0,49.0,24880.0,-150.0,92.88,
2020-11-25,3528,466991,434067.0,3605.0,8172.0,51.0,24752.0,-128.0,92.95,
2020-11-26,3507,470498,437604.0,3537.0,8224.0,52.0,24670.0,-82.0,93.01,
2020-11-27,3489,473987,441100.0,3496.0,8270.0,46.0,24617.0,-53.0,93.06,
2020-11-28,3459,477446,444587.0,3487.0,8322.0,52.0,24537.0,-80.0,93.12,
2020-11-29,3367,480813,448032.0,3445.0,8376.0,54.0,24405.0,-132.0,93.18,
2020-11-30,2671,483484,450762.0,2730.0,8424.0,48.0,24298.0,-107.0,93.23,
2020-12-01,3315,486799,454102.0,3340.0,8476.0,52.0,24221.0,-77.0,93.28,
2020-12-02,3271,490070,457377.0,3275.0,8527.0,51.0,24166.0,-55.0,93.33,
2020-12-03,3246,493316,460634.0,3257.0,8576.0,49.0,24106.0,-60.0,93.38,
2020-12-04,3206,496522,463849.0,3215.0,8628.0,52.0,24045.0,-61.0,93.42,
2020-12-05,3175,499697,467056.0,3207.0,8677.0,49.0,23964.0,-81.0,93.47,
2020-12-06,3143,502840,470223.0,3167.0,8723.0,46.0,23894.0,-70.0,93.51,
2020-12-07,2214,505054,472454.0,2231.0,8771.0,48.0,23829.0,-65.0,93.55,
2020-12-08,2941,507995,475425.0,2971.0,8820.0,49.0,23750.0,-79.0,93.59,
2020-12-09,2956,510951,478434.0,3009.0,8867.0,47.0,23650.0,-100.0,93.64,
2020-12-10,2801,513752,481385.0,2951.0,8916.0,49.0,23451.0,-199.0,93.7,
2020-12-11,2753,516505,484258.0,2873.0,8966.0,50.0,23281.0,-170.0,93.76,
2020-12-12,2710,519215,487171.0,2913.0,9010.0,44.0,23034.0,-247.0,93.83,
2020-12-13,2580,521795,490165.0,2994.0,9057.0,47.0,22573.0,-461.0,93.94,
2020-12-14,1834,523629,493145.0,2980.0,9100.0,43.0,21384.0,-1189.0,94.18,
2020-12-15,2289,525918,496110.0,2965.0,9145.0,45.0,20663.0,-721.0,94.33,
2020-12-16,2293,528211,498877.0,2767.0,9191.0,46.0,20143.0,-520.0,94.45,
2020-12-17,2245,530456,501624.0,2747.0,9235.0,44.0,19597.0,-546.0,94.56,
2020-12-18,2239,532695,504353.0,2729.0,9277.0,42.0,19065.0,-532.0,94.68,
2020-12-19,2155,534850,507070.0,2717.0,9320.0,43.0,18460.0,-605.0,94.81,
2020-12-20,1978,536828,509697.0,2627.0,9360.0,40.0,17771.0,-689.0,94.95,
2020-12-21,1515,538343,512039.0,2342.0,9401.0,41.0,16903.0,-868.0,95.11,
2020-12-22,1653,539996,514309.0,2270.0,9439.0,38.0,16248.0,-655.0,95.24,
2020-12-23,1628,541624,516462.0,2153.0,9473.0,34.0,15689.0,-559.0,95.35,
2020-12-24,1590,543214,518516.0,2054.0,9505.0,32.0,15193.0,-496.0,95.45,
2020-12-25,1541,544755,520470.0,1954.0,9536.0,31.0,14749.0,-444.0,95.54,
2020-12-26,1253,546008,522331.0,1861.0,9569.0,33.0,14108.0,-641.0,95.66,
2020-12-27,1435,547443,524071.0,1740.0,9598.0,29.0,13774.0,-334.0,95.73,
2020-12-28,1028,548471,525685.0,1614.0,9625.0,27.0,13161.0,-613.0,95.85,
2020-12-29,1244,549715,527272.0,1587.0,9655.0,30.0,12788.0,-373.0,95.92,
2020-12-30,1178,550893,528829.0,1557.0,9683.0,28.0,12381.0,-407.0,95.99,
2020-12-31,1170,552063,530366.0,1537.0,9712.0,29.0,11985.0,-396.0,96.07,
2021-01-01,1153,553216,531862.0,1496.0,9738.0,26.0,11616.0,-369.0,96.14,
2021-01-02,863,554079,533305.0,1443.0,9766.0,28.0,11008.0,-608.0,96.25,
2021-01-03,896,554975,534737.0,1432.0,9792.0,26.0,10446.0,-562.0,96.35,
2021-01-04,597,555572,536084.0,1347.0,9817.0,25.0,9671.0,-775.0,96.49,
2021-01-05,812,556384,537250.0,1166.0,9841.0,24.0,9293.0,-378.0,96.56,
2021-01-06,868,557252,538521.0,1271.0,9863.0,22.0,8868.0,-425.0,96.64,
2021-01-07,921,558173,539816.0,1295.0,9881.0,18.0,8476.0,-392.0,96.71,
2021-01-08,926,559099,540952.0,1136.0,9902.0,21.0,8245.0,-231.0,96.75,
2021-01-09,787,559886,541930.0,978.0,9922.0,20.0,8034.0,-211.0,96.79,
2021-01-10,823,560709,542887.0,957.0,9941.0,19.0,7881.0,-153.0,96.82,
2021-01-11,612,561321,543826.0,939.0,9957.0,16.0,7538.0,-343.0,96.88,
2021-01-12,751,562072,544705.0,879.0,9975.0,18.0,7392.0,-146.0,96.91,
2021-01-13,723,562795,545499.0,794.0,9993.0,18.0,7303.0,-89.0,96.93,
2021-01-14,680,563475,546193.0,694.0,10010.0,17.0,7272.0,-31.0,96.93,
2021-01-15,623,564098,546849.0,656.0,10026.0,16.0,7223.0,-49.0,96.94,
2021-01-16,609,564707,547515.0,666.0,10041.0,15.0,7151.0,-72.0,96.96,
2021-01-17,565,565272,548136.0,621.0,10053.0,12.0,7083.0,-68.0,96.97,
2021-01-18,389,565661,548705.0,569.0,10063.0,10.0,6893.0,-190.0,97.0,
2021-01-19,412,566073,549218.0,513.0,10074.0,11.0,6781.0,-112.0,97.02,
2021-01-20,409,566482,549727.0,509.0,10080.0,6.0,6675.0,-106.0,97.04,
2021-01-21,416,566898,550244.0,517.0,10089.0,9.0,6565.0,-110.0,97.06,
2021-01-22,406,567304,550737.0,493.0,10097.0,8.0,6470.0,-95.0,97.08,
2021-01-23,410,567714,551211.0,474.0,10107.0,10.0,6396.0,-74.0,97.09,
2021-01-24,389,568103,551665.0,454.0,10115.0,8.0,6323.0,-73.0,97.11,
2021-01-25,252,568355,552082.0,417.0,10122.0,7.0,6151.0,-172.0,97.14,
2021-01-26,295,568650,552491.0,409.0,10131.0,9.0,6028.0,-123.0,97.16,
2021-01-27,234,568884,552877.0,386.0,10139.0,8.0,5868.0,-160.0,97.19,
2021-01-28,289,569173,553244.0,367.0,10148.0,9.0,5781.0,-87.0,97.2,
2021-01-29,286,569459,553593.0,349.0,10155.0,7.0,5711.0,-70.0,97.21,
2021-01-30,310,569769,553934.0,341.0,10164.0,9.0,5671.0,-40.0,97.22,
2021-01-31,229,569998,554272.0,338.0,10173.0,9.0,5553.0,-118.0,97.24,
2021-02-01,179,570177,554578.0,306.0,10179.0,6.0,5420.0,-133.0,97.26,
2021-02-02,203,570380,554887.0,309.0,10188.0,9.0,5305.0,-115.0,97.28,
2021-02-03,201,570581,555190.0,303.0,10195.0,7.0,5196.0,-109.0,97.3,
2021-02-04,206,570787,555491.0,301.0,10199.0,4.0,5097.0,-99.0,97.32,
2021-02-05,194,570981,555788.0,297.0,10201.0,2.0,4992.0,-105.0,97.34,
2021-02-06,197,571178,556081.0,293.0,10202.0,1.0,4895.0,-97.0,97.36,
2021-02-07,193,571371,556370.0,289.0,10207.0,5.0,4794.0,-101.0,97.37,
2021-02-08,119,571490,556649.0,279.0,10209.0,2.0,4632.0,-162.0,97.4,
2021-02-09,146,571636,556925.0,276.0,10215.0,6.0,4496.0,-136.0,97.43,
2021-02-10,179,571815,557208.0,283.0,10220.0,5.0,4387.0,-109.0,97.45,
2021-02-11,217,572032,557494.0,286.0,10225.0,5.0,4313.0,-74.0,97.46,
2021-02-12,188,572220,557758.0,264.0,10229.0,4.0,4233.0,-80.0,97.47,
2021-02-13,185,572405,558015.0,257.0,10230.0,1.0,4160.0,-73.0,97.49,
2021-02-14,190,572595,558277.0,262.0,10232.0,2.0,4086.0,-74.0,97.5,
2021-02-15,133,572728,558535.0,258.0,10233.0,1.0,3960.0,-126.0,97.52,
2021-02-16,151,572879,558790.0,255.0,10235.0,2.0,3854.0,-106.0,97.54,
2021-02-17,133,573012,559039.0,249.0,10237.0,2.0,3736.0,-118.0,97.56,
2021-02-18,181,573193,559282.0,243.0,10239.0,2.0,3672.0,-64.0,97.57,
2021-02-19,194,573387,559520.0,238.0,10242.0,3.0,3625.0,-47.0,97.58,
2021-02-20,193,573580,559755.0,235.0,10246.0,4.0,3579.0,-46.0,97.59,
2021-02-21,182,573762,559988.0,233.0,10249.0,3.0,3525.0,-54.0,97.6,
2021-02-22,148,573910,560219.0,231.0,10251.0,2.0,3440.0,-85.0,97.61,
2021-02-23,189,574099,560447.0,228.0,10253.0,2.0,3399.0,-41.0,97.62,
2021-02-24,202,574301,560668.0,221.0,10256.0,3.0,3377.0,-22.0,97.63,
2021-02-25,199,574500,560887.0,219.0,10260.0,4.0,3353.0,-24.0,97.63,
2021-02-26,216,574716,561110.0,223.0,10263.0,3.0,3343.0,-10.0,97.63,
2021-02-27,210,574926,561327.0,217.0,10266.0,3.0,3333.0,-10.0,97.63,
2021-02-28,192,575118,561543.0,216.0,10268.0,2.0,3307.0,-26.0,97.64,
2021-03-01,198,575316,561755.0,212.0,10268.0,0.0,3293.0,-14.0,97.64,
2021-03-02,171,575487,561964.0,209.0,10270.0,2.0,3253.0,-40.0,97.65,
2021-03-03,225,575712,562195.0,231.0,10272.0,2.0,3245.0,-8.0,97.65,
2021-03-04,209,575921,562412.0,217.0,10273.0,1.0,3236.0,-9.0,97.65,
2021-03-05,255,576176,562675.0,263.0,10275.0,2.0,3226.0,-10.0,97.66,
2021-03-06,259,576435,562945.0,270.0,10277.0,2.0,3213.0,-13.0,97.66,
2021-03-07,188,576623,563182.0,237.0,10278.0,1.0,3163.0,-50.0,97.67,
2021-03-08,215,576838,563403.0,221.0,10280.0,2.0,3155.0,-8.0,97.67,
2021-03-09,188,577026,563601.0,198.0,10281.0,1.0,3144.0,-11.0,97.67,
2021-03-10,241,577267,563857.0,256.0,10283.0,2.0,3127.0,-17.0,97.68,
2021-03-11,244,577511,564115.0,258.0,10286.0,3.0,3110.0,-17.0,97.68,
2021-03-12,277,577788,564368.0,253.0,10287.0,1.0,3133.0,23.0,97.68,
2021-03-13,276,578064,564637.0,269.0,10288.0,1.0,3139.0,6.0,97.68,
2021-03-14,283,578347,564912.0,275.0,10292.0,4.0,3143.0,4.0,97.68,
2021-03-15,251,578598,565156.0,244.0,10295.0,3.0,3147.0,4.0,97.68,
2021-03-16,255,578853,565398.0,242.0,10297.0,2.0,3158.0,11.0,97.68,
2021-03-17,303,579156,565670.0,272.0,10298.0,1.0,3188.0,30.0,97.67,
2021-03-18,323,579479,565938.0,268.0,10300.0,2.0,3241.0,53.0,97.66,
2021-03-19,347,579826,566228.0,290.0,10301.0,1.0,3297.0,56.0,97.65,
2021-03-20,383,580209,566526.0,298.0,10303.0,2.0,3380.0,83.0,97.64,
2021-03-21,422,580631,566821.0,295.0,10306.0,3.0,3504.0,124.0,97.62,
2021-03-22,368,580999,567117.0,296.0,10308.0,2.0,3574.0,70.0,97.61,
2021-03-23,404,581403,567437.0,320.0,10310.0,2.0,3656.0,82.0,97.6,
2021-03-24,462,581865,567771.0,334.0,10312.0,2.0,3782.0,126.0,97.58,
2021-03-25,516,582381,568115.0,344.0,10316.0,4.0,3950.0,168.0,97.55,
2021-03-26,646,583027,568476.0,361.0,10320.0,4.0,4231.0,281.0,97.5,
2021-03-27,812,583839,568909.0,433.0,10322.0,2.0,4608.0,377.0,97.44,
2021-03-28,827,584666,569366.0,457.0,10324.0,2.0,4976.0,368.0,97.38,
2021-03-29,639,585305,569828.0,462.0,10325.0,1.0,5152.0,176.0,97.36,
2021-03-30,628,585933,570303.0,475.0,10327.0,2.0,5303.0,151.0,97.33,
2021-03-31,982,586915,570811.0,508.0,10329.0,2.0,5775.0,472.0,97.26,
2021-04-01,1274,588189,571345.0,534.0,10331.0,2.0,6513.0,738.0,97.14,
2021-04-02,1733,589922,571895.0,550.0,10335.0,4.0,7692.0,1179.0,96.94,
2021-04-03,1736,591658,572474.0,579.0,10340.0,5.0,8844.0,1152.0,96.76,
2021-04-04,1957,593615,573118.0,644.0,10344.0,4.0,10153.0,1309.0,96.55,
2021-04-05,1961,595576,573782.0,664.0,10348.0,4.0,11446.0,1293.0,96.34,
2021-04-06,2058,597634,574504.0,722.0,10355.0,7.0,12775.0,1329.0,96.13,
2021-04-07,2390,600024,575371.0,867.0,10363.0,8.0,14290.0,1515.0,95.89,
2021-04-08,2783,602807,576328.0,957.0,10370.0,7.0,16109.0,1819.0,95.61,
2021-04-09,3648,606455,577474.0,1146.0,10378.0,8.0,18603.0,2494.0,95.22,
2021-04-10,4043,610498,578742.0,1268.0,10390.0,12.0,21366.0,2763.0,94.8,
2021-04-11,4398,614896,580515.0,1773.0,10400.0,10.0,23981.0,2615.0,94.41,
2021-04-12,4511,619407,582462.0,1947.0,10414.0,14.0,26531.0,2550.0,94.04,
2021-04-13,4817,624224,584740.0,2278.0,10434.0,20.0,29050.0,2519.0,93.67,
2021-04-14,5892,630116,587037.0,2297.0,10458.0,24.0,32621.0,3571.0,93.16,
