date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2020-05-01,,185.0,6674.0,,,,,
2020-05-02,,188.0,6961.0,,,,,
2020-05-03,,137.0,7169.0,,,,,
2020-05-04,,161.0,7397.0,,,,,
2020-05-05,,121.0,7625.0,,,,,
2020-05-06,,136.0,7905.0,,,,,
2020-05-07,,192.0,8306.0,,,,,
2020-05-08,,105.0,8529.0,,,,,
2020-05-09,,190.0,8799.0,,,,,
2020-05-10,,93.0,8987.0,,,,,
2020-05-11,,149.0,9229.0,,,,,
2020-05-12,,320.0,9740.0,,,,,
2020-05-13,,251.0,10011.0,,,,,
2020-05-14,,263.0,10443.0,,,,,
2020-05-15,,495.0,11194.0,,,,,
2020-05-16,,504.0,11701.0,,,,,
2020-05-17,,513.0,12254.0,,,,,
2020-05-18,,572.0,12898.0,,,,,
2020-05-19,,735.0,13662.0,,,,,
2020-05-20,,706.0,14426.0,,,,,
2020-05-21,,829.0,15392.0,,,,,
2020-05-22,,1280.0,16833.0,,,,,
2020-05-23,,1268.0,18016.0,,,,,
2020-05-24,,1062.0,19679.0,,,,,
2020-05-25,,1044.0,20804.0,332.0,58.0,4.0,267.0,
2020-05-26,,737.0,21751.0,400.0,64.0,4.0,329.0,
2020-05-27,,924.0,22557.0,438.0,79.0,4.0,352.0,
2020-05-28,,1004.0,23898.0,493.0,79.0,4.0,407.0,
2020-05-29,,1352.0,25380.0,602.0,89.0,5.0,505.0,
2020-05-30,,1152.0,26755.0,727.0,102.0,5.0,617.0,
2020-05-31,,1485.0,28657.0,802.0,102.0,5.0,692.0,
2020-06-01,,953.0,29843.0,929.0,200.0,6.0,720.0,
2020-06-02,,1218.0,31101.0,999.0,243.0,7.0,746.0,
2020-06-03,,1044.0,32339.0,1066.0,259.0,8.0,795.0,
2020-06-04,,550.0,33022.0,1145.0,286.0,10.0,845.0,
2020-06-05,,498.0,33804.0,1199.0,309.0,11.0,874.0,
2020-06-06,,446.0,34334.0,1245.0,422.0,11.0,807.0,
2020-06-07,,501.0,34771.0,1341.0,498.0,13.0,824.0,
2020-06-08,,545.0,36700.0,1380.0,663.0,13.0,697.0,
2020-06-09,,723.0,37784.0,1488.0,749.0,13.0,719.0,
2020-06-17,43.0,1493.0,49462.0,1985.0,1230.0,25.0,717.0,
2020-06-18,57.0,1038.0,50796.0,2079.0,1262.0,26.0,777.0,
2020-06-19,25.0,1315.0,53155.0,2127.0,1423.0,26.0,663.0,
2020-06-20,101.0,1279.0,54512.0,2278.0,1433.0,27.0,803.0,
2020-06-21,23.0,1124.0,55819.0,2324.0,1486.0,27.0,796.0,
2020-06-22,57.0,769.0,56724.0,2401.0,1511.0,27.0,848.0,
2020-06-23,103.0,1607.0,58338.0,2505.0,1541.0,29.0,920.0,
2020-06-24,33.0,1115.0,59616.0,2568.0,1653.0,35.0,863.0,
2020-06-25,20.0,1249.0,61165.0,2642.0,1745.0,35.0,845.0,
2020-06-26,34.0,1293.0,62500.0,2725.0,1822.0,37.0,848.0,
2020-06-27,66.0,1257.0,63960.0,2791.0,1912.0,37.0,824.0,
2020-06-28,32.0,959.0,64984.0,2823.0,2018.0,38.0,749.0,
2020-06-29,8.0,1412.0,66396.0,2831.0,2111.0,39.0,659.0,
2020-06-30,51.0,2193.0,69024.0,2881.0,2231.0,41.0,582.0,
2020-07-01,66.0,951.0,70032.0,2947.0,2317.0,41.0,562.0,
2020-07-02,37.0,1143.0,72104.0,2984.0,2405.0,42.0,510.0,
2020-07-03,64.0,1224.0,73738.0,3048.0,2481.0,42.0,498.0,
