date,district_name,cases_total,recovered_total,active_cases,deaths_total,migrated_total
2020-05-25,Almora,12,3,9,0,0
2020-05-25,Bageshwar,8,0,8,0,0
2020-05-25,Chamoli,11,0,11,0,0
2020-05-25,Champawat,8,0,8,0,0
2020-05-25,Dehradun,76,29,41,3,3
2020-05-25,Haridwar,17,7,10,0,0
2020-05-25,Nainital,117,10,107,0,0
2020-05-25,Pauri Garhwal,10,1,8,1,0
2020-05-25,Pithoragarh,3,0,3,0,0
2020-05-25,Rudraprayag,3,0,3,0,0
2020-05-25,Tehri Garhwal,10,0,10,0,0
2020-05-25,Total,332,58,267,4,3
2020-05-25,US Nagar,47,7,40,0,0
2020-05-25,Uttarkashi,10,1,9,0,0
2020-05-26,Almora,15,3,12,0,0
2020-05-26,Bageshwar,8,0,8,0,0
2020-05-26,Chamoli,11,0,11,0,0
2020-05-26,Champawat,8,0,8,0,0
2020-05-26,Dehradun,79,35,38,3,3
2020-05-26,Haridwar,28,7,21,0,0
2020-05-26,Nainital,136,10,126,0,0
2020-05-26,Pauri Garhwal,10,1,8,1,0
2020-05-26,Pithoragarh,17,0,17,0,0
2020-05-26,Rudraprayag,3,0,3,0,0
2020-05-26,Tehri Garhwal,25,0,25,0,0
2020-05-26,Total,400,64,329,4,3
2020-05-26,US Nagar,50,7,43,0,0
2020-05-26,Uttarkashi,10,1,9,0,0
2020-05-27,Almora,15,3,12,0,0
2020-05-27,Bageshwar,8,0,8,0,0
2020-05-27,Chamoli,11,0,11,0,0
2020-05-27,Champawat,8,0,8,0,0
2020-05-27,Dehradun,82,35,41,3,3
2020-05-27,Haridwar,35,7,28,0,0
2020-05-27,Nainital,135,13,122,0,0
2020-05-27,Pauri Garhwal,23,1,21,1,0
2020-05-27,Pithoragarh,17,0,17,0,0
2020-05-27,Rudraprayag,3,0,3,0,0
2020-05-27,Tehri Garhwal,41,0,41,0,0
2020-05-27,Total,438,79,352,4,3
2020-05-27,US Nagar,50,19,31,0,0
2020-05-27,Uttarkashi,10,1,9,0,0
2020-05-28,Almora,21,3,18,0,0
2020-05-28,Bageshwar,8,0,8,0,0
2020-05-28,Chamoli,11,0,11,0,0
2020-05-28,Champawat,8,0,8,0,0
2020-05-28,Dehradun,89,35,48,3,3
2020-05-28,Haridwar,43,7,36,0,0
2020-05-28,Nainital,138,13,125,0,0
2020-05-28,Pauri Garhwal,23,1,21,1,0
2020-05-28,Pithoragarh,20,0,20,0,0
2020-05-28,Rudraprayag,3,0,3,0,0
2020-05-28,Tehri Garhwal,62,0,62,0,0
2020-05-28,Total,493,79,407,4,3
2020-05-28,US Nagar,57,19,38,0,0
2020-05-28,Uttarkashi,10,1,9,0,0
2020-05-29,Almora,39,3,36,0,0
2020-05-29,Bageshwar,16,0,16,0,0
2020-05-29,Chamoli,11,0,11,0,0
2020-05-29,Champawat,8,0,8,0,0
2020-05-29,Dehradun,147,38,103,3,3
2020-05-29,Haridwar,47,7,40,0,0
2020-05-29,Nainital,142,14,127,1,0
2020-05-29,Pauri Garhwal,25,1,23,1,0
2020-05-29,Pithoragarh,21,0,21,0,0
2020-05-29,Rudraprayag,5,0,5,0,0
2020-05-29,Tehri Garhwal,70,0,70,0,0
2020-05-29,Total,602,89,505,5,3
2020-05-29,US Nagar,61,25,36,0,0
2020-05-29,Uttarkashi,10,1,9,0,0
2020-05-30,Almora,45,3,42,0,0
2020-05-30,Bageshwar,16,0,16,0,0
2020-05-30,Chamoli,11,0,11,0,0
2020-05-30,Champawat,8,0,8,0,0
2020-05-30,Dehradun,171,38,127,3,3
2020-05-30,Haridwar,48,7,41,0,0
2020-05-30,Nainital,224,23,200,1,0
2020-05-30,Pauri Garhwal,28,3,24,1,0
2020-05-30,Pithoragarh,21,0,21,0,0
2020-05-30,Rudraprayag,5,0,5,0,0
2020-05-30,Tehri Garhwal,74,0,74,0,0
2020-05-30,Total,727,102,617,5,3
2020-05-30,US Nagar,62,27,35,0,0
2020-05-30,Uttarkashi,14,1,13,0,0
2020-05-31,Almora,45,3,42,0,0
2020-05-31,Bageshwar,16,0,16,0,0
2020-05-31,Chamoli,11,0,11,0,0
2020-05-31,Champawat,8,0,8,0,0
2020-05-31,Dehradun,210,38,166,3,3
2020-05-31,Haridwar,66,7,59,0,0
2020-05-31,Nainital,229,23,205,1,0
2020-05-31,Pauri Garhwal,34,3,30,1,0
2020-05-31,Pithoragarh,21,0,21,0,0
2020-05-31,Rudraprayag,6,0,6,0,0
2020-05-31,Tehri Garhwal,74,0,74,0,0
2020-05-31,Total,802,102,692,5,3
2020-05-31,US Nagar,62,27,35,0,0
2020-05-31,Uttarkashi,20,1,19,0,0
2020-06-01,Almora,63,3,60,0,0
2020-06-01,Bageshwar,16,5,11,0,0
2020-06-01,Chamoli,13,0,13,0,0
2020-06-01,Champawat,27,7,20,0,0
2020-06-01,Dehradun,233,38,188,4,3
2020-06-01,Haridwar,76,7,69,0,0
2020-06-01,Nainital,260,94,165,1,0
2020-06-01,Pauri Garhwal,34,4,29,1,0
2020-06-01,Pithoragarh,21,0,21,0,0
2020-06-01,Rudraprayag,6,0,6,0,0
2020-06-01,Tehri Garhwal,77,0,77,0,0
2020-06-01,Total,929,200,720,6,3
2020-06-01,US Nagar,82,35,47,0,0
2020-06-01,Uttarkashi,21,7,14,0,0
2020-06-02,Almora,63,11,52,0,0
2020-06-02,Bageshwar,21,6,15,0,0
2020-06-02,Chamoli,16,0,16,0,0
2020-06-02,Champawat,33,7,25,1,0
2020-06-02,Dehradun,268,41,220,4,3
2020-06-02,Haridwar,77,7,70,0,0
2020-06-02,Nainital,263,117,145,1,0
2020-06-02,Pauri Garhwal,34,4,29,1,0
2020-06-02,Pithoragarh,27,0,27,0,0
2020-06-02,Rudraprayag,6,0,6,0,0
2020-06-02,Tehri Garhwal,88,0,88,0,0
2020-06-02,Total,999,243,746,7,3
2020-06-02,US Nagar,82,43,39,0,0
2020-06-02,Uttarkashi,21,7,14,0,0
2020-06-03,Almora,63,11,52,0,0
2020-06-03,Bageshwar,21,6,15,0,0
2020-06-03,Chamoli,23,0,23,0,0
2020-06-03,Champawat,33,7,25,1,0
2020-06-03,Dehradun,287,44,234,5,4
2020-06-03,Haridwar,86,13,73,0,0
2020-06-03,Nainital,286,118,167,1,0
2020-06-03,Pauri Garhwal,38,4,33,1,0
2020-06-03,Pithoragarh,27,0,27,0,0
2020-06-03,Rudraprayag,8,0,8,0,0
2020-06-03,Tehri Garhwal,91,5,86,0,0
2020-06-03,Total,1066,259,795,8,4
2020-06-03,US Nagar,82,44,38,0,0
2020-06-03,Uttarkashi,21,7,14,0,0
2020-06-04,Almora,63,15,48,0,0
2020-06-04,Bageshwar,21,10,11,0,0
2020-06-04,Chamoli,25,0,25,0,0
2020-06-04,Champawat,33,7,25,1,0
2020-06-04,Dehradun,323,47,265,7,4
2020-06-04,Haridwar,86,13,73,0,0
2020-06-04,Nainital,310,128,181,1,0
2020-06-04,Pauri Garhwal,42,7,34,1,0
2020-06-04,Pithoragarh,28,1,27,0,0
2020-06-04,Rudraprayag,8,0,8,0,0
2020-06-04,Tehri Garhwal,101,5,96,0,0
2020-06-04,Total,1145,286,845,10,4
2020-06-04,US Nagar,83,46,37,0,0
2020-06-04,Uttarkashi,22,7,15,0,0
2020-06-05,Almora,69,22,46,1,0
2020-06-05,Bageshwar,23,10,13,0,0
