date,district_name,sessions_24h,sessions_total,citizen_24h,citizen_60_plus_24h,citizen_60_plus_dose1_total,citizen_45_to_59_24h,citizen_45_to_59_dose1_total,citizen_45_plus_dose1_total,citizen_45_plus_dose2_total,citizen_18_to_44_dose1_total,citizen_18_to_44_dose2_total,HCW_24h,HCW_dose1_total,HCW_dose2_total,FLW_24h,FLW_dose1_total,FLW_dose2_total
2021-01-18,Bageshwar,2.0,2.0,,,,,,,,,,148,258,,,,
2021-01-18,Chamoli,2.0,2.0,,,,,,,,,,140,250,,,,
2021-01-18,Champawat,2.0,2.0,,,,,,,,,,124,283,,,,
2021-01-18,Dehradun,5.0,5.0,,,,,,,,,,142,495,,,,
2021-01-18,Haridwar,4.0,4.0,,,,,,,,,,235,485,,,,
2021-01-18,Nainital,3.0,3.0,,,,,,,,,,193,372,,,,
2021-01-18,Pauri Garhwal,2.0,2.0,,,,,,,,,,98,257,,,,
2021-01-18,Pithoragarh,2.0,2.0,,,,,,,,,,160,273,,,,
2021-01-18,Rudraprayag,2.0,2.0,,,,,,,,,,113,248,,,,
2021-01-18,Tehri Garhwal,2.0,2.0,,,,,,,,,,145,291,,,,
2021-01-18,Total,34.0,34.0,,,,,,,,,,1961,4237,,,,
2021-01-18,US Nagar,4.0,4.0,,,,,,,,,,260,525,,,,
2021-01-18,Uttarkashi,2.0,2.0,,,,,,,,,,110,264,,,,
2021-01-19,Bageshwar,2.0,2.0,,,,,,,,,,115,373,,,,
2021-01-19,Chamoli,2.0,2.0,,,,,,,,,,152,402,,,,
2021-01-19,Champawat,2.0,2.0,,,,,,,,,,139,422,,,,
2021-01-19,Dehradun,4.0,4.0,,,,,,,,,,209,704,,,,
2021-01-19,Haridwar,4.0,4.0,,,,,,,,,,200,685,,,,
2021-01-19,Nainital,3.0,3.0,,,,,,,,,,190,562,,,,
2021-01-19,Pauri Garhwal,2.0,2.0,,,,,,,,,,140,397,,,,
2021-01-19,Pithoragarh,2.0,2.0,,,,,,,,,,79,352,,,,
2021-01-19,Rudraprayag,2.0,2.0,,,,,,,,,,83,331,,,,
2021-01-19,Tehri Garhwal,2.0,2.0,,,,,,,,,,78,369,,,,
2021-01-19,Total,34.0,34.0,,,,,,,,,,1882,6119,,,,
2021-01-19,US Nagar,4.0,4.0,,,,,,,,,,208,733,,,,
2021-01-19,Uttarkashi,2.0,2.0,,,,,,,,,,115,379,,,,
2021-01-21,Bageshwar,2.0,2.0,,,,,,,,,,120,493,,,,
2021-01-21,Chamoli,2.0,2.0,,,,,,,,,,148,550,,,,
2021-01-21,Champawat,2.0,2.0,,,,,,,,,,197,619,,,,
2021-01-21,Dehradun,5.0,5.0,,,,,,,,,,286,990,,,,
2021-01-21,Haridwar,4.0,4.0,,,,,,,,,,162,847,,,,
2021-01-21,Nainital,3.0,3.0,,,,,,,,,,153,715,,,,
2021-01-21,Pauri Garhwal,2.0,2.0,,,,,,,,,,143,540,,,,
2021-01-21,Pithoragarh,2.0,2.0,,,,,,,,,,141,493,,,,
2021-01-21,Rudraprayag,2.0,2.0,,,,,,,,,,146,477,,,,
2021-01-21,Tehri Garhwal,2.0,2.0,,,,,,,,,,163,532,,,,
2021-01-21,Total,34.0,34.0,,,,,,,,,,2087,8206,,,,
2021-01-21,US Nagar,4.0,4.0,,,,,,,,,,198,931,,,,
2021-01-21,Uttarkashi,2.0,2.0,,,,,,,,,,133,512,,,,
2021-01-22,Bageshwar,2.0,2.0,,,,,,,,,,96,589,,,,
2021-01-22,Chamoli,3.0,3.0,,,,,,,,,,183,733,,,,
2021-01-22,Champawat,2.0,2.0,,,,,,,,,,165,784,,,,
2021-01-22,Dehradun,5.0,5.0,,,,,,,,,,440,1430,,,,
2021-01-22,Haridwar,4.0,4.0,,,,,,,,,,190,1037,,,,
2021-01-22,Nainital,3.0,3.0,,,,,,,,,,230,945,,,,
2021-01-22,Pauri Garhwal,2.0,2.0,,,,,,,,,,125,665,,,,
2021-01-22,Pithoragarh,2.0,2.0,,,,,,,,,,100,593,,,,
2021-01-22,Rudraprayag,2.0,2.0,,,,,,,,,,155,632,,,,
2021-01-22,Tehri Garhwal,2.0,2.0,,,,,,,,,,143,675,,,,
2021-01-22,Total,35.0,35.0,,,,,,,,,,2308,10514,,,,
2021-01-22,US Nagar,4.0,4.0,,,,,,,,,,241,1172,,,,
2021-01-22,Uttarkashi,2.0,2.0,,,,,,,,,,122,634,,,,
2021-01-25,Bageshwar,2.0,2.0,,,,,,,,,,149,738,,,,
2021-01-25,Chamoli,3.0,3.0,,,,,,,,,,272,1005,,,,
2021-01-25,Champawat,2.0,2.0,,,,,,,,,,195,979,,,,
2021-01-25,Dehradun,13.0,13.0,,,,,,,,,,857,2287,,,,
2021-01-25,Haridwar,9.0,9.0,,,,,,,,,,507,1544,,,,
2021-01-25,Nainital,6.0,6.0,,,,,,,,,,488,1433,,,,
2021-01-25,Pauri Garhwal,3.0,3.0,,,,,,,,,,167,832,,,,
2021-01-25,Pithoragarh,3.0,3.0,,,,,,,,,,230,823,,,,
2021-01-25,Rudraprayag,4.0,4.0,,,,,,,,,,359,991,,,,
2021-01-25,Tehri Garhwal,3.0,3.0,,,,,,,,,,192,867,,,,
2021-01-25,Total,58.0,58.0,,,,,,,,,,4032,14546,,,,
2021-01-25,US Nagar,4.0,4.0,,,,,,,,,,218,1390,,,,
2021-01-25,Uttarkashi,3.0,3.0,,,,,,,,,,220,854,,,,
2021-01-27,Bageshwar,0.0,0.0,,,,,,,,,,0,738,,,,
2021-01-27,Chamoli,0.0,0.0,,,,,,,,,,0,1005,,,,
2021-01-27,Champawat,0.0,0.0,,,,,,,,,,0,979,,,,
2021-01-27,Dehradun,0.0,0.0,,,,,,,,,,0,2287,,,,
2021-01-27,Haridwar,0.0,0.0,,,,,,,,,,0,1544,,,,
2021-01-27,Nainital,0.0,0.0,,,,,,,,,,0,1433,,,,
2021-01-27,Pauri Garhwal,2.0,2.0,,,,,,,,,,144,976,,,,
2021-01-27,Pithoragarh,0.0,0.0,,,,,,,,,,0,823,,,,
2021-01-27,Rudraprayag,0.0,0.0,,,,,,,,,,0,991,,,,
2021-01-27,Tehri Garhwal,0.0,0.0,,,,,,,,,,0,867,,,,
2021-01-27,Total,2.0,2.0,,,,,,,,,,144,14690,,,,
2021-01-27,US Nagar,0.0,0.0,,,,,,,,,,0,1390,,,,
2021-01-27,Uttarkashi,0.0,0.0,,,,,,,,,,0,854,,,,
2021-01-28,Bageshwar,2.0,2.0,,,,,,,,,,134,872,,,,
2021-01-28,Chamoli,3.0,3.0,,,,,,,,,,267,1272,,,,
2021-01-28,Champawat,2.0,2.0,,,,,,,,,,177,1156,,,,
2021-01-28,Dehradun,14.0,14.0,,,,,,,,,,905,3192,,,,
2021-01-28,Haridwar,9.0,9.0,,,,,,,,,,454,1998,,,,
2021-01-28,Nainital,6.0,6.0,,,,,,,,,,444,1877,,,,
2021-01-28,Pauri Garhwal,10.0,10.0,,,,,,,,,,772,1748,,,,
2021-01-28,Pithoragarh,3.0,3.0,,,,,,,,,,171,994,,,,
2021-01-28,Rudraprayag,2.0,2.0,,,,,,,,,,141,1132,,,,
2021-01-28,Tehri Garhwal,4.0,4.0,,,,,,,,,,380,1247,,,,
2021-01-28,Total,68.0,68.0,,,,,,,,,,4827,19517,,,,
2021-01-28,US Nagar,7.0,7.0,,,,,,,,,,550,1940,,,,
2021-01-28,Uttarkashi,3.0,3.0,,,,,,,,,,277,1131,,,,
2021-01-29,Bageshwar,3.0,3.0,,,,,,,,,,228,1100,,,,
2021-01-29,Chamoli,3.0,3.0,,,,,,,,,,285,1557,,,,
2021-01-29,Champawat,3.0,3.0,,,,,,,,,,233,1389,,,,
2021-01-29,Dehradun,26.0,26.0,,,,,,,,,,1426,4618,,,,
2021-01-29,Haridwar,15.0,15.0,,,,,,,,,,631,2629,,,,
