date,district_name,hospital_name,cases_new,deaths_new,discharged_new,cases_total,deaths_total,discharged_total,migrated_total
2021-05-31,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-31,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-31,Dehradun,AIIMS Rishikesh,,,,140,8,4,
2021-05-31,Dehradun,Max Hospital,,,,7,0,3,
2021-05-31,Dehradun,Doon Medical College,,,,11,0,0,
2021-05-31,Dehradun,Sri Mahant Indresh Hospital,,,,15,3,0,
2021-05-31,Dehradun,HIHT Joly Grant,,,,26,4,6,
2021-05-31,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-31,Dehradun,ONGC Hospital,,,,1,0,0,
2021-05-31,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-31,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,12,1,0,
2021-05-31,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-31,Uttarkashi,District Hospital,,,,1,0,0,
2021-05-30,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-30,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-30,Dehradun,AIIMS Rishikesh,,,,121,7,4,
2021-05-30,Dehradun,Max Hospital,,,,7,0,3,
2021-05-30,Dehradun,Doon Medical College,,,,11,0,0,
2021-05-30,Dehradun,Sri Mahant Indresh Hospital,,,,15,3,0,
2021-05-30,Dehradun,HIHT Joly Grant,,,,24,3,6,
2021-05-30,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-30,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-30,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,12,1,0,
2021-05-30,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-29,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-29,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-29,Dehradun,AIIMS Rishikesh,,,,115,7,4,
2021-05-29,Dehradun,Max Hospital,,,,7,0,3,
2021-05-29,Dehradun,Doon Medical College,,,,11,0,0,
2021-05-29,Dehradun,Sri Mahant Indresh Hospital,,,,15,3,0,
2021-05-29,Dehradun,HIHT Joly Grant,,,,24,3,6,
2021-05-29,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-29,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-05-29,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,12,1,0,
2021-05-29,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-05-28,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-05-28,Dehradun,City Heart Hospital,,,,1,0,0,
2021-05-28,Dehradun,AIIMS Rishikesh,,,,99,7,4,
2021-05-28,Dehradun,Max Hospital,,,,7,0,3,
2021-05-28,Dehradun,Doon Medical College,,,,10,0,0,
2021-05-28,Dehradun,Sri Mahant Indresh Hospital,,,,12,2,0,
2021-05-28,Dehradun,HIHT Joly Grant,,,,22,3,6,
2021-05-28,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-05-28,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
